REGIAO:;CO
UF:;DF
ESTACAO:;BRASILIA
CODIGO (WMO):;A001
LATITUDE:;-15,78944444
LONGITUDE:;-47,92583332
ALTITUDE:;1160,96
DATA DE FUNDACAO:;07/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;884;884;882,9;;19,2;17,4;19,2;19;17,4;17,2;90;89;89;356;4,4;1,9;
2022/01/01;0100 UTC;,4;884,4;884,4;884;;19;17,7;19,5;19;17,7;17,4;92;88;92;350;5,2;2,1;
2022/01/01;0200 UTC;0;884,2;884,4;884,2;;19,1;17,6;19,1;18,8;17,7;17,6;93;91;91;6;5,1;2,6;
2022/01/01;0300 UTC;0;884;884,2;884;;18,8;17,2;19,2;18,8;17,6;17,2;91;89;91;2;5,8;2,8;
2022/01/01;0400 UTC;0;883,2;884;883,2;;18,5;17,2;18,8;18,4;17,3;17,1;92;91;92;11;4,3;1,3;
2022/01/01;0500 UTC;0;882,8;883,2;882,8;;18,7;17,3;18,7;18,4;17,4;17,2;93;92;92;12;4,7;2,9;
2022/01/01;0600 UTC;,8;882,7;882,8;882,7;;18,3;17,4;18,7;18,3;17,4;17,3;94;92;94;350;5,6;2,7;
2022/01/01;0700 UTC;,4;882,6;882,7;882,5;;18,3;17,5;18,4;18,3;17,5;17,4;95;94;95;350;6,1;3,1;
2022/01/01;0800 UTC;0;882,8;882,9;882,6;;18,3;17,4;18,4;18,3;17,5;17,4;95;95;95;356;6,4;3,4;
2022/01/01;0900 UTC;0;883,3;883,3;882,8;1,5;18,3;17,5;18,3;18,2;17,5;17,4;95;95;95;2;6,4;2,2;
2022/01/01;1000 UTC;,2;883,9;883,9;883,3;79,4;18,6;17,7;18,6;18,3;17,7;17,5;95;95;95;5;5,1;2,9;
2022/01/01;1100 UTC;0;884,4;884,4;883,9;328,5;18,9;17,9;19,1;18,6;18,1;17,7;95;93;94;6;6,8;3,5;
2022/01/01;1200 UTC;,6;884,8;884,8;884,4;361,6;19;18;19;18,9;18;17,8;94;93;94;355;7,7;4,3;
2022/01/01;1300 UTC;,2;885;885;884,8;998,5;20,6;18,4;20,6;19;18,7;18;94;87;87;355;7,9;4,9;
2022/01/01;1400 UTC;0;884,9;885;884,9;1239,2;20,2;18;21;20,1;18,9;17,8;90;84;87;345;9,1;4,3;
2022/01/01;1500 UTC;5,2;884,3;884,9;884,3;1142,4;20,9;19,8;20,9;19,3;19,9;18,1;95;87;94;341;9,1;3,6;
2022/01/01;1600 UTC;0;883,6;884,3;883,6;2221;22,3;18,7;22,9;20,8;19,8;18,1;94;79;81;324;8,3;3,3;
2022/01/01;1700 UTC;3,2;883,3;883,7;883,3;955,3;20,8;18,5;22,4;19,8;19,2;16,9;91;79;87;342;10;4;
2022/01/01;1800 UTC;0;882,7;883,4;882,7;1098,9;20,8;18,3;21,2;20,5;18,8;18,2;89;84;85;341;7,5;3,5;
2022/01/01;1900 UTC;0;882,6;882,7;882,5;903,6;20,3;18;21,2;20,3;18,4;17,6;86;81;86;343;7,4;4;
2022/01/01;2000 UTC;10,2;882,8;882,9;882,6;218,7;19;18,1;20,3;18,9;18,3;17,7;95;86;95;352;6,9;3,1;
2022/01/01;2100 UTC;3,8;883,2;883,2;882,8;103,1;19;18,2;19;18,8;18,2;18;95;95;95;332;5,5;2,3;
2022/01/01;2200 UTC;,8;883,7;883,8;883,1;32,5;18,6;17,4;19;18,6;18,2;17,4;95;93;93;332;7;3,3;
2022/01/01;2300 UTC;0;884,2;884,2;883,7;;18,3;17,2;18,6;18,3;17,4;17,2;93;93;93;334;5,8;2,9;
2022/01/02;0000 UTC;,2;884,7;884,7;884,1;;18,1;17,2;18,3;18;17,3;17,1;94;93;94;350;5,6;2,6;
2022/01/02;0100 UTC;0;885,3;885,3;884,7;;18,4;17,4;18,5;18,1;17,6;17,2;95;94;94;340;5,9;3,5;
2022/01/02;0200 UTC;0;885,6;885,8;885,3;;18,3;17,4;18,4;18,3;17,4;17,3;94;94;94;347;6,2;2,7;
2022/01/02;0300 UTC;0;884,6;885,6;884,6;;18,3;17,4;18,3;18,2;17,5;17,4;95;94;95;14;5;2,9;
2022/01/02;0400 UTC;0;884,5;884,8;884,5;;18,3;17,5;18,3;18,3;17,5;17,4;95;95;95;357;5,8;2,5;
2022/01/02;0500 UTC;0;884,1;884,5;884,1;;18,1;17,3;18,4;18,1;17,5;17,3;95;95;95;356;6;2,4;
2022/01/02;0600 UTC;0;883,8;884,1;883,7;;18,1;17,3;18,1;17,9;17,3;17;95;95;95;349;4,8;2,3;
2022/01/02;0700 UTC;0;883,9;883,9;883,7;;18,2;17,3;18,2;18,1;17,3;17,3;95;95;95;340;4,7;1,8;
2022/01/02;0800 UTC;0;884,3;884,3;883,9;;18,1;17,2;18,3;18,1;17,4;17,2;95;94;94;346;4,5;1,9;
2022/01/02;0900 UTC;,2;884,9;884,9;884,3;2,4;18,2;17,4;18,2;18,1;17,4;17,2;95;94;95;355;3,7;1,9;
2022/01/02;1000 UTC;,2;885,4;885,4;884,9;119;18,5;17,6;18,5;18,2;17,6;17,4;95;95;95;354;5,4;3,3;
2022/01/02;1100 UTC;0;886;886;885,4;630,1;19,4;18;19,6;18,4;18,5;17,6;95;91;92;357;7;3,9;
2022/01/02;1200 UTC;1;886,5;886,5;886;650;19,8;18,6;19,9;18,8;19,1;17,8;95;92;93;348;7;2,4;
2022/01/02;1300 UTC;,8;886,7;886,8;886,5;927,5;20,5;18,5;21,1;19,6;19,3;18,1;93;86;89;346;6;3;
2022/01/02;1400 UTC;0;886,2;886,7;886,2;1557,5;21,8;18,1;22,5;20,5;19,3;17,9;89;76;80;335;7,6;3;
2022/01/02;1500 UTC;0;885,3;886,2;885,3;3182,1;24,3;18,2;24,5;21,8;19,1;17,8;80;67;69;3;7,3;4,5;
2022/01/02;1600 UTC;0;884,6;885,3;884,6;2803,8;25,1;18,2;25,2;23,5;19,3;17,5;73;64;65;343;8,6;4,5;
2022/01/02;1700 UTC;1,2;884,4;884,8;884,4;1043,7;21,2;20,1;25,2;20;20,1;17,1;94;62;93;8;8,8;4,3;
2022/01/02;1800 UTC;,2;883;884,4;883;2123,8;21,4;19;21,9;20,1;20,5;18,4;94;83;86;1;8,9;4,3;
