REGIAO:;CO
UF:;GO
ESTACAO:;ITAPACI
CODIGO (WMO):;A015
LATITUDE:;-14,97972221
LONGITUDE:;-49,53999999
ALTITUDE:;551,16
DATA DE FUNDACAO:;03/02/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;947,1;947,1;946,1;;23,2;20,8;23,5;23,2;21;20,8;87;85;87;328;0;0;
2022/01/01;0100 UTC;;947,7;947,7;947,1;;22,6;20,7;23,1;22,6;20,9;20,7;89;87;89;324;0;0;
2022/01/01;0200 UTC;;948,1;948,2;947,7;;22,6;20,7;22,6;22,4;20,8;20,6;90;89;90;322;0;0;
2022/01/01;0300 UTC;;948,2;948,3;948,1;;22,3;20,1;22,7;22,2;20,9;20,1;90;87;87;343;0;0;
2022/01/01;0400 UTC;;947,4;948,2;947,4;;22;20,3;22,3;22;20,3;20;90;87;90;335;0;0;
2022/01/01;0500 UTC;;946,8;947,4;946,8;;22;20,5;22,1;22;20,5;20,3;91;90;91;302;0;0;
2022/01/01;0600 UTC;;946,4;946,8;946,3;;21,9;20,4;22,2;21,9;20,6;20,4;91;91;91;327;0;0;
2022/01/01;0700 UTC;;946,1;946,4;946,1;;21,8;20,6;21,9;21,8;20,7;20,3;93;91;93;326;0;0;
2022/01/01;0800 UTC;;946,1;946,2;946;;21,9;20,5;21,9;21,8;20,7;20,5;93;92;92;338;0;0;
2022/01/01;0900 UTC;;946,5;946,5;946,1;;21,5;20,4;21,9;21,4;20,5;20,3;94;92;94;331;0;0;
2022/01/01;1000 UTC;;947,3;947,3;946,5;37,8;21,6;20,6;21,6;21,5;20,6;20,4;94;94;94;326;0;0;
2022/01/01;1100 UTC;;947,8;947,8;947,3;168,2;21,8;20,8;21,8;21,5;20,8;20,5;94;94;94;341;0;0;
2022/01/01;1200 UTC;;948,7;948,7;947,8;386,7;22,5;21,1;22,5;21,8;21,2;20,6;94;92;92;345;0;0;
2022/01/01;1300 UTC;;949;949;948,7;326,5;22,4;21;22,7;22,2;21,3;20,7;92;91;92;341;0;0;
2022/01/01;1400 UTC;;948,9;949,2;948,8;171;21,8;20,8;22,5;21,6;21,1;20,4;94;91;94;336;0;0;
2022/01/01;1500 UTC;;948,5;949,1;948,5;295,5;21,5;20,5;22;21,4;20,9;20,4;94;93;94;322;0;0;
2022/01/01;1600 UTC;;948,2;948,5;948,2;280,8;21,5;20,4;22;21,4;21;20,4;95;93;94;344;0;0;
2022/01/01;1700 UTC;;947,8;948,2;947,8;524,4;22,1;21,1;22,1;21,2;21,1;20,2;94;94;94;333;0;0;
2022/01/01;1800 UTC;;946,8;947,8;946,8;716,8;22,4;20,7;22,8;21,9;21,3;20,7;94;90;90;330;0;0;
2022/01/01;1900 UTC;;946,6;946,8;946,4;330,6;22,1;20,6;22,6;22,1;21;20,5;91;90;91;343;0;0;
2022/01/01;2000 UTC;;946,3;946,6;946,2;584,5;22,7;21;22,7;22;21,2;20,5;92;90;90;342;0;0;
2022/01/01;2100 UTC;;946,5;946,6;946,3;460,1;23;20,7;23,1;22,6;21;20,6;90;87;87;323;0;0;
2022/01/01;2200 UTC;;947,4;947,4;946,5;44,5;22,7;20,9;23;22,6;20,9;20,5;90;87;90;309;0;0;
2022/01/01;2300 UTC;;947,5;947,5;947,2;0;21,8;20,3;22,7;21,8;20,9;20,3;91;90;91;327;0;0;
2022/01/02;0000 UTC;;948,2;948,3;947,4;;21,8;20,6;21,8;21,6;20,6;20,3;93;91;93;323;0;0;
2022/01/02;0100 UTC;;948,9;949;948,4;;21,7;20,7;21,8;21,7;20,8;20,6;94;93;94;326;0;0;
2022/01/02;0200 UTC;;949;949,2;948,9;;21,6;20,7;21,8;21,6;20,8;20,6;95;94;95;324;0;0;
2022/01/02;0300 UTC;;948,9;949,1;948,9;;21,4;20,5;21,6;21,4;20,7;20,5;95;95;95;246;0;0;
2022/01/02;0400 UTC;;948,5;948,9;948,5;;21,4;20,5;21,5;21,3;20,6;20,5;95;95;95;280;0;0;
2022/01/02;0500 UTC;;948;948,5;948;;21,4;20,6;21,5;21,3;20,7;20,5;95;95;95;236;0;0;
2022/01/02;0600 UTC;;947,5;948;947,5;;21,5;20,7;21,5;21,4;20,7;20,6;95;95;95;337;0;0;
2022/01/02;0700 UTC;;947,8;947,8;947,5;;21,7;20,9;21,7;21,5;20,9;20,7;95;95;95;348;0;0;
2022/01/02;0800 UTC;;948;948;947,6;;21,9;20,8;21,9;21,7;20,9;20,7;95;93;93;343;0;0;
2022/01/02;0900 UTC;;948,5;948,5;948;;21,9;20,5;22;21,9;20,8;20,5;93;92;92;348;0;0;
2022/01/02;1000 UTC;;949,1;949,1;948,4;16,8;21,8;20,7;21,9;21,7;20,7;20,4;93;92;93;339;0;0;
2022/01/02;1100 UTC;;949,7;949,7;949,1;211,1;22,1;20,9;22,3;21,8;21,1;20,6;94;93;93;328;0;0;
2022/01/02;1200 UTC;;950;950;949,7;768,4;24,1;21,5;24,2;22,1;21,9;21;93;85;85;339;0;0;
2022/01/02;1300 UTC;;950,6;950,7;950;1984,1;25,2;21,3;25,7;24,1;22,1;20,7;85;78;79;330;0;0;
2022/01/02;1400 UTC;;950,5;950,7;950,4;2886,7;25,1;20,7;26,1;24,9;22,3;20,7;81;76;76;336;0;0;
2022/01/02;1500 UTC;;950,1;950,6;950,1;1196,6;22,1;20,4;25,8;21,9;21,5;20,2;91;76;90;346;0;0;
2022/01/02;1600 UTC;;949,1;950,1;949,1;3385,4;26,6;21,8;26,7;22,1;22,9;20,5;91;74;75;340;0;0;
2022/01/02;1700 UTC;;948,4;949,1;948,2;2948,5;26,7;21,1;27,5;26,4;22,3;20,5;75;69;71;329;0;0;
2022/01/02;1800 UTC;;947,3;948,4;947,3;2203,7;26,5;21,1;28;26,3;22,5;20,4;73;67;72;326;0;0;
2022/01/02;1900 UTC;;947,2;947,3;946,9;900,8;22,9;21,2;26,6;22,6;22,7;20,6;90;72;90;327;0;0;
