REGIAO:;CO
UF:;GO
ESTACAO:;EDEIA
CODIGO (WMO):;A029
LATITUDE:;-17,33694444
LONGITUDE:;-49,91472222
ALTITUDE:;608
DATA DE FUNDACAO:;26/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;939,5;939,6;938,6;;23,5;21,4;24;23,4;22,1;21,4;92;87;88;288;4,2;1,1;
2022/01/01;0100 UTC;0;940,2;940,2;939,4;;23,1;20,7;23,5;23,1;21,3;20,7;88;85;87;279;5,3;1,5;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;0;940,2;940,6;940,2;;22,5;20,8;22,8;22,5;21,1;20,7;92;89;90;285;3,5;1;
2022/01/01;0400 UTC;0;939,9;940,2;939,9;;21,9;21,6;22,5;21,9;21,6;20,8;98;90;98;102;2,9;0;
2022/01/01;0500 UTC;0;939,4;939,9;939,4;;22;21,4;22,1;21,6;21,7;21,4;100;96;97;8;2,2;,1;
2022/01/01;0600 UTC;0;939,1;939,4;939,1;;21,8;21,4;22;21,7;21,7;21,4;99;96;97;357;2,2;,1;
2022/01/01;0700 UTC;0;938,8;939,1;938,8;;21,4;21,3;21,8;21,3;21,6;21,3;100;97;100;345;2;,3;
2022/01/01;0800 UTC;0;939;939,1;938,8;;21,2;21,2;21,4;21;21,4;21;100;100;100;334;2,1;,2;
2022/01/01;0900 UTC;0;939,8;939,8;939;2,6;21,2;21,2;21,3;21,1;21,3;21,1;100;100;100;344;2,2;0;
2022/01/01;1000 UTC;0;940,4;940,4;939,8;241,4;22;21,9;22;21,1;22;21,1;100;99;100;358;2,4;,2;
2022/01/01;1100 UTC;0;941,3;941,3;940,4;204,2;22,3;21,9;22,5;22;22,1;21,4;100;94;97;268;2,7;,4;
2022/01/01;1200 UTC;0;941,7;941,7;941,3;183,6;22,1;22,1;22,3;22,1;22,1;21,9;100;97;100;268;2,5;,2;
2022/01/01;1300 UTC;,4;942;942;941,7;361,8;22,7;22,7;22,7;22,1;22,7;22;100;97;100;325;2,5;,3;
2022/01/01;1400 UTC;,2;941,9;942;941,9;781,4;22,8;22,5;23,3;22,7;22,8;22,3;100;95;98;307;7,2;3,5;
2022/01/01;1500 UTC;,8;941,5;941,9;941,5;1137,6;23;22,1;23,2;22,2;23;21,1;100;93;94;299;8,9;3,5;
2022/01/01;1600 UTC;,2;940,7;941,5;940,7;2120,4;24,3;21,1;25,4;22,8;23,4;21;98;80;82;291;8,9;3,6;
2022/01/01;1700 UTC;0;939,8;940,7;939,8;1468,8;24,6;21,9;24,6;24;22;20,7;89;81;85;278;7,3;1,3;
2022/01/01;1800 UTC;0;939,1;939,8;939,1;2214,5;25,6;19,5;26,2;24,4;22,5;19,5;85;68;69;282;5;1,7;
2022/01/01;1900 UTC;0;938,5;939,1;938,5;1589,8;25,6;20,6;26,2;25,6;21,2;19,2;75;66;74;265;5,2;,6;
2022/01/01;2000 UTC;0;938,7;938,7;938,5;1014,8;25,8;21,2;26;25,5;21,3;19,8;77;69;76;279;4,7;1;
2022/01/01;2100 UTC;0;938,9;938,9;938,7;689,4;25,3;21,1;26,9;25,3;21,9;20,4;80;72;78;310;4,5;,9;
2022/01/01;2200 UTC;0;939,5;939,5;938,8;195,6;24;22,1;25,4;24;22,1;21,1;89;77;89;327;3,3;,2;
2022/01/01;2300 UTC;0;940,4;940,4;939,5;;23,3;22,2;24;23,2;22,4;22;95;89;94;318;2,8;,1;
2022/01/02;0000 UTC;0;940,8;940,8;940,4;;22,6;22,2;23,3;22,6;22,4;22,2;98;93;97;329;2;0;
2022/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0200 UTC;0;941,4;941,4;941;;22,6;22,3;22,7;22,4;22,3;22,2;99;97;98;319;3,1;1;
2022/01/02;0300 UTC;0;941,1;941,4;941,1;;22,5;22,4;22,7;22,4;22,4;22,2;100;97;100;312;3,3;0;
2022/01/02;0400 UTC;0;940,9;941,1;940,8;;22,4;22,1;22,5;22,3;22,4;22,1;100;98;98;285;3;,3;
2022/01/02;0500 UTC;0;940,5;940,9;940,5;;22,3;21,8;22,5;22,3;22,2;21,8;99;96;97;296;3,9;,5;
2022/01/02;0600 UTC;0;940,3;940,5;940,3;;22,1;21,5;22,4;22,1;21,8;21,4;97;95;96;323;4,7;2,1;
2022/01/02;0700 UTC;0;940,7;940,7;940,3;;22;21,4;22,1;21,9;21,5;21,4;98;96;97;311;4,4;,9;
2022/01/02;0800 UTC;,2;940,9;940,9;940,7;;21,5;21,5;22;21,5;21,6;21,4;100;97;100;305;3,7;1;
2022/01/02;0900 UTC;0;941,4;941,4;940,9;1,7;21,4;21,4;21,5;21,4;21,5;21,4;100;100;100;308;3;,2;
2022/01/02;1000 UTC;,2;942;942;941,4;152;22,2;22,1;22,2;21,4;22,2;21,4;100;99;100;300;3,2;,5;
2022/01/02;1100 UTC;4,8;942,8;942,8;942;348,8;21,9;21,8;22,8;21,5;22,5;21,5;100;96;100;295;4,8;,2;
2022/01/02;1200 UTC;1,6;943,1;943,1;942,8;728,8;23,1;23;23,1;21,9;23,1;21,9;100;100;100;265;4,1;1,7;
2022/01/02;1300 UTC;0;943,4;943,4;943,1;1617,6;24,8;22,9;24,9;23,1;23,7;22,6;100;89;89;272;6,4;2,5;
2022/01/02;1400 UTC;0;943,2;943,4;943,1;1712,3;24,3;23,1;25,9;24,3;23,8;22,1;93;83;93;267;6,8;2,5;
2022/01/02;1500 UTC;,2;942,5;943,2;942,5;1816,9;24,9;22,1;25;22,8;23,3;21,3;100;84;84;273;7,5;2,7;
2022/01/02;1600 UTC;0;941,4;942,5;941,4;3944,2;27,2;22,4;27,9;24,8;23,3;21,4;87;69;75;254;7,6;3,1;
2022/01/02;1700 UTC;0;940,7;941,4;940,7;3134;27,5;22,5;28,2;25,7;23,6;21,7;87;69;74;252;6,8;1,9;
2022/01/02;1800 UTC;0;939,8;940,7;939,8;2530,4;28,4;23,2;28,6;27,4;23,5;21,1;78;68;74;286;6,1;2,9;
2022/01/02;1900 UTC;0;939,2;939,8;939,2;2804,4;28,8;20,3;29,3;28,1;23,4;20,2;74;60;60;256;6,1;2,2;
2022/01/02;2000 UTC;0;938,9;939,3;938,9;1800;29,1;21,1;29,7;27,8;22,4;20;68;60;62;251;6,1;1,1;
2022/01/02;2100 UTC;0;939,3;939,3;939;884,2;26,7;22,3;29,1;26,7;22,4;20,6;77;61;77;280;5,4;1,1;
2022/01/02;2200 UTC;0;940,7;940,8;939,3;132,1;24,2;21,7;26,7;24,2;22,8;21,3;86;77;86;187;5,5;1,1;
2022/01/02;2300 UTC;0;942;942;940,6;;23,6;22;24,1;23,3;22,1;21,4;93;86;90;256;4,9;1,4;
