REGIAO:;CO
UF:;GO
ESTACAO:;CATALAO
CODIGO (WMO):;A034
LATITUDE:;-18,154779
LONGITUDE:;-47,927614
ALTITUDE:;900,72
DATA DE FUNDACAO:;31/01/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;909,9;910;909,4;;20,7;19,4;21;20,7;19,8;19,3;94;90;92;23;3,2;0;
2022/01/01;0100 UTC;0;910,5;910,5;909,9;;20,1;18,7;20,7;20,1;19,4;18,7;92;91;92;23;3,5;,1;
2022/01/01;0200 UTC;0;910,4;910,6;910,4;;19,9;18,4;20,1;19,9;18,7;18,4;92;91;91;3;3,5;0;
2022/01/01;0300 UTC;0;909,9;910,4;909,9;;19,8;18,3;19,9;19,7;18,4;18,3;92;91;91;353;3,3;,1;
2022/01/01;0400 UTC;0;909,6;909,9;909,6;;19,9;18,5;20,1;19,8;18,5;18;92;89;92;340;4,5;,4;
2022/01/01;0500 UTC;0;909;909,6;909;;19,6;18,5;19,9;19,5;18,5;18,3;93;91;93;4;4,9;0;
2022/01/01;0600 UTC;0;908,9;909,1;908,9;;19,9;18,5;19,9;19,5;18,6;18,4;94;92;92;2;4,6;,7;
2022/01/01;0700 UTC;0;909;909;908,9;;19,9;18,5;20,1;19,9;18,6;18,5;92;91;92;2;7;,1;
2022/01/01;0800 UTC;0;909,3;909,3;909;;19,6;18,5;19,9;19,6;18,5;18,4;93;92;93;4;3,8;,4;
2022/01/01;0900 UTC;0;909,9;909,9;909,3;27,4;19,8;18,6;19,8;19,6;18,6;18,5;93;93;93;4;3,8;0;
2022/01/01;1000 UTC;0;910,7;910,7;909,9;686,3;21;18,5;21;19,8;18,9;18,2;93;85;86;2;5,5;0;
2022/01/01;1100 UTC;0;911,3;911,3;910,7;1110,6;22,5;18,8;22,5;21;18,8;18,2;86;79;80;4;5,7;,3;
2022/01/01;1200 UTC;0;911,8;911,8;911,3;1299,2;23,3;18,6;23,4;22,4;19,1;18,1;80;74;75;351;6,9;1,3;
2022/01/01;1300 UTC;0;911,6;911,9;911,6;1668,6;23,9;18,8;25,5;23,2;19,7;17,8;75;67;73;342;6,7;2,4;
2022/01/01;1400 UTC;2,6;911,5;911,7;911,5;1579,5;21,9;19;25,7;21,9;20,4;17,9;85;65;83;13;6,7;,8;
2022/01/01;1500 UTC;15,6;911,3;911,5;910,9;530,9;19,4;18,5;22,4;19,3;20;17,9;94;82;94;331;7,8;,1;
2022/01/01;1600 UTC;,6;910,7;911,3;910,7;600,7;21,7;19,5;21,8;19,5;20;18,6;95;86;87;14;2,5;0;
2022/01/01;1700 UTC;1,4;910,2;910,7;910,2;447,9;21,7;20,3;22,1;21,7;20,5;19,2;92;85;92;318;1,9;0;
2022/01/01;1800 UTC;,4;909,9;910,3;909,9;556,8;20,7;18,5;21,8;20,7;20,4;18,2;92;85;87;322;6,3;,1;
2022/01/01;1900 UTC;,6;909,6;909,9;909,5;631,6;21,2;18,9;21,3;20,7;19,7;18,7;91;87;87;303;3,7;0;
2022/01/01;2000 UTC;0;909,6;909,6;909,5;779;22,2;18,9;22,2;21,2;19,5;18,1;89;80;82;32;0;0;
2022/01/01;2100 UTC;0;909,8;909,8;909,6;501,7;21,8;19,1;22,3;21,8;19,2;18,3;85;79;85;59;0;0;
2022/01/01;2200 UTC;0;910,4;910,4;909,8;50,2;21,1;19,9;21,8;21,1;19,9;19,1;93;85;93;58;0;0;
2022/01/01;2300 UTC;,2;911,2;911,2;910,4;;20,8;19,9;21,1;20,8;19,9;19,8;94;93;94;52;0;0;
2022/01/02;0000 UTC;0;911,8;911,8;911,2;;20,7;19,8;20,8;20,7;19,9;19,8;95;94;95;53;0;0;
