REGIAO:;CO
UF:;GO
ESTACAO:;ITUMBIARA
CODIGO (WMO):;A035
LATITUDE:;-18,40972222
LONGITUDE:;-49,19194444
ALTITUDE:;491,17
DATA DE FUNDACAO:;01/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;952,1;952,1;951,3;0;23,8;20,8;24,1;23,6;21,4;20,8;86;83;83;1;5,3;3,1;
2022/01/01;0100 UTC;0;952,5;952,6;952,1;0;23,5;20,6;23,8;23,3;20,9;20,2;84;81;84;360;6,1;3,5;
2022/01/01;0200 UTC;,6;953,3;953,7;952,5;0;21,4;18,7;23,6;21,4;21,1;18,7;86;80;85;225;10,7;4;
2022/01/01;0300 UTC;3,6;953,1;953,6;953,1;0;21,2;19,7;21,4;20,6;19,7;18,6;92;85;91;336;10,7;3,2;
2022/01/01;0400 UTC;1,6;952,5;953,2;952,5;0;20,7;19;21,2;20,6;19,7;19;92;90;90;311;8,4;4,8;
2022/01/01;0500 UTC;,6;952,3;952,6;952,2;0;20,7;19,1;20,7;20,6;19,2;19;92;90;91;303;7,2;2,9;
2022/01/01;0600 UTC;,2;952;952,3;952;0;20,5;19;20,7;20,5;19,3;19;92;91;92;307;4,8;1,7;
2022/01/01;0700 UTC;0;952,2;952,2;951,9;0;20,5;18,9;20,5;20,3;19;18,7;92;90;90;326;3,3;1,8;
2022/01/01;0800 UTC;0;951,9;952,2;951,9;0;20,6;18,9;20,7;20,4;18,9;18,7;91;89;90;311;4,1;2,7;
2022/01/01;0900 UTC;0;952,8;952,8;951,8;7,5;20,5;18,9;20,9;20,5;18,9;18,8;90;88;90;238;3,7;,3;
2022/01/01;1000 UTC;0;953,6;953,6;952,8;319,4;22,2;19,8;22,2;20,5;20,1;18,9;91;86;86;341;2,5;1,1;
2022/01/01;1100 UTC;,2;954,1;954,2;953,6;777,9;24;19,9;24,2;22,2;20,7;19,2;87;76;78;3;2,1;1;
2022/01/01;1200 UTC;0;954,6;954,7;954,1;1635;25,3;20,6;25,3;23,9;20,9;19,5;80;73;75;292;3,4;1,5;
2022/01/01;1300 UTC;0;954,6;954,7;954,5;2266,8;26,5;20,9;27;25,3;21,4;19,8;75;69;71;322;4,3;1,7;
2022/01/01;1400 UTC;0;954,5;954,7;954,5;1305,4;26,7;19,7;26,8;26,2;21,7;19,7;75;66;66;273;7,1;3,6;
2022/01/01;1500 UTC;0;954,2;954,5;954,2;1221;25,9;20;27;25,8;20,5;19,4;71;64;70;262;9,3;3,6;
2022/01/01;1600 UTC;0;954;954,2;954;1108,5;25;20,8;25,9;24,9;20,9;19,7;78;70;77;258;7,4;2,4;
2022/01/01;1700 UTC;0;952,9;954;952,9;1746,2;26,3;21,3;26,8;24,9;21,9;20,3;80;70;74;242;4,1;1;
2022/01/01;1800 UTC;0;952;952,9;952;1831,2;26,5;20,4;27,1;26,1;21,7;20,4;75;69;69;326;4,7;2,4;
2022/01/01;1900 UTC;0;951,4;952;951,4;1543;27,4;20,2;28,3;26,3;21,5;19,8;74;63;65;308;5,5;3,4;
2022/01/01;2000 UTC;0;951,5;951,5;951,3;1067,8;26,5;20;27,7;26,5;20,9;19,5;69;63;68;315;5,5;2,7;
2022/01/01;2100 UTC;0;951,8;951,8;951,4;488,7;25;19,9;26,5;25;20,7;19,4;74;65;74;357;5,3;3,2;
2022/01/01;2200 UTC;0;952,4;952,4;951,8;103;24,2;20,5;25;24,2;20,6;19,7;80;73;80;4;5,1;2,9;
2022/01/01;2300 UTC;0;953,4;953,4;952,4;0;24;20,7;24,3;23,9;20,8;20,3;82;79;82;4;4,9;3,2;
2022/01/02;0000 UTC;0;954;954,1;953,4;0;23,7;20,8;24,1;23,7;20,8;20,7;84;82;84;358;4,9;2,8;
2022/01/02;0100 UTC;0;954,5;954,5;954;0;23,5;21,3;23,7;23,5;21,3;20,8;87;84;87;7;4,1;2,4;
2022/01/02;0200 UTC;0;954,6;954,6;954,4;0;23,4;21;23,6;23,4;21,3;21;87;86;87;6;5,6;3,4;
2022/01/02;0300 UTC;0;954;954,6;954;0;23;21;23,4;23;21;20,9;89;87;89;343;5,7;2,1;
2022/01/02;0400 UTC;0;953,8;954;953,7;0;23;20,2;23,2;22,9;21;20,2;89;84;84;329;4,1;2,6;
2022/01/02;0500 UTC;0;953,5;953,8;953,5;0;22,8;20,1;23;22,7;20,2;20,1;86;84;85;334;4,1;1,6;
2022/01/02;0600 UTC;0;953,4;953,5;953,3;0;22,8;20,2;22,9;22,7;20,2;20,1;85;84;85;353;4,8;2,7;
2022/01/02;0700 UTC;0;953,6;953,7;953,4;0;22,8;20,2;22,9;22,7;20,2;20,2;86;85;86;352;4;2,2;
