REGIAO:;CO
UF:;MS
ESTACAO:;CAMAPUA
CODIGO (WMO):;S707
LATITUDE:;-19,58749999
LONGITUDE:;-54,02999999
ALTITUDE:;540
DATA DE FUNDACAO:;19/02/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;946,2;946,5;945,3;;22,1;;22,2;21,7;;;;;;282;4,5;1;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;0;946,3;946,4;945,8;;20,1;;21,1;20;;;;;;7;3,2;,3;
2022/01/01;0300 UTC;0;946,4;946,5;946,3;;19,5;;20,2;19,4;;;;;;160;2,8;2,1;
2022/01/01;0400 UTC;0;946,1;946,4;946;;19,4;;19,6;19,1;;;;;;85;2,8;,8;
2022/01/01;0500 UTC;0;945,3;946,1;945,3;;19,5;;19,5;19,1;;;;;;318;2,1;,6;
2022/01/01;0600 UTC;0;944,8;945,3;944,8;;19,7;;19,7;19,5;;;;;;360;1,6;1,3;
2022/01/01;0700 UTC;0;944,8;944,8;944,7;;19,6;;19,7;19;;;;;;297;3,1;1,9;
2022/01/01;0800 UTC;0;945,2;945,2;944,8;;19,2;;19,7;19,2;;;;;;288;3,3;1,4;
2022/01/01;0900 UTC;0;945,6;945,6;945,2;;18,8;;19,3;18,8;;;;;;9;3;,9;
2022/01/01;1000 UTC;0;946,5;946,5;945,6;144,2;19,5;;19,5;18,2;;;;;;325;2,7;1,6;
2022/01/01;1100 UTC;0;947,3;947,3;946,5;696,6;20,8;;20,9;19,4;;;;;;338;3,7;2,3;
2022/01/01;1200 UTC;0;948;948;947,3;1667,1;22,8;;22,8;20,8;;;;;;359;3,9;2,7;
2022/01/01;1300 UTC;0;948,3;948,3;948;2623,9;25,1;;25,5;22,8;;;;;;324;4,5;2,9;
2022/01/01;1400 UTC;0;948,2;948,3;948,1;3276,2;27,3;;27,3;25,2;;;;;;337;5,8;2,6;
2022/01/01;1500 UTC;,2;947,6;948,2;947,6;3710,8;29;;29;26,8;;;;;;294;6,1;2,4;
2022/01/01;1600 UTC;0;947;947,6;947;3735,5;29,6;;29,9;28,1;;;;;;333;6,5;2,8;
2022/01/01;1700 UTC;0;946,1;947;946,1;3736,9;30,4;;30,4;28,4;;;;;;324;6,3;2,4;
2022/01/01;1800 UTC;0;945;946,1;945;3702,4;30,6;;31,4;30,2;;;;;;342;6,1;2;
2022/01/01;1900 UTC;0;944,3;945;944,3;1581,8;29,2;;31,4;28,9;;;;;;341;5,9;2;
2022/01/01;2000 UTC;0;943,9;944,3;943,9;1157,3;29,9;;30,8;28,9;;;;;;199;3,9;1,3;
2022/01/01;2100 UTC;0;943,8;943,9;943,8;936,4;29,9;;30,3;28,9;;;;;;190;4,4;1,5;
2022/01/01;2200 UTC;0;944,3;944,3;943,8;344,6;28;;30,6;28;;;;;;296;2,3;,9;
2022/01/01;2300 UTC;0;945;945;944,3;6,5;25;;28;25;;;;;;90;1,5;,8;
2022/01/02;0000 UTC;0;945,8;945,8;945;;23,9;;25,3;23,9;;;;;;142;1,5;,3;
2022/01/02;0100 UTC;0;946,6;946,6;945,9;;23,6;;24;23,3;;;;;;172;2,1;1,8;
2022/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0400 UTC;0;946,3;946,9;946,3;;23,7;;24;23,2;;;;;;59;2,6;1,2;
2022/01/02;0500 UTC;0;945,8;946,3;945,8;;23,3;;23,7;22,8;;;;;;25;2,4;1;
2022/01/02;0600 UTC;0;946;946;945,8;;22;;23,3;22;;;;;;347;1,8;,5;
2022/01/02;0700 UTC;0;946,4;946,4;946;;21,7;;22,1;21,7;;;;;;22;1,8;1,2;
2022/01/02;0800 UTC;0;946,9;946,9;946,3;;22,6;;22,8;21,2;;;;;;309;3,3;2;
2022/01/02;0900 UTC;0;947,9;947,9;946,9;;21,9;;22,6;21,9;;;;;;347;4,3;2;
2022/01/02;1000 UTC;0;948,5;948,5;947,9;103,3;22;;22;21,5;;;;;;344;3,2;1,7;
2022/01/02;1100 UTC;0;949,1;949,1;948,5;809;24,1;;24,1;22;;;;;;350;4,3;2,8;
2022/01/02;1200 UTC;0;949,8;949,8;949,1;1798,9;26;;26;24,1;;;;;;324;5,5;2,9;
2022/01/02;1300 UTC;0;949,7;949,8;949,7;2596;27,4;;27,5;25,6;;;;;;341;6,5;3,6;
2022/01/02;1400 UTC;0;949,3;949,7;949,3;3273,8;29;;29,4;27,3;;;;;;328;6,6;3,7;
2022/01/02;1500 UTC;0;948,7;949,3;948,7;3611,6;30;;30,6;28,6;;;;;;328;6,5;4;
2022/01/02;1600 UTC;0;947,7;948,7;947,7;2855,6;30;;30,8;27;;;;;;286;11,8;4,2;
2022/01/02;1700 UTC;0;947,1;947,8;947;3753,7;28,1;;31,6;28,1;;;;;;312;12,2;6,3;
2022/01/02;1800 UTC;0;946,6;947,2;946,2;2127,4;29,5;;30,3;27,5;;;;;;322;12,2;4,4;
2022/01/02;1900 UTC;0;946,1;946,6;945,9;1604,7;29,1;;29,5;28,1;;;;;;248;9,3;3,7;
2022/01/02;2000 UTC;0;945,9;946,4;945,9;1296,6;27,8;;30;27,3;;;;;;315;7,9;1,1;
2022/01/02;2100 UTC;0;946,4;946,4;945,7;580,2;27,3;;27,8;26,8;;;;;;150;3,3;,8;
2022/01/02;2200 UTC;0;946,5;946,7;946,4;243,4;26,3;;27,4;26,2;;;;;;36;1,5;,9;
2022/01/02;2300 UTC;0;946,9;946,9;946,4;21,8;24,2;;26,3;24,2;;;;;;50;4,7;1,8;
2022/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0100 UTC;0;948,8;948,8;947,9;;22,7;;23,9;22,7;;;;;;17;3,3;1,4;
2022/01/03;0200 UTC;0;949,3;949,3;948,8;;22,9;;23,1;22,6;;;;;;152;2,7;,9;
2022/01/03;0300 UTC;0;948,9;949,3;948,7;;23,2;;23,5;22,7;;;;;;50;2,5;,9;
2022/01/03;0400 UTC;0;948,4;948,9;948,4;;22,6;;23,3;22,6;;;;;;294;2,7;1;
2022/01/03;0500 UTC;0;948;948,4;947,9;;22,3;;22,6;22;;;;;;291;2,4;1,6;
2022/01/03;0600 UTC;0;948;948,2;947,9;;22;;22,4;21,8;;;;;;325;3,2;1,9;
2022/01/03;0700 UTC;0;947,9;948;947,8;;21,2;;22;21,2;;;;;;1;2,8;1,3;
2022/01/03;0800 UTC;0;948,5;948,5;947,9;;21;;21,5;21;;;;;;14;2,6;1;
2022/01/03;0900 UTC;0;949;949;948,4;;20,6;;21;20,6;;;;;;24;2,3;,8;
2022/01/03;1000 UTC;0;949,6;949,6;949;180,2;22,1;;22,1;20,6;;;;;;1;1,7;1,1;
2022/01/03;1100 UTC;0;949,9;949,9;949,5;925,3;24,1;;24,1;22,1;;;;;;351;3,5;2,3;
2022/01/03;1200 UTC;0;950;950;949,9;1246,3;25,4;;25,4;24,1;;;;;;350;4,9;2,7;
2022/01/03;1300 UTC;0;949,6;950;949,6;2692,7;27,4;;27,6;25,3;;;;;;330;6,5;4,1;
2022/01/03;1400 UTC;0;948,9;949,6;948,9;3247,8;29,9;;30;27,4;;;;;;318;7,4;3,5;
2022/01/03;1500 UTC;0;947,4;948,9;947,4;3695,1;30,4;;31,3;28,9;;;;;;321;7,6;3,8;
2022/01/03;1600 UTC;0;946,7;947,4;946,7;3081,3;31,2;;31,6;29,5;;;;;;330;9,3;4,7;
2022/01/03;1700 UTC;0;946,5;946,7;945,9;1580,7;25,3;;31,1;25;;;;;;196;10,5;5,1;
