REGIAO:;CO
UF:;MS
ESTACAO:;LAGUNA CARAPA
CODIGO (WMO):;S711
LATITUDE:;-22,575389
LONGITUDE:;-55,160333
ALTITUDE:;499
DATA DE FUNDACAO:;12/04/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;948,1;948,1;947,5;;23,3;21,5;24,1;23,1;22;20,3;92;81;90;59;1,5;,4;
2022/01/01;0100 UTC;0;948,9;949;948,1;;22,4;20,8;23,3;22,2;21,9;20,3;93;87;91;79;6,8;3,3;
2022/01/01;0200 UTC;0;949,2;949,3;948,9;;22,7;20,7;22,7;22,2;21,1;20,6;92;88;89;82;4;2;
2022/01/01;0300 UTC;0;949;949,2;949;;21,5;20,5;22,7;21,5;20,7;19,4;94;83;94;343;6,2;3,4;
2022/01/01;0400 UTC;0;948,5;949;948,5;;21,3;20,6;21,6;21,3;20,8;20,6;96;94;96;355;6,2;3,1;
2022/01/01;0500 UTC;0;948;948,5;948;;21;20,2;21,3;20,8;20,6;20;96;95;95;341;3,4;1,7;
2022/01/01;0600 UTC;0;947,8;948;947,8;;20,3;19,6;21,1;20,1;20,2;19,5;97;94;96;339;2;1,1;
2022/01/01;0700 UTC;0;948;948;947,8;;20,7;19,9;20,9;20,3;20,3;19,5;96;95;95;319;2,6;2,2;
2022/01/01;0800 UTC;0;948,3;948,3;948;;20,6;19,7;20,7;20,2;19,9;19,5;97;95;95;300;2,8;1,6;
2022/01/01;0900 UTC;0;949,1;949,1;948,3;29,5;21,2;19,6;21,2;20,6;19,7;19,3;95;90;90;289;3,3;1,5;
2022/01/01;1000 UTC;0;949,8;949,8;949,1;495,3;23,2;20,5;23,3;21,2;20,6;19,6;90;83;85;311;2,4;1,2;
2022/01/01;1100 UTC;0;950,3;950,3;949,8;1373,2;25,2;21;25,2;23,2;21,2;19,8;85;75;77;324;3,8;2,7;
2022/01/01;1200 UTC;0;950,5;950,5;950,3;2210,6;27,5;20,8;27,7;25,2;21,7;20,7;78;65;67;341;4,3;2,7;
2022/01/01;1300 UTC;0;950,7;950,7;950,5;2959,2;29,3;21,2;29,4;27,5;22;20,2;70;59;62;347;5,7;3,7;
2022/01/01;1400 UTC;0;950,4;950,7;950,4;3515,6;30,8;19,7;30,9;29;21,8;19,2;65;51;52;319;6,9;3,1;
2022/01/01;1500 UTC;0;949,8;950,4;949,8;4037,2;31,7;19,9;31,8;30,2;21,6;19,3;56;49;50;1;5,8;2,8;
2022/01/01;1600 UTC;0;949,1;949,8;949,1;3490,4;32,4;20,5;32,6;30,3;21,4;18,8;58;46;50;321;5,7;3,2;
2022/01/01;1700 UTC;0;948,2;949,1;948,2;3875,3;33;19,1;33,2;31,9;21,2;18,2;52;42;44;29;7,3;1,4;
2022/01/01;1800 UTC;0;947,4;948,2;947,4;3451,6;33,2;17,9;33,4;32,5;20,9;17,2;50;38;40;354;6,6;2,2;
2022/01/01;1900 UTC;0;946,7;947,4;946,7;2846;33,2;20,7;34,2;32,9;20,7;17;48;36;48;32;5,6;3,1;
2022/01/01;2000 UTC;0;946,2;946,7;946,2;1781;32,2;20,2;33,2;31,4;20,9;19,2;53;44;49;24;7;4,2;
2022/01/01;2100 UTC;0;946,3;946,3;946,2;1002,8;31;20,2;32,3;30,9;21,1;19,3;55;46;53;360;7;3,2;
2022/01/01;2200 UTC;0;946,9;946,9;946,3;212;27,7;21,1;31;27,7;21,5;20,1;68;53;67;40;5,4;3,5;
2022/01/01;2300 UTC;0;947,6;947,6;946,9;;26,9;20,8;27,9;26,7;21,1;20,2;70;63;69;29;6;3,3;
2022/01/02;0000 UTC;0;948,2;948,3;947,6;;25,5;20,9;27,4;25,5;21,2;20,3;76;65;76;41;5,2;2,7;
2022/01/02;0100 UTC;0;948,9;948,9;948,2;;25;20,8;25,5;24,8;20,9;20,4;78;74;78;42;4,5;3;
2022/01/02;0200 UTC;0;949,5;949,5;948,9;;24,8;21,1;26,5;24,7;21,1;20,2;80;68;80;352;6,3;2,6;
2022/01/02;0300 UTC;0;949,4;949,5;949,3;;24,2;20,9;24,8;24,2;21,3;20,7;82;79;82;344;3,7;2,5;
2022/01/02;0400 UTC;0;949,1;949,4;949,1;;23,6;20,6;24,2;23,3;21;20,6;87;82;83;348;3,1;1,5;
2022/01/02;0500 UTC;0;948,9;949,1;948,8;;23,2;20,4;23,7;23,2;20,9;20,4;85;82;84;343;2;1,3;
2022/01/02;0600 UTC;0;949;949,1;948,9;;21,9;20,4;23,1;21,9;20,6;20,4;91;85;91;48;3,3;2,7;
2022/01/02;0700 UTC;0;949,2;949,2;949;;21,7;20,1;22;21,6;20,5;20,1;92;90;91;49;3,1;1,8;
2022/01/02;0800 UTC;0;950,2;950,2;949,2;;21,4;20,1;22,1;21,4;20,6;20;93;90;92;34;2;1,7;
2022/01/02;0900 UTC;0;950,7;950,7;950,2;26,2;21,9;20,6;21,9;21,1;20,6;19,9;95;92;92;45;4,9;2,8;
2022/01/02;1000 UTC;0;951,6;951,6;950,7;486,7;23,8;21,7;23,8;21,8;21,7;20,6;93;88;88;40;4,2;1,9;
2022/01/02;1100 UTC;0;951,9;952;951,6;1092,6;26,4;22,3;26,4;23,8;22,5;21,3;89;75;78;10;4,8;3,2;
2022/01/02;1200 UTC;0;952,3;952,3;951,8;2189,4;28,2;22,2;28,5;26,4;23;21,3;78;69;70;353;6;3,7;
2022/01/02;1300 UTC;0;952,3;952,5;952,2;2936,4;30,5;21,7;30,6;28,2;23,3;21,7;72;59;59;347;6,5;4,3;
2022/01/02;1400 UTC;0;952;952,4;952;3104,3;31,2;20,7;32,4;30,5;22,4;20,2;61;51;54;1;8,1;3,7;
2022/01/02;1500 UTC;0;951,3;952;951,3;3324,9;32,9;20,2;33,1;31,1;22,2;20,1;56;47;47;301;7,8;3,4;
2022/01/02;1600 UTC;0;950,4;951,3;950,4;1706,5;33,5;19,8;33,5;30,9;21,6;18,5;58;42;44;247;5,9;1,9;
2022/01/02;1700 UTC;0;949,5;950,4;949,5;2797,4;33,6;20,6;33,9;31,9;22,1;18,9;54;41;47;339;6,1;2,3;
2022/01/02;1800 UTC;0;948,4;949,5;948,4;3393,2;34,9;18,2;35,4;33,6;21,1;17,7;48;36;37;249;5,8;1,4;
2022/01/02;1900 UTC;0;947,5;948,4;947,5;2745,2;35,1;16;35,3;34,3;19,6;16;41;32;32;279;5,2;2,1;
2022/01/02;2000 UTC;0;947,3;947,5;947,1;1964;34,5;18,9;36,3;34,3;20,8;16,3;45;31;40;320;5,5;2,8;
2022/01/02;2100 UTC;0;947,8;947,8;947,3;887;32,6;19,9;34,7;32,2;21,2;17,6;50;37;47;8;5;1,2;
2022/01/02;2200 UTC;0;948,5;948,5;947,8;76,1;29,7;22,1;32,6;29,5;24,2;18,8;72;44;64;225;4,3;1,7;
2022/01/02;2300 UTC;0;949,1;949,1;948,5;;28,3;20,5;29,7;27,5;22,7;19,4;71;54;63;147;4,3;2,3;
