REGIAO:;NE
UF:;AL
ESTACAO:;PIRANHAS
CODIGO (WMO):;A371
LATITUDE:;-9,62222221
LONGITUDE:;-37,76722221
ALTITUDE:;187
DATA DE FUNDACAO:;20/09/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;991,3;991,3;990,3;;26,4;20,4;27,5;26,4;20,4;20,2;70;65;70;102;9,7;4,6;
2022/01/01;0100 UTC;0;991,6;991,6;991,3;;25,8;20,7;26,4;25,8;20,7;20,4;73;70;73;96;8,3;3,3;
2022/01/01;0200 UTC;0;991,4;991,6;991,3;;25,4;20,9;25,8;25,4;20,9;20,7;76;73;76;95;6,9;3,6;
2022/01/01;0300 UTC;0;991;991,4;991;;25,1;21,3;25,4;25,1;21,3;20,9;80;76;80;87;6,8;3,6;
2022/01/01;0400 UTC;0;990,5;991;990,5;;24,4;21,6;25,1;24,4;21,6;21,3;84;80;84;98;6,1;2;
2022/01/01;0500 UTC;0;990,2;990,5;990,2;;24,2;21,8;24,4;24,2;21,8;21,6;87;84;87;89;4;1,8;
2022/01/01;0600 UTC;0;990,2;990,2;990;;24,1;22,1;24,2;24,1;22,1;21,8;89;87;89;102;3,6;2,1;
2022/01/01;0700 UTC;0;990,2;990,3;990,1;;23,8;22,1;24,1;23,8;22,1;21,9;90;88;90;103;4,3;1,7;
2022/01/01;0800 UTC;0;990,6;990,6;990,2;;23,9;22,3;23,9;23,7;22,3;22;91;89;91;96;5,2;,8;
2022/01/01;0900 UTC;0;991,7;991,7;990,6;34,7;23,9;22,2;23,9;23,8;22,3;22,1;91;90;90;83;2,9;1,5;
2022/01/01;1000 UTC;0;992,3;992,3;991,7;375,1;24,4;22,4;24,6;23,9;22,7;22,2;91;88;89;94;5,3;2,9;
2022/01/01;1100 UTC;0;992,9;992,9;992,3;1304,1;25,9;22,1;26;24,4;22,7;22;89;79;80;79;5,3;2,5;
2022/01/01;1200 UTC;0;992,8;993;992,8;2041,1;27,7;22,2;27,8;25,8;22,7;21,7;81;71;72;97;5;2,7;
2022/01/01;1300 UTC;0;992,8;992,8;992,7;2799,9;29;21,9;29,5;27,4;22,9;21,3;72;63;66;102;6,6;2,9;
2022/01/01;1400 UTC;0;992,2;992,8;992,2;2905,6;30,2;21,3;30,3;28,9;22,8;20,7;67;59;59;90;6,1;2;
2022/01/01;1500 UTC;0;991,1;992,1;991,1;3367,9;31,9;21,4;32,1;30;21,7;20,4;60;51;54;107;6,2;3,1;
2022/01/01;1600 UTC;0;990,3;991,1;990,3;3540,2;32,2;19,1;32,6;31,2;21,9;19;55;45;46;97;7,5;3,3;
2022/01/01;1700 UTC;0;989,3;990,3;989,3;2639,4;32,3;18,7;33,2;31,4;20,5;18,7;51;44;45;104;7,8;2,6;
2022/01/01;1800 UTC;0;988,5;989,4;988,5;1678,8;31,8;18,9;33;31,8;19,6;18;48;42;46;99;6,6;3,8;
2022/01/01;1900 UTC;0;988,1;988,6;988,1;1558;31,5;19,2;32,9;31,5;20,1;18,6;48;44;48;95;9,1;4,6;
2022/01/01;2000 UTC;0;988,4;988,4;988,1;748,8;31,2;18,8;31,6;31,1;19,2;18,8;49;47;48;91;8,2;5,3;
2022/01/01;2100 UTC;0;989,1;989,1;988,4;223,4;29,8;19,7;31,2;29,8;19,9;18,9;55;48;55;97;9;4,7;
2022/01/01;2200 UTC;0;990,1;990,1;989,1;;28,2;21,3;29,8;28,2;21,3;19,6;66;55;66;103;11,3;4,6;
2022/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0100 UTC;0;992,4;992,4;991,9;;25,4;21,2;26,2;25,4;21,3;21,1;77;74;77;89;8,8;4,5;
2022/01/02;0200 UTC;0;992,3;992,5;992,3;;24,9;21,2;25,5;24,9;21,3;21,1;80;77;80;89;8,5;3,8;
2022/01/02;0300 UTC;0;991,8;992,3;991,8;;24,3;21,2;24,9;24,3;21,3;21,2;83;80;83;87;6,6;3;
2022/01/02;0400 UTC;0;991,6;991,8;991,6;;23,5;21,3;24,3;23,5;21,3;21,2;88;83;88;118;4,9;,2;
2022/01/02;0500 UTC;0;991,3;991,6;991,3;;23,3;21,4;23,5;23,2;21,4;21,3;89;88;89;94;3,6;1,6;
2022/01/02;0600 UTC;0;991,1;991,3;991,1;;22,9;21,4;23,3;22,9;21,5;21,3;91;89;91;99;4;1,7;
2022/01/02;0700 UTC;0;991,3;991,3;991,1;;22,6;21,4;22,9;22,6;21,4;21,3;93;91;93;100;3,9;2,3;
2022/01/02;0800 UTC;0;991,8;991,8;991,3;;22,5;21,3;22,7;22,5;21,4;21,3;93;92;93;72;4,2;1,5;
2022/01/02;0900 UTC;0;992,7;992,7;991,8;82,2;22,7;21,6;22,7;22,5;21,6;21,3;94;93;94;84;3,4;,2;
2022/01/02;1000 UTC;0;993,1;993,1;992,6;720,9;24,2;22;24,2;22,7;22;21,5;94;87;87;74;3,1;,9;
2022/01/02;1100 UTC;0;993,4;993,4;993,1;1685,1;25,9;22,1;25,9;24,2;22,1;21,4;87;78;80;100;4,5;2,5;
2022/01/02;1200 UTC;0;993,8;993,8;993,4;2399,2;28;21,5;28,2;25,7;22,3;20,8;80;66;68;91;6,2;2,5;
2022/01/02;1300 UTC;0;993,3;993,8;993,3;3351,7;29,8;20,1;30,1;27,4;21,8;19,2;70;55;56;83;7,3;3,8;
