REGIAO:;NE
UF:;BA
ESTACAO:;CURACA
CODIGO (WMO):;A448
LATITUDE:;-9,00138888
LONGITUDE:;-39,9125
ALTITUDE:;370
DATA DE FUNDACAO:;20/08/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;970,8;970,9;970,5;;24,4;20,4;25;24,4;20,4;20,1;78;74;78;232;3,8;1,7;
2022/01/01;0100 UTC;;970,7;971;970,7;;24,1;20;24,4;24,1;20,5;20;79;78;78;202;3,3;1,7;
2022/01/01;0200 UTC;;970,6;970,8;970,6;;23,7;20,1;24,1;23,7;20,1;20;80;78;80;181;3,1;,3;
2022/01/01;0300 UTC;;970,2;970,6;970,2;;23,7;20,1;23,7;23,6;20,2;20;81;80;80;211;1,6;,9;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;971,2;971,2;970,4;;22,8;20,1;22,8;22,3;20,1;19,8;86;84;85;127;2,6;1;
2022/01/01;1000 UTC;;971,7;971,7;971,2;;24;20,4;24;22,8;20,6;20;84;80;80;;;;
2022/01/01;1100 UTC;;972;972;971,7;1124,4;26,1;20,9;26,2;24;21,2;20,4;80;73;73;122;6,6;3,7;
2022/01/01;1200 UTC;;972,4;972,4;972;;27,3;21,1;27,4;26;21,5;20,8;74;69;69;95;6,8;3,5;
2022/01/01;1300 UTC;;972,5;972,6;972,4;;27,2;20,6;27,7;26,8;21,2;20,4;70;67;67;;6,2;;
2022/01/01;1400 UTC;;971,7;972,5;971,7;;28,8;20,5;28,9;27,1;21,3;20,4;68;61;61;;;;
2022/01/01;1500 UTC;;970,7;971,7;970,7;;30,1;20,1;30,3;28,7;20,9;19,9;61;55;55;79;5,2;2,2;
2022/01/01;1600 UTC;;969,9;970,7;969,9;3036,6;30,7;19,7;31,1;29,7;20,2;18,6;56;49;52;;;;
2022/01/01;1700 UTC;;968,7;969,9;968,7;2121;31,4;19,5;31,7;29,8;20,1;18,7;53;49;49;;;;
2022/01/01;1800 UTC;;968,2;968,7;968,2;490;26,9;20,6;31,8;26,4;21;18,6;71;47;68;157;10,1;2,2;
2022/01/01;1900 UTC;;967,7;968,2;967,7;;29;20,6;29,1;26,9;21,3;20,1;70;59;61;110;;,7;
2022/01/01;2000 UTC;;968,2;968,2;967,7;;29;21;29,1;28,4;21,6;20,5;67;61;62;124;2,7;,5;
2022/01/01;2100 UTC;;968,9;968,9;968,2;;28,1;21,8;29,1;28;21,9;21;69;62;69;300;1,2;,7;
2022/01/01;2200 UTC;;969,5;969,5;968,9;;28;21,9;28,1;27,6;22;21,7;71;69;69;314;1,4;1,1;
2022/01/01;2300 UTC;;970,9;970,9;969,5;;25,4;20,8;28;25,4;21,9;20,6;76;67;75;350;7;1,7;
2022/01/02;0000 UTC;;971,5;971,6;970,9;;25,1;21,6;25,6;24,8;21,6;20,7;81;75;81;70;2,8;1,6;
2022/01/02;0100 UTC;;971,6;971,6;971,5;;25;21,5;25,5;25;21,7;21,5;81;79;81;26;3,3;1,2;
2022/01/02;0200 UTC;;971,6;971,7;971,5;;24,4;21,2;25,1;24,2;21,8;21;85;81;82;131;2,9;1,4;
2022/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;1000 UTC;;972,4;972,4;971,8;;24;20,1;24,6;23,4;20,7;20;83;77;79;124;5,1;2,8;
2022/01/02;1100 UTC;;972,7;972,7;972,3;;25,4;20,7;25,4;24;20,7;20;79;75;75;110;6;2,4;
2022/01/02;1200 UTC;;973,3;973,3;972,7;;27,8;21;27,8;25,3;21,4;20,5;75;66;67;76;5,7;3,5;
2022/01/02;1300 UTC;;972,9;973,3;972,9;587,3;29,3;20,5;29,8;27,4;21,5;20,2;67;59;59;117;5,7;2,5;
2022/01/02;1400 UTC;;972;972,9;972;2957;30,5;19;30,8;28,8;21;18,9;60;50;50;91;6,3;3,6;
2022/01/02;1500 UTC;;971,1;971,9;971,1;;31,7;18,9;31,7;30,1;19,9;17,9;52;46;47;128;6,6;3,2;
2022/01/02;1600 UTC;;970,3;971,1;970,3;;31,2;18,1;32,3;31,1;19,4;17,6;48;43;46;109;6,6;3;
2022/01/02;1700 UTC;;969,5;970,3;969,5;;30,8;17,4;31,6;30,2;18,7;17,1;47;43;45;95;5,5;1,3;
2022/01/02;1800 UTC;;968,8;969,5;968,8;51,3;29,2;20;30,8;28,8;20,3;17,2;59;44;58;338;3,9;1,8;
2022/01/02;1900 UTC;;968,8;968,8;968,8;;29,3;20;29,4;28,9;20,4;19,7;59;57;58;325;3,5;1,4;
2022/01/02;2000 UTC;;968,9;968,9;968,8;;28,8;20,1;29,5;28,8;20,1;19,2;59;54;59;305;2,3;1;
2022/01/02;2100 UTC;;969,5;969,5;968,9;;27,3;20,4;28,8;27,3;20,5;19,7;66;59;66;298;1,9;1,1;
2022/01/02;2200 UTC;;970;970;969,4;;26,5;20,9;27,3;26,5;20,9;20,4;71;66;71;251;2;1;
2022/01/02;2300 UTC;;970,8;970,8;970;;25,6;21,1;26,5;25,6;21,1;20,8;76;71;76;220;3,4;1,1;
2022/01/03;0000 UTC;;971,5;971,5;970,8;;25,2;21,6;25,8;25,2;21,7;21,2;80;76;80;234;3,7;1,3;
2022/01/03;0100 UTC;;971,7;971,7;971,3;;25,1;21;25,3;25;21,8;20,9;82;78;78;217;3,9;1,1;
2022/01/03;0200 UTC;;971,3;971,7;971,3;;25;20,9;25,1;24,9;21,2;20,4;80;76;78;169;2;1,3;
2022/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0900 UTC;;972,5;972,5;972;;22,8;18,7;22,9;22,6;18,7;18,2;78;75;78;136;5,6;2,5;
2022/01/03;1000 UTC;;973;973;972,5;;23,8;19,1;23,9;22,8;19,3;18,7;78;75;75;123;6,3;3;
2022/01/03;1100 UTC;;973,1;973,2;972,9;;25,9;19,4;25,9;23,7;19,7;18,9;75;67;67;123;7,3;3,5;
2022/01/03;1200 UTC;;973,4;973,5;973,1;;27,3;17,5;28;25,6;19,5;17,2;68;54;55;98;7,7;4;
2022/01/03;1300 UTC;;973,1;973,5;973,1;;28,5;17,9;28,8;27,3;18,5;16,9;56;51;53;100;8,1;3,4;
2022/01/03;1400 UTC;;972,6;973,1;972,6;;30;18,5;30;28,4;18,7;17,3;53;49;50;79;6,6;2,1;
2022/01/03;1500 UTC;;971,7;972,6;971,7;;30,6;18,3;30,9;29,4;19,1;17,1;52;47;48;125;6;2,3;
2022/01/03;1600 UTC;;970,6;971,7;970,6;;31,4;18,5;31,9;30,1;19,3;17,4;49;44;46;143;5,8;3;
2022/01/03;1700 UTC;;969,2;970,6;969,2;;31,3;16,9;32,1;30,3;18,7;16,9;48;42;42;142;6,3;2,8;
2022/01/03;1800 UTC;;968,1;969,2;968,1;;31,6;17,2;32,2;31,2;17,9;16,6;43;40;42;128;6,5;3;
2022/01/03;1900 UTC;;967,7;968,1;967,7;;32,1;16,1;32,6;31,4;17,7;15,7;43;38;38;136;5,2;2,4;
2022/01/03;2000 UTC;;967,7;967,7;967,5;;31,4;16,5;32,1;31,3;17;15,6;41;38;41;159;4,2;2;
2022/01/03;2100 UTC;;968,3;968,3;967,7;;29,2;17,5;31,6;29,2;17,5;16,3;49;40;49;160;4,4;1,6;
2022/01/03;2200 UTC;;969;969;968,3;;27,7;17,9;29,2;27,7;18;17,4;56;49;56;140;3,1;1,3;
2022/01/03;2300 UTC;;969,6;969,6;969;;26,7;18,9;27,6;26,4;18,9;18;63;56;62;118;1,9;1,2;
2022/01/04;0000 UTC;;970,6;970,6;969,6;;25,8;19;26,7;25,7;19,1;18,6;67;62;66;152;2,9;2;
2022/01/04;0100 UTC;;971;971;970,6;;25,6;18,5;26;25,6;19,1;18,5;66;64;65;151;3,2;1,4;
2022/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0900 UTC;;970,7;970,7;969,9;;22,4;18,7;22,5;22,2;18,8;18,4;80;79;80;144;3,6;2;
2022/01/04;1000 UTC;;971,3;971,3;970,7;;23,6;19,2;23,6;22,4;19,4;18,7;80;77;77;118;3,9;2,1;
2022/01/04;1100 UTC;;971,5;971,6;971,3;;25,1;19,6;25,1;23,5;19,8;19,1;77;72;72;120;5,5;2,6;
2022/01/04;1200 UTC;;971,6;971,6;971,4;;27;19,9;27,3;25;20,6;19,5;72;64;65;95;6,4;3,2;
2022/01/04;1300 UTC;;971,2;971,6;971,2;;28,6;19,5;28,9;26,8;20,3;18,9;66;58;58;93;7;2,8;
2022/01/04;1400 UTC;;970,8;971,2;970,8;;29,5;18,6;30;27,7;19,7;18,5;60;52;52;107;6,3;2,8;
2022/01/04;1500 UTC;;970,1;970,8;970,1;;31,2;17,5;31,2;29,3;19,4;17,2;53;44;44;103;6,2;3;
2022/01/04;1600 UTC;;969,2;970,1;969,2;;31,7;16,1;32,1;30,7;18,4;15,9;46;39;39;88;6,4;2,5;
2022/01/04;1700 UTC;;968,2;969,2;968,2;;32,5;15;32,7;31;16,9;14,1;41;34;35;128;5,1;1,7;
2022/01/04;1800 UTC;;967,4;968,2;967,4;;32,8;14,3;33,1;32;15,9;14;37;32;33;99;4,6;1,3;
2022/01/04;1900 UTC;;967;967,4;967;;32,5;14,2;33,3;32;16;14;37;33;33;135;4,7;1,8;
2022/01/04;2000 UTC;;967,3;967,3;967;;31,6;15,1;32,7;31,5;15,5;13,8;37;33;37;178;4;2;
