REGIAO:;NE
UF:;MA
ESTACAO:;BACABAL
CODIGO (WMO):;A220
LATITUDE:;-4,24305555
LONGITUDE:;-44,79499999
ALTITUDE:;22,33
DATA DE FUNDACAO:;09/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1009,8;1009,9;1009,4;;23,7;22,5;23,8;23,7;22,7;22,5;93;93;93;213;0;0;
2022/01/01;0100 UTC;3,6;1010,5;1010,6;1009,8;;23,6;22,4;23,8;23,6;22,6;22,4;93;93;93;97;4,5;,1;
2022/01/01;0200 UTC;8,6;1010,2;1010,5;1010,2;0;23,4;22,3;23,7;23,4;22,6;22,3;93;93;93;139;3,1;,2;
2022/01/01;0300 UTC;1,2;1009,5;1010,2;1009,5;;23,1;22;23,5;23,1;22,4;22;93;93;93;188;2,8;0;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;0;1009,2;;;350,3;23,8;22,6;;;;;;;93;70;;,3;
2022/01/01;1100 UTC;0;1009,9;1010;1009,2;479,2;24,2;22,9;24,2;23,7;23;22,5;93;92;93;51;3;0;
2022/01/01;1200 UTC;0;1010,4;1010,4;1009,9;1000;25,3;22,4;25,3;24,1;23,2;21,9;93;84;84;88;2,2;,3;
2022/01/01;1300 UTC;0;1010,3;1010,4;1010,2;2330,6;27,2;22;27,3;25,2;22,6;21,6;84;72;73;58;4,6;1,4;
2022/01/01;1400 UTC;0;1009,5;1010,3;1009,5;2511,2;28,2;22,4;28,2;26,9;23,3;21,6;78;69;71;109;3,6;,6;
2022/01/01;1500 UTC;0;1009;1009,5;1009;1895,4;28,5;21,9;29,1;28;22,8;21,3;72;64;67;190;2,7;,1;
2022/01/01;1600 UTC;0;1008,3;1009;1008,3;2152,3;30,1;22,9;30,1;28,4;22,9;21,4;70;62;65;268;2,3;,1;
2022/01/01;1700 UTC;0;1007,3;1008,3;1007,3;2276,4;30,7;23,3;30,7;29,5;23,7;21,7;68;62;65;293;3,2;,8;
2022/01/01;1800 UTC;0;1006,2;1007,3;1006,2;2300,9;31,5;22,7;31,6;30,6;23,5;21,9;66;57;60;273;3,2;,8;
2022/01/01;1900 UTC;0;1005,7;1006,2;1005,7;1404,1;31,4;22,3;32,2;30,1;23,3;21,7;66;55;58;285;3,4;,9;
2022/01/01;2000 UTC;0;1006;1006;1005,7;1090,5;31,4;22,1;31,5;30,9;22,8;21,3;62;56;58;301;3,4;0;
2022/01/01;2100 UTC;0;1006,5;1006,5;1006;134,3;29;23,6;31,4;29;23,6;21,4;73;57;73;354;2,5;,4;
2022/01/01;2200 UTC;0;1007,4;1007,4;1006,5;;28,4;23,9;29;28,4;24;23,6;77;73;77;21;2,1;0;
2022/01/01;2300 UTC;0;1008,4;1008,4;1007,4;;27,7;23,9;28,4;27,7;23,9;23,7;80;76;80;9;3,2;,5;
2022/01/02;0000 UTC;0;1009,2;1009,2;1008,4;;27,1;24;27,7;27,1;24,1;23,9;83;80;83;357;3,1;,4;
2022/01/02;0100 UTC;0;1009,9;1009,9;1009,2;;26,5;23,8;27,1;26,5;24;23,8;85;83;85;352;3;,5;
2022/01/02;0200 UTC;0;1010;1010,1;1009,9;;25,7;23,1;26,5;25,7;23,8;23;86;84;86;356;4,1;,4;
2022/01/02;0300 UTC;0;1009,2;1010,1;1009,2;;25,4;23;25,7;25,4;23,1;23;87;86;87;8;3,9;,6;
2022/01/02;0400 UTC;0;1008,5;1009,2;1008,5;;25,1;23,1;25,4;25;23,2;23,1;89;87;89;354;2,7;0;
2022/01/02;0500 UTC;0;1008,2;1008,5;1008,2;;24,9;23,2;25,1;24,9;23,2;23,1;90;89;90;358;2;0;
2022/01/02;0600 UTC;0;1008,1;1008,2;1008,1;;24,7;23,2;24,9;24,7;23,2;23,1;91;90;91;6;1,6;0;
2022/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;1100 UTC;0;1009,7;1009,7;1009,4;983;27,6;22,6;27,6;26,1;22,8;22,2;81;73;74;75;;1,1;
2022/01/02;1200 UTC;0;1010,3;1010,3;1009,7;2117,8;29,4;23,1;29,8;27,6;23,4;22;75;65;69;38;5,1;1,2;
