REGIAO:;NE
UF:;PI
ESTACAO:;FLORIANO
CODIGO (WMO):;A311
LATITUDE:;-6,76138888
LONGITUDE:;-43,00333333
ALTITUDE:;126,39
DATA DE FUNDACAO:;18/11/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;998,3;998,3;997,3;0;24,4;22,3;24,8;24,4;22,5;22,2;88;87;88;200;2;,4;
2022/01/01;0100 UTC;1,6;998,8;998,8;998,3;,7;24,1;22,5;24,4;24,1;22,5;22,2;91;88;91;284;2,5;1;
2022/01/01;0200 UTC;,2;998,6;998,8;998,6;,8;23,7;22,1;24,1;23,7;22,5;22,1;91;91;91;242;4,1;1,8;
2022/01/01;0300 UTC;0;997,7;998,6;997,7;2;23,6;22;23,7;23,3;22,1;21,7;91;90;91;227;3,8;,8;
2022/01/01;0400 UTC;0;997,3;997,7;997,2;,6;23,4;21,9;23,7;23,4;22,1;21,8;91;91;91;137;1,7;,1;
2022/01/01;0500 UTC;0;997,4;997,4;997,3;1,7;23,4;21,8;23,5;23,4;22,1;21,8;92;91;91;331;2,1;,5;
2022/01/01;0600 UTC;1,8;997,6;997,6;997,4;1,8;23,1;21,5;23,4;23,1;21,8;21,4;91;90;91;357;4,6;2,4;
2022/01/01;0700 UTC;1;997,7;997,7;997,5;2,1;22,8;21,3;23,1;22,8;21,6;21,3;92;91;91;30;4,6;1,5;
2022/01/01;0800 UTC;0;997,5;997,7;997,5;2,2;22,4;20,9;22,8;22,2;21,3;20,7;91;91;91;131;4,2;0;
2022/01/01;0900 UTC;0;996,7;997,5;996,7;9,1;22,2;20,8;22,4;22,2;20,9;20,8;92;91;92;138;3,1;1,5;
2022/01/01;1000 UTC;0;996,9;996,9;996,6;127,8;22,7;21,1;22,7;22,2;21,1;20,8;92;91;91;127;3,3;,6;
2022/01/01;1100 UTC;0;998,2;998,2;996,9;670,5;24,4;21,7;24,4;22,7;22;21,1;91;84;85;34;3,3;1,6;
2022/01/01;1200 UTC;0;998,7;998,7;998,2;1677,5;25,6;21,8;26,6;24,4;23,2;21;85;76;79;46;4;1,6;
2022/01/01;1300 UTC;,2;999,1;999,1;998,7;2057,5;27,1;21,8;27,6;25,6;22,8;21,5;81;72;73;25;3,1;1,6;
2022/01/01;1400 UTC;0;998,7;999,1;998,7;2523,2;29,5;21,5;29,6;26,9;23;21,2;75;62;62;185;3,6;,9;
2022/01/01;1500 UTC;0;998,2;998,7;998,2;1968,7;28,9;21;30,1;28,8;22,1;20,2;65;57;63;338;3;,5;
2022/01/01;1600 UTC;0;996,8;998,2;996,8;1861,4;30,3;21,2;30,5;28,7;22,3;20,6;67;56;58;163;2,7;1,2;
2022/01/01;1700 UTC;0;995,7;996,8;995,7;2464,7;31,6;21,4;31,9;30;22,8;20,8;61;53;55;308;3,6;,8;
2022/01/01;1800 UTC;0;994,5;995,7;994,5;2029,6;31,5;20;32,3;31,3;22,9;19,8;59;50;51;8;3,5;1,4;
2022/01/01;1900 UTC;0;994,2;994,6;994,2;1539,9;31,7;20;32,7;31,5;22,6;19,7;58;48;50;20;2,9;1,3;
2022/01/01;2000 UTC;0;994,5;994,5;994,1;915,3;30,5;22,9;32,3;30,4;23,2;19,9;64;49;64;56;4,2;1,5;
2022/01/01;2100 UTC;0;995,2;995,2;994,5;169;27,8;23,1;30,6;27,8;23,2;22,7;76;64;76;67;4,7;,4;
2022/01/01;2200 UTC;0;996,1;996,1;995,2;1,7;26,4;23,3;27,8;26,4;23,3;22,9;83;76;83;63;3,3;,1;
2022/01/01;2300 UTC;0;996,7;996,7;996,1;;26,1;23,1;26,5;26,1;23,3;23;83;82;83;59;2,3;,5;
2022/01/02;0000 UTC;0;997,4;997,4;996,7;;25,6;22,5;26,1;25,6;23,1;22,5;83;82;83;53;3,4;,5;
2022/01/02;0100 UTC;0;998,1;998,1;997,4;;25,1;22,4;25,6;25,1;22,5;22,2;85;83;85;60;3,1;,1;
2022/01/02;0200 UTC;0;998,2;998,2;998;;24,9;22,4;25,1;24,9;22,5;22,3;86;85;86;77;1,6;0;
2022/01/02;0300 UTC;0;997,8;998,2;997,8;0;24,9;22,1;25;24,8;22,5;22,1;87;84;84;84;1,5;0;
2022/01/02;0400 UTC;0;996,9;997,8;996,9;;24,5;21,9;24,9;24,5;22,2;21,9;86;84;85;102;1,6;,9;
2022/01/02;0500 UTC;0;996,5;996,9;996,5;;24,3;22;24,5;24,3;22;21,8;87;85;87;39;1,6;0;
2022/01/02;0600 UTC;0;996,4;996,5;996,3;;24,2;22,2;24,4;24,2;22,2;21,9;89;86;89;76;0;0;
2022/01/02;0700 UTC;0;996,4;996,5;996,3;;24;22,2;24,2;24;22,3;22,2;90;89;90;71;1,1;0;
2022/01/02;0800 UTC;0;996,5;996,5;996,3;;23,9;22,2;24;23,8;22,3;22,1;91;90;91;80;,9;,1;
2022/01/02;0900 UTC;0;997,4;997,4;996,5;3,5;24;22,5;24;23,8;22,5;22,2;91;90;91;31;1,1;,4;
2022/01/02;1000 UTC;0;998,4;998,4;997,4;157,6;24,8;23,1;24,8;24;23,1;22,5;91;90;90;60;2,5;,5;
2022/01/02;1100 UTC;0;998,9;998,9;998,4;615,5;26;22,6;26;24,8;23,5;22,4;90;81;81;61;2,5;,5;
2022/01/02;1200 UTC;0;998,9;999;998,9;1267,3;27,4;22,6;27,5;26;23,5;22,4;81;75;75;28;3,7;2,2;
2022/01/02;1300 UTC;0;999;999,2;998,9;1494,8;28,5;23,3;29,1;27,4;24,3;22,5;79;71;73;32;3,9;1,1;
2022/01/02;1400 UTC;0;998,4;999;998,4;1914,4;29,4;24,2;30,9;28,1;25,4;22,9;78;70;74;20;4,4;2,6;
2022/01/02;1500 UTC;0;997,5;998,4;997,5;1901,8;29,8;23,8;30,4;28,8;24,7;22,8;74;66;70;45;4,6;1,5;
2022/01/02;1600 UTC;0;996,7;997,5;996,6;946,7;29,6;23,2;30,8;29,4;24,6;22,2;74;63;68;57;3,5;,3;
