REGIAO:;NE
UF:;PI
ESTACAO:;BOM JESUS DO PIAUI
CODIGO (WMO):;A326
LATITUDE:;-9,08333333
LONGITUDE:;-44,32638888
ALTITUDE:;296
DATA DE FUNDACAO:;17/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;978,3;978,3;977,9;;22,9;20,2;23,1;22,9;20,5;20,2;86;84;85;104;0;0;
2022/01/01;0100 UTC;0;978,8;978,8;978,3;;22,5;20,3;22,9;22,5;20,4;20,2;88;85;87;80;0;0;
2022/01/01;0200 UTC;0;979,1;979,2;978,8;;22,5;20,7;22,6;22,5;20,7;20,2;89;87;89;82;0;0;
2022/01/01;0300 UTC;0;978,7;979,1;978,7;;22,4;20,9;22,6;22,3;20,9;20,7;91;89;91;351;0;0;
2022/01/01;0400 UTC;0;978,3;978,7;978,3;;22,2;20,8;22,4;22,2;20,9;20,8;92;91;92;343;0;0;
2022/01/01;0500 UTC;0;977,9;978,3;977,9;;22;20,6;22,2;22;20,8;20,6;92;92;92;23;0;0;
2022/01/01;0600 UTC;0;977,5;977,9;977,5;;22,1;20,5;22,1;22;20,6;20,5;92;91;91;1;0;0;
2022/01/01;0700 UTC;0;977,6;977,6;977,5;;22;20,5;22,1;22;20,6;20,5;91;91;91;8;0;0;
2022/01/01;0800 UTC;0;977,7;977,7;977,6;;21,8;20,3;22,1;21,8;20,5;20,3;91;91;91;333;0;0;
2022/01/01;0900 UTC;0;977,7;977,7;977,6;8,7;21,5;20;21,9;21,5;20,4;20;91;91;91;107;,1;0;
2022/01/01;1000 UTC;0;978,2;978,2;977,7;423,9;23,8;20,5;23,8;21,5;20,8;19,8;92;80;81;2;1,4;0;
2022/01/01;1100 UTC;0;978,8;978,8;978,2;1180,9;25,1;20,8;25,2;23,4;20,8;19,7;82;73;77;257;,9;0;
2022/01/01;1200 UTC;0;979,3;979,3;978,8;1918,9;25,5;20;26,6;25,1;21,2;20;77;69;72;349;0;0;
2022/01/01;1300 UTC;0;979,6;979,6;979,3;2546,4;27,9;21;28;25,4;21,3;19,4;74;64;66;32;3;0;
