REGIAO:;NE
UF:;PI
ESTACAO:;CARACOL
CODIGO (WMO):;A337
LATITUDE:;-9,28583333
LONGITUDE:;-43,32444443
ALTITUDE:;515,3
DATA DE FUNDACAO:;10/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;954,8;954,8;954,1;;20,6;;21,1;20,6;;;;;;86;2,6;,2;
2022/01/01;0100 UTC;;955,3;955,3;954,8;;20,7;;20,8;20,6;;;;;;31;3,1;0;
2022/01/01;0200 UTC;;954,9;955,3;954,9;;20,6;;20,8;20,6;;;;;;33;2;,4;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;954,3;954,3;953,7;159,9;24,3;23,7;24,3;21,5;;;;;96;66;2,7;1,1;
2022/01/01;1100 UTC;;954,8;954,8;954,3;304,2;25,4;23,8;25,5;23,5;24,4;22,8;100;89;91;16;3,2;1,4;
2022/01/01;1200 UTC;;955,1;955,1;954,8;730,2;26;24,3;26,1;24,8;24,5;23,1;94;87;90;50;4,5;1,2;
2022/01/01;1300 UTC;;955;955,1;955;954,4;27,2;24,5;27,5;26;25,1;23,5;91;81;85;82;5,4;3;
2022/01/01;1400 UTC;;954,4;955;954,4;853,6;27,1;23,9;28,6;27,1;25,8;23,8;87;78;83;56;6,1;3,5;
2022/01/01;1500 UTC;;953,3;954,4;953,3;1711,9;28,2;24,3;29,5;27;25,7;23,9;86;75;79;55;6,2;3;
2022/01/01;1600 UTC;;952,8;953,3;952,7;622,6;25,8;22,9;29,1;25,8;25;22,5;84;75;84;46;9,2;5,3;
2022/01/01;1700 UTC;;951,9;952,9;951,9;126,5;24,1;24;25,8;23,6;24;22,7;100;83;100;229;9,2;1,9;
2022/01/01;1800 UTC;;951,5;951,9;951,4;247,4;26,1;24,6;26,1;24,1;25,1;23,8;100;91;92;109;4,2;1,7;
2022/01/01;1900 UTC;;951,5;951,5;951,2;176;25,5;24,2;26,1;25,4;24,6;23,7;93;89;93;71;4,1;1,1;
2022/01/01;2000 UTC;;951,5;951,6;951,4;84,3;24,6;23,9;25,5;24,6;24,4;23,6;98;93;96;340;3;1,2;
2022/01/01;2100 UTC;;952,7;952,7;951,5;42,5;23,8;23,8;24,6;23,8;23,9;23,3;100;93;100;19;4;2,2;
2022/01/01;2200 UTC;;953;953;952,6;;23;;23,8;23;23,8;23,4;100;100;;45;4;1,1;
2022/01/01;2300 UTC;;954;954;953;;22,9;;23,1;22,8;;;;;;3;2,8;1;
2022/01/02;0000 UTC;;954,4;954,5;954;;22,6;;22,9;22,6;;;;;;349;2,1;,2;
2022/01/02;0100 UTC;;954,8;954,8;954,4;;22,5;;22,8;22,5;;;;;;67;2;,4;
