REGIAO:;NE
UF:;RN
ESTACAO:;NATAL
CODIGO (WMO):;A304
LATITUDE:;-5,83722221
LONGITUDE:;-35,20805555
ALTITUDE:;47,46
DATA DE FUNDACAO:;24/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;0;1006,2;1006,2;1005,8;859,6;28,6;23,3;28,8;27,6;23,6;22,9;78;73;73;122;9,7;4,5;
2022/01/01;1100 UTC;0;1006,6;1006,6;1006,2;1312,7;28,9;22,9;29,3;28,2;23,9;22,9;76;70;70;131;9,8;5,4;
2022/01/01;1200 UTC;0;1007;1007,1;1006,6;2372,5;29,5;23;30,2;28,6;23,9;22,7;72;67;68;123;9,8;5,2;
2022/01/01;1300 UTC;0;1006,7;1007,3;1006,7;2117,4;29,7;23,4;30,8;28,7;24,3;23;72;67;69;135;9,3;5,3;
2022/01/01;1400 UTC;0;1006,4;1006,8;1006,4;2974,8;29,6;23,6;31,2;29,3;24,3;23;71;65;70;132;10,5;6;
2022/01/01;1500 UTC;0;1005,7;1006,4;1005,7;3180;30,4;23,3;31,2;29,1;24,1;22,9;72;63;66;127;10,5;5,9;
2022/01/01;1600 UTC;0;1005,2;1005,7;1005,2;3042,1;30,3;22,9;31,2;29,6;23,6;22,3;68;62;65;126;11,5;5,5;
2022/01/01;1700 UTC;0;1004,7;1005,2;1004,7;2509,7;29,6;23,6;31,3;29;24;22,8;72;63;70;134;10,3;5,8;
2022/01/01;1800 UTC;0;1004,5;1004,7;1004,5;1750,5;29,3;22,9;30,1;29,1;23,9;22,7;72;67;68;133;10,3;5,1;
