REGIAO:;N
UF:;PA
ESTACAO:;BELEM
CODIGO (WMO):;A201
LATITUDE:;-1,411228
LONGITUDE:;-48,439512
ALTITUDE:;21,17
DATA DE FUNDACAO:;20/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1009;1009;1008,7;;24,3;23,6;24,3;24,1;23,8;23,5;97;96;96;28;2;0;
2022/01/01;0100 UTC;,2;1009,5;1009,5;1009;;24,5;23,9;24,6;24,3;24;23,6;97;95;97;169;1,5;0;
2022/01/01;0200 UTC;1;1009,8;1009,8;1009,5;0;24,1;23,6;24,6;24,1;24,1;23,6;97;97;97;137;4,3;,9;
2022/01/01;0300 UTC;,4;1009,4;1009,8;1009,4;;23,9;23,5;24,1;23,9;23,7;23,5;98;97;98;149;3,2;1,6;
2022/01/01;0400 UTC;,6;1008,7;1009,4;1008,7;;23,9;23,5;23,9;23,9;23,6;23,5;98;98;98;142;3,2;,1;
2022/01/01;0500 UTC;0;1007,7;1008,7;1007,7;0;23,7;23,3;24;23,7;23,6;23,3;98;98;98;154;2;,2;
2022/01/01;0600 UTC;0;1007,5;1007,7;1007,3;;23,8;23,4;23,8;23,6;23,4;23,2;98;98;98;121;2,3;,3;
2022/01/01;0700 UTC;0;1007,3;1007,5;1007,2;;23,4;23,1;23,8;23,4;23,4;23;98;98;98;113;3,6;,3;
2022/01/01;0800 UTC;0;1007,3;1007,3;1007,1;;23,4;23,1;23,5;23,3;23,2;23;98;98;98;79;1,9;,1;
2022/01/01;0900 UTC;0;1007,9;1007,9;1007,3;;23,5;23,2;23,5;23,4;23,2;23,1;98;98;98;74;2,9;,5;
2022/01/01;1000 UTC;0;1008,6;1008,6;1007,9;40,3;23,6;23,3;23,6;23,4;23,3;23;98;98;98;75;2,9;,2;
2022/01/01;1100 UTC;0;1009,7;1009,7;1008,6;314,7;24,2;23,5;24,5;23,5;24;23,2;98;96;96;116;2,3;,7;
2022/01/01;1200 UTC;0;1009,9;1009,9;1009,6;920;26,9;24,3;27,3;24,1;25,5;23,5;97;85;85;121;3,8;1,6;
2022/01/01;1300 UTC;0;1010,3;1010,3;1009,9;1361,2;28,3;24,8;28,3;26,5;25,9;23,8;89;81;81;115;4,2;1;
2022/01/01;1400 UTC;,2;1009,6;1010,3;1009,6;1966,6;30,1;25,2;30,1;27,9;25,8;23,9;84;75;75;118;5,9;2,6;
2022/01/01;1500 UTC;0;1009;1009,6;1009;2494,8;31,5;24,6;31,5;29,2;25,9;23,5;78;67;67;109;6,1;2,8;
2022/01/01;1600 UTC;0;1008,4;1009;1008,4;3223,9;31,3;24;32,9;30,8;25,6;23,3;70;61;66;119;5,7;2,8;
2022/01/01;1700 UTC;0;1007,4;1008,4;1007,4;3198,6;31,8;23,7;33,1;30,2;25,2;23;70;60;62;112;5,6;2,5;
2022/01/01;1800 UTC;0;1006,7;1007,3;1006,7;2436,5;31,1;23,5;32,7;30,8;24,6;23;66;60;64;118;5,7;1,9;
2022/01/01;1900 UTC;0;1006,3;1006,7;1006,1;966,3;29,1;24,5;31,7;29,1;24,8;22,6;76;60;76;33;6;1,5;
2022/01/01;2000 UTC;9,4;1006,8;1007,1;1006,3;212,7;25,1;24,5;29;24,6;24,5;23,3;96;76;96;76;6,2;,9;
2022/01/01;2100 UTC;0;1007,3;1007,3;1006,8;145,2;24,9;23,8;25,3;24,9;24,6;23,4;96;91;94;64;4,5;,4;
2022/01/01;2200 UTC;0;1007,2;1007,3;1007,2;10,6;25;23,6;25;24,9;24,2;23,4;95;91;92;25;3,4;,4;
2022/01/01;2300 UTC;0;1008,3;1008,3;1007,1;,4;24,9;23,7;25,1;24,9;23,9;23,5;93;92;93;356;2,5;,3;
2022/01/02;0000 UTC;0;1009,2;1009,2;1008,3;,4;24,8;23,3;25;24,8;23,8;23,2;93;90;91;40;3,3;,4;
2022/01/02;0100 UTC;0;1009,9;1009,9;1009,2;,7;24,8;23,1;24,8;24,7;23,5;23;93;91;91;52;2,9;,1;
2022/01/02;0200 UTC;0;1009,9;1010,1;1009,9;1,7;24,8;23,2;24,8;24,7;23,2;23;92;90;91;47;3,6;0;
2022/01/02;0300 UTC;0;1009,5;1009,9;1009,5;,2;24,7;23,1;24,9;24,7;23,5;23,1;92;90;91;57;2,7;,1;
2022/01/02;0400 UTC;0;1008,9;1009,5;1008,9;;24,6;23,3;24,8;24,6;23,3;23,1;93;91;92;66;3,3;,4;
2022/01/02;0500 UTC;0;1008,4;1008,9;1008,4;;24,4;23,3;24,6;24,4;23,3;23,2;94;92;94;81;4;,4;
2022/01/02;0600 UTC;0;1008;1008,4;1008;;24,2;23,4;24,4;24,2;23,5;23,3;95;94;95;71;2,7;,5;
2022/01/02;0700 UTC;0;1007,6;1008;1007,6;;24,1;23,4;24,2;24;23,5;23,3;96;95;96;107;2,5;,1;
2022/01/02;0800 UTC;0;1008;1008;1007,6;;24,3;23,5;24,3;24,1;23,5;23,3;96;95;96;84;2,2;,2;
2022/01/02;0900 UTC;0;1008,2;1008,3;1008;;24,1;23,2;24,3;24,1;23,5;23,2;96;95;95;63;2,2;,1;
2022/01/02;1000 UTC;0;1008,9;1008,9;1008,2;59,1;24,3;23,1;24,4;24;23,2;22,9;95;93;93;87;2,8;,2;
2022/01/02;1100 UTC;0;1009,6;1009,6;1008,9;359,2;25,6;23,7;25,6;24,3;23,7;23;93;89;89;80;4;1,1;
2022/01/02;1200 UTC;0;1010,2;1010,2;1009,6;817,6;27,6;24;27,8;25,6;24,2;23,4;89;79;81;106;3,9;1,4;
2022/01/02;1300 UTC;0;1010,1;1010,4;1010,1;1399,5;29,7;24,8;29,8;27,6;25,3;23,5;82;74;75;96;4,8;2;
