REGIAO:;N
UF:;PA
ESTACAO:;SANTANA DO ARAGUAIA
CODIGO (WMO):;A233
LATITUDE:;-9,3386111
LONGITUDE:;-50,35027777
ALTITUDE:;176,75
DATA DE FUNDACAO:;30/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;990,3;990,4;989,6;;24,2;22,2;25,2;24,2;22,6;22,2;90;84;89;224;0;0;
2022/01/01;0100 UTC;;990,5;990,6;990,3;;24,2;22,6;24,2;24;22,6;22,1;91;88;91;125;0;0;
2022/01/01;0200 UTC;;990,2;990,5;990,2;;24,1;22,6;24,3;24,1;22,7;22,6;91;91;91;50;0;0;
2022/01/01;0300 UTC;;990,3;990,4;990,2;;23,9;22,4;24,1;23,9;22,6;22,4;92;91;92;307;0;0;
2022/01/01;0400 UTC;;989,7;990,3;989,7;;23,9;22,5;23,9;23,8;22,5;22,4;92;92;92;53;0;0;
2022/01/01;0500 UTC;;989,2;989,7;989,2;;23,7;22,4;23,9;23,7;22,5;22,3;92;92;92;22;0;0;
2022/01/01;0600 UTC;;989;989,2;989;;23,6;22,2;23,7;23,5;22,4;22,2;92;92;92;17;0;0;
2022/01/01;0700 UTC;;988,8;989;988,8;;23,6;22;23,7;23,5;22,2;22;92;90;91;359;0;0;
2022/01/01;0800 UTC;;989,2;989,2;988,8;;23,4;21,8;23,6;23,4;22;21,8;91;90;90;5;0;0;
2022/01/01;0900 UTC;;989,6;989,6;989,2;;23,3;21,7;23,4;23,3;21,8;21,7;91;90;91;13;0;0;
2022/01/01;1000 UTC;;990,5;990,5;989,6;31,2;23,4;21,9;23,4;23,3;21,9;21,7;91;90;91;30;0;0;
2022/01/01;1100 UTC;;991,3;991,3;990,5;248,1;24;22,3;24;23,3;22,4;21,9;92;90;90;15;0;0;
