REGIAO:;N
UF:;TO
ESTACAO:;PARANA
CODIGO (WMO):;A010
LATITUDE:;-12,615
LONGITUDE:;-47,87194443
ALTITUDE:;284,96
DATA DE FUNDACAO:;04/03/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;1,4;978;978;977,4;;22,8;20,5;23,2;22,8;20,8;20,4;87;86;87;25;4,4;,1;
2022/01/01;0100 UTC;1,4;978,8;978,8;978;;22,2;19,9;22,8;22,2;20,5;19,9;87;86;87;2;4,9;,2;
2022/01/01;0200 UTC;1,2;978,8;979;978,8;;22,2;20;22,3;22,1;20;19,9;87;87;87;112;2,1;0;
2022/01/01;0300 UTC;1,2;978,3;978,8;978,3;;22;20;22,2;22;20,1;19,9;89;87;89;103;0;0;
2022/01/01;0400 UTC;1,2;978;978,3;978;;22;20,1;22,1;21,9;20,1;20;89;89;89;127;0;0;
2022/01/01;0500 UTC;1;977,6;978;977,6;;21,8;20,1;22;21,8;20,1;20;90;89;90;83;0;0;
2022/01/01;0600 UTC;1;977,4;977,7;977,4;;21,8;20,2;21,8;21,8;20,2;20,1;91;90;91;87;0;0;
2022/01/01;0700 UTC;,8;977,3;977,4;977,2;;21,8;20,2;21,8;21,7;20,3;20,1;91;91;91;87;0;0;
2022/01/01;0800 UTC;1;977,4;977,4;977,3;;21,8;20,3;21,8;21,7;20,3;20,2;91;91;91;71;0;0;
2022/01/01;0900 UTC;,8;977,8;977,8;977,4;1,7;21,8;20,4;21,8;21,8;20,4;20,3;91;91;91;85;1,5;0;
2022/01/01;1000 UTC;,8;978,6;978,6;977,8;89,1;22;20,4;22,1;21,8;20,6;20,4;92;91;91;43;2,2;,6;
2022/01/01;1100 UTC;,8;979,2;979,2;978,6;297,8;22,1;20,4;22,2;22;20,6;20,4;91;90;91;32;4,5;1,9;
2022/01/01;1200 UTC;,6;979,6;979,6;979,2;567,3;23;20,7;23;22;20,7;20,4;91;87;87;31;4,5;,7;
2022/01/01;1300 UTC;,8;979,9;979,9;979,6;1227,5;24,4;20,9;24,4;23;21,1;20,2;87;78;81;33;5,1;1,5;
2022/01/01;1400 UTC;,6;979,7;979,9;979,7;1046,4;23,8;21;25,1;23,8;21,1;20,2;84;76;84;11;4;,3;
2022/01/01;1500 UTC;,6;979,1;979,7;979,1;1490,3;25,1;21,8;25,3;23;22,5;20,5;88;81;82;12;3,1;,5;
2022/01/01;1600 UTC;,4;978,2;979,1;978,2;1685,2;23;20,8;26,2;23;22,1;20,1;87;71;87;22;6,2;2,6;
2022/01/01;1700 UTC;,6;977,5;978,3;977,5;1402,4;23,7;21;24,1;22,3;21,9;20,4;91;84;85;24;6,2;1,3;
2022/01/01;1800 UTC;,4;976,9;977,5;976,8;707,1;23,7;20,8;24;23,6;21,6;20,7;88;83;84;358;3,5;,4;
2022/01/01;1900 UTC;,6;975,9;976,9;975,9;1645,7;25,8;21,6;25,8;23,7;21,6;20,6;84;75;78;98;3,2;0;
2022/01/01;2000 UTC;,4;976,2;976,2;975,9;564,6;24,3;21,6;26,2;24,2;22,3;20,9;85;75;85;289;1,5;0;
2022/01/01;2100 UTC;,4;976,8;976,8;976,2;145,3;23,8;21,8;24,3;23,3;21,8;21,1;89;85;89;172;2,4;0;
2022/01/01;2200 UTC;,4;977,6;977,6;976,8;45,8;23,4;21,5;23,8;23,4;21,8;21,5;90;88;89;155;2;0;
2022/01/01;2300 UTC;,2;978,2;978,2;977,6;;23,3;21,6;23,4;23,3;21,6;21,5;90;89;90;122;1,8;0;
2022/01/02;0000 UTC;,4;978,8;978,8;978,2;;23;21,3;23,3;23;21,6;21,3;90;90;90;127;1,2;0;
2022/01/02;0100 UTC;,2;979,6;979,6;978,8;;22,8;21,3;23;22,8;21,4;21,2;91;90;91;100;0;0;
2022/01/02;0200 UTC;,2;980;980;979,6;;23;21,5;23;22,8;21,5;21,3;91;91;91;170;0;0;
2022/01/02;0300 UTC;,2;979,2;980;979,2;;22,7;21,2;23,1;22,7;21,6;21,2;91;91;91;85;0;0;
2022/01/02;0400 UTC;0;978,6;979,2;978,6;;22,5;21,1;22,7;22,5;21,3;21;92;91;92;143;0;0;
2022/01/02;0500 UTC;,2;977,6;978,6;977,6;;22,3;20,9;22,5;22,3;21,1;20,9;92;92;92;132;0;0;
2022/01/02;0600 UTC;,2;977,8;977,8;977,6;;22,1;20,7;22,3;22,1;20,9;20,7;92;92;92;125;1,5;0;
2022/01/02;0700 UTC;0;977,8;978;977,8;;22,1;20,8;22,1;22,1;20,8;20,7;92;92;92;129;1,5;0;
2022/01/02;0800 UTC;,2;978,4;978,4;977,8;;22,1;20,7;22,2;22,1;20,8;20,7;92;92;92;50;1;0;
2022/01/02;0900 UTC;0;978,9;978,9;978,3;;22,2;20,8;22,2;22;20,8;20,7;92;92;92;112;0;0;
2022/01/02;1000 UTC;,2;979,6;979,6;978,9;96,7;22,4;21;22,4;22,2;21;20,8;92;92;92;92;2;0;
2022/01/02;1100 UTC;0;981,1;981,1;979,6;267,6;20,4;18,8;22,7;20,4;21,2;18,8;92;90;90;304;8,6;3,3;
2022/01/02;1200 UTC;,2;981,9;981,9;981,1;109,7;20,5;18,7;20,6;20,4;19;18,7;91;90;90;339;7,5;,8;
2022/01/02;1300 UTC;,2;982,1;982,1;981,8;148,4;20,3;18,7;20,4;20,2;18,7;18,6;91;90;91;311;3,4;0;
2022/01/02;1400 UTC;0;982;982,1;982;328,3;20,7;18,9;20,7;20,3;19,1;18,6;91;90;90;5;0;0;
