REGIAO:;SE
UF:;ES
ESTACAO:;ALEGRE
CODIGO (WMO):;A617
LATITUDE:;-20,75055555
LONGITUDE:;-41,48888888
ALTITUDE:;138
DATA DE FUNDACAO:;25/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;995,5;995,5;994,6;5,3;24,2;22,6;24,7;24,1;22,8;22,5;91;89;91;251;1,4;,5;
2022/01/01;0100 UTC;0;996;996;995,5;4,6;24,1;22,4;24,3;23,9;22,6;22,4;91;90;90;8;1,7;,3;
2022/01/01;0200 UTC;0;995,7;996;995,7;4,3;23,7;22,2;24,1;23,7;22,5;22;92;90;92;350;1,8;,4;
2022/01/01;0300 UTC;0;994,9;995,7;994,9;2,8;23,4;21,9;23,7;23,1;22,2;21,6;92;91;92;95;1,4;,4;
2022/01/01;0400 UTC;0;994,7;994,9;994,7;3,6;23,1;21,7;23,4;23,1;22;21,7;92;91;92;242;1,7;,3;
2022/01/01;0500 UTC;0;994,4;994,7;994,4;3,4;23,1;21,6;23,4;22,8;22;21,5;93;91;91;321;2;,6;
2022/01/01;0600 UTC;0;994,3;994,4;994,2;4,3;23,2;21,7;23,3;22,9;21,7;21,4;92;91;91;359;1,7;,8;
2022/01/01;0700 UTC;0;994,7;994,7;994,3;4,2;22,9;21,5;23,3;22,8;21,8;21,4;92;91;92;193;1,6;,4;
2022/01/01;0800 UTC;0;995,2;995,2;994,7;4,4;22,8;21,5;23,1;22,7;21,6;21,3;92;91;92;29;1,3;,7;
2022/01/01;0900 UTC;,2;995,7;995,8;995,2;28,8;22,8;21,7;22,8;22,5;21,7;21,4;93;92;93;69;1,9;,5;
2022/01/01;1000 UTC;0;996,5;996,5;995,7;161,1;23,2;22;23,3;22,7;22,1;21,6;94;93;93;353;1,4;,5;
2022/01/01;1100 UTC;,2;996,9;996,9;996,5;349,7;24,2;22,5;24,2;23,2;22,7;22;93;90;90;327;1,4;,4;
2022/01/01;1200 UTC;0;997,1;997,1;996,9;943,1;25,7;23;25,7;24,2;23,1;22,4;90;84;85;93;1,9;,9;
2022/01/01;1300 UTC;0;997;997,2;997;1258,3;26,6;22,5;27,4;25,7;23,6;22,2;86;75;78;180;2,7;1,1;
2022/01/01;1400 UTC;0;996,7;997,1;996,7;1237,9;27,8;23;27,8;26,6;23,3;22,3;81;73;75;299;2,9;,4;
2022/01/01;1500 UTC;0;996,1;996,7;996,1;2234,9;29,7;23,1;29,8;27,6;23,8;22,1;77;67;68;68;3,2;1,3;
2022/01/01;1600 UTC;,2;995,4;996,1;995,4;1505;29,7;22,4;29,7;28,8;23,1;21,9;70;64;65;69;3,2;1;
2022/01/01;1700 UTC;0;994,8;995,4;994,8;1843;29,7;20,7;30,1;29,3;22,5;20,1;66;56;58;314;4,2;1,8;
2022/01/01;1800 UTC;0;994,1;994,8;994,1;1324,8;29,6;21,5;30,1;29,1;22,6;19,9;65;56;62;72;4,7;1,9;
2022/01/01;1900 UTC;0;993,9;994,1;993,9;964,3;29,1;21;29,9;29,1;22,3;21;65;61;62;145;3,5;1,6;
2022/01/01;2000 UTC;0;994,2;994,2;993,9;393,9;26,9;22,7;29,2;26,8;22,7;20,6;78;60;78;318;3,5;,5;
2022/01/01;2100 UTC;0;994,6;994,6;994,2;171,1;25,8;22,4;26,9;25,8;23;22,4;82;78;82;285;1,9;,6;
2022/01/01;2200 UTC;0;995,6;995,6;994,6;19,3;24,5;22,4;25,8;24,4;22,5;22,1;89;82;89;224;1,7;,5;
2022/01/01;2300 UTC;0;996,6;996,6;995,6;3,1;24;22,4;24,6;24;22,6;22,2;91;88;91;283;1,4;,8;
2022/01/02;0000 UTC;1,4;997,6;997,6;996,6;4,2;23,9;22,6;24,9;23,9;22,9;22,3;92;88;92;209;2,4;,5;
2022/01/02;0100 UTC;,4;997,5;997,7;997,5;7,1;23,4;22,3;23,9;23,4;22,6;22,3;93;92;93;282;1,4;,6;
2022/01/02;0200 UTC;0;997,5;997,6;997,4;6,5;23,4;22,3;23,5;23,3;22,4;22,2;94;93;94;281;1,5;,3;
2022/01/02;0300 UTC;,2;997,1;997,7;997,1;5,9;23,3;22,3;23,6;23,2;22,5;22,2;94;94;94;243;2;,9;
2022/01/02;0400 UTC;0;996,6;997,1;996,6;5,9;23,3;22,3;23,5;23,2;22,4;22,2;94;94;94;314;2;1;
2022/01/02;0500 UTC;0;996,5;996,6;996,4;5,4;23;22;23,3;23;22,3;22;94;94;94;238;1,7;,5;
2022/01/02;0600 UTC;0;996,3;996,5;996,3;4,2;22,7;21,7;23;22,5;22;21,6;95;94;94;291;1,3;,6;
2022/01/02;0700 UTC;,2;996,5;996,5;996,3;5,2;22,6;21,7;22,8;22,6;21,8;21,6;95;94;95;181;1,5;,5;
2022/01/02;0800 UTC;0;997,1;997,1;996,4;5,5;22,5;21,6;22,7;22,4;21,8;21,5;95;95;95;280;1,7;,7;
2022/01/02;0900 UTC;0;997,9;997,9;997,1;88,8;22,9;22;23;22,5;22;21,6;95;94;94;179;1,7;,4;
2022/01/02;1000 UTC;0;998,3;998,3;997,9;185,6;23,1;21,8;23,3;22,9;22,2;21,7;94;93;93;252;2,1;,9;
2022/01/02;1100 UTC;0;998,9;998,9;998,3;681,5;25,3;20,9;25,3;23,1;22,3;20,3;93;75;76;263;2,8;1;
2022/01/02;1200 UTC;,2;999,1;999,1;998,9;1100,2;26,4;20,4;26,5;25,3;21,2;19,8;76;68;70;269;2,3;,7;
2022/01/02;1300 UTC;0;998,9;999,1;998,9;904,5;26,1;21,3;26,5;25,6;21,5;20,3;77;69;75;204;2,7;1,2;
2022/01/02;1400 UTC;0;998,5;998,9;998,5;943;26,7;21,3;26,8;25,8;21,8;20,6;77;69;72;228;3;1,5;
2022/01/02;1500 UTC;0;997,9;998,5;997,9;1069;27,1;19,1;27,2;26,7;21,1;18,7;72;60;62;294;3,4;,9;
2022/01/02;1600 UTC;0;997,1;997,9;997,1;2460,6;29;20;29;27;20,5;18,8;66;55;58;321;4,1;,9;
2022/01/02;1700 UTC;0;995,9;997,1;995,9;2765,4;30,2;19;30,2;28,8;20,2;18,6;60;51;51;10;4,2;2,3;
