REGIAO:;SE
UF:;ES
ESTACAO:;MARILANDIA
CODIGO (WMO):;A632
LATITUDE:;-19,407181
LONGITUDE:;-40,539825
ALTITUDE:;95
DATA DE FUNDACAO:;22/03/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1000,8;1000,8;1000;;25,3;22;25,5;24,5;22,7;22;90;82;82;35;5,1;1,7;
2022/01/01;0100 UTC;0;1001,2;1001,3;1000,8;1,1;25,3;22;25,5;25,2;22,3;21,9;84;81;82;23;5,1;1,5;
2022/01/01;0200 UTC;0;1000,8;1001,2;1000,8;;24,9;22,1;25,3;24,8;22,5;22;87;83;85;52;3,3;,9;
2022/01/01;0300 UTC;0;1000,3;1000,8;1000,3;,8;25,4;21,7;25,7;24,9;22,1;21,6;85;78;80;39;6,7;1,5;
2022/01/01;0400 UTC;0;999,8;1000,3;999,8;;25,1;21,6;25,4;24,6;22,1;21,6;86;79;81;33;5,2;2,1;
2022/01/01;0500 UTC;0;999,5;999,8;999,5;;24,3;22;25,2;24,2;22,1;21,6;88;81;87;73;5,2;1,2;
2022/01/01;0600 UTC;0;999,3;999,5;999,3;;25,1;21;25,1;24,2;22;21;87;78;78;38;5,6;2,3;
2022/01/01;0700 UTC;0;999,7;999,7;999,3;;24,7;20,8;25,1;24,6;21,1;20,7;80;77;79;32;5,2;1,2;
2022/01/01;0800 UTC;0;1000,1;1000,2;999,7;;24,1;21;25;24,1;21;20,5;83;77;83;268;4,5;,4;
2022/01/01;0900 UTC;0;1000,8;1000,8;1000,1;91,9;24,1;21,3;24,1;23,6;21,4;20,7;87;82;85;123;2;,4;
2022/01/01;1000 UTC;0;1001,3;1001,3;1000,8;361,3;25,4;21,8;25,4;24;22,3;21,2;89;79;81;50;3,7;,8;
2022/01/01;1100 UTC;0;1001,8;1001,8;1001,3;708,5;25,9;21,4;25,9;25,4;21,9;21,2;81;76;76;7;4,6;1,9;
2022/01/01;1200 UTC;0;1001,9;1001,9;1001,7;1595,5;27;21,5;27,4;25,9;22;21,1;76;70;72;357;6;2;
2022/01/01;1300 UTC;0;1001,6;1002;1001,6;1311,1;28,7;21,9;28,7;27;22,6;20,9;74;64;67;4;4,8;1,2;
2022/01/01;1400 UTC;0;1001,3;1001,6;1001,3;1562,9;29,2;22,3;29,2;28,2;22,6;21;69;63;66;18;4,7;1,5;
2022/01/01;1500 UTC;0;1000,4;1001,3;1000,4;2387,9;30,9;22;30,9;28,9;23,2;20,6;68;56;59;47;5,8;1,7;
2022/01/01;1600 UTC;0;999,7;1000,4;999,7;2487,4;31,7;20,8;31,7;30,3;22,6;20,8;61;53;53;6;5,8;1;
2022/01/01;1700 UTC;0;999,1;999,7;999,1;1841,5;31,8;22,3;31,8;30,3;23,2;20,4;61;51;57;15;5,3;1,5;
2022/01/01;1800 UTC;0;998,4;999,1;998,4;2200,2;30,9;20,9;33;30,9;23;20,4;60;49;55;54;5,9;1,7;
2022/01/01;1900 UTC;0;998;998,4;998;906,9;29,5;23,2;31,1;29,5;23,3;20,9;69;55;69;62;5;1,2;
2022/01/01;2000 UTC;0;998,4;998,4;998;385,4;27,7;23,7;29,5;27,7;24;22,8;80;67;79;108;5,4;1,7;
2022/01/01;2100 UTC;0;999,1;999,1;998,4;249,2;26,2;23,1;27,8;26,2;24;22,9;84;76;83;37;4,6;1,3;
2022/01/01;2200 UTC;0;1000;1000;999,1;12,7;25,8;22,4;26,3;25,8;23,1;22,4;84;79;82;32;3,5;1,2;
2022/01/01;2300 UTC;0;1001,1;1001,1;1000;;25,8;21,6;26,2;25,7;22,5;21,4;83;76;78;61;4,7;,9;
2022/01/02;0000 UTC;0;1001,8;1001,8;1001,1;;25,8;21;26;25,6;21,6;20,6;79;73;75;33;5,1;1,8;
