REGIAO:;SE
UF:;MG
ESTACAO:;VICOSA
CODIGO (WMO):;A510
LATITUDE:;-20,762607
LONGITUDE:;-42,864013
ALTITUDE:;697,64
DATA DE FUNDACAO:;15/09/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;933;933;932,3;;21,4;20,5;21,6;21,4;20,8;20,5;96;95;95;351;1,6;0;
2022/01/01;0100 UTC;0;933,1;933,1;933;;21;20,3;21,4;21;20,6;20,3;96;95;96;22;,5;0;
2022/01/01;0200 UTC;,2;932,8;933,2;932,8;;21;20,4;21,1;21;20,4;20,3;96;96;96;306;,9;,1;
2022/01/01;0300 UTC;0;932,1;932,8;932,1;;21;20,4;21,1;20,8;20,4;20,2;96;96;96;32;1,4;,1;
2022/01/01;0400 UTC;0;932;932,1;931,9;;21,2;20,3;21,2;20,9;20,4;20,2;96;95;95;7;2,2;,2;
2022/01/01;0500 UTC;,2;931,6;932;931,6;;21,2;20;21,3;21,1;20,2;20;95;93;93;22;3,3;1,1;
2022/01/01;0600 UTC;0;931,2;931,6;931,1;;21,3;19,8;21,4;21,2;20;19,7;93;91;91;25;4,4;1,2;
2022/01/01;0700 UTC;0;931,7;931,7;931,2;;21,4;19,6;21,4;21,2;19,8;19,5;91;89;89;15;5,6;2,4;
2022/01/01;0800 UTC;0;932;932,1;931,6;;21,5;19,3;21,5;21,3;19,6;19,3;89;88;88;23;5,5;2,3;
2022/01/01;0900 UTC;,2;932,9;932,9;932;50,5;21,6;19,3;21,6;21,3;19,4;19,3;88;87;87;11;6,2;2,2;
2022/01/01;1000 UTC;0;933,4;933,4;932,9;198;21,9;19,5;21,9;21,5;19,5;19,3;88;86;87;18;7,3;2,7;
2022/01/01;1100 UTC;0;933,8;933,8;933,4;587,6;22,4;19,7;22,5;21,9;19,8;19,5;87;84;84;11;7,8;3;
2022/01/01;1200 UTC;0;934,2;934,2;933,8;668,9;23,2;20;23,2;22,4;20;19,5;85;82;83;16;8,1;2,9;
2022/01/01;1300 UTC;0;934,1;934,2;934;1225,5;23,6;19,7;23,6;23,1;20,1;19,5;83;78;79;18;9;3,4;
2022/01/01;1400 UTC;0;933,5;934,1;933,4;2002,7;25;19,8;25;23,6;20,3;19,5;80;73;73;26;8,9;3;
2022/01/01;1500 UTC;0;933,1;933,5;933;1815,7;24,6;19,7;26,2;24,6;20,6;19,3;75;69;75;21;9,6;3,2;
2022/01/01;1600 UTC;,4;932,8;933,1;932,7;665,2;23,4;20;24,6;23,4;20,1;19,3;82;74;81;7;8,2;2,1;
2022/01/01;1700 UTC;5,4;931,9;932,8;931,9;619,7;22,3;21;23,6;22,3;22;20;92;81;92;213;5;,5;
2022/01/01;1800 UTC;,4;931,8;931,9;931,5;526;22,3;21,1;23,2;22,3;21,7;21;93;91;93;246;2,7;,4;
2022/01/01;1900 UTC;1,6;931,8;932,1;931,8;598,6;22,8;21;22,9;21,7;21,9;20,7;95;89;89;252;4,7;0;
2022/01/01;2000 UTC;0;931,8;931,8;931,6;572,4;23,2;21,6;23,4;22,8;21,9;21,1;91;89;91;211;,9;0;
2022/01/01;2100 UTC;0;932,3;932,3;931,7;107,3;22,6;21,7;23,2;22,6;21,8;21,5;95;91;95;52;,8;,1;
2022/01/01;2200 UTC;3;934,2;934,2;932,3;;20,7;19,2;22,6;20,7;21,7;19,2;95;88;91;16;8,8;3,5;
2022/01/01;2300 UTC;7,6;934,5;934,5;934,2;;19,9;19;20,7;19,7;19,2;18,8;95;91;95;7;8,8;1;
2022/01/02;0000 UTC;2,2;934,8;935;934,5;;20,1;19;20,2;19,9;19,3;19;95;93;93;360;6,7;2,2;
2022/01/02;0100 UTC;1,8;935;935;934,7;;19,7;18,7;20,2;19,7;19,1;18,7;94;93;94;80;6,7;,1;
2022/01/02;0200 UTC;0;934,9;935,1;934,9;;19,4;18,8;19,8;19,3;18,9;18,6;96;94;96;69;1,3;0;
2022/01/02;0300 UTC;1,2;934,5;934,9;934,5;;19,5;18,7;19,6;19,3;18,9;18,7;96;95;95;310;2,4;,9;
2022/01/02;0400 UTC;,6;934,1;934,5;934,1;;19,4;18,7;19,5;19,4;18,7;18,6;96;95;96;326;2,4;,1;
2022/01/02;0500 UTC;1,6;934;934,2;934;;19,4;18,8;19,5;19,4;18,9;18,7;96;96;96;112;,9;0;
2022/01/02;0600 UTC;4,2;934,2;934,2;934;;19,5;19;19,6;19,3;19;18,8;97;96;97;349;,8;0;
2022/01/02;0700 UTC;2,6;934,4;934,4;934,2;;19,5;19;19,6;19,4;19,1;18,9;97;97;97;356;1,3;,1;
2022/01/02;0800 UTC;1,8;934,9;935;934,4;;19,2;18,2;19,6;19,2;19,1;18,2;97;94;94;19;5,5;1,9;
2022/01/02;0900 UTC;1,2;935,1;935,1;934,9;47,3;18,5;17,6;19,2;18,4;18,2;17,4;95;93;95;29;5,5;,1;
2022/01/02;1000 UTC;,2;935,5;935,5;935,1;354;19,2;18;19,2;18,4;18,1;17,5;95;93;93;36;,9;,1;
2022/01/02;1100 UTC;,2;935,9;935,9;935,5;631,6;20,1;19;20,1;19,2;19;18;93;90;93;300;2,5;1;
2022/01/02;1200 UTC;0;935,9;936,1;935,9;1059,7;21,5;19,6;21,6;19,9;20;18,6;94;87;89;328;3,9;1,1;
2022/01/02;1300 UTC;0;935,9;936;935,9;1561,1;23,6;19,4;23,7;21,5;20,6;19,2;89;76;77;346;4,2;1,5;
2022/01/02;1400 UTC;0;935,4;935,9;935,4;2074,1;24,5;20,4;24,9;22,8;21,4;18,7;85;73;78;305;4,5;1,1;
2022/01/02;1500 UTC;,2;934,5;935,4;934,5;2272,4;24,9;19,7;25,7;23;21,8;18,8;85;69;73;13;8;2,5;
2022/01/02;1600 UTC;0;933,6;934,5;933,6;2455;25,8;19,6;26;24,6;20,3;18,9;74;66;69;3;6,8;3,6;
2022/01/02;1700 UTC;0;932,7;933,6;932,7;1757,3;26,2;20,3;26,2;25;20,8;19,3;73;67;70;5;6,8;2,5;
2022/01/02;1800 UTC;0;932,3;932,7;932,3;1655,2;24,8;19,8;26,9;24,8;21;19;74;65;74;23;6,8;3,3;
2022/01/02;1900 UTC;,2;932,2;932,4;932,2;550,4;24,3;20,2;24,8;23,4;20,5;19,7;83;74;78;27;7;1,2;
2022/01/02;2000 UTC;0;932,2;932,3;932,2;396,2;23,3;20,5;24,6;23,2;20,5;19,8;84;76;84;58;3,9;,6;
2022/01/02;2100 UTC;0;932,9;932,9;932,2;164,5;23;20,6;23,4;22,7;20,7;20,3;88;83;86;54;3,1;,8;
2022/01/02;2200 UTC;0;933,5;933,5;932,9;2,9;22,2;20;23;22,2;20,4;20;88;85;87;29;3,5;,6;
2022/01/02;2300 UTC;0;934,2;934,2;933,5;;21,2;20;22,2;21,1;20,2;19,9;93;87;93;57;1,8;0;
