REGIAO:;SE
UF:;MG
ESTACAO:;TIMOTEO
CODIGO (WMO):;A511
LATITUDE:;-19,57388888
LONGITUDE:;-42,62249999
ALTITUDE:;493,42
DATA DE FUNDACAO:;22/02/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;955,9;955,9;955,5;10;23,2;20,2;23,8;22,9;20,5;20;85;81;84;64;0;0;
2022/01/01;0100 UTC;0;956,6;956,6;955,9;10,2;22,8;20,3;23,6;22,6;20,5;20;86;82;86;65;0;0;
2022/01/01;0200 UTC;0;956,4;956,6;956,4;10,7;24,2;19,9;24,4;22,8;20,6;19,7;86;76;77;37;0;0;
2022/01/01;0300 UTC;0;956,2;956,4;956,2;8,6;23,4;20,2;24,2;23,4;20,2;19,7;82;76;82;33;0;0;
2022/01/01;0400 UTC;0;955,8;956,3;955,8;3,7;22,8;20,3;23,5;22,8;20,3;20,1;86;82;86;27;0;0;
2022/01/01;0500 UTC;0;955,3;955,9;955,3;6,6;22,2;20,1;22,8;22,2;20,4;20,1;89;86;88;39;0;0;
2022/01/01;0600 UTC;,2;955,2;955,3;955;7,5;22,1;20,1;22,4;22;20,2;19,9;89;86;89;26;0;0;
2022/01/01;0700 UTC;0;955,5;955,5;955,1;10,6;22,1;20,2;22,1;21,7;20,3;20,1;91;89;89;11;0;0;
2022/01/01;0800 UTC;0;955,6;955,7;955,4;7,9;22,1;20,4;22,3;21,9;20,4;20,1;90;88;90;12;0;0;
2022/01/01;0900 UTC;0;956,4;956,4;955,6;12,3;21,8;20,6;22,1;21,8;20,6;20,4;92;90;92;358;0;0;
2022/01/01;1000 UTC;0;957;957;956,4;64;22,1;21;22,1;21,8;21;20,6;94;92;93;33;0;0;
2022/01/01;1100 UTC;0;957,5;957,5;957;340,8;22,6;21;22,6;22,1;21,2;20,9;93;91;91;2;,3;0;
2022/01/01;1200 UTC;0;957,9;958;957,5;591,5;23,3;21,2;23,3;22,6;21,4;21;91;88;88;33;0;0;
2022/01/01;1300 UTC;0;957,9;958;957,9;920,8;24;20,8;24,2;23,3;21,5;20,8;89;82;82;20;0;0;
