REGIAO:;SE
UF:;MG
ESTACAO:;VARGINHA
CODIGO (WMO):;A515
LATITUDE:;-21,56638888
LONGITUDE:;-45,40416666
ALTITUDE:;949,78
DATA DE FUNDACAO:;13/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,6;905,2;905,2;904,4;;18,5;17,5;19,1;18,5;18,1;17,5;95;94;94;347;9,9;4,3;
2022/01/01;0100 UTC;1,2;905,2;905,4;905,2;;18,8;18;18,8;18,3;18;17,5;96;94;95;353;9,9;2,2;
2022/01/01;0200 UTC;1;904,8;905,2;904,8;;18,9;18,1;18,9;18,8;18,1;18,1;95;95;95;349;6,8;1,3;
2022/01/01;0300 UTC;1;904,3;904,8;904,2;;18,8;18,1;18,9;18,7;18,1;18;96;95;96;339;8,9;2,9;
2022/01/01;0400 UTC;1;904,1;904,3;904;;18;17,3;18,9;18;18,2;17,3;96;96;96;7;7;2,4;
2022/01/01;0500 UTC;1;904;904,3;904;;17,5;16,9;18;17,5;17,4;16,9;96;96;96;350;9,8;3,6;
2022/01/01;0600 UTC;1,2;904,1;904,2;904;;16,9;15,9;17,7;16,9;17;15,9;96;93;93;7;10,7;4,2;
2022/01/01;0700 UTC;1;904,1;904,2;904;;16,8;15,9;17;16,8;15,9;15,8;95;93;95;15;13;3,9;
2022/01/01;0800 UTC;1,2;904,9;904,9;904,1;3,6;16,9;16;17;16,8;16,1;15,9;95;95;95;2;8,7;3;
2022/01/01;0900 UTC;1;905,4;905,5;904,9;105,2;17,3;16,3;17,3;16,8;16,4;16;95;94;94;9;9,3;2,6;
