REGIAO:;SE
UF:;MG
ESTACAO:;AIMORES
CODIGO (WMO):;A534
LATITUDE:;-19,53277777
LONGITUDE:;-41,09083333
ALTITUDE:;287,74
DATA DE FUNDACAO:;05/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;977,6;977,6;976,6;;23,7;21,6;23,8;23,6;21,7;21,5;88;87;88;111;9,5;4,7;
2022/01/01;0100 UTC;0;978;978,1;977,6;;23,6;21,5;23,8;23,6;21,7;21,5;88;87;88;111;7,7;4,6;
2022/01/01;0200 UTC;0;977,6;978;977,6;;23,5;21,4;23,6;23,3;21,5;21,3;89;88;88;109;8,4;5,3;
2022/01/01;0300 UTC;0;977,1;977,6;977,1;;23,3;21,4;23,5;23,3;21,4;21,3;89;88;89;117;8,2;3,5;
2022/01/01;0400 UTC;0;976,8;977,1;976,7;;23,4;21,4;23,4;23,2;21,4;21,3;89;89;89;107;8;3,8;
2022/01/01;0500 UTC;0;976,5;976,8;976,5;;23,4;21,3;23,4;23,3;21,4;21,3;89;88;88;113;6,5;2,7;
2022/01/01;0600 UTC;0;976,2;976,5;976,2;;23,3;21;23,4;23,3;21,3;20,9;88;87;87;105;5,5;3,6;
2022/01/01;0700 UTC;0;976,4;976,4;976,2;;23;20,8;23,3;23;21;20,8;88;87;88;113;5,7;3,2;
2022/01/01;0800 UTC;0;977;977;976,4;;23,1;20,8;23,2;22,9;20,9;20,8;88;87;87;117;15,6;3,3;
2022/01/01;0900 UTC;0;977,8;977,8;977;;23,2;20,5;23,2;23,1;20,8;20,5;87;85;85;112;6,5;2,7;
2022/01/01;1000 UTC;0;978,4;978,4;977,8;;23,3;20,5;23,3;23,2;20,6;20,5;85;84;84;95;5;2,8;
2022/01/01;1100 UTC;0;978,7;978,8;978,4;;23,7;20,9;23,7;23,3;21;20,5;86;84;84;118;5;2;
2022/01/01;1200 UTC;0;979,1;979,1;978,7;0;25,1;21,2;25,1;23,7;21,5;20,8;85;78;79;104;5;3,6;
2022/01/01;1300 UTC;0;979;979,1;978,9;180;26,9;21,1;27;25,1;21,7;20,4;79;71;71;106;6,1;2,6;
2022/01/01;1400 UTC;0;978,6;979;978,6;390;27,2;20,8;28,5;26,4;21,7;20,1;73;63;68;88;5,5;2,4;
2022/01/01;1500 UTC;0;977,9;978,6;977,9;24,8;28,5;21,2;28,9;27,2;22,4;20;70;61;64;65;5,5;1,4;
2022/01/01;1600 UTC;0;977,1;977,9;977,1;8,9;29,3;21,4;30,8;27,9;22,1;19,4;66;54;63;121;4,3;1,4;
2022/01/01;1700 UTC;0;976,5;977,1;976,5;;29,1;21;29,9;28,9;21,8;19,6;64;57;61;72;3,7;1,1;
2022/01/01;1800 UTC;0;975,9;976,5;975,9;;29,7;20,9;29,7;29,1;21,9;20;64;57;59;108;3,5;1,4;
2022/01/01;1900 UTC;0;975,3;975,9;975,2;;28,9;19,3;31,2;28,9;21,3;19,3;60;52;56;103;5,8;2,6;
2022/01/01;2000 UTC;0;975,3;975,5;975,3;;28,1;20,3;29,3;28,1;20,9;19,4;63;56;63;115;5,6;2,5;
2022/01/01;2100 UTC;0;975,8;975,8;975,2;;26,8;20,1;28,1;26,8;20,6;19,9;68;61;67;102;4,7;2,4;
2022/01/01;2200 UTC;0;976,7;976,7;975,8;;26,3;21,6;27;26,2;21,6;20,1;76;66;76;113;6,9;4,1;
2022/01/01;2300 UTC;0;977,8;977,8;976,7;;25,3;21,8;26,3;25,3;22,1;21,7;81;76;81;110;9,2;5,5;
2022/01/02;0000 UTC;0;978,4;978,5;977,8;;24,8;21,5;25,3;24,8;21,8;21,5;82;81;81;113;10;5,2;
2022/01/02;0100 UTC;0;978,8;978,8;978,4;;24,3;21,1;24,9;24,3;21,4;21,1;82;81;82;116;9,8;4,4;
2022/01/02;0200 UTC;0;978,9;979;978,8;;23,8;20,7;24,3;23,8;21,1;20,7;83;82;83;118;9;4,1;
2022/01/02;0300 UTC;0;978,8;978,9;978,8;;23,4;20,5;23,9;23,4;20,7;20,5;84;83;84;111;9,5;4,2;
2022/01/02;0400 UTC;0;978,5;978,8;978,5;;23,2;20,3;23,5;23,2;20,5;20,3;84;84;84;113;7;3,9;
2022/01/02;0500 UTC;0;978,4;978,6;978,3;;23,2;20,1;23,3;23,1;20,3;20,1;84;83;83;104;7,2;3,9;
2022/01/02;0600 UTC;0;978;978,4;977,9;;22,8;20;23,2;22,8;20,2;20;84;83;84;110;6,9;3,3;
2022/01/02;0700 UTC;0;978,1;978,1;977,9;;22,7;20,1;22,9;22,6;20,2;20;86;84;85;106;6,4;4;
2022/01/02;0800 UTC;0;978,7;978,7;978;;22,6;20;22,8;22,6;20,1;19,9;85;84;85;109;7,3;3,9;
2022/01/02;0900 UTC;0;979,3;979,3;978,7;;23,3;20,1;23,3;22,5;20,1;19,9;85;82;82;114;6,4;2,7;
2022/01/02;1000 UTC;0;979,9;979,9;979,3;;24,2;20;24,6;23,3;20,7;20;82;77;77;100;5,4;3,5;
2022/01/02;1100 UTC;0;980,4;980,4;979,9;;24,8;20,5;24,8;24,1;20,6;19,9;79;77;77;106;5,4;2,3;
2022/01/02;1200 UTC;0;980,8;980,8;980,4;;25,5;20,1;25,7;24,8;20,8;19,8;77;70;72;118;4,5;2,1;
2022/01/02;1300 UTC;0;980,6;980,8;980,6;;26;20,2;26,2;25,2;20,8;19,8;75;69;70;98;3,8;1,8;
2022/01/02;1400 UTC;0;979,9;980,6;979,9;1,5;26,6;20,8;27;25,7;21,4;19,9;74;68;71;93;4,9;2,3;
2022/01/02;1500 UTC;0;979,4;979,9;979,4;2,1;27;20,9;27,4;26,1;21,7;19,6;74;65;69;124;4,9;1,2;
2022/01/02;1600 UTC;0;978,7;979,4;978,7;;27,2;20,3;27,5;26,6;21;19,6;70;64;66;129;2,6;,9;
2022/01/02;1700 UTC;0;977,7;978,7;977,7;19,9;28,6;20,7;29,3;27,2;22;19,5;70;60;62;97;3,8;1,6;
2022/01/02;1800 UTC;0;976,6;977,6;976,6;;29,5;19,8;30;28,1;20,9;19,2;63;55;56;114;5,1;2,2;
2022/01/02;1900 UTC;0;976,1;976,5;976;;29,3;19,8;30;29;20,8;19,3;59;54;57;88;5,1;1,4;
2022/01/02;2000 UTC;0;976,2;976,2;976;;29,1;19,9;30,4;28,6;20,8;19,4;60;54;58;112;4,1;1,6;
2022/01/02;2100 UTC;0;976,2;976,2;976;;27,5;19,9;29,2;27,5;20,5;19,3;64;55;63;124;4,4;1,1;
2022/01/02;2200 UTC;0;976,8;976,8;976,2;;26;19,4;27,5;26;20;19,4;68;63;67;101;4,3;1,9;
2022/01/02;2300 UTC;0;977,5;977,5;976,8;;25,9;19,9;26,3;25,9;19,9;18,9;70;64;70;109;6,2;4;
2022/01/03;0000 UTC;0;978,5;978,5;977,5;;25,1;20,4;25,9;25,1;20,4;20;75;70;75;112;8;4,7;
2022/01/03;0100 UTC;0;978,9;979;978,5;;24,4;20,6;25,1;24,4;20,6;20,4;79;75;79;109;8,6;6,1;
2022/01/03;0200 UTC;0;978,9;979;978,8;;23,8;20,5;24,4;23,8;20,7;20,5;82;79;82;114;10,6;6,3;
2022/01/03;0300 UTC;0;978,9;979,1;978,9;;23,2;20,2;23,8;23,2;20,5;20,2;83;82;83;109;10,6;5,4;
2022/01/03;0400 UTC;0;978,7;978,9;978,7;;23,2;20,3;23,3;23,1;20,3;20,2;84;83;84;111;8,1;3,6;
2022/01/03;0500 UTC;0;978,1;978,7;978,1;;23;20,4;23,3;23;20,4;20,3;85;83;85;110;7,5;4,9;
2022/01/03;0600 UTC;0;978;978,1;978;;22,9;20,3;23;22,9;20,5;20,3;86;85;85;109;7,5;4,2;
2022/01/03;0700 UTC;0;978,4;978,4;978;;22,9;20,2;22,9;22,8;20,3;20,1;85;84;85;110;7,2;3,4;
2022/01/03;0800 UTC;0;978,8;978,8;978,4;;22,9;20,2;22,9;22,8;20,2;20,1;85;85;85;110;6,4;3,6;
2022/01/03;0900 UTC;0;979,5;979,5;978,8;;23,1;20,3;23,1;22,9;20,3;20,2;85;84;84;109;7;3,7;
2022/01/03;1000 UTC;0;979,8;979,8;979,5;;23,3;20,4;23,3;23,1;20,5;20,3;84;84;84;108;6,4;3,7;
2022/01/03;1100 UTC;0;980,1;980,1;979,7;;23,6;20,4;23,6;23,3;20,5;20,4;84;82;82;107;6,5;3,7;
2022/01/03;1200 UTC;0;980,4;980,4;980,1;;24,1;20,6;24,1;23,6;20,7;20,4;83;81;81;104;6,5;3,5;
2022/01/03;1300 UTC;0;980,4;980,4;980,3;;24,7;20,8;24,7;24,1;20,8;20,4;81;78;79;114;5,7;2,9;
2022/01/03;1400 UTC;0;979,7;980,4;979,7;;26,5;21;26,5;24,7;21,5;20,4;80;70;72;102;5,2;2;
2022/01/03;1500 UTC;0;978,9;979,7;978,9;169,6;28,8;19,2;29,8;26,4;21,9;19,1;72;54;56;117;5,9;2,9;
2022/01/03;1600 UTC;0;977,7;978,9;977,7;2,9;29,8;19,3;30,1;28,3;21,1;18,5;60;52;53;109;7;2,4;
2022/01/03;1700 UTC;0;976,8;977,7;976,8;;29,4;19,1;30,6;29,1;19,8;17,8;56;49;54;130;7,1;1,6;
2022/01/03;1800 UTC;0;976,1;976,8;976,1;;29;18,3;30,3;29;19,5;17,6;56;48;53;130;5,3;2,6;
2022/01/03;1900 UTC;0;975,7;976,1;975,6;;28,7;18,4;29,3;28,6;19,1;17,9;55;51;54;117;7,9;4,2;
2022/01/03;2000 UTC;0;975,7;975,8;975,7;;28,2;17,3;28,7;27,7;18,8;16,9;56;51;52;114;7,9;3,3;
2022/01/03;2100 UTC;0;975,9;975,9;975,6;;26,9;17,9;28,7;26,9;17,9;17,1;58;50;58;95;7,8;2;
2022/01/03;2200 UTC;0;976,1;976,1;975,8;;25,9;18,4;26,9;25,9;18,4;17,7;63;57;63;105;4,5;3;
2022/01/03;2300 UTC;0;976,7;976,7;976,1;;25,6;20,6;26,1;25,5;20,6;18,4;74;63;74;116;7,4;4;
2022/01/04;0000 UTC;0;977,2;977,2;976,7;;25;21;25,6;25;21,1;20,6;79;74;79;111;7,9;5,2;
2022/01/04;0100 UTC;0;977,9;977,9;977,2;;24,6;20,8;25;24,6;21,1;20,8;80;79;80;114;8,2;5,1;
2022/01/04;0200 UTC;0;977,8;978,1;977,8;;23,9;20,5;24,5;23,9;20,8;20,5;81;80;81;113;8,1;5,1;
2022/01/04;0300 UTC;0;977,4;977,8;977,4;;23,7;20,2;24;23,6;20,5;20,2;82;80;81;111;8,6;5;
