REGIAO:;SE
UF:;MG
ESTACAO:;UBERABA
CODIGO (WMO):;A568
LATITUDE:;-19,71
LONGITUDE:;-47,96194444
ALTITUDE:;778
DATA DE FUNDACAO:;19/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;0;922,2;922,2;921,5;;21,3;20,3;21,8;21,3;20,6;20,3;94;93;94;38;8;4,4;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;0;921,7;922,1;921,7;;20,9;20,2;21,1;20,9;20,4;20,2;97;96;96;39;7,6;4,1;
2022/01/01;0400 UTC;0;921,2;921,7;921,2;;20,6;20;20,9;20,6;20,2;20;97;96;96;38;6,8;3,8;
2022/01/01;0500 UTC;0;921,3;921,4;921,2;;20,6;19,9;20,7;20,5;20;19,9;97;96;96;296;6,2;,9;
2022/01/01;0600 UTC;0;921,1;921,4;921;;20,6;20,2;20,6;20,2;20,2;19,9;99;96;97;38;4,1;2,2;
2022/01/01;0700 UTC;0;921;921,1;921;;20,6;20,2;20,7;20,6;20,3;20,2;98;96;98;40;4,1;1,9;
2022/01/01;0800 UTC;0;921,1;921,1;921;;20,5;20,1;20,6;20,5;20,2;20,1;98;97;98;45;3,7;1,7;
2022/01/01;0900 UTC;0;921,7;921,7;921,1;6,9;20,6;20,3;20,6;20,4;20,3;20,1;99;98;98;25;3,2;1,4;
