REGIAO:;SE
UF:;MG
ESTACAO:;PARACATU
CODIGO (WMO):;A571
LATITUDE:;-17,24444444
LONGITUDE:;-46,88166666
ALTITUDE:;705
DATA DE FUNDACAO:;16/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;929,7;929,8;929;;21,6;20,3;21,8;21,5;20,5;20,2;93;92;92;354;6,8;2,5;
2022/01/01;0100 UTC;;930,6;930,8;929,7;,4;21,3;19,9;21,6;21;20,4;19,7;93;91;92;43;7,6;4,4;
2022/01/01;0200 UTC;;930,5;930,7;930,5;,9;20,8;19,6;21,3;20,8;19,9;19,5;93;91;93;33;7,9;3,6;
2022/01/01;0300 UTC;;930,1;930,5;929,9;,4;20,9;19,8;20,9;20,8;19,8;19,6;94;93;94;29;8,3;4,6;
2022/01/01;0400 UTC;;929,8;930;929,5;,2;20,9;19,8;20,9;20,8;19,8;19,7;94;94;94;35;6,6;3,9;
2022/01/01;0500 UTC;;929,4;929,8;929,1;;21;19,7;21;20,8;19,8;19,7;94;92;92;14;7;2,1;
2022/01/01;0600 UTC;;929;929,4;928,9;;21;19,4;21,1;20,9;19,7;19,4;92;91;91;35;5;2,5;
2022/01/01;0700 UTC;;929,2;929,2;928,9;;20,8;19;21;20,8;19,4;19;91;89;89;26;5,6;3,8;
2022/01/01;0800 UTC;;929,5;929,6;929;;20,6;18,8;20,9;20,6;19;18,8;90;89;89;27;5,8;3,1;
2022/01/01;0900 UTC;;929,9;930,1;929,4;4,7;20,4;18,6;20,6;20,4;18,8;18,6;89;89;89;28;5,3;2,9;
2022/01/01;1000 UTC;;930,5;930,6;929,8;131,6;20,5;18,7;20,5;20,3;18,8;18,6;91;89;90;39;5,7;3,8;
2022/01/01;1100 UTC;;931,2;931,4;930,5;401,7;21,1;18,9;21,1;20,5;19;18,8;90;87;87;27;6,6;4,5;
2022/01/01;1200 UTC;;931,6;931,7;931,1;1108,2;22,3;19,1;22,4;21,1;19,4;18,9;87;82;82;25;6,6;3,6;
2022/01/01;1300 UTC;;931,7;931,8;931,5;1117,5;23,1;19,5;23,2;22,3;19,7;18,9;84;79;80;34;5,4;3,1;
2022/01/01;1400 UTC;;931,7;931,8;931,6;1238,5;24,2;19,7;24,2;23,1;19,9;19,2;80;76;76;34;6,3;3,7;
2022/01/01;1500 UTC;;930,9;931,7;930,8;1438,9;25,2;19,9;25,2;23,7;20;19,2;77;72;72;30;8,6;4,4;
2022/01/01;1600 UTC;;930,2;930,8;930;1893,7;25,2;19,8;25,3;24,5;20;19;73;69;72;15;9;4,8;
2022/01/01;1700 UTC;;929,3;930,1;929,1;1886,2;26,5;19,6;26,5;25,1;19,9;18,8;72;64;66;25;7,8;3,5;
2022/01/01;1800 UTC;;928,6;929,3;928,5;896;25,5;19,3;26,8;25,1;20,1;19,2;74;64;69;10;6;3,4;
2022/01/01;1900 UTC;;928,9;929,2;928,5;357,7;22;21,7;25,6;20,1;21,7;18,9;98;68;98;303;12,7;2,5;
2022/01/01;2000 UTC;;929;929;928,8;437,3;22,5;20,9;22,9;22;22;20,8;98;90;90;205;3,5;1,3;
2022/01/01;2100 UTC;;929,9;930;928,8;76,5;20,5;19,3;22,6;20,5;21;19,3;93;90;93;64;7,6;4,1;
2022/01/01;2200 UTC;;930,4;930,4;929,9;27,4;20,4;19,9;20,6;20,4;20;19,3;97;93;97;110;7,6;1,2;
2022/01/01;2300 UTC;;931;931;930,3;;20,7;20,1;20,7;20,4;20,2;19,8;98;97;97;38;2,8;1,5;
2022/01/02;0000 UTC;;931,7;931,8;931;;20,3;19,8;20,7;20,3;20,1;19,7;97;96;97;86;3,4;1,5;
2022/01/02;0100 UTC;;932,4;932,4;931,6;;20,6;20,3;20,6;20,3;20,3;19,8;98;97;98;52;2,4;1;
2022/01/02;0200 UTC;;932,1;932,4;932;;20,7;20,4;20,8;20,6;20,5;20,3;98;98;98;53;3,2;2,2;
2022/01/02;0300 UTC;;931,7;932,2;931,7;,2;20,8;20,3;20,8;20,7;20,4;20,3;98;97;97;52;3,2;2;
2022/01/02;0400 UTC;;931,4;931,8;931,3;0;20,8;20,3;20,8;20,8;20,4;20,3;97;97;97;64;4,2;2,2;
2022/01/02;0500 UTC;;930,9;931,4;930,8;;20,6;20,2;20,8;20,6;20,3;20,2;98;97;97;52;3,9;2,3;
2022/01/02;0600 UTC;;930,9;931;930,6;;20,6;20,1;20,7;20,6;20,2;20;97;97;97;37;3,7;2;
2022/01/02;0700 UTC;;931;931,1;930,7;;20,6;20,1;20,7;20,6;20,2;20;97;97;97;36;3,7;1,8;
2022/01/02;0800 UTC;;931,3;931,5;930,8;;20,6;20,2;20,7;20,6;20,3;20,1;98;97;98;49;3,1;1,6;
2022/01/02;0900 UTC;;931,8;932,1;931,2;5,3;20,5;20,1;20,6;20,5;20,2;20,1;98;97;98;29;3,2;1,8;
2022/01/02;1000 UTC;;932,2;932,4;931,7;232,9;21;20,4;21,1;20,4;20,7;20;98;96;97;43;4;2,5;
2022/01/02;1100 UTC;;932,8;932,9;932,1;802,5;21,7;19,6;22,2;21;20,6;19,4;97;87;88;33;5,7;3,6;
2022/01/02;1200 UTC;;933,1;933,2;932,8;1053;22,7;19,9;23;21,6;20,2;19,4;89;83;84;46;5,8;2,4;
2022/01/02;1300 UTC;;933;933,2;932,9;1640,2;24,4;19,9;24,9;22,6;20,7;19,5;85;74;76;18;5,9;3,8;
2022/01/02;1400 UTC;;932,4;933;932,4;2365,8;25,4;19,9;26;24,4;20,5;19,2;77;69;72;29;7,4;4,9;
2022/01/02;1500 UTC;;931,4;932,4;931,4;2697,3;26,4;20,1;26,9;25,3;20,6;19,2;73;66;68;22;8,3;3,9;
2022/01/02;1600 UTC;;930,7;931,5;930,5;2910,4;28;19,8;28,1;26,1;20,4;19,3;69;61;61;12;7,9;4,1;
2022/01/02;1700 UTC;;929,4;930,7;929,3;3179,2;28,3;18,8;29,1;27,2;20,7;18,8;64;56;57;35;9;4,5;
2022/01/02;1800 UTC;;929,3;929,5;929;798,3;25,1;20,9;28,3;22,9;21,6;18,6;87;56;78;334;12,9;4,7;
2022/01/02;1900 UTC;;928,3;929,5;928,3;2181,8;25,8;21,2;25,8;24,7;22,2;20,2;83;72;76;10;8,1;1,7;
2022/01/02;2000 UTC;;929,6;929,6;928,3;558,2;22,8;20,4;26;22,5;21;19,1;87;70;87;357;10,3;5,3;
2022/01/02;2100 UTC;;930;930;929,2;213,4;23,2;20,7;23,2;22,8;20,9;20;88;83;86;276;8,8;1,3;
2022/01/02;2200 UTC;;930,4;930,5;930;31,5;21,8;20,1;23,2;21,8;20,7;19,6;90;83;90;91;4,4;,8;
2022/01/02;2300 UTC;;931;931;930,4;;22,2;19,9;22,3;21,8;20,1;19,9;90;86;87;347;1,8;1,2;
2022/01/03;0000 UTC;;931,5;931,5;930,8;;21,7;20,2;22,2;21,5;20,2;19,8;91;86;91;65;2,3;1,4;
2022/01/03;0100 UTC;;932,1;932,3;931,4;;21,7;20,4;22,1;21,1;20,4;19,6;93;90;93;356;2,1;,6;
2022/01/03;0200 UTC;;932,3;932,5;932,1;;21,3;20;21,9;21,3;20,6;19,9;93;91;92;250;1,7;1,1;
2022/01/03;0300 UTC;;932,4;932,5;932,2;;21,3;20,1;21,5;21;20,2;19,7;93;92;93;220;1,7;,4;
2022/01/03;0400 UTC;;931,9;932,4;931,9;;21,9;20,4;21,9;21,2;20,4;20;93;91;91;335;1,5;,8;
2022/01/03;0500 UTC;;931,6;932;931,4;;21,3;20;21,9;21,2;20,4;19,7;92;90;92;115;1,6;,7;
2022/01/03;0600 UTC;;931,2;931,6;931,1;;21,6;20,2;21,6;21,3;20,2;20;92;92;92;350;1,3;,8;
2022/01/03;0700 UTC;;931,2;931,3;931,1;;21;19,9;21,6;20,8;20,2;19,5;93;91;93;201;1,6;1;
2022/01/03;0800 UTC;;931,5;931,6;931,1;;20,9;20;21,1;20,8;20,1;19,7;95;93;95;140;1,6;,6;
2022/01/03;0900 UTC;;932,2;932,4;931,5;,9;21,2;20,3;21,2;20,8;20,4;20;95;95;95;34;2,1;1,5;
2022/01/03;1000 UTC;;932,7;932,9;932,2;209,3;21,7;20,4;21,8;21,2;20,6;20,2;95;92;92;2;3,1;1,6;
2022/01/03;1100 UTC;;932,9;932,9;932,7;629,9;22,8;20;22,9;21,7;20,8;19,9;92;84;84;357;2,6;1,6;
2022/01/03;1200 UTC;;933,2;933,2;932,8;2059,9;24,7;19,7;25,2;22,8;20,7;19,6;85;73;74;15;6,1;3,6;
2022/01/03;1300 UTC;;932,8;933,2;932,7;1247,6;24,4;20;25,5;24,2;20,7;19,2;80;71;77;148;6,4;1,5;
2022/01/03;1400 UTC;;932;932,8;932;2908,7;26,7;19,5;27,3;24,3;20,7;18,9;77;61;64;18;3,8;1,1;
2022/01/03;1500 UTC;;931,3;932;931,2;1122,3;23,1;19,6;27,6;22,4;20,2;18,7;86;60;81;209;9;2;
2022/01/03;1600 UTC;;930,2;931,6;930,2;1128,7;24,4;21,5;24,4;22;22,1;19,6;91;81;84;85;4,1;,9;
2022/01/03;1700 UTC;;928,9;930,2;928,9;3690,8;27,9;20,7;28;24,4;22,5;19,4;86;61;65;136;3,8;1,7;
2022/01/03;1800 UTC;;928,3;928,9;928,3;884,1;22,7;21,1;28;21,8;21,1;19,5;91;61;90;110;12,7;3,1;
2022/01/03;1900 UTC;;927,4;928,3;927,2;2605,5;27,2;20,9;27,6;22,7;21,9;19,7;90;64;68;52;4,6;2;
2022/01/03;2000 UTC;;927,5;927,5;927,1;1383,1;26,6;20,7;28;26,6;21;19,1;70;59;70;37;4,9;3,2;
2022/01/03;2100 UTC;;927,7;927,7;927,1;285,1;25,7;21,2;26,6;25,7;21,4;20,7;77;70;76;25;6;4,2;
2022/01/03;2200 UTC;;928,8;928,8;927,7;128;24,8;20,9;25,7;24,8;21,2;20,5;79;75;79;31;7;2,6;
2022/01/03;2300 UTC;;929,6;929,6;928,8;;22,7;20,5;24,8;22,7;21,3;20,5;89;79;87;358;7,5;4,9;
2022/01/04;0000 UTC;;930,5;930,5;929,6;;22;20,2;22,7;21,9;20,5;19,9;90;86;90;339;7,8;3,4;
2022/01/04;0100 UTC;;930,6;930,8;930,3;;21,4;20;22;21,4;20,2;19,7;92;87;92;179;5,9;1,1;
2022/01/04;0200 UTC;;930,6;931;930,5;;21,6;20,4;21,6;21,2;20,4;19,9;93;92;93;80;3,1;1,5;
2022/01/04;0300 UTC;;930;930,7;929,9;;21,7;20,2;21,8;21,5;20,5;20,2;93;91;91;336;2,6;1,1;
2022/01/04;0400 UTC;;929,7;930;929,5;;21,8;20,2;21,8;21,7;20,3;20,2;91;91;91;8;3;1,9;
2022/01/04;0500 UTC;;929,6;929,7;929,1;;21,3;20,1;21,8;21,3;20,3;20,1;92;91;92;77;3;1,6;
2022/01/04;0600 UTC;;929,2;929,5;929,1;;21,1;20,1;21,6;21,1;20,5;20,1;94;92;94;191;2,6;1,1;
2022/01/04;0700 UTC;;928,9;929,3;928,9;;21,3;20,7;21,3;21;20,7;20;97;94;97;140;1,7;,6;
2022/01/04;0800 UTC;;929,1;929,2;928,8;;21,6;21;21,6;21,3;21,2;20,7;98;97;97;8;1,8;1,3;
2022/01/04;0900 UTC;;929,7;929,9;929;3,1;21,5;20,9;21,6;21,5;21;20,9;97;96;96;35;3,3;1,8;
2022/01/04;1000 UTC;;930,5;930,6;929,6;108,1;21,7;20,5;21,8;21,5;21,1;20,5;96;93;93;29;4,3;2,8;
2022/01/04;1100 UTC;;930,8;931;930,4;943,8;22,8;20,2;23;21,7;20,6;20,1;93;85;85;23;5,5;2,1;
2022/01/04;1200 UTC;;931,3;931,4;930,8;1481,8;23,6;20,6;24,1;22,8;21,1;20,1;87;80;83;11;4,8;2,9;
2022/01/04;1300 UTC;;931,2;931,2;931,1;2046,8;25,6;20,6;25,9;23,5;21,3;20,2;83;74;74;40;5,2;3,1;
