REGIAO:;SE
UF:;RJ
ESTACAO:;DUQUE DE CAXIAS - XEREM
CODIGO (WMO):;A603
LATITUDE:;-22,58972221
LONGITUDE:;-43,28222221
ALTITUDE:;22
DATA DE FUNDACAO:;21/10/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,2;1006,1;1006,1;1005,7;0;23,1;22,8;23,4;23;23;22,7;98;98;98;288;2,2;,3;
2022/01/01;0100 UTC;0;1006,6;1006,6;1006;0;23,3;22,5;23,3;23;22,9;22,5;98;95;95;246;4,6;1,4;
2022/01/01;0200 UTC;0;1006,7;1006,9;1006,5;0;22,7;22,1;23,4;22,7;22,5;22;96;93;96;213;4,6;,1;
2022/01/01;0300 UTC;0;1005,3;1006,7;1004,9;,1;23,2;21,6;25,2;22,6;22,1;20,1;97;73;91;219;5,3;1;
2022/01/01;0400 UTC;0;1004,9;1005,3;1004,8;0;22,1;21,5;23,2;22,1;21,6;21,4;97;90;97;178;4,5;,2;
2022/01/01;0500 UTC;,2;1005,1;1005,5;1004,8;0;21,9;21,5;22,2;21,9;21,7;21,5;98;97;98;114;1,9;0;
2022/01/01;0600 UTC;0;1005,1;1005,4;1004,9;0;21,8;21,5;22,1;21,8;21,6;21,4;98;97;98;134;1,9;,4;
2022/01/01;0700 UTC;0;1005,6;1005,6;1005,1;0;21,8;21,5;21,9;21,7;21,6;21,4;98;98;98;322;2,7;,1;
2022/01/01;0800 UTC;0;1005,8;1005,8;1005,3;0;21,7;21,5;21,9;21,7;21,5;21,4;98;98;98;45;1,7;,1;
2022/01/01;0900 UTC;0;1005,9;1006;1005,5;20,9;21,8;21,5;21,8;21,7;21,5;21,4;98;98;98;107;2,3;0;
2022/01/01;1000 UTC;0;1006,4;1006,4;1005,7;186,2;22,5;22;22,5;21,7;22;21,5;98;97;97;93;2,1;0;
2022/01/01;1100 UTC;0;1006,7;1006,7;1006,3;376,1;23,5;22,4;23,5;22,5;22,4;21,8;97;93;94;260;1,8;,5;
2022/01/01;1200 UTC;0;1007;1007,1;1006,6;461,3;24,1;22,4;24,1;23,5;22,7;21,9;94;90;90;63;2,2;,2;
2022/01/01;1300 UTC;0;1007,3;1007,3;1006,8;598,8;25,3;23,2;25,3;24;23,4;22,3;92;88;88;320;2,1;,2;
2022/01/01;1400 UTC;0;1007,1;1007,5;1007;964,6;26,3;23,6;26,4;25,3;24,1;23;89;85;85;310;2,4;,6;
2022/01/01;1500 UTC;0;1006,6;1007,1;1006,5;1440,5;28,1;23,6;28,6;26,3;24,6;23,3;87;75;76;267;3,4;1,2;
2022/01/01;1600 UTC;0;1006,3;1006,6;1006,2;930,2;28,6;25;28,6;27,1;25,5;23,3;87;74;81;27;3,4;,5;
2022/01/01;1700 UTC;0;1005,7;1006,3;1005,7;774,6;28,5;24,5;28,6;27,2;25,2;23,7;89;78;79;70;3,8;0;
2022/01/01;1800 UTC;,2;1005,2;1005,7;1005,1;2370,4;29,3;22,8;29,8;28,5;24,8;22,8;80;68;68;125;7;3,2;
2022/01/01;1900 UTC;0;1004,8;1005,2;1004,8;1405,1;30,2;22,6;30,2;28,4;24,3;22,1;76;62;64;47;7,7;1,5;
2022/01/01;2000 UTC;0;1005,5;1005,5;1004,8;950,1;29;20,7;30,9;28,7;24,4;20,7;77;59;61;80;5,3;2;
2022/01/01;2100 UTC;2,2;1005,7;1005,9;1005,5;317,1;24;23,3;29;24;23,4;20,6;96;61;96;99;7,7;,2;
2022/01/01;2200 UTC;0;1006,3;1006,3;1005,6;29,1;23,6;23,2;24,3;23,6;23,6;23;97;95;97;193;2;0;
2022/01/01;2300 UTC;0;1007,2;1007,2;1006,3;0;23,3;22,9;23,6;23,3;23,2;22,9;98;97;98;185;1,8;,5;
2022/01/02;0000 UTC;0;1007,9;1007,9;1007,2;0;23,1;22,8;23,3;23;23;22,8;98;98;98;143;1,7;,1;
2022/01/02;0100 UTC;0;1008,7;1008,7;1007,9;0;22,9;22,7;23,1;22,8;22,8;22,6;99;98;99;119;1,2;0;
2022/01/02;0200 UTC;0;1008,4;1008,7;1008,4;0;22,7;22,5;22,9;22,6;22,7;22,4;99;99;99;114;1,9;0;
2022/01/02;0300 UTC;0;1007,9;1008,4;1007,8;0;22,6;22,4;22,7;22,6;22,5;22,3;99;99;99;257;1,4;0;
2022/01/02;0400 UTC;0;1006,7;1007,9;1006,7;0;22,7;22,5;22,8;22,6;22,6;22,3;99;99;99;73;1,7;0;
2022/01/02;0500 UTC;0;1006,2;1006,7;1006,2;0;23,2;22,2;26,8;22,6;23;21,2;99;72;94;175;5,8;,5;
2022/01/02;0600 UTC;0;1006;1006,2;1006;0;23,2;22,3;23,6;22,9;22,4;22,2;96;92;95;171;3,4;,3;
2022/01/02;0700 UTC;,2;1006,4;1006,4;1006;0;26,7;20,7;26,7;23;22,3;20,7;95;70;70;82;5,2;1,9;
2022/01/02;0800 UTC;,2;1007,2;1007,2;1006,4;0;26,5;20,2;27,1;26,1;20,9;20,1;72;66;69;73;8,5;2,9;
2022/01/02;0900 UTC;0;1007,9;1007,9;1007,2;32;26,7;20,4;27,4;26,5;20,6;20;69;64;69;75;8,7;2;
2022/01/02;1000 UTC;0;1008,4;1008,4;1007,9;183,8;25,3;21,3;26,9;24,9;21,9;20,3;83;67;79;8;6,6;,8;
2022/01/02;1100 UTC;,2;1009,1;1009,1;1008,4;480,9;26,2;21,7;26,4;25,3;22,2;21,1;82;73;76;80;5,4;2;
2022/01/02;1200 UTC;0;1009,2;1009,4;1009,1;1094,4;26,9;22,2;26,9;25,9;22,4;21,4;79;73;75;68;5,4;2,1;
2022/01/02;1300 UTC;0;1009,1;1009,2;1009,1;1451,9;28,5;21,6;28,8;26,9;23;21,3;75;64;66;74;5,1;1,7;
2022/01/02;1400 UTC;0;1008,7;1009,1;1008,6;1578,8;30,1;22,7;30,2;28,5;23,1;21,1;73;60;65;34;5,1;1,2;
2022/01/02;1500 UTC;0;1008,3;1008,7;1008,3;1289,9;30,4;22,8;30,4;28,6;24,9;21,5;80;60;64;229;3,3;,3;
