REGIAO:;SE
UF:;RJ
ESTACAO:;CAMBUCI
CODIGO (WMO):;A604
LATITUDE:;-21,58749999
LONGITUDE:;-41,95833333
ALTITUDE:;46
DATA DE FUNDACAO:;20/11/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1004,5;1004,5;1003,9;;24,4;23,2;24,7;24,4;23,4;23,2;94;92;93;154;1,3;,3;
2022/01/01;0100 UTC;0;1005;1005;1004,5;;24,3;23,3;24,4;24,2;23,3;23,1;94;93;94;286;1,3;,2;
2022/01/01;0200 UTC;0;1004,8;1005,1;1004,8;;24,4;23,5;24,5;24,3;23,5;23,3;94;94;94;151;1,2;,2;
2022/01/01;0300 UTC;0;1003,8;1004,8;1003,8;;24,2;23,3;24,5;24,2;23,5;23,3;95;94;95;316;1,1;,4;
2022/01/01;0400 UTC;0;1003,4;1003,8;1003,4;;24,3;23,4;24,4;24,2;23,5;23,3;95;95;95;111;1,2;,6;
2022/01/01;0500 UTC;0;1003,5;1003,5;1003,3;;24;23,3;24,3;24;23,4;23,1;95;95;95;235;1,2;,4;
2022/01/01;0600 UTC;0;1003,5;1003,6;1003,4;;24,1;23,3;24,2;24;23,4;23,2;95;95;95;202;1,2;,6;
2022/01/01;0700 UTC;0;1003,8;1003,8;1003,4;;23,9;23;24,2;23,9;23,3;23;95;95;95;100;1,1;,7;
2022/01/01;0800 UTC;,4;1004;1004;1003,7;;23,5;22,7;23,9;23,5;23;22,7;95;95;95;39;1,4;,7;
2022/01/01;0900 UTC;,2;1004,5;1004,6;1004;18,7;23,7;22,6;23,8;23,4;22,8;22,6;95;93;93;39;3,6;,9;
2022/01/01;1000 UTC;0;1005;1005,1;1004,4;192,1;24,6;22,2;24,6;23,7;22,9;22,2;93;86;86;75;3,6;,8;
2022/01/01;1100 UTC;0;1005,5;1005,5;1005;647,9;25,8;22,8;25,9;24,6;22,9;22,2;87;81;83;108;1,4;,6;
2022/01/01;1200 UTC;0;1005,8;1005,8;1005,5;813,8;26,2;23;26,3;25,5;23,1;22,4;85;81;83;99;2,7;,9;
2022/01/01;1300 UTC;0;1005,9;1006;1005,8;1020,5;27;22,8;27;26,1;23,3;22,6;83;77;78;202;1,9;,7;
2022/01/01;1400 UTC;0;1005,7;1006;1005,7;1019,5;27;22,5;27,7;26,8;23,5;22,5;80;75;76;126;3,2;,8;
2022/01/01;1500 UTC;0;1005;1005,7;1005;860,5;27,3;22,9;27,6;27;23,5;22,4;80;74;77;46;1,9;1,1;
2022/01/01;1600 UTC;,2;1004,3;1005;1004,3;1071,9;27,8;23;27,9;27,3;23,5;22,4;78;74;75;96;3,4;1,5;
2022/01/01;1700 UTC;0;1003,7;1004,3;1003,7;1611,7;28,2;23;28,5;27,8;23,6;22,8;76;72;73;101;4;2,3;
2022/01/01;1800 UTC;0;1003,6;1003,7;1003,5;901,7;28,3;22,9;28,5;28,1;23,6;22,8;76;72;73;110;5,3;1,2;
2022/01/01;1900 UTC;0;1003,2;1003,6;1003,2;475,7;28,3;22,8;28,3;28,1;23,7;22,5;77;71;72;67;3;1,1;
2022/01/01;2000 UTC;0;1003,2;1003,2;1003,1;529,1;28,5;22,8;28,8;28,3;23,4;22,4;74;68;71;47;2,6;,6;
2022/01/01;2100 UTC;0;1003,6;1003,6;1003,2;204,5;27,6;22,8;28,8;27,2;23,7;22,4;80;69;75;47;2,1;,7;
2022/01/01;2200 UTC;0;1004,6;1004,6;1003,6;,9;25,6;23,8;27,7;25,6;23,9;22,9;90;75;90;240;2,3;,6;
2022/01/01;2300 UTC;0;1005,3;1005,4;1004,6;;25,1;23,2;25,8;25,1;23,8;23,1;89;87;89;254;2,3;,3;
2022/01/02;0000 UTC;0;1006,1;1006,1;1005,3;;24,6;22,9;25,2;24,6;23,2;22,8;90;89;90;309;1,1;,4;
2022/01/02;0100 UTC;0;1006,9;1006,9;1006,1;;24,6;23,1;24,7;24,5;23,1;22,9;92;90;92;213;1;,3;
2022/01/02;0200 UTC;1,8;1007,1;1007,2;1006,9;;23,9;22,8;24,6;23,9;23,3;22,8;93;92;93;240;2,4;,9;
2022/01/02;0300 UTC;1,4;1006,8;1007,1;1006,8;;22,9;21,8;23,9;22,8;22,8;21,8;94;93;94;225;3,3;,4;
2022/01/02;0400 UTC;,4;1006;1006,8;1006;;22,7;21,9;22,9;22,7;22;21,7;95;94;95;61;1,5;,3;
2022/01/02;0500 UTC;0;1005,8;1006;1005,8;;22,9;22;22,9;22,6;22;21,8;95;95;95;228;3,3;1,2;
2022/01/02;0600 UTC;0;1006;1006;1005,8;;22,6;21,1;23,1;22,6;22;21;95;89;91;249;4,6;,9;
2022/01/02;0700 UTC;0;1006,2;1006,2;1005,8;;22,5;21,1;23,1;22,5;21,7;21;93;89;92;265;2,7;,5;
