REGIAO:;SE
UF:;RJ
ESTACAO:;NOVA FRIBURGO - SALINAS
CODIGO (WMO):;A624
LATITUDE:;-22,33472221
LONGITUDE:;-42,67694443
ALTITUDE:;1070
DATA DE FUNDACAO:;18/09/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,6;894,7;894,7;894,1;;18,7;16,5;18,8;18,4;16,6;16,1;87;86;87;71;7,6;2,7;
2022/01/01;0100 UTC;,6;895,1;895,3;894,7;;19,2;15,8;19,3;18,6;16,8;15,8;88;81;81;43;9,4;3,8;
2022/01/01;0200 UTC;,6;894,8;895,2;894,8;;17,8;15;19,2;17,8;15,6;14,4;84;76;84;69;9,4;2,2;
2022/01/01;0300 UTC;0;893,9;894,8;893,9;;18,5;16,1;18,5;17,5;16,1;15;86;84;86;67;6,9;2,7;
2022/01/01;0400 UTC;0;893,5;893,9;893,5;,5;19,5;16,7;19,6;18,5;16,7;16,3;86;83;84;58;9,9;4,2;
2022/01/01;0500 UTC;0;893;893,6;892,9;2;19,8;16,7;19,9;19,5;16,8;16,6;84;82;82;51;11,8;4,4;
2022/01/01;0600 UTC;0;892,9;893;892,7;;19,9;16,5;20,3;19,8;16,7;16,2;82;77;81;49;11,8;3,7;
2022/01/01;0700 UTC;0;893,1;893,2;892,9;;20;16,6;20,1;19,8;16,6;16,2;81;79;81;56;11,1;4,3;
2022/01/01;0800 UTC;0;893,6;893,7;893,1;;19,5;15,7;20,1;19,4;16,6;15,2;81;75;79;45;10,6;3,8;
2022/01/01;0900 UTC;0;893,8;894;893,6;21,6;19,6;16,3;19,7;19,3;16,4;15,7;82;78;81;57;11,5;3,6;
2022/01/01;1000 UTC;0;894,5;894,5;893,8;123,1;19,7;16,6;19,9;19,5;16,6;16,3;83;80;82;58;11,7;3,8;
2022/01/01;1100 UTC;0;894,9;894,9;894,5;264,1;19,9;16,5;20;19,7;16,6;16,5;82;81;81;58;10,9;4,9;
2022/01/01;1200 UTC;0;895,3;895,3;894,8;399,2;20,3;16,6;20,3;19,9;16,7;16,5;82;79;80;59;13;5;
2022/01/01;1300 UTC;0;895,4;895,5;895,3;535,3;20,5;16,5;20,6;20,1;16,8;16,5;81;77;78;54;11,1;4,4;
2022/01/01;1400 UTC;0;895,4;895,7;895,3;744,5;21;16,7;21,1;20,4;16,9;16,5;79;75;76;60;11,1;3,7;
2022/01/01;1500 UTC;0;894,9;895,4;894,8;846,9;21;16,7;21,4;21;16,9;16,4;77;73;76;68;11;4;
