REGIAO:;SE
UF:;RJ
ESTACAO:;RIO CLARO
CODIGO (WMO):;A626
LATITUDE:;-22,653579
LONGITUDE:;-44,040916
ALTITUDE:;516
DATA DE FUNDACAO:;03/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;952;952,1;951,3;;20,4;19,1;20,7;20,4;19,7;19,1;94;92;92;60;7;4,2;
2022/01/01;0100 UTC;,2;952,7;952,7;952;;20,4;19;20,6;20,3;19,2;19;93;91;92;69;6,1;3,2;
2022/01/01;0200 UTC;0;952,4;952,8;952,4;;20,5;19,1;20,6;20,4;19,2;19;92;92;92;63;6,7;2,2;
2022/01/01;0300 UTC;0;952;952,5;951,8;;20,4;18,9;20,7;20,4;19,1;18,8;92;90;91;34;6;1,3;
2022/01/01;0400 UTC;1,8;951,9;952,1;951,8;;20;18,9;20,4;20;19;18,8;93;91;93;34;3,5;,9;
2022/01/01;0500 UTC;1,4;951,6;951,9;951,4;;19,8;18,9;20;19,8;19;18,9;95;93;95;256;1,8;,5;
2022/01/01;0600 UTC;2,6;951,1;951,6;951,1;;19,6;18,8;19,8;19,6;18,9;18,8;95;95;95;117;1,8;,9;
2022/01/01;0700 UTC;,6;951,4;951,4;951,1;;19,6;18,8;19,8;19,6;18,9;18,8;95;95;95;60;2,1;,9;
2022/01/01;0800 UTC;,6;951,8;951,9;951,4;;19,5;18,7;19,6;19,4;18,8;18,6;95;95;95;51;2,2;,7;
2022/01/01;0900 UTC;,2;951,9;951,9;951,8;27,9;19,5;18,7;19,5;19,4;18,7;18,5;95;95;95;38;1,9;1,1;
2022/01/01;1000 UTC;0;952,5;952,5;951,9;161,5;20;19;20;19,5;19;18,7;95;94;94;57;3,2;1;
2022/01/01;1100 UTC;,4;953,1;953,1;952,5;536,2;21,4;20,3;21,4;20;20,3;19;95;93;93;50;3,2;1,6;
2022/01/01;1200 UTC;0;953,3;953,3;953;949,3;22,8;19,9;22,9;21,4;21,1;19,7;93;83;84;45;3,8;1,9;
2022/01/01;1300 UTC;,2;953,6;953,7;953,3;860,6;22,7;20;22,9;22,5;20,5;19,4;87;82;85;10;5,4;1,9;
2022/01/01;1400 UTC;0;953,5;953,8;953,5;1147,3;23,6;19,9;23,6;22,6;20,5;19,5;86;79;80;24;6,5;3,3;
2022/01/01;1500 UTC;0;952,7;953,5;952,7;2045,3;25,1;20,2;25,2;23,6;21;19;81;70;74;19;7,9;4,2;
2022/01/01;1600 UTC;0;952;952,7;952;2139,6;27,2;20,9;27,2;25;21,3;19,5;75;66;68;30;7,9;4,2;
2022/01/01;1700 UTC;0;951,3;952;951,2;2094,9;27,6;19,2;27,8;26,3;21,3;18,7;69;59;60;23;12,1;4,5;
2022/01/01;1800 UTC;0;951;951,3;951;2576,9;28,9;18,7;29,4;27,6;20;18;61;53;54;333;9,2;2,9;
2022/01/01;1900 UTC;0;950,8;951,1;950,8;1232,8;27,8;19,1;29,7;27,7;20,1;18,3;60;53;59;38;6,6;2,7;
2022/01/01;2000 UTC;0;950,9;950,9;950,8;632,7;27;20,5;28;26,9;20,8;18,7;69;57;67;83;4,8;1,4;
2022/01/01;2100 UTC;0;951,6;951,6;950,9;131,8;23,7;21,6;27;23,5;21,7;19,6;89;66;88;64;5,6;2,7;
2022/01/01;2200 UTC;4,4;952,5;952,5;951,6;32,1;21,9;20,7;23,9;21,8;21,7;20,3;93;84;93;87;5,6;2,1;
2022/01/01;2300 UTC;0;953,4;953,4;952,5;;21,8;20,6;22;21,5;20,9;20,4;94;93;93;109;4,5;2,2;
2022/01/02;0000 UTC;0;954,3;954,3;953,4;;21,8;20,7;21,9;21,7;20,7;20,5;93;93;93;211;4,5;,5;
2022/01/02;0100 UTC;,4;954,8;954,8;954,3;;21,6;20,7;21,8;21,6;20,8;20,6;94;93;94;351;1,3;,4;
2022/01/02;0200 UTC;2,8;954,5;954,9;954,5;;21,5;20,6;21,7;21,5;20,8;20,6;95;94;95;60;2,3;1;
2022/01/02;0300 UTC;0;954,2;954,5;954,1;;21,3;20,4;21,5;21,3;20,6;20,4;95;95;95;91;2,2;,4;
2022/01/02;0400 UTC;0;953,5;954,2;953,5;;21,3;20,4;21,4;21,3;20,5;20,4;95;95;95;31;2,3;1,5;
2022/01/02;0500 UTC;,2;953,3;953,5;953,3;;21,3;20,4;21,3;21,2;20,4;20,3;95;95;95;103;2,3;,8;
2022/01/02;0600 UTC;,2;953;953,3;953;;21,3;20,4;21,3;21,1;20,4;20,2;95;94;95;56;1,9;1;
2022/01/02;0700 UTC;,6;953,3;953,3;952,9;;21,2;20,3;21,3;21,1;20,5;20,2;95;95;95;46;2,4;1,6;
2022/01/02;0800 UTC;,4;953,8;953,8;953,3;;21;20,1;21,2;21;20,3;20,1;95;95;95;62;3,8;1,4;
2022/01/02;0900 UTC;0;954,5;954,5;953,8;26,2;21,2;20,2;21,2;21;20,3;20,1;95;94;94;58;5,8;3,6;
2022/01/02;1000 UTC;,2;955;955;954,5;230,3;21,7;20,5;21,7;21,1;20,5;20,1;94;93;93;61;5,8;2,6;
2022/01/02;1100 UTC;0;955,4;955,4;955;803,1;23,4;21,4;23,5;21,7;21,8;20,5;93;88;89;57;5,6;1,7;
2022/01/02;1200 UTC;0;955,6;955,7;955,4;1356,5;24;21,1;24,6;23,4;22,1;20,2;89;80;84;33;5,7;3,1;
2022/01/02;1300 UTC;0;955,5;955,6;955,5;1690,3;25,7;21,2;25,7;24;22,3;20,8;85;76;77;356;5,4;2,2;
2022/01/02;1400 UTC;,2;955,1;955,5;955,1;1743,4;27,2;22,4;27,4;25,6;22,7;20,7;79;70;75;356;4;1,2;
2022/01/02;1500 UTC;0;954,3;955,1;954,3;1953,5;27,9;21,5;28,3;26,9;22,4;20,4;75;66;68;281;4,5;1,5;
2022/01/02;1600 UTC;2,2;953,7;954,3;953,6;943,4;22;20,7;28,4;21,9;22,5;20,4;93;64;92;90;10,5;5,2;
2022/01/02;1700 UTC;,2;953,1;953,8;953,1;1552,4;24;21,2;24,2;21,7;22,4;20,5;94;84;85;79;8,5;3,9;
2022/01/02;1800 UTC;0;952,6;953,1;952,5;2145;24,9;22,4;27,2;24;23,8;21,5;87;76;86;73;6,4;3;
2022/01/02;1900 UTC;1,4;952,6;952,7;952,2;918,1;25;22,6;25,1;23,8;23,6;21,5;92;82;86;36;5,5;2,4;
2022/01/02;2000 UTC;,4;952,8;952,8;952,6;425,1;23,6;21,8;25,1;23,6;22,7;21;90;84;90;122;4,6;,9;
2022/01/02;2100 UTC;,2;953,3;953,3;952,8;311,4;22,2;20,9;24,1;22,2;22,2;20,7;92;87;92;244;3,9;1,6;
2022/01/02;2200 UTC;0;953,6;953,6;953,3;25,8;21,4;20,4;22,2;21,4;20,9;20,4;94;92;94;246;3,7;1,3;
2022/01/02;2300 UTC;0;954,1;954,1;953,6;;21,1;20,1;21,4;21,1;20,4;20,1;94;94;94;249;3,3;,8;
2022/01/03;0000 UTC;0;954,6;954,6;954,1;;21;20,1;21,1;21;20,2;20,1;95;94;95;45;1,5;,5;
2022/01/03;0100 UTC;0;954,9;955;954,6;;21,4;20,6;21,4;21;20,6;20,1;95;95;95;74;1,5;1;
2022/01/03;0200 UTC;1;955,1;955,1;954,9;;21,9;20,9;21,9;21,4;21;20,6;95;95;95;352;2,5;,6;
2022/01/03;0300 UTC;0;954,7;955,1;954,7;;21,5;20,5;21,9;21,5;21;20,5;95;94;94;72;2,9;1;
2022/01/03;0400 UTC;,4;954;954,7;954;;21,5;20,5;21,6;21,4;20,6;20,3;94;93;94;110;2;,7;
2022/01/03;0500 UTC;1;953,5;954;953,4;;21,1;20,2;21,5;21,1;20,5;20,2;95;94;95;117;1,5;,9;
2022/01/03;0600 UTC;,4;953,1;953,5;953,1;;21,3;20,5;21,3;21,1;20,5;20,2;95;95;95;327;1,8;,5;
2022/01/03;0700 UTC;0;953,2;953,3;953,1;;21,2;20,4;21,4;21,2;20,6;20,4;95;95;95;86;1,5;,9;
2022/01/03;0800 UTC;0;953,3;953,3;953,2;;21,3;20,5;21,4;21,2;20,6;20,4;95;95;95;41;3,1;1,4;
2022/01/03;0900 UTC;0;953,5;953,5;953,3;30,8;21,4;20,6;21,4;21,3;20,6;20,5;95;95;95;26;3,9;1,4;
2022/01/03;1000 UTC;0;954;954;953,5;233,7;22,2;21,4;22,2;21,4;21,4;20,6;95;95;95;264;2,3;,4;
2022/01/03;1100 UTC;0;954,7;954,7;954;486,8;22,5;20,9;22,6;22,2;21,5;20,8;95;91;91;82;3,2;1,7;
2022/01/03;1200 UTC;0;954,8;954,8;954,7;820,6;24,1;21,3;24,1;22,5;21,6;20,7;92;83;84;66;3,3;1,2;
2022/01/03;1300 UTC;0;954,6;954,8;954,6;1084,9;23,8;20,7;24,2;23,7;21,3;20,3;85;80;83;41;4,7;2,4;
2022/01/03;1400 UTC;0;954,2;954,6;954,2;833,4;24,6;21,2;24,6;23,8;21,7;20,3;85;81;82;47;4,4;1,1;
2022/01/03;1500 UTC;0;953,6;954,2;953,6;1669,6;26,7;21,1;26,8;24,4;22;20,5;83;69;71;108;2,8;,7;
2022/01/03;1600 UTC;0;952,8;953,6;952,8;2453,1;27,6;21,3;28,3;26,7;22,3;19,6;75;64;69;332;3,5;1,8;
2022/01/03;1700 UTC;0;951,8;952,8;951,8;2763,4;28,1;20,6;30,2;27,4;22,9;19,8;73;57;64;81;6,2;3,3;
2022/01/03;1800 UTC;0;950,8;951,8;950,8;2943,1;30,5;19,9;31,5;28;21,5;18,4;66;49;53;310;6,2;1,6;
2022/01/03;1900 UTC;0;950,3;950,8;950,3;1810,3;28,3;21,4;31;28;22,5;19,2;66;51;66;77;5,9;3,6;
2022/01/03;2000 UTC;0;950,6;950,6;950,2;627,4;27;21,5;28,3;27;21,8;20,8;72;65;72;55;6,4;3,5;
2022/01/03;2100 UTC;0;951,6;951,6;950,6;102,3;25;21;27;25;21,7;21;78;72;78;49;8,4;2,9;
2022/01/03;2200 UTC;,2;952,6;952,6;951,6;;23,1;21,5;25;23,1;21,5;21;91;78;91;26;6,9;2,3;
2022/01/03;2300 UTC;5;953,2;953,2;952,6;;22,3;21,2;23,1;22,3;21,5;21,1;93;91;93;33;4,3;,9;
2022/01/04;0000 UTC;1,2;953,2;953,3;953,2;;22,2;21,3;22,3;22,2;21,3;21,2;94;93;94;101;2,1;,8;
2022/01/04;0100 UTC;0;953,7;953,7;953,2;;22,3;21,4;22,3;22,2;21,4;21,3;95;94;94;59;3,2;1,5;
2022/01/04;0200 UTC;,2;953,7;953,8;953,7;;22,3;21,3;22,4;22,3;21,5;21,3;94;94;94;36;3,7;1,3;
2022/01/04;0300 UTC;0;953;953,7;953;;22;21,1;22,3;22;21,3;21,1;94;94;94;88;3,6;1,7;
2022/01/04;0400 UTC;0;952,6;953;952,6;;21,8;20,9;22;21,8;21,1;20,9;95;94;95;25;2,8;,5;
2022/01/04;0500 UTC;,6;951,7;952,6;951,7;;21,5;20,6;21,8;21,5;20,9;20,6;95;95;95;67;3;2;
2022/01/04;0600 UTC;0;951,2;951,7;951,2;;21,2;20,3;21,5;21,2;20,6;20,3;95;95;95;74;4,4;2,1;
2022/01/04;0700 UTC;0;951,1;951,2;951;;21,2;20,1;21,6;21,1;20,5;20;95;93;93;60;8,1;4;
2022/01/04;0800 UTC;,2;951,6;951,6;951,1;;21,3;19,8;21,5;21;20,2;19,8;94;91;91;58;7;3,1;
2022/01/04;0900 UTC;0;951,8;951,8;951,6;61,5;21,8;19,6;21,8;21,2;19,9;19,6;92;87;87;60;8,7;4,7;
2022/01/04;1000 UTC;0;952,3;952,3;951,8;344;22,3;19,7;22,4;21,8;19,9;19,5;88;84;86;55;8,5;3,6;
2022/01/04;1100 UTC;0;952,8;952,8;952,3;751,1;23,2;20;23,2;22,3;20,1;19,5;86;81;82;66;7;3,1;
2022/01/04;1200 UTC;0;953;953;952,8;648,4;23,7;20,3;23,8;23,1;20,5;19,7;83;80;81;63;6,2;3,4;
2022/01/04;1300 UTC;0;952,6;953,1;952,6;1052,8;25,2;21;25,2;23,7;21,2;20,2;82;78;78;55;7,9;3,3;
2022/01/04;1400 UTC;0;952,4;952,7;952,3;1972,2;27,1;21;27,6;25,1;22,6;20,6;79;69;69;26;7,9;4,4;
