REGIAO:;SE
UF:;RJ
ESTACAO:;SAQUAREMA - SAMPAIO CORREIA
CODIGO (WMO):;A667
LATITUDE:;-22,8711111
LONGITUDE:;-42,60888888
ALTITUDE:;26
DATA DE FUNDACAO:;02/09/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,2;1007,6;1007,7;1007,2;;24,3;21,9;24,4;24,1;22,2;21,9;89;87;87;353;5,8;2;
2022/01/01;0100 UTC;,4;1008,1;1008,1;1007,6;;24,5;22,2;24,5;24,3;22,2;21,9;87;86;87;14;4,6;2;
2022/01/01;0200 UTC;,6;1008,1;1008,2;1007,9;;24,4;22;24,5;24,3;22,3;22;88;86;86;4;6,3;2,9;
2022/01/01;0300 UTC;,2;1007,3;1008,1;1007,2;;24,2;22,1;24,5;24,2;22,2;22;88;86;88;13;6,8;1,8;
2022/01/01;0400 UTC;,8;1006,3;1007,3;1006,3;;24,1;22,2;24,3;24;22,3;22,1;90;88;89;31;4,9;1,8;
2022/01/01;0500 UTC;0;1005,8;1006,3;1005,8;;24,1;22,1;24,2;24;22,2;22,1;89;88;89;30;6;2,5;
2022/01/01;0600 UTC;,2;1005,9;1006,1;1005,8;;23,6;22,1;24,2;23,6;22,1;21,9;92;88;92;226;4,7;,8;
2022/01/01;0700 UTC;0;1006,5;1006,5;1005,7;;23,3;22,1;23,6;23,3;22,1;22,1;93;92;93;47;1,9;,8;
2022/01/01;0800 UTC;,2;1006,6;1006,6;1006,2;;23,2;22;23,4;23,2;22,2;22;93;93;93;119;2;,6;
2022/01/01;0900 UTC;,4;1006,9;1006,9;1006,5;18,7;23;21,9;23,2;23;22;21,9;94;93;94;233;2,3;1,2;
2022/01/01;1000 UTC;,6;1007,4;1007,4;1006,9;217;23,4;22,3;23,4;23;22,4;21,9;94;94;94;243;2,1;,9;
2022/01/01;1100 UTC;0;1007,7;1007,7;1007,4;531,1;24,6;21,9;24,7;23,3;22,8;21,8;94;85;85;5;2,6;1;
2022/01/01;1200 UTC;0;1008;1008;1007,6;876,6;26,1;21,4;26,1;24,6;23;21;88;74;76;1;5,5;2,8;
2022/01/01;1300 UTC;0;1008,1;1008,2;1008;922,7;26,8;21,4;26,8;26,1;21,8;20,5;77;70;72;19;6,1;2,5;
2022/01/01;1400 UTC;0;1008,2;1008,3;1008,1;1291,6;27,5;21,2;27,8;26,8;21,8;20,5;74;65;68;1;5,3;2,9;
2022/01/01;1500 UTC;0;1007,8;1008,2;1007,7;1445,4;28,6;21,5;28,6;27,4;22;20,8;71;64;66;6;6;2;
2022/01/01;1600 UTC;0;1007,5;1007,8;1007,5;1563,9;28,4;22,1;29,2;28,4;22,5;20,8;69;62;69;13;5,3;2,3;
2022/01/01;1700 UTC;1,4;1007,7;1008;1007,5;388,8;26,3;23,9;28,4;26,1;23,9;22,1;86;69;86;18;5,3;,7;
2022/01/01;1800 UTC;,6;1007,5;1007,7;1007,4;578;26,2;23,5;26,4;25,6;24;22,6;87;84;85;21;3,2;1,4;
2022/01/01;1900 UTC;,4;1007,2;1007,6;1007,2;842;26,2;23,3;26,6;26,1;23,5;22,9;85;81;84;16;5;2,3;
2022/01/01;2000 UTC;0;1007,2;1007,2;1007;626,2;26,3;22,9;26,5;26;23,6;22,8;85;81;82;3;4,8;1,7;
2022/01/01;2100 UTC;,4;1007,5;1007,5;1007,2;349,5;25,3;22,6;26,3;25,3;22,9;22,4;85;81;85;9;6,7;3,2;
2022/01/01;2200 UTC;1;1008,1;1008,1;1007,5;42,6;24,9;22,7;25,3;24,9;22,7;22,6;88;85;88;17;6,7;1,4;
2022/01/01;2300 UTC;,2;1008,4;1008,5;1008,1;;25;22,8;25,1;24,9;22,8;22,5;88;86;88;8;7;3,2;
2022/01/02;0000 UTC;,2;1008,9;1008,9;1008,4;;25,4;22,4;25,4;24,9;22,9;22,4;88;83;83;360;7,3;3,1;
2022/01/02;0100 UTC;0;1009,1;1009,1;1008,9;;25,6;21,7;25,7;25,4;22,4;21,7;84;79;79;26;6,9;2,1;
2022/01/02;0200 UTC;,2;1008,9;1009,1;1008,9;;26,2;21;26,3;25,6;21,6;21;79;73;73;350;8,3;3,3;
2022/01/02;0300 UTC;0;1008;1008,9;1008;;26,7;19,7;26,7;26,2;21;19,7;73;66;66;349;8,3;2,4;
2022/01/02;0400 UTC;0;1007,2;1008;1007,2;;24,9;21,5;27;24,9;22;19,7;83;64;81;175;5,8;1,2;
