REGIAO:;SE
UF:;SP
ESTACAO:;PRESIDENTE PRUDENTE
CODIGO (WMO):;A707
LATITUDE:;-22,11999999
LONGITUDE:;-51,40861111
ALTITUDE:;431,92
DATA DE FUNDACAO:;04/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;12,2;956,7;956,8;956,3;;21,7;;25,8;20,7;;;;;;;8,4;,3;
2022/01/01;0100 UTC;,2;957,6;957,7;956,7;;22,3;22,1;22,6;21,5;;;;;99;;5;,4;
2022/01/01;0200 UTC;0;957,7;957,7;957,5;;22,3;22,3;22,5;21,9;22,5;21,9;100;98;100;;2,6;0;
2022/01/01;0300 UTC;0;956,7;957,7;956,6;;22,3;;22,5;22;;;;;;;0;0;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;0;956,2;956,8;956,2;;22,5;22;22,7;22,3;22,5;21,9;99;96;97;;2,3;0;
2022/01/01;0600 UTC;0;956,6;956,9;956,2;;22,3;22,3;22,5;22,1;22,4;21,8;100;97;100;;1,7;,2;
2022/01/01;0700 UTC;0;956,5;956,6;956,5;;22;22;22,3;21,9;22,3;21,9;100;100;100;;1,7;,1;
2022/01/01;0800 UTC;0;956,7;956,7;956,5;;21,4;21,4;22;21,3;22;21,3;100;100;100;;1,2;0;
2022/01/01;0900 UTC;0;957,4;957,4;956,7;8,7;21,5;;21,6;21,1;;;;;;;0;0;
2022/01/01;1000 UTC;0;958,2;958,2;957,4;172,2;23,9;22,5;23,9;21,5;;;;;92;;1,5;,1;
2022/01/01;1100 UTC;0;959;959;958,2;421;25,2;19,7;25,2;23,9;22,6;18,8;92;70;72;;2;0;
2022/01/01;1200 UTC;0;959,3;959,4;959;751,8;26,1;18,5;26,3;25,2;19,6;18,5;72;63;63;;3,4;,4;
2022/01/01;1300 UTC;0;959,6;959,6;959,3;1396,5;27,8;18,8;28;26;20,5;18,2;69;58;58;;3,4;,1;
2022/01/01;1400 UTC;0;959,3;959,6;959,3;2550,8;28,4;17,7;29,1;27,6;20;17,7;61;52;52;;3,7;,3;
2022/01/01;1500 UTC;0;958,7;959,3;958,7;2904,6;29,4;17,5;30,2;28,1;19,7;17,5;57;48;49;;4,6;,7;
