REGIAO:;SE
UF:;SP
ESTACAO:;FRANCA
CODIGO (WMO):;A708
LATITUDE:;-20,58444444
LONGITUDE:;-47,38249999
ALTITUDE:;1002,74
DATA DE FUNDACAO:;12/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;898,4;898,4;897,5;;19,1;17,1;19,9;19,1;17,1;16,5;88;84;88;123;5,9;2,3;
2022/01/01;0100 UTC;0;898,9;898,9;898,4;;19,2;17,6;19,2;18,8;17,6;17,1;91;88;91;153;5;2,1;
2022/01/01;0200 UTC;,2;900,2;900,2;898,9;;19,3;17,6;19,3;19;17,7;17,5;92;90;90;334;6;,5;
2022/01/01;0300 UTC;2,2;899,1;900,2;899,1;;18,7;17,3;19,3;18,2;17,5;16,9;92;90;91;153;4,2;1,4;
2022/01/01;0400 UTC;0;898,4;899,1;898,4;;19,2;16,9;19,2;18,7;17,4;16,9;92;87;87;119;6,5;3,4;
2022/01/01;0500 UTC;0;898,1;898,4;898,1;;19,1;16,8;19,2;19;16,9;16,7;87;86;87;113;6,5;3,1;
2022/01/01;0600 UTC;0;898,1;898,4;898,1;;18,1;16,9;19,2;18,1;16,9;16,6;92;86;92;11;6,2;0;
2022/01/01;0700 UTC;0;897,7;898,1;897,7;;18,9;17;18,9;18;17,4;16,8;93;89;89;110;5,9;3,3;
2022/01/01;0800 UTC;0;897,5;897,7;897,5;0;18,9;16,8;19;18,8;17;16,8;89;87;88;110;8,8;4,7;
2022/01/01;0900 UTC;0;898;898;897,5;,1;19;16,8;19;18,8;16,9;16,8;88;87;87;103;8,8;3,2;
2022/01/01;1000 UTC;0;899;899;898;109;19,3;17;19,3;19;17;16,8;87;87;87;112;7,4;2,9;
2022/01/01;1100 UTC;0;899,8;899,8;899;457,2;20;17,4;20;19,3;17,4;17;87;84;85;116;7,1;3,5;
2022/01/01;1200 UTC;0;900,6;900,6;899,8;786;21,2;18,1;21,2;19,9;18,1;17,2;85;82;82;100;7,1;2,8;
2022/01/01;1300 UTC;0;900,8;900,8;900,6;2072,9;22,8;17,9;23,9;21,3;18,8;17,5;82;71;74;90;8,8;4,3;
2022/01/01;1400 UTC;0;900,8;900,9;900,8;1460,1;23,6;17,4;23,7;22,5;18,3;17,4;76;68;68;66;8,7;4,1;
2022/01/01;1500 UTC;1,2;900,2;900,8;900,2;1835,9;23,4;17,8;25,1;22,4;18,9;17,1;79;64;71;72;8,7;3,9;
2022/01/01;1600 UTC;0;899,5;900,2;899,5;2474,7;25,5;18,4;25,7;23,3;19;17,5;74;63;65;39;8;2,4;
2022/01/01;1700 UTC;2,2;899;899,6;899;1854,5;23,3;20,4;25,5;22,4;20,9;17,4;87;64;84;22;6,9;1,1;
2022/01/01;1800 UTC;0;898,3;898,9;898,3;3627,4;26,4;19,6;26,5;23,3;21,2;18,2;85;66;66;353;7,3;2,4;
2022/01/01;1900 UTC;0;898,4;898,4;898;1872,3;24,9;18,4;26,7;24;19,8;17,8;72;63;67;360;6,4;,7;
2022/01/01;2000 UTC;0;898,4;898,7;898,4;376,3;23,1;19,1;24,9;23,1;19,2;17,2;78;65;78;146;4,1;,3;
2022/01/01;2100 UTC;5,6;899,3;899,4;898,4;61,1;19,5;18,3;23,1;19;19,8;17,2;93;78;93;78;9;1,2;
2022/01/01;2200 UTC;0;899,6;899,6;899,2;93,5;19,6;18,3;19,8;19,5;18,6;18,3;93;92;92;99;3,5;0;
2022/01/01;2300 UTC;0;900,2;900,2;899,6;6,3;19,3;17,8;19,7;19,2;18,3;17,8;92;91;91;122;3;1;
2022/01/02;0000 UTC;,2;900,6;900,6;900,2;;19,2;17,9;19,5;19,2;18;17,8;92;91;92;197;3;,1;
2022/01/02;0100 UTC;,2;901,5;901,5;900,6;;19,1;17,9;19,2;19,1;18;17,8;93;92;93;196;1,8;,4;
2022/01/02;0200 UTC;0;901,7;901,9;901,5;;19,6;18;19,6;19,1;18,3;17,9;93;91;91;155;3,8;1,6;
2022/01/02;0300 UTC;0;901,1;901,7;901,1;;19,7;17,8;19,7;19,6;18,1;17,8;91;89;89;147;4;1,7;
2022/01/02;0400 UTC;0;900,6;901,1;900,6;,9;19,7;17,6;19,8;19,7;17,8;17,5;89;87;88;150;4,2;2;
2022/01/02;0500 UTC;0;899,9;900,6;899,9;;19,4;17,7;19,7;19,4;17,7;17,5;90;88;90;138;5;2,1;
2022/01/02;0600 UTC;0;899,8;899,9;899,7;;19,1;17,6;19,4;19;17,7;17,5;91;90;91;154;4,6;1,3;
2022/01/02;0700 UTC;0;899,9;900;899,7;;19,5;17,5;19,5;19,1;17,7;17,5;91;88;88;141;5,3;2,7;
2022/01/02;0800 UTC;0;900,2;900,2;899,8;;19,4;17,4;19,6;19,4;17,5;17,4;88;88;88;152;5,7;1,8;
2022/01/02;0900 UTC;,2;900,7;900,7;900,2;;19,5;17,5;19,5;19,2;17,5;17,3;89;88;88;141;4,7;1,6;
2022/01/02;1000 UTC;0;901,4;901,4;900,7;48;19,6;17,5;19,6;19,5;17,5;17,3;88;87;88;184;4,3;,5;
2022/01/02;1100 UTC;0;902;902;901,4;248,3;20,2;17,6;20,3;19,6;17,8;17,4;88;84;85;152;4,3;1,6;
2022/01/02;1200 UTC;0;902,4;902,4;902;641,2;21,2;18,1;21,3;20,2;18,3;17,5;85;82;82;134;4,5;1,5;
2022/01/02;1300 UTC;0;902,5;902,5;902,3;1377;22,1;18,1;22,3;21,2;18,4;17,9;82;77;78;136;7,2;3,8;
2022/01/02;1400 UTC;0;902,2;902,5;902,2;1740,9;23,5;18,2;24;22,1;19,3;17,8;79;71;72;117;7,2;2,8;
2022/01/02;1500 UTC;0;901,3;902,2;901,3;2787,3;24,3;18,4;25,4;23,5;18,9;17,3;73;63;70;132;6;2,9;
2022/01/02;1600 UTC;0;900,7;901,3;900,7;3279,4;25,7;18,4;26;23,9;19,6;17,9;72;64;64;133;7,1;3,5;
2022/01/02;1700 UTC;0;899,6;900,7;899,6;2698,1;26,7;16,9;27,1;25,3;18,8;16,9;66;55;55;345;6,1;,9;
2022/01/02;1800 UTC;19,4;899,5;900,1;899,5;430,5;20;18,7;26,7;19,7;18,9;16,9;93;55;93;115;10;1,9;
2022/01/02;1900 UTC;2;898,7;899,5;898,7;1009,2;22,3;20,6;22,5;20;21,2;18,8;93;90;90;347;5,3;0;
2022/01/02;2000 UTC;0;898,5;898,8;898,4;1182,8;23,2;20,2;24;22,3;21,2;19,3;90;78;83;335;2,6;0;
2022/01/02;2100 UTC;0;899;899,2;898,4;672,4;23,5;19,6;24,6;23,1;21,6;19,3;84;77;79;235;3,2;,3;
2022/01/02;2200 UTC;0;899,8;899,8;898,9;417;23;18,1;23,7;23;20,3;18,1;84;73;74;167;4,7;1,6;
2022/01/02;2300 UTC;1,8;900,2;900,2;899,7;62,8;20,7;18,8;23;20,4;19,1;18,2;90;74;89;168;6,3;,6;
2022/01/03;0000 UTC;0;900,7;900,7;900,2;;20,8;19,1;20,9;20,6;19,1;18,8;90;89;90;163;3,1;,6;
2022/01/03;0100 UTC;0;901,7;901,7;900,7;1;21,3;18,6;21,3;20,8;19,1;18,6;90;85;85;130;3;1,5;
2022/01/03;0200 UTC;,4;901,8;901,9;901,7;;20,6;18,7;21,3;20,6;18,7;18,5;89;85;89;130;3;1,1;
2022/01/03;0300 UTC;0;901,4;901,8;901,4;;20,2;18,7;20,6;20,1;18,7;18,5;91;89;91;160;3,4;1,1;
2022/01/03;0400 UTC;0;901,1;901,4;901,1;;20,1;18,7;20,2;20,1;18,8;18,6;92;91;92;131;4,4;2,3;
2022/01/03;0500 UTC;0;900,6;901,1;900,6;;20;18,6;20,1;20;18,8;18,6;92;91;91;131;4,4;2,2;
2022/01/03;0600 UTC;0;900,4;900,6;900,4;;20,2;18,3;20,3;20;18,6;18,3;91;89;89;119;5,9;3,1;
2022/01/03;0700 UTC;0;900,1;900,5;900,1;;20,2;18,1;20,3;20,2;18,3;18,1;89;88;88;111;6,7;3,6;
2022/01/03;0800 UTC;0;900,3;900,3;900,1;;20;18,1;20,2;20;18,2;18,1;89;88;89;113;6,8;2,8;
2022/01/03;0900 UTC;0;901,4;901,4;900,3;;20,1;17,9;20,3;20;18,2;17,9;89;87;87;141;5,4;,2;
2022/01/03;1000 UTC;0;901,7;901,7;901,4;162,2;20,9;18,4;20,9;20;18,4;17,9;90;85;86;137;4;1,4;
2022/01/03;1100 UTC;0;901,8;901,9;901,7;519;21,2;18,5;21,2;20,9;18,6;18,3;86;84;85;112;4,8;2,7;
2022/01/03;1200 UTC;0;902,3;902,3;901,8;966;22,3;18,7;22,5;21,2;19,2;18,4;85;80;80;116;5,8;2,5;
2022/01/03;1300 UTC;0;902,1;902,3;902,1;2050,9;24,3;19,1;24,4;22,3;19,8;18,5;81;72;73;111;6,6;2,8;
2022/01/03;1400 UTC;0;901,4;902,1;901,4;3379,6;25,4;19;26,1;23,8;19,1;17,5;74;60;68;109;6,4;2,5;
2022/01/03;1500 UTC;0;900,8;901,4;900,8;2456,7;25,1;19,7;26,1;23,5;19,7;16,8;75;62;72;46;6,5;2,8;
2022/01/03;1600 UTC;2,6;900;900,8;900;1078,2;22,3;19,6;25,1;21,4;20,1;18;87;69;85;114;6;,9;
2022/01/03;1700 UTC;0;898,7;900;898,7;3830,9;25,8;18,4;26,1;22,3;20,3;18,2;85;63;64;142;6,5;3,4;
2022/01/03;1800 UTC;0;898,3;898,7;898,2;1493,8;23,1;19,6;26,7;23,1;19,8;17,9;81;60;81;246;6,5;1,3;
2022/01/03;1900 UTC;,2;897,9;898,6;897,7;215,2;21,8;19,6;23,2;21,2;19,7;18,6;87;80;87;360;8,4;0;
2022/01/03;2000 UTC;,4;897,6;897,9;897,5;621,3;22,7;19,8;22,8;21,3;20,2;19,2;89;83;84;290;2,3;0;
2022/01/03;2100 UTC;0;897,6;897,7;897,4;416,2;22,9;19,5;22,9;22,6;20,2;19,2;85;80;81;192;1,3;,1;
2022/01/03;2200 UTC;0;897,9;897,9;897,6;215,5;22;19,3;23,5;22;20;19,3;85;80;85;205;2,4;,3;
2022/01/03;2300 UTC;0;898,8;898,8;897,9;1,1;21,8;19,8;22;21,7;19,8;19,3;89;85;89;179;2,4;,2;
2022/01/04;0000 UTC;0;899,2;899,2;898,8;;22,2;20;22,3;21,8;20,3;19,8;90;87;87;186;2,3;,3;
2022/01/04;0100 UTC;0;899,8;899,8;899,2;;22,1;19,1;22,2;21,9;20;19;88;83;83;144;3,7;1,6;
2022/01/04;0200 UTC;0;899,7;900;899,7;;21,8;19;22,1;21,7;19,3;19;86;83;85;136;6,2;2,6;
2022/01/04;0300 UTC;0;899,6;899,9;899,6;;21,6;18,7;21,9;21,5;19;18,6;85;82;83;125;7,4;3,5;
2022/01/04;0400 UTC;,4;898,8;899,6;898,8;1,5;20,9;18,6;21,7;20,9;18,8;18,5;87;83;87;104;8,7;3,4;
2022/01/04;0500 UTC;0;898;898,8;897,9;;20,4;18,7;20,9;20,4;18,9;18,6;90;87;90;103;8,6;3,7;
2022/01/04;0600 UTC;0;898,1;898,2;897,9;;19,9;18,5;20,4;19,9;18,7;18,5;92;90;91;119;7,2;2,5;
2022/01/04;0700 UTC;0;898;898,2;897,9;;20,3;18;20,4;19,9;18,5;18;91;86;87;110;5,8;2,6;
2022/01/04;0800 UTC;0;898,1;898,2;898;;20;17,9;20,3;20;18,1;17,9;88;87;88;99;5,4;2,2;
2022/01/04;0900 UTC;0;898,6;898,6;898,1;;20;17,8;20;19,8;18;17,8;89;87;88;114;5,4;2;
2022/01/04;1000 UTC;0;899,1;899,2;898,6;280,1;21;18,4;21;19,9;18,5;17,9;88;85;85;115;5,9;2,8;
2022/01/04;1100 UTC;0;899,6;899,6;899,1;891,2;21,7;18,4;22;21;18,8;18,2;85;81;82;120;7,7;3,4;
2022/01/04;1200 UTC;0;900,2;900,2;899,5;1075,8;22,1;18,7;22,3;21,5;18,9;18,3;83;79;81;125;8,5;4,1;
2022/01/04;1300 UTC;0;900,2;900,4;900,1;1501,6;22,7;17,6;22,8;21,4;18,7;17,6;84;73;73;119;9,7;5,3;
2022/01/04;1400 UTC;0;900,3;900,4;900,1;2522,7;24,3;17,4;24,8;22,6;18,2;16,8;74;63;66;99;9,6;5,2;
2022/01/04;1500 UTC;0;899,5;900,3;899,4;3848,8;25,4;18,4;25,6;24,3;18,8;17,2;68;63;65;110;10;5,1;
2022/01/04;1600 UTC;0;898,5;899,5;898,5;3030,6;24,8;18,2;26,7;24,7;19,3;17,7;68;61;67;119;9,2;5,1;
2022/01/04;1700 UTC;0;898;898,6;897,9;2435,1;26,5;18,9;27,4;24,8;19;17,9;68;60;63;110;8,4;3,3;
2022/01/04;1800 UTC;11,4;897,5;898,4;897,5;1178,3;21,7;20,2;26,8;20,2;20,2;17,8;92;60;91;99;9,9;,6;
2022/01/04;1900 UTC;0;897,1;897,5;897,1;564,4;23,2;20,4;23,2;21,7;20,6;19,7;91;82;84;56;5,4;1,4;
2022/01/04;2000 UTC;0;896,9;897,3;896,9;741,7;23,7;20,2;23,8;23,2;20,5;19,4;84;78;81;57;6,4;,6;
2022/01/04;2100 UTC;0;897,1;897,1;896,6;486,9;23,5;19,3;23,8;23,4;20,1;18,7;81;75;77;82;3,9;,1;
2022/01/04;2200 UTC;0;897,6;897,6;897,1;109,5;22,2;19,7;23,4;22,1;19,8;19,2;87;78;86;119;4,6;1,9;
2022/01/04;2300 UTC;0;898,4;898,4;897,6;,5;21,4;18,6;22,2;21,3;19,7;18,4;86;82;84;65;7;,5;
2022/01/05;0000 UTC;,2;899;899;898,4;;21;18,8;21,4;21;18,9;18,5;88;84;87;84;3,8;,5;
2022/01/05;0100 UTC;,4;899,6;899,6;899;;20,7;19,1;21;20,6;19,1;18,8;90;87;90;82;2,8;,4;
2022/01/05;0200 UTC;0;899,4;899,6;899,3;;20,5;18,7;20,8;20,5;19,1;18,6;90;87;89;100;5,8;3,3;
2022/01/05;0300 UTC;,4;898,8;899,4;898,8;;20,5;18,8;20,5;20,3;18,8;18,7;91;89;90;113;5,8;3;
2022/01/05;0400 UTC;0;898,4;898,8;898,4;;20,5;18,8;20,7;20,5;19,1;18,8;91;90;90;101;6,7;3,7;
2022/01/05;0500 UTC;0;898,1;898,4;898;;20;18,7;20,5;20;18,9;18,7;93;90;93;105;7,4;3,7;
2022/01/05;0600 UTC;0;897,7;898,2;897,7;;19,7;18,5;20;19,7;18,7;18,5;93;93;93;96;6,8;3,1;
2022/01/05;0700 UTC;0;897,6;897,7;897,4;;19,2;18,1;19,8;19,2;18,5;18;93;91;93;106;6,8;3,9;
2022/01/05;0800 UTC;0;897,9;897,9;897,5;;19,4;18;19,5;19,2;18,3;18;93;92;92;101;6,8;3,1;
2022/01/05;0900 UTC;0;898,4;898,4;897,9;;19,6;18,2;19,7;19,4;18,2;18;92;91;91;101;6,2;2,5;
2022/01/05;1000 UTC;0;898,9;898,9;898,4;94,5;20,1;18,4;20,1;19,6;18,4;18;91;88;90;97;7;3;
2022/01/05;1100 UTC;0;899,3;899,4;898,9;363,4;20,5;18,1;20,6;20;18,7;18;91;85;86;77;9;4;
2022/01/05;1200 UTC;0;899,7;899,7;899,3;620;21,1;17,6;21,1;20,2;18,1;17,2;86;79;80;76;9;3,2;
