REGIAO:;SE
UF:;SP
ESTACAO:;AVARE
CODIGO (WMO):;A725
LATITUDE:;-23,10166666
LONGITUDE:;-48,9411111
ALTITUDE:;776,36
DATA DE FUNDACAO:;22/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1200 UTC;0;923,7;923,7;923,4;;23,7;19,1;23,7;21,7;19,4;18;84;74;75;97;5,3;2,5;
2022/01/01;1300 UTC;0;924;924;923,7;;24,9;19,3;25;23,3;19,9;18,4;76;71;71;75;6;2;
2022/01/01;1400 UTC;0;923,5;924;923,5;;25,5;19,1;25,8;24,2;19,7;18,3;73;66;68;86;6,4;2,6;
2022/01/01;1500 UTC;0;922,9;923,5;922,9;;26,3;18,6;26,9;24,8;20,1;17,7;70;61;62;94;7,4;2,8;
2022/01/01;1600 UTC;0;922,2;922,9;922,2;;27;17,1;27,9;26,3;19,1;17,1;63;55;55;70;6,8;2,3;
2022/01/01;1700 UTC;0;921,5;922,2;921,5;;26,3;19;28,5;24,6;19,9;17,4;72;54;64;288;6,2;2;
2022/01/01;1800 UTC;0;920,8;921,4;920,8;;28,6;18,1;28,6;26,3;19,4;17,3;64;52;53;49;3,5;1,5;
2022/01/01;1900 UTC;0;920,5;920,9;920,4;;27,6;18,5;28,7;26,5;20;17,4;65;51;58;90;7,9;3;
2022/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
