REGIAO:;SE
UF:;SP
ESTACAO:;JALES
CODIGO (WMO):;A733
LATITUDE:;-20,165
LONGITUDE:;-50,59499999
ALTITUDE:;460,44
DATA DE FUNDACAO:;22/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;0;956,7;956,7;955,8;435,5;22,1;20,1;22,1;21,3;20,2;19,6;90;88;88;166;6,8;4;
2022/01/01;1100 UTC;0;957,5;957,5;956,7;938,1;23,4;20,5;23,6;22,1;20,9;20;89;82;83;152;6,4;2,9;
2022/01/01;1200 UTC;0;957,9;957,9;957,5;2304,6;26;20;26,1;23,5;21,2;19,9;84;70;70;139;8,9;5,1;
2022/01/01;1300 UTC;0;957,8;958;957,8;2757,6;27;19,9;27,1;25,9;20,4;19,4;70;65;65;133;9,5;4,8;
2022/01/01;1400 UTC;0;957,5;957,8;957,4;2299,7;27,3;19,1;27,8;26,8;20,1;19,1;65;60;61;110;8,5;3,7;
2022/01/01;1500 UTC;,2;957,1;957,5;957,1;2486;26,6;19,9;29,3;26,6;20,8;19,3;67;57;67;142;8,1;3,6;
2022/01/01;1600 UTC;0;956,2;957,1;956,2;2863,3;28,5;19,9;30,1;26,4;21;18,6;70;54;59;139;7,9;5,3;
2022/01/01;1700 UTC;,2;955,2;956,2;955,2;3063,3;29,2;18,5;29,5;27,1;21,1;18,1;69;52;53;138;9,5;3,5;
2022/01/01;1800 UTC;0;954,2;955,2;954,2;3021;30,2;19,3;30,8;29,1;20;18,2;56;48;52;132;7,6;4,9;
