REGIAO:;SE
UF:;SP
ESTACAO:;SAO SIMAO
CODIGO (WMO):;A770
LATITUDE:;-21,46111111
LONGITUDE:;-47,57944443
ALTITUDE:;620
DATA DE FUNDACAO:;03/07/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;939;939;938,3;0;21,8;19,3;22,1;21,8;19,6;19,3;87;85;86;285;5,6;1,7;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;0;939,6;939,9;939,5;0;21,4;19,4;21,7;21,3;19,4;19,3;89;87;88;182;4,1;,6;
2022/01/01;0300 UTC;0;939,2;939,6;939,2;0;21,2;19,5;21,5;21;19,6;19,5;91;88;90;143;3,2;,8;
2022/01/01;0400 UTC;0;938,8;939,2;938,6;0;21,4;19,7;21,5;21,1;19,8;19,5;92;90;90;148;5,1;1,2;
2022/01/01;0500 UTC;0;938,7;938,8;938,4;0;21;19,7;21,4;21;19,8;19,5;93;90;93;183;2,7;1,3;
2022/01/01;0600 UTC;,2;938,5;938,7;938,4;0;20,4;19,1;21;20,4;19,8;19,1;95;92;92;108;2,1;,7;
2022/01/01;0700 UTC;0;938,3;938,5;938;0;20,4;18,9;20,6;20,3;19,1;18,7;93;89;91;55;2,9;1;
2022/01/01;0800 UTC;0;938,7;938,7;938,3;0;20;18,9;20,4;19,9;19,2;18,8;95;91;93;44;2,1;,6;
2022/01/01;0900 UTC;0;939,3;939,3;938,7;11,9;21,2;18,8;21,4;19,9;19,3;18,7;95;86;86;218;4,4;1,4;
2022/01/01;1000 UTC;0;940,2;940,2;939,3;221,5;21,6;19,4;21,6;20,9;19,5;18,8;91;84;87;251;3,4;,9;
2022/01/01;1100 UTC;0;940,8;940,8;940,2;526,2;22,6;19;22,6;21,6;19,4;18,9;87;80;80;219;3,8;1,6;
2022/01/01;1200 UTC;0;941,4;941,4;940,8;918,3;23,2;19,5;23,7;22,6;20,1;18,8;81;76;80;198;5,3;2,9;
2022/01/01;1300 UTC;,2;941,7;941,8;941,4;890;23,8;20,4;23,8;22,9;20,7;19,3;86;79;81;202;5,6;2,8;
2022/01/01;1400 UTC;0;941,6;941,8;941,6;816;24,5;21;24,5;23,7;21;20,1;83;78;81;144;5,9;2;
2022/01/01;1500 UTC;4;941,1;941,6;940,8;1525;21,1;19,2;25,9;21,1;21,6;19;89;73;89;176;11;4,1;
2022/01/01;1600 UTC;2,4;940,3;941,1;940,3;1660,5;25,1;22,1;25,1;20,4;22,1;19,1;96;79;84;174;11;,7;
2022/01/01;1700 UTC;0;939,4;940,3;939,4;2471;27,3;19,8;27,3;24,9;23;19,7;86;63;64;134;6;3,1;
2022/01/01;1800 UTC;0;938,9;939,4;938,9;1620,3;27,7;20,2;27,9;26,9;21,3;19,5;69;62;64;125;8;2,1;
2022/01/01;1900 UTC;0;938,6;939;938,5;1166,7;26,9;20,3;29;26,7;21;19,7;69;59;67;163;5,1;2,3;
2022/01/01;2000 UTC;0;939,2;939,2;938,6;821,8;24,6;20,3;27;24,4;20,8;18,8;78;64;77;283;7,3;1,5;
2022/01/01;2100 UTC;0;939,3;939,3;939,1;640,9;24,9;20,4;25,1;24,6;20,7;20;78;75;76;298;3,9;2,2;
2022/01/01;2200 UTC;0;939,8;939,8;939,3;163,2;23,9;20,3;24,9;23,6;20,7;20,2;82;76;80;295;4,9;1;
2022/01/01;2300 UTC;0;940,9;940,9;939,8;,2;23;20,4;23,9;23;20,4;20;85;80;85;227;5,4;2;
2022/01/02;0000 UTC;0;941,8;941,8;940,9;0;22,1;19,2;23;22,1;20,4;19,2;88;83;84;228;5,4;1,2;
2022/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0300 UTC;0;941,7;942,3;941,7;0;22,1;19,1;22,3;21,9;19,2;18,9;84;81;83;70;3,6;,7;
2022/01/02;0400 UTC;0;941,1;941,7;941,1;0;21,5;19,5;22,1;21,5;19,5;19;88;83;88;49;2,8;,9;
2022/01/02;0500 UTC;0;940,8;941,2;940,8;0;21,3;19,5;21,7;21,3;19,6;19,2;89;86;89;135;2,5;,4;
2022/01/02;0600 UTC;0;940,7;940,8;940,5;0;20,9;19,7;21,3;20,9;19,8;19,5;93;89;93;55;1,3;,8;
2022/01/02;0700 UTC;0;940,9;941;940,7;0;21;19,6;21,7;20,9;19,7;18,9;93;85;92;286;1,9;,9;
2022/01/02;0800 UTC;0;941,5;941,5;940,9;0;20,8;19,7;21,6;20,8;19,7;19,2;93;87;93;178;1,9;,5;
2022/01/02;0900 UTC;0;942,1;942,2;941,5;12,8;21;19,9;21;20,8;19,9;19,7;94;93;93;22;1,8;,7;
2022/01/02;1000 UTC;0;942,7;942,7;942,1;145,8;21,8;20,2;21,8;20,9;20,2;19,6;94;87;90;235;2;,5;
2022/01/02;1100 UTC;0;943,1;943,1;942,7;505,9;23;19,7;23;21,8;20,3;19,5;91;81;82;186;2;,9;
2022/01/02;1200 UTC;0;943,3;943,3;943,1;916,6;24,1;20;24,2;22,9;20,4;19,6;83;77;78;311;3,2;1,3;
2022/01/02;1300 UTC;0;943,6;943,6;943,3;1943,7;26,1;20,5;26,7;24,1;21,7;19,8;81;69;71;203;5,5;2;
2022/01/02;1400 UTC;0;942,9;943,6;942,9;2167;26,9;20,5;27;25,9;20,9;19,5;72;67;68;198;5,8;2,2;
2022/01/02;1500 UTC;1,8;942,1;942,9;942,1;1181,5;24,3;21,5;26,9;22,7;22,2;19,3;90;67;84;242;8,4;1,2;
2022/01/02;1600 UTC;0;941,5;942,2;941,5;1271,2;25,5;21,7;25,5;24,2;21,8;20,5;85;76;79;90;5,4;1;
2022/01/02;1700 UTC;0;940,7;941,5;940,7;3640,8;28,6;21,8;28,6;25,5;22,7;20,7;82;67;67;60;3,5;1,9;
2022/01/02;1800 UTC;2,8;940,5;940,7;940,3;1093,3;25,2;22,3;28,7;24,5;23,6;20,6;92;66;84;279;3,9;,8;
2022/01/02;1900 UTC;0;939,6;940,5;939,6;2184;26,2;21;26,9;24,6;23,2;21;89;73;73;325;5,1;2,1;
2022/01/02;2000 UTC;0;939,6;939,6;939,3;656,5;25,7;20,9;26,1;25;22;20,6;83;73;75;269;3,9;1,3;
2022/01/02;2100 UTC;0;939,6;939,6;939,2;353;25,3;21,1;26;25,3;21,9;20,5;81;73;78;298;3,5;1,5;
2022/01/02;2200 UTC;0;940,2;940,2;939,5;73,8;24;21,2;25,4;24;21,3;20,6;84;76;84;311;4,1;1,2;
2022/01/02;2300 UTC;0;940,9;941;940,2;,3;24;21;24,6;23,7;21,3;20,2;86;77;83;323;4;1,2;
2022/01/03;0000 UTC;0;941,5;941,5;940,8;0;23,9;21,1;24,3;23,5;21,3;20,9;86;83;84;318;4,7;1,5;
2022/01/03;0100 UTC;0;942,2;942,3;941,5;0;23,6;20,7;24,3;23,5;21,1;20,7;85;81;84;275;3,5;1;
2022/01/03;0200 UTC;0;942,3;942,5;942,2;0;22,9;20,7;23,8;22,9;20,7;20,3;87;82;87;332;3,8;,6;
2022/01/03;0300 UTC;0;941,9;942,3;941,9;0;22,2;20,6;23;22,2;20,8;20,4;91;86;91;261;2,4;,9;
2022/01/03;0400 UTC;0;941,6;941,9;941,6;0;21,8;20,6;22,3;21,8;20,8;20,5;93;90;93;254;2,2;,8;
2022/01/03;0500 UTC;0;941,1;941,6;941,1;0;22,6;20,4;22,7;21,7;20,7;20,3;94;87;87;261;3,3;1,5;
2022/01/03;0600 UTC;0;940,8;941,1;940,8;0;22,6;20,3;22,8;22,6;20,4;20,3;87;86;87;289;3,6;1,2;
2022/01/03;0700 UTC;0;941,2;941,2;940,8;0;21,5;20,3;22,6;21,5;20,4;20,2;93;87;93;27;3;,5;
2022/01/03;0800 UTC;0;941,5;941,5;941,2;0;21,4;20,6;21,5;21,2;20,6;20,3;95;93;95;4;1,6;,8;
2022/01/03;0900 UTC;0;942,1;942,1;941,5;21;22;20,5;22,3;21,4;20,7;20,3;95;88;91;187;1,9;,7;
2022/01/03;1000 UTC;0;942,6;942,6;942,1;366,5;23,7;21,2;23,7;22;21,2;20,4;91;85;86;94;1,5;1;
2022/01/03;1100 UTC;0;942,6;942,7;942,6;673,8;24,2;20,7;24,4;23,8;21,3;20,4;86;79;81;195;3,8;1,9;
2022/01/03;1200 UTC;0;943;943;942,6;1110,8;25,1;20,8;25,6;24,2;21,8;20,6;83;75;77;196;4,6;2;
2022/01/03;1300 UTC;0;942,7;943;942,6;1622,7;26;20,7;26,7;25;22,2;20,7;80;71;73;192;6;3,3;
2022/01/03;1400 UTC;0;941,9;942,7;941,9;1819,8;27;21;27,6;26;22,2;20,4;74;67;70;201;6;2,7;
2022/01/03;1500 UTC;0;940,9;941,9;940,9;3163,2;28;21,2;29,4;26,9;22,2;20;72;59;67;180;5,1;3;
2022/01/03;1600 UTC;6;940,1;941,1;940,1;1696,2;25,4;22,5;28;22,7;23,3;19,2;93;64;84;284;7;2,1;
2022/01/03;1700 UTC;0;938,9;940,1;938,9;2759,4;27,6;21,6;28,9;25,1;22,8;21,1;85;64;70;317;4,3;1,8;
2022/01/03;1800 UTC;,2;938,5;939;938,5;760,1;24,8;21,4;28,2;24,6;22,6;20,4;83;63;81;259;6,9;2,5;
2022/01/03;1900 UTC;0;937,8;938,5;937,7;2797,6;27,6;21,9;28,3;24,8;22,7;20,3;82;65;71;309;7;3,2;
2022/01/03;2000 UTC;0;937,9;937,9;937,5;945,6;26;20,1;27,6;26;22,1;20,1;75;69;70;295;7;1,3;
2022/01/03;2100 UTC;0;938,3;938,3;937,9;67,4;25,1;21,1;26;25,1;21,2;20,2;78;70;78;284;4,1;1,9;
2022/01/03;2200 UTC;,4;938,7;938,7;938,2;105,7;23,9;21,6;25,1;23,8;22,2;20,9;90;78;87;282;4,1;1,3;
2022/01/03;2300 UTC;0;939,6;939,6;938,6;,2;23,4;21;24,1;23,2;21,6;20,8;88;84;86;271;2,9;1;
2022/01/04;0000 UTC;0;939,5;939,6;939,4;0;23,3;21;23,5;23;21,1;20,8;89;85;87;273;2,5;1,3;
2022/01/04;0100 UTC;0;940,4;940,4;939,5;0;23,3;21,6;23,5;23;21,8;21;93;86;90;196;2,5;,7;
