REGIAO:;S
UF:;PR
ESTACAO:;FOZ DO IGUACU
CODIGO (WMO):;A846
LATITUDE:;-25,60194444
LONGITUDE:;-54,48305554
ALTITUDE:;235,09
DATA DE FUNDACAO:;15/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;977;977;976,3;;28,2;15,5;28,9;27,7;16,3;15,2;50;44;46;351;0;0;
2022/01/01;0100 UTC;0;977,6;977,6;977;;25,2;16,5;28,5;25,2;16,5;15,3;59;45;59;253;2,1;,6;
2022/01/01;0200 UTC;0;978;978,1;977,6;;24,8;17,8;25,4;23,9;19,1;16,6;72;59;65;256;3,1;1,8;
2022/01/01;0300 UTC;0;977,9;978;977,9;;23,3;19;24,8;23,1;19;17,8;77;65;77;255;2,4;1,7;
2022/01/01;0400 UTC;0;977,5;977,9;977,5;;21,5;18,5;23,3;21,5;19;18,4;83;76;83;254;3;2,3;
2022/01/01;0500 UTC;0;977,2;977,6;977,2;;22,7;19,9;22,8;21,2;20,1;18,4;86;83;84;239;4,5;3,1;
2022/01/01;0600 UTC;0;977,2;977,3;977;;22,6;19,4;23,1;22,3;20,1;19,4;85;82;82;229;6,8;3,3;
2022/01/01;0700 UTC;0;977,2;977,2;977,1;;21,3;18,7;22,6;21,2;19,4;18,6;86;82;85;274;5,5;,1;
2022/01/01;0800 UTC;0;977,8;977,8;977,2;;20,9;18,5;21,3;20,8;18,8;18,4;87;85;86;255;2,2;,9;
2022/01/01;0900 UTC;0;978,7;978,7;977,8;,5;21;18,7;21;20,5;18,7;18,2;87;86;87;240;3,4;2,2;
2022/01/01;1000 UTC;0;979,7;979,7;978,7;304,1;23,4;19,2;23,4;20,9;19,4;18,6;87;77;77;229;6,3;4,2;
2022/01/01;1100 UTC;0;980,2;980,2;979,7;1138;25,5;18,9;25,5;23,4;19,2;18,7;77;67;67;233;6,9;4,5;
2022/01/01;1200 UTC;0;980,4;980,5;980,2;2016,5;27,8;19,3;27,8;25,4;19,6;18,6;67;58;60;214;6,7;3,1;
2022/01/01;1300 UTC;0;980,1;980,4;980,1;2831;30,3;17,8;30,7;27,6;19,5;17,8;60;47;47;154;8,5;5,3;
2022/01/01;1400 UTC;0;979,7;980,1;979,7;3475;31,6;17,2;32,2;30,1;19,5;17;49;41;42;153;9,3;4,4;
2022/01/01;1500 UTC;0;978,9;979,7;978,9;3915,6;33,3;17,5;33,6;31,5;18,7;16,7;44;38;39;131;8,5;3,5;
2022/01/01;1600 UTC;0;978,2;978,9;978,2;3445,4;33,8;16,9;34,1;32,9;18,3;16,1;40;35;36;83;7,6;2,2;
2022/01/01;1700 UTC;0;977,4;978,2;977,4;2575,9;33,5;16;35,4;33;17,8;15,7;38;32;35;155;6,9;2,9;
2022/01/01;1800 UTC;0;976,5;977,4;976,5;2295,1;34,4;16,2;35,8;33,4;17,5;15,6;37;33;34;250;7,1;,7;
2022/01/01;1900 UTC;0;975,8;976,5;975,7;1698,9;36,4;17,3;36,4;34,1;17,8;15,1;36;30;33;161;6,3;3;
2022/01/01;2000 UTC;0;975,3;975,9;975,3;2112;36;15,4;36,7;34,8;16,6;14,4;33;28;29;104;7,1;4,1;
2022/01/01;2100 UTC;0;974,9;975,3;974,9;1542,1;35,4;14,5;36,3;35,4;15,4;14,3;30;28;29;125;6,9;3,1;
2022/01/01;2200 UTC;0;974,9;975;974,8;626,6;33,8;15,1;35,4;33,8;15,1;14,2;33;29;33;144;6;1,7;
2022/01/01;2300 UTC;0;975,5;975,5;974,9;52;31,1;16,1;33,8;31,1;16,2;14,8;41;32;41;175;3,2;1,4;
2022/01/02;0000 UTC;0;976,4;976,4;975,5;;29,9;16,7;31,1;29,9;16,9;16,1;45;41;45;183;3,3;1,7;
2022/01/02;0100 UTC;0;977,6;977,6;976,4;;27,4;17,5;29,9;27,4;17,5;16,4;55;45;55;255;2,3;,2;
2022/01/02;0200 UTC;0;978;978;977,6;;25,8;18,9;27,8;25,6;19;17,6;66;55;66;204;1,5;0;
2022/01/02;0300 UTC;0;978,3;978,4;978;;24,8;19,6;25,8;24;19,6;18,4;73;66;73;239;3,8;1,4;
2022/01/02;0400 UTC;0;978,2;978,3;978,1;;24,1;18,6;26,1;24,1;19,8;18,6;73;66;71;251;3,2;1,5;
2022/01/02;0500 UTC;0;978,2;978,3;978,1;;23,9;18,7;24,2;23,5;19,1;18,5;75;71;73;347;2,7;,3;
2022/01/02;0600 UTC;0;978,3;978,4;978,2;;24;18,6;24,4;23,5;19,4;18,3;76;71;72;250;1,4;0;
2022/01/02;0700 UTC;0;977,9;978,4;977,9;;24,7;19,1;24,9;23,5;20;18,5;77;71;71;206;5,6;3,9;
2022/01/02;0800 UTC;0;978,6;978,6;977,9;;23,5;19,1;24,8;23,1;19,2;18,6;77;71;76;207;5,7;1,3;
2022/01/02;0900 UTC;0;979,1;979,1;978,6;3,9;23,6;19;23,9;23,1;19,4;18,7;78;75;75;205;4,1;2,6;
2022/01/02;1000 UTC;0;979,3;979,3;978,7;319,7;27;18,9;27;23,6;19,4;18,8;75;61;61;171;10,9;7;
2022/01/02;1100 UTC;0;980;980;979,2;989,8;29;19,1;29,2;27;19,5;18,8;61;54;55;155;10,7;6,8;
2022/01/02;1200 UTC;0;980,9;980,9;980;1306,2;30,3;19,1;31,2;29;20,2;18,6;55;50;51;146;10,7;5,7;
2022/01/02;1300 UTC;0;981,2;981,3;980,8;2587,2;32,2;19,6;33,1;30,3;20,3;19,1;52;45;48;127;12,1;7,1;
2022/01/02;1400 UTC;0;981,7;981,7;981,1;3334,1;33,9;20,3;34,1;31,9;20,9;19,3;49;44;45;114;12,7;4,6;
2022/01/02;1500 UTC;0;981,1;981,7;981,1;3900;35,5;19,5;35,5;33,3;20,8;18,6;46;38;39;114;10,5;4,7;
2022/01/02;1600 UTC;0;979,7;981,1;979,7;4104,3;35,9;16;37,5;34,7;19,6;16;39;30;31;127;10,3;3,3;
2022/01/02;1700 UTC;0;978,4;979,7;978,4;3882,4;36,8;17,2;37,4;35,4;18,2;14,9;34;28;32;104;11,4;3,5;
2022/01/02;1800 UTC;0;977,4;978,4;977,4;3434,9;36,5;15,6;37,6;36,1;18,2;13,7;33;26;29;143;11,4;3,3;
2022/01/02;1900 UTC;0;976,4;977,4;976,4;2938,3;37,7;15,2;37,9;36,3;16,4;13,8;30;24;26;114;6,8;2,2;
2022/01/02;2000 UTC;0;976,5;976,5;975,9;1368,9;36,3;14,3;37,9;36,3;15,9;14;29;26;27;112;7,8;3;
2022/01/02;2100 UTC;0;977,2;977,2;976,5;530,6;34,9;16,9;36,3;34,9;16,9;13,7;34;26;34;173;4,7;,1;
2022/01/02;2200 UTC;0;979,4;979,7;977,1;121,6;26,4;18,3;34,9;26,4;18,3;15,8;61;33;61;6;16,7;8,7;
2022/01/02;2300 UTC;0;979,8;979,9;979,2;2,4;24,8;19,6;26,4;24,7;19,6;18,3;73;61;73;344;14,7;1,7;
2022/01/03;0000 UTC;0;979;980,2;979;;24,4;19,4;24,9;24,2;19,8;19,2;74;72;74;265;4,7;2,8;
2022/01/03;0100 UTC;0;979,4;979,6;978,8;;24,1;18,8;24,5;24,1;19,8;18,8;75;72;72;280;7,5;1,6;
2022/01/03;0200 UTC;0;979,4;979,6;979,1;;25,1;18,7;25,1;23,9;18,9;18,4;73;67;67;239;5,8;3,8;
2022/01/03;0300 UTC;0;980,4;980,4;979,4;;25,8;18;26,1;25,1;18,7;17,9;67;62;62;267;5,4;1,1;
2022/01/03;0400 UTC;0;980,3;980,5;980,1;;24;19,2;25,9;23,9;19,2;17,9;75;62;75;321;3,4;,2;
2022/01/03;0500 UTC;0;980,3;980,4;980,1;;24;19,5;24;23,6;19,5;19,2;77;75;76;288;2,7;1,2;
2022/01/03;0600 UTC;0;980,3;980,3;980,2;;23,9;18,9;24,1;23,6;19,5;18,9;76;73;73;260;4,5;2;
2022/01/03;0700 UTC;0;980,3;980,3;980;;24,4;19;24,5;23,9;19;18,7;73;71;72;250;4,5;,6;
2022/01/03;0800 UTC;,6;981,6;981,8;980,3;;22,7;19,6;24,6;22,7;19,7;18,9;82;72;82;318;5,5;2,6;
2022/01/03;0900 UTC;11,8;981,4;981,8;981;;22,3;20,5;22,7;21,8;20,8;19,2;90;82;90;251;10,9;4,7;
2022/01/03;1000 UTC;20,6;981,8;985;981,4;14,8;19;18,4;23,7;17,5;21,1;15,4;96;79;96;196;24,2;10;
2022/01/03;1100 UTC;,2;979,8;981,8;979,8;96,3;23;19,3;23,1;19;21,1;18,5;96;79;79;170;17,3;9,6;
2022/01/03;1200 UTC;,2;982,2;982,2;979,8;277,9;21,9;19;23,1;21,6;19;18,3;84;77;84;229;13,1;1,6;
2022/01/03;1300 UTC;0;982;982,3;982;559,8;22,7;19,3;22,9;21,9;19,6;19,1;84;81;81;339;4,6;,2;
2022/01/03;1400 UTC;0;983,2;983,2;981,9;535;23;19,9;23;22,3;20,1;19,2;84;81;83;11;2,3;,3;
2022/01/03;1500 UTC;0;983,2;983,4;982,8;619,9;24,1;19,1;24,5;22,9;21,1;19,1;84;74;74;157;9,6;3,1;
2022/01/03;1600 UTC;0;981,9;983,2;981,9;615,6;23,4;19;24,1;23,3;19,4;18,7;77;73;76;198;6,2;3,5;
2022/01/03;1700 UTC;0;981,8;981,9;981,5;918,7;23,5;19,1;23,6;23,1;19,4;18,8;78;76;76;174;5,2;1,3;
