REGIAO:;S
UF:;PR
ESTACAO:;CLEVELANDIA
CODIGO (WMO):;A876
LATITUDE:;-26,41722221
LONGITUDE:;-52,3486111
ALTITUDE:;966,06
DATA DE FUNDACAO:;15/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;900,1;900,1;899,7;;18,1;13,9;19;18,1;14,9;13,8;78;74;77;290;4,7;2,3;
2022/01/01;0100 UTC;0;900,7;900,7;900,1;;17,4;13,2;18,1;17,4;13,9;13,2;77;75;77;281;4,1;2,5;
2022/01/01;0200 UTC;0;900,9;900,9;900,6;;16,7;12,9;17,6;16,7;13,4;12,8;79;76;78;285;4,2;2,3;
2022/01/01;0300 UTC;0;900,7;900,9;900,6;;16,8;12,7;17;16,5;13;12,5;78;76;77;293;5;3,1;
2022/01/01;0400 UTC;0;900,4;900,7;900,4;;16,2;12,3;16,9;16,1;12,7;12,1;77;76;77;292;4,9;2,6;
2022/01/01;0500 UTC;0;900,1;900,5;900,1;;15,9;12,1;16,4;15,9;12,4;12,1;78;76;78;290;5,5;2,9;
2022/01/01;0600 UTC;0;899,8;900,1;899,7;;15,9;;15,9;15,6;15,9;12,1;100;78;;305;5,7;4;
2022/01/01;0700 UTC;0;899,7;899,8;899,7;;15,8;;16;15,7;;;;;;295;5,8;3,5;
2022/01/01;0800 UTC;0;900,2;900,2;899,7;;15,5;;15,9;15,5;;;;;;290;5,8;3,2;
2022/01/01;0900 UTC;0;900,9;900,9;900,2;9,6;15,9;;15,9;15,4;;;;;;286;6,3;4,2;
2022/01/01;1000 UTC;0;901,5;901,5;900,9;576,8;17;;17;15,9;;;;;;290;6,3;3,6;
2022/01/01;1100 UTC;0;902;902;901,4;1670,3;19,4;14,9;19,4;17;;;;;75;294;6,8;4;
2022/01/01;1200 UTC;0;902,5;902,5;902;2531;22,7;15,1;22,7;19,4;15,6;14,5;75;60;62;270;5,4;2,6;
2022/01/01;1300 UTC;0;902,3;902,5;902,2;3235,4;24,6;13,7;24,7;22,2;15,4;13,7;62;51;51;261;7,2;3,1;
2022/01/01;1400 UTC;0;902,1;902,4;902,1;3711,4;26,5;12,6;26,5;24,4;14,5;12,5;52;42;42;270;6,4;3;
2022/01/01;1500 UTC;0;901,8;902,1;901,8;3952,8;28,3;13,2;28,3;26,3;14,8;11,1;47;37;39;258;6,1;1,9;
2022/01/01;1600 UTC;0;901,2;901,8;901,2;4052,5;29;11,8;29;27,3;14,6;8,9;44;29;35;296;5,2;1,5;
2022/01/01;1700 UTC;0;900,6;901,2;900,6;3413,7;29,1;7,8;30,7;28,3;11,9;7,7;35;24;26;263;4,4;,7;
2022/01/01;1800 UTC;0;899,9;900,6;899,9;2579,8;31,5;10,7;31,7;27,1;11,8;8;36;26;28;155;5,3;2,2;
2022/01/01;1900 UTC;0;899,6;899,9;899,6;2260,8;29,7;8,7;31,6;28,2;11,3;7,8;33;24;27;278;5,7;1,6;
2022/01/01;2000 UTC;0;899,1;899,6;899;1353,1;28,4;11,2;31;28,4;12,2;7,5;37;24;34;183;3;,8;
2022/01/01;2100 UTC;0;898,8;899,1;898,8;657,3;28,6;8,6;30,7;26,4;13,9;7,9;44;25;29;222;3,1;1,2;
