REGIAO:;S
UF:;PR
ESTACAO:;COLOMBO
CODIGO (WMO):;B806
LATITUDE:;-25,322464
LONGITUDE:;-49,157733
ALTITUDE:;950
DATA DE FUNDACAO:;01/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;903,7;903,7;903;;17,2;16,9;17,7;17,2;17,4;16,9;98;97;98;102;4,1;,8;
2022/01/01;0100 UTC;0;904,2;904,3;903,7;;17;16,7;17,2;16,9;16,9;16,6;98;97;98;119;2,9;,6;
2022/01/01;0200 UTC;0;904,9;904,9;904,2;;16,7;16,5;17;16,7;16,8;16,5;98;98;98;58;1,3;,7;
2022/01/01;0300 UTC;0;904,5;904,9;904,5;;16,5;16,3;16,8;16,5;16,6;16,3;99;98;99;66;2;,5;
2022/01/01;0400 UTC;0;903,8;904,5;903,8;;16,4;16,2;16,6;16,2;16,4;16;99;99;99;311;1,4;,3;
2022/01/01;0500 UTC;0;903,1;903,8;903,1;;16,6;16,5;16,8;16,4;16,7;16,2;99;99;99;336;,8;,4;
2022/01/01;0600 UTC;0;903,1;903,3;903,1;;16,9;16,8;16,9;16,6;16,8;16,5;99;99;99;194;1,1;,3;
2022/01/01;0700 UTC;,2;902,9;903,1;902,9;;17;16,9;17;16,8;16,9;16,7;99;99;99;20;,9;,4;
2022/01/01;0800 UTC;0;903,1;903,1;902,9;;16,8;16,7;17;16,8;16,9;16,6;99;99;99;22;2,5;1,2;
2022/01/01;0900 UTC;0;903,4;903,5;903;;16,5;16,2;16,8;16,3;16,6;16,1;99;99;99;334;2,5;,7;
2022/01/01;1000 UTC;0;904;904,1;903,3;43,4;16,4;16;16,6;16,4;16,4;16;99;97;97;277;1,8;,8;
2022/01/01;1100 UTC;0;904,6;904,6;904;524,4;17,2;16;17,7;16,4;16,5;15,7;97;90;93;323;2;1;
2022/01/01;1200 UTC;0;905,1;905,2;904,6;1229,5;18,3;17;18,4;17,1;17,2;15,8;94;90;92;6;3,8;1,5;
2022/01/01;1300 UTC;0;905,4;905,4;905,1;1977,3;20,5;17,5;20,5;18,3;18,1;16,5;93;82;83;357;3,6;1,6;
2022/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1600 UTC;0;904,9;905,3;904,9;2763,9;23,8;17,8;24;22,7;19,1;16,7;75;65;69;322;5,1;2,5;
2022/01/01;1700 UTC;0;904,4;905,1;904,2;4160,5;25,4;16,9;26,2;23,4;19,1;16,6;73;58;60;339;5,2;1,4;
2022/01/01;1800 UTC;0;903,5;904,4;903,5;3974,9;26,4;17;27,2;25,2;19,8;16,6;68;56;56;253;4,1;1,2;
2022/01/01;1900 UTC;0;902,9;903,6;902,9;3257,5;27,1;16,1;27,8;26,4;18,9;15,6;61;48;51;346;4,4;1,3;
2022/01/01;2000 UTC;0;902,7;903;902,7;1920,6;27;15,5;28,4;27;17,2;15,3;55;46;49;159;3,7;,8;
2022/01/01;2100 UTC;0;902,7;902,9;902,5;935;26,4;19,7;28;25,3;19,7;15,3;69;47;66;99;4,3;1,7;
2022/01/01;2200 UTC;0;903;903;902,7;842,8;25;20;26,9;25;20,4;19,1;75;64;74;84;4,3;1,2;
2022/01/01;2300 UTC;0;903,7;903,7;902,9;130,4;22,2;19,8;25;22,2;20,2;19,7;87;74;87;79;4,1;1,2;
2022/01/02;0000 UTC;0;904,3;904,3;903,7;;20,7;19,8;22,2;20,7;20;19,8;95;87;95;74;3,6;1,2;
2022/01/02;0100 UTC;0;905,4;905,4;904,2;;20;19,3;20,7;20;19,8;19,3;96;95;96;82;5,9;1,1;
2022/01/02;0200 UTC;0;905,8;905,9;905,2;;19,9;19,2;20;19,8;19,3;19,2;97;95;96;49;4,4;1,4;
2022/01/02;0300 UTC;0;906,2;906,4;905,8;;19,4;18,8;20;19,4;19,2;18,8;96;95;96;90;4,1;,9;
2022/01/02;0400 UTC;0;906,2;906,3;906;;19,3;18,5;19,4;19,2;18,8;18,5;97;96;96;71;2;,8;
2022/01/02;0500 UTC;0;906;906,2;905,9;;19,4;18,8;19,4;19,1;18,8;18,4;96;95;96;50;2;,9;
2022/01/02;0600 UTC;0;905,6;906;905,5;;19,2;18,8;19,6;19,2;19,2;18,8;97;96;97;44;2,8;1,1;
2022/01/02;0700 UTC;0;905,4;905,6;905,2;;18,9;18,7;19,2;18,8;18,8;18,4;99;97;99;49;2,5;,6;
2022/01/02;0800 UTC;0;905,5;905,5;905,3;;18,7;18,5;18,9;18,6;18,8;18,5;99;99;99;41;2,5;1,1;
2022/01/02;0900 UTC;0;906;906,1;905,5;;18,7;18,6;18,8;18,6;18,7;18,5;99;99;99;87;3,4;,4;
2022/01/02;1000 UTC;0;906,8;906,9;906;39,4;18,7;18,6;18,9;18,6;18,8;18,5;99;99;99;57;1,2;,5;
2022/01/02;1100 UTC;0;907,2;907,2;906,7;357,1;19,3;19,2;19,4;18,7;19,3;18,7;99;99;99;352;1,9;,9;
2022/01/02;1200 UTC;0;907,5;907,6;907,2;895,8;21,7;19,6;21,7;19,3;19,9;18,9;99;87;88;335;3,4;1,4;
2022/01/02;1300 UTC;0;907,2;907,5;907,1;2291;23,8;19,4;23,8;21,7;20,1;18,7;88;75;76;360;4,7;2,1;
2022/01/02;1400 UTC;0;907,3;907,3;907,1;3117,6;25,4;19,1;25,9;23,8;19,9;18,4;78;64;68;360;4,8;2,1;
2022/01/02;1500 UTC;0;906,9;907,3;906,8;3741,6;26,7;17,6;27,6;25,2;20;17,4;70;56;57;316;5;1,9;
2022/01/02;1600 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;1700 UTC;0;905,6;906,4;905,6;2798,6;28,2;18,3;29;27,2;19,9;16;60;48;55;44;4,5;1,3;
2022/01/02;1800 UTC;0;905,1;905,8;905;2582,3;28,8;16,9;29,6;27,6;19,2;16,3;60;45;49;322;4,5;1,3;
2022/01/02;1900 UTC;0;904,5;905,2;904,5;2538,4;27,5;19,4;28,8;26,5;21,6;15,9;72;46;61;85;7,1;1,8;
2022/01/02;2000 UTC;0;904,4;904,8;904,3;1680,9;25,8;19,1;28;25,7;20,4;18,6;68;59;66;115;7,1;1,2;
2022/01/02;2100 UTC;0;903,9;904,6;903,8;1311,3;27,5;19,2;27,5;25,8;20,1;18,3;69;60;60;80;3,4;1,2;
2022/01/02;2200 UTC;0;904,1;904,1;903,7;877,9;25,4;19;27,7;25,4;19,5;17,3;68;53;68;95;4,9;1,6;
2022/01/02;2300 UTC;0;904,7;904,7;904,1;171,8;23;19,9;25,4;23;19,9;19,1;82;68;82;65;4,3;1,3;
2022/01/03;0000 UTC;0;905,3;905,3;904,6;;21,6;20,4;23;21,6;20,6;19,9;93;82;92;60;4,2;1,6;
2022/01/03;0100 UTC;0;906,8;906,8;905,3;;20,5;19,5;21,6;20,5;20,3;19,5;94;92;94;148;4,2;,3;
2022/01/03;0200 UTC;0;907,2;907,2;906,7;;20,2;19,8;20,5;20,1;19,8;19,4;97;94;97;90;3,2;,7;
2022/01/03;0300 UTC;0;907,6;907,6;907,2;;20,2;19,6;20,5;20,1;20;19,6;97;96;96;43;2,1;,7;
2022/01/03;0400 UTC;0;907,2;907,7;907,1;;20,3;19,7;20,3;20,1;19,8;19,5;97;96;96;24;3,1;,8;
2022/01/03;0500 UTC;0;906,5;907,2;906,5;;19,4;19;20,3;19,4;19,7;19;98;96;97;50;2,7;,6;
2022/01/03;0600 UTC;0;906;906,5;905,9;;19;18,7;19,6;18,8;19,3;18,4;98;97;98;29;2,9;1,1;
2022/01/03;0700 UTC;0;906,4;906,6;905,9;;18,7;18,5;19,1;18,6;18,8;18,4;99;98;99;23;3,6;1,1;
2022/01/03;0800 UTC;0;906,7;906,7;906,4;;18,4;18,3;18,7;18,4;18,6;18,3;99;99;99;356;2,5;,9;
2022/01/03;0900 UTC;0;907,2;907,2;906,7;;18;17,9;18,4;18;18,3;17,9;99;99;99;281;2,2;,7;
2022/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;1100 UTC;0;907,6;907,7;907,2;292,8;18,1;18;18,1;17,6;18;17,6;100;99;100;200;1,7;,4;
2022/01/03;1200 UTC;0;907,3;907,6;907,2;957,1;19,6;19,5;19,6;18;19,5;17,9;100;99;99;353;1,5;,5;
2022/01/03;1300 UTC;0;907,5;907,5;907,3;2382,8;23,7;19,6;23,9;19,6;21,3;19,4;99;78;78;199;2,9;1,3;
2022/01/03;1400 UTC;0;907,1;907,9;907;3264,2;26,4;19,8;26,6;23,7;20,9;19,2;79;66;67;195;3,1;1,4;
2022/01/03;1500 UTC;0;906,3;907,2;906,3;3753;27,7;18,1;28;26,4;20;17,1;67;53;56;88;4,1;1,3;
2022/01/03;1600 UTC;0;905,6;906,5;905,6;3735,8;28,5;16;28,8;27,3;18,8;16;56;47;47;359;4,5;1,5;
2022/01/03;1700 UTC;0;904,7;905,7;904,7;4281,4;29,7;17,2;30,1;28,4;18,2;14,7;51;41;47;236;4,5;1,4;
2022/01/03;1800 UTC;0;903,9;904,7;903,9;3444,5;30,1;19;30,7;28,1;21;14,7;60;38;52;139;4,8;1,5;
2022/01/03;1900 UTC;0;903,6;903,9;903,4;3197,1;28,4;18,2;30,9;28,3;20,8;18,2;59;50;54;114;6;1,8;
2022/01/03;2000 UTC;0;903,5;903,7;903,4;2121,7;26,3;19,4;28,4;26,3;20,2;17,6;67;54;66;90;7,5;1,8;
2022/01/03;2100 UTC;0;903,5;903,6;903,4;1258,7;24,9;19;27,5;24,7;20,1;18,4;72;62;70;101;7,8;1,8;
2022/01/03;2200 UTC;0;903,9;904;903,5;500,2;23;18,8;25,1;23;19,6;18,3;78;67;78;107;6,8;1,2;
2022/01/03;2300 UTC;0;904,6;904,6;903,8;51,9;21,6;18,9;23;21,6;19,1;18,6;85;77;85;102;5,9;1,5;
2022/01/04;0000 UTC;0;905,5;905,5;904,5;;20,6;18,6;21,6;20,6;18,9;18,4;89;84;88;84;6,5;1,3;
2022/01/04;0100 UTC;0;906;906;905,4;;20,5;19;20,6;20,4;19,1;18,6;91;88;91;92;4;,6;
