REGIAO:;S
UF:;RS
ESTACAO:;SANTA ROSA
CODIGO (WMO):;A810
LATITUDE:;-27,89055555
LONGITUDE:;-54,47999999
ALTITUDE:;272,84
DATA DE FUNDACAO:;15/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;975,8;975,8;975,4;822,4;25,8;16,3;25,8;22,8;16,8;15,5;66;55;56;47;;1,5;
2022/01/01;1200 UTC;;975,9;976;975,8;1955,7;28,7;15,5;28,8;25,8;16,7;15,3;56;45;45;13;4,4;2,1;
2022/01/01;1300 UTC;;976;976;975,8;2722,8;31,7;15,6;31,8;28,7;16,2;14,5;45;36;38;340;6,4;3,4;
2022/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1500 UTC;;974,9;975,4;974,9;3545,5;35,2;13,9;35,2;32,9;15,2;12,8;33;27;28;309;7,2;2,6;
2022/01/01;1600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1700 UTC;;973,5;974,4;973,5;3862,9;36,5;10,9;36,9;34,9;12,2;9,5;24;20;21;307;7,6;3,3;
2022/01/01;1800 UTC;;972,7;973,5;972,7;3576,6;37;10,2;37,8;36,2;11,9;10,2;22;19;20;37;7,6;1,6;
2022/01/01;1900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2000 UTC;;971;971,7;971;962,5;37,4;10,3;38,3;35,9;12,1;9,9;23;19;20;45;;2,1;
2022/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
