REGIAO:;S
UF:;RS
ESTACAO:;RIO PARDO
CODIGO (WMO):;A813
LATITUDE:;-29,87222221
LONGITUDE:;-52,38194443
ALTITUDE:;106,99
DATA DE FUNDACAO:;30/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;993,7;993,7;993,2;;24,2;15,8;24,8;24,2;15,8;14,3;59;52;59;109;3,9;1,8;
2022/01/01;0100 UTC;0;994;994;993,7;;23,6;15,8;24,4;23,5;16,3;15,5;63;58;61;137;4,6;2;
2022/01/01;0200 UTC;0;993,5;994;993,5;;23,1;15,9;23,8;23,1;15,9;15,2;64;59;64;111;4,5;2,5;
2022/01/01;0300 UTC;0;993,1;993,5;993,1;;21,6;16,9;23,1;21,5;16,9;15,7;75;64;75;137;4,5;2,6;
2022/01/01;0400 UTC;0;992,9;993,2;992,8;;21,4;17,8;21,6;21,2;17,8;16,9;80;75;80;130;3,9;2,1;
2022/01/01;0500 UTC;0;992,6;992,9;992,6;;21,5;18,2;21,5;20,8;18,2;17,6;83;80;82;92;3,7;1,9;
2022/01/01;0600 UTC;0;992,8;992,8;992,5;;21;18;21,5;21;18,3;17,9;83;81;83;113;3,8;1,2;
2022/01/01;0700 UTC;0;993;993;992,7;;20,1;17,7;21;20,1;18,3;17,4;87;83;86;105;2,2;1,3;
2022/01/01;0800 UTC;0;993,4;993,4;993;;20,1;17,9;20,5;20;18,3;17,8;88;86;87;73;2,8;1,2;
2022/01/01;0900 UTC;0;993,8;993,9;993,4;264,3;21,7;18,7;21,8;20;18,9;17,9;89;83;83;69;2,6;1,3;
