REGIAO:;S
UF:;RS
ESTACAO:;BAGE
CODIGO (WMO):;A827
LATITUDE:;-31,34777777
LONGITUDE:;-54,01333333
ALTITUDE:;226,19
DATA DE FUNDACAO:;04/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;979,5;979,5;978,8;;24,7;16,7;26,1;24,7;17,2;16,7;61;58;61;57;9,7;4,4;
2022/01/01;0100 UTC;0;980,1;980,1;979,5;;23,3;16,9;24,7;23,2;17;16,6;68;61;67;40;7,3;3,2;
2022/01/01;0200 UTC;0;980,4;980,4;980;;21,7;17,4;23,4;21,5;17,4;16,6;77;67;77;109;5,4;2,4;
2022/01/01;0300 UTC;0;980,2;980,5;980,2;;20,4;16,9;22,2;20,4;17,5;16,9;80;74;80;107;4;2,4;
2022/01/01;0400 UTC;0;979,8;980,2;979,8;;19,5;16,5;21;19,3;17,5;15,8;84;78;83;113;4,1;2,9;
2022/01/01;0500 UTC;0;979,6;980;979,6;;20,6;17;20,6;18,7;17,5;16,1;88;80;80;79;6,4;3,4;
2022/01/01;0600 UTC;0;979,5;979,7;979,5;;20;16,8;20,5;19,9;16,8;16,4;82;79;82;39;7;3,2;
2022/01/01;0700 UTC;0;979,3;979,5;979,3;;19,5;16,7;20,2;19,5;17;16,6;84;81;84;81;5,8;2,2;
2022/01/01;0800 UTC;0;979,4;979,4;979,2;;19,3;16,7;19,6;19,1;17;16,5;86;84;85;68;4,6;2,9;
2022/01/01;0900 UTC;0;979,3;979,4;979,3;27,2;19,3;16,5;19,5;19,1;16,8;16,3;85;83;84;77;4,3;2,4;
