REGIAO:;S
UF:;RS
ESTACAO:;PASSO FUNDO
CODIGO (WMO):;A839
LATITUDE:;-28,226805
LONGITUDE:;-52,403582
ALTITUDE:;680,67
DATA DE FUNDACAO:;27/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;929,4;929,4;928,8;;25,5;13,1;26,8;25,4;13,2;12,5;46;41;46;139;5,9;3;
2022/01/01;0100 UTC;0;929,9;930;929,4;;24,7;13,8;25,6;24,6;13,8;13;51;46;51;138;5,6;3,7;
2022/01/01;0200 UTC;0;930,4;930,4;929,9;;23,4;14,2;24,8;23,4;14,2;13,8;56;51;56;129;6,8;2,9;
2022/01/01;0300 UTC;0;930,2;930,4;930,2;;23;13,6;23,5;23;14,2;13,6;57;55;55;95;7,3;4,4;
2022/01/01;0400 UTC;0;929,8;930,2;929,8;;21,7;13,8;23,1;21,6;13,8;13,4;61;55;61;80;7,7;4,1;
2022/01/01;0500 UTC;0;929,2;929,8;929,2;;21,1;15,2;21,7;21;15,2;13,7;69;61;69;74;7,2;4,1;
2022/01/01;0600 UTC;0;929,2;929,2;929;;20,5;15,7;21,2;20,3;15,9;15,2;75;69;74;68;7,2;3,8;
2022/01/01;0700 UTC;0;929,4;929,4;929,2;;19,9;16;20,5;19,8;16,1;15,5;79;74;78;61;6,3;2,9;
2022/01/01;0800 UTC;0;929,9;929,9;929,3;;19,4;16;19,9;19,3;16,3;15,9;82;78;81;54;5,9;3;
2022/01/01;0900 UTC;0;930,5;930,5;929,9;21;18,9;16,2;19,4;18,8;16,3;15,8;84;81;84;45;5,5;3;
2022/01/01;1000 UTC;0;930,9;930,9;930,4;434,6;20,6;16,9;20,6;18,8;16,9;16,1;84;79;79;45;5,6;3,3;
2022/01/01;1100 UTC;0;931,3;931,3;930,9;1221,4;23,5;17,1;23,6;20,5;17,4;16,8;79;67;67;33;6,9;3,4;
2022/01/01;1200 UTC;0;931,4;931,4;931,2;2078,2;26,5;16;26,9;23,3;17,3;15,6;68;52;53;346;6,4;3,6;
2022/01/01;1300 UTC;0;931,3;931,5;931,3;2840;28,7;15,7;28,8;26,2;16,4;15,4;53;45;45;317;7,4;3,4;
2022/01/01;1400 UTC;0;931,1;931,5;931,1;3363,1;30,2;12,4;30,9;28;16;11,7;47;31;33;328;6,9;2,2;
2022/01/01;1500 UTC;0;930,6;931,2;930,5;3568,2;32,5;13;32,5;29,4;13,5;9,8;35;26;31;349;5,8;2;
2022/01/01;1600 UTC;0;930,2;930,6;930,2;4134,1;32,3;10,2;33,7;31,1;12,9;10,2;31;25;26;299;6,8;2,8;
2022/01/01;1700 UTC;0;929,6;930,2;929,5;4081,9;33,6;12,5;34,1;31,6;12,5;10,3;29;26;28;284;7,7;2,8;
2022/01/01;1800 UTC;0;929;929,6;929;3424,4;33,5;10,3;34,7;33;12,4;9,4;28;23;24;245;7,7;2,3;
2022/01/01;1900 UTC;0;928,2;929;928,1;3092,2;34,1;10,4;35,1;33,2;11,9;10;26;23;23;275;5,9;2,5;
2022/01/01;2000 UTC;0;927,6;928,2;927,5;1226,2;32,9;10,4;34,1;32,1;11,8;10,1;28;24;25;305;5,2;1,5;
2022/01/01;2100 UTC;0;927,4;927,6;927,4;1133,5;32,8;9,2;33,3;32,1;11,4;9,2;28;23;24;139;3,6;1,9;
2022/01/01;2200 UTC;0;927,9;927,9;927,4;487,8;31,6;10,7;33,8;31,6;11,3;9,4;28;23;28;26;5,1;,6;
2022/01/01;2300 UTC;0;928,7;928,7;927,8;25,9;29,5;11,4;31,6;29,2;11,5;9,8;33;27;33;29;2;,6;
2022/01/02;0000 UTC;0;929,7;929,7;928,7;;28,2;12,7;30,4;28,2;12,7;11,1;39;31;39;322;2;1,2;
