REGIAO:;S
UF:;RS
ESTACAO:;DOM PEDRITO
CODIGO (WMO):;A881
LATITUDE:;-31,0025
LONGITUDE:;-54,61805554
ALTITUDE:;150
DATA DE FUNDACAO:;23/04/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;986,5;986,5;985,4;;27,6;17,2;30,1;27,6;17,6;16,5;54;45;53;80;10,5;6,1;
2022/01/01;0100 UTC;0;987,3;987,3;986,5;;25,8;17,2;27,6;25,7;17,2;16,9;59;53;59;83;11;6,2;
2022/01/01;0200 UTC;0;987,6;987,6;987,3;;24,7;17,2;25,7;24,7;17,3;17,2;63;59;63;83;9;5,2;
2022/01/01;0300 UTC;0;987,8;987,9;987,5;;24,6;17,3;24,9;24,3;17,3;17,2;65;62;64;302;7,7;2,3;
2022/01/01;0400 UTC;0;987,6;987,8;987,6;;22,9;17,6;24,4;22,5;17,7;17,3;74;65;72;184;5,2;,9;
2022/01/01;0500 UTC;0;987,2;987,6;987,1;;20,8;17,3;22,9;20,8;17,6;17,3;80;72;80;99;3,1;2,2;
2022/01/01;0600 UTC;0;987,5;987,5;987,2;;20,9;17,1;20,9;20,5;17,4;17;82;79;79;83;4,4;2;
2022/01/01;0700 UTC;0;987,1;987,5;987,1;;20,3;17,2;20,9;20;17,3;16,9;83;79;82;122;3,2;,4;
2022/01/01;0800 UTC;0;987,1;987,1;986,9;;20,9;16,7;21,1;19,7;17,2;16,7;84;77;77;78;5,4;2,6;
2022/01/01;0900 UTC;0;987;987,1;986,8;20;19,8;16,7;21,3;19,2;16,9;16,3;85;74;82;47;5;,4;
2022/01/01;1000 UTC;0;987,7;987,7;987;474;24,3;17,6;24,4;19,8;17,6;16,4;82;63;66;336;4,7;1,7;
2022/01/01;1100 UTC;0;988,6;988,6;987,7;1259;25,5;18,3;25,5;24,1;19;17,6;71;64;64;232;3,2;1,8;
2022/01/01;1200 UTC;0;988,6;988,6;988,4;2055;29,7;17,1;29,7;25,6;19;16,7;64;46;47;347;5,7;3;
2022/01/01;1300 UTC;0;988,6;988,8;988,5;2777;31,7;18,1;31,7;29,8;18,1;16,7;47;42;44;343;6,1;2,9;
2022/01/01;1400 UTC;0;988,2;988,6;988;3345;33,5;17,5;33,5;31,7;18,1;16,2;43;37;39;342;6,4;2,8;
2022/01/01;1500 UTC;0;987,8;988,3;987,8;3685;34,8;15,5;35;33,5;18,1;15;39;31;32;338;5,4;2,9;
2022/01/01;1600 UTC;0;987;987,8;987;3807;35,8;13,5;35,9;34,3;15,9;11,3;32;24;26;313;6,1;1,6;
2022/01/01;1700 UTC;0;986,1;987;986;3688;36,8;13,4;36,9;35,5;14,5;11,4;28;22;25;28;6,1;1,7;
2022/01/01;1800 UTC;0;984,7;986,1;984,7;3297;37;11,5;37,9;36,4;13,2;10,2;24;20;22;23;7,9;2,6;
2022/01/01;1900 UTC;0;984,3;984,7;984,3;2828;37,4;10,7;37,7;36,7;12,6;9,5;23;18;20;358;7,2;2,4;
2022/01/01;2000 UTC;0;984,4;984,5;984,2;1712;36,5;11,4;37,5;36,4;11,5;7,2;22;16;22;326;6,8;2,1;
2022/01/01;2100 UTC;0;985,2;985,2;984,3;731;34,2;13,1;36,4;34,2;13,5;10,6;28;22;28;271;5,5;2,9;
2022/01/01;2200 UTC;0;988,3;988,3;985,1;249;23,1;15,7;34,2;23,1;16,5;10,3;63;23;63;205;21,6;14,2;
2022/01/01;2300 UTC;0;987,9;989,9;987,9;73;22,6;14,9;23;22,4;15,7;14,9;65;62;62;165;21;8,6;
2022/01/02;0000 UTC;0;989;989,9;987,9;;22,3;15,9;22,7;22,3;15,9;14,9;67;62;67;155;14,6;5,8;
2022/01/02;0100 UTC;0;988,3;988,8;988,2;;22,5;15,8;22,5;22,1;15,9;15,6;68;66;66;112;10,8;6,8;
2022/01/02;0200 UTC;0;988,6;988,6;987,9;;23,1;14,7;23,1;22,5;15,8;14,7;66;59;59;110;11,2;5,7;
2022/01/02;0300 UTC;0;988,6;988,7;988,5;;23;14,5;23,1;22,8;14,7;14,3;60;58;59;117;9;4,1;
2022/01/02;0400 UTC;0;989,1;990;988,5;;21,3;16,7;23,2;21;17,2;14,4;79;58;75;228;12,5;4,5;
2022/01/02;0500 UTC;0;988,9;989,3;988,7;;20,6;17,8;21,4;20,6;17,8;16,8;84;75;84;237;7,1;3,5;
2022/01/02;0600 UTC;0;987,9;988,9;987,9;;20,3;17,7;20,6;20,3;17,8;17,7;85;84;85;54;4,6;,7;
2022/01/02;0700 UTC;0;986,5;987,8;985,9;;20,1;17,1;20,2;19,7;17,8;17,1;87;83;83;85;6,4;4,2;
2022/01/02;0800 UTC;0;986,5;986,8;986,4;;20,1;16,5;20,8;20,1;17,1;16,5;83;77;80;122;6,4;1,9;
2022/01/02;0900 UTC;0;987,7;987,7;986,5;5;21,8;17,2;22,8;19,9;17,5;16,6;83;70;75;323;5;1,5;
2022/01/02;1000 UTC;0;987,7;988,1;987,7;133;23,6;17,2;23,6;21,9;17,8;17,1;76;67;67;27;4,3;3,2;
2022/01/02;1100 UTC;0;987,8;987,8;986,9;1142;27,9;18,1;27,9;23,7;18,1;17,1;68;54;55;26;8,2;3,9;
2022/01/02;1200 UTC;0;989;989,4;987,8;879;23,8;18,2;28,6;23,8;18,7;17,7;71;53;71;145;16,1;7,1;
2022/01/02;1300 UTC;0;992,2;992,2;988,9;171;22,9;19,2;24,4;22,9;19,4;18;80;68;80;242;10,3;5,6;
2022/01/02;1400 UTC;2,4;989,3;992;989,2;210;21,6;18,3;22,9;21,1;19,5;18,2;86;80;81;70;12;8,7;
2022/01/02;1500 UTC;0;989,7;990;989,2;852;24;19,5;24;21,7;19,5;18,2;81;74;76;71;12;6,3;
2022/01/02;1600 UTC;0;989,7;990,2;989,6;1341;25,6;18,9;26,3;24;19,7;18,8;76;64;67;352;10;5,8;
2022/01/02;1700 UTC;0;988,3;989,8;988,3;1080;26,1;18,9;26,2;24,7;19,6;18,5;70;63;65;8;10;2,5;
2022/01/02;1800 UTC;0;988,4;988,4;988,1;2052;28,2;19,8;28,3;25,9;20,3;18,1;65;56;60;266;6,6;2,8;
