REGIAO:;S
UF:;RS
ESTACAO:;IBIRUBA
CODIGO (WMO):;A883
LATITUDE:;-28,65333333
LONGITUDE:;-53,11194444
ALTITUDE:;455,27
DATA DE FUNDACAO:;13/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;953,8;953,8;953,3;;27,1;14,3;28,7;27,1;14,4;14;45;41;45;120;5,3;2,1;
2022/01/01;0100 UTC;0;954,7;954,7;953,8;;25,9;14,8;27,1;25,8;14,9;14,2;51;45;51;111;4,5;2,4;
2022/01/01;0200 UTC;0;954,9;955;954,7;;24,7;16,2;25,9;24,7;16,2;14,9;59;51;59;102;4,9;3;
2022/01/01;0300 UTC;0;954,8;955;954,8;;24,1;16,7;24,7;23,8;16,7;16,2;64;59;63;101;5,8;2,7;
2022/01/01;0400 UTC;0;954,1;954,8;954,1;;22,8;16,9;24,1;22,2;17;16,6;72;63;70;84;4,5;2,2;
2022/01/01;0500 UTC;0;953,8;954,2;953,8;;21,9;16,7;23;21,7;16,9;16,7;73;68;72;83;3;2;
2022/01/01;0600 UTC;0;953,8;953,9;953,7;;21,5;16,6;22;21,5;16,8;16,6;74;72;73;96;2,9;2;
2022/01/01;0700 UTC;0;954,2;954,3;953,8;;20,9;16,7;21,5;20,7;16,9;16,6;78;73;77;108;2,9;1,2;
2022/01/01;0800 UTC;0;954,3;954,3;954,2;;19,6;16,8;20,9;19,4;16,8;16,6;84;77;84;74;3;1,8;
2022/01/01;0900 UTC;0;954,9;954,9;954,3;11,6;19,1;16,5;19,7;18,9;16,8;16,4;86;83;84;73;3,5;2,1;
