REGIAO:;S
UF:;RS
ESTACAO:;TUPANCIRETA
CODIGO (WMO):;A886
LATITUDE:;-29,0893814
LONGITUDE:;-53,82665025
ALTITUDE:;462
DATA DE FUNDACAO:;11/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;953,5;953,5;952,7;;28,4;16,8;28,5;27,8;16,9;16,5;51;49;50;103;4,5;2,1;
2022/01/01;0100 UTC;0;954,3;954,3;953,5;;26,9;16;28,4;26,9;17;15,9;52;50;51;80;5,9;2,3;
2022/01/01;0200 UTC;0;954,5;954,6;954,3;;24,9;16,8;26,9;24,9;16,8;15,9;61;51;61;69;7;2,6;
2022/01/01;0300 UTC;0;954,2;954,6;954,2;;24;17;24,9;24;17;16,8;65;61;65;66;6,7;2,2;
2022/01/01;0400 UTC;0;953,9;954,2;953,9;;23,4;17,1;24;23,4;17,2;17;68;65;68;55;5;2;
2022/01/01;0500 UTC;0;953,6;953,9;953,6;;23,2;17,3;23,4;23,1;17,3;17,1;70;68;69;46;3,9;1,3;
2022/01/01;0600 UTC;0;953,5;953,6;953,5;;23,6;17,1;23,6;23,1;17,4;17,1;70;67;67;19;3;1,6;
2022/01/01;0700 UTC;0;953,6;953,6;953,5;;23,2;17,1;23,6;23,2;17,2;17,1;69;67;68;35;2,7;1,2;
2022/01/01;0800 UTC;0;953,8;953,9;953,5;;22,6;17,2;23,2;22,5;17,2;17;72;68;71;38;3;1,1;
2022/01/01;0900 UTC;0;954,2;954,2;953,8;8,2;22,4;17,3;22,7;22,3;17,3;17,1;73;71;72;30;2,5;1,2;
