REGIAO:;S
UF:;SC
ESTACAO:;BOM JARDIM DA SERRA - MORRO DA IGREJA
CODIGO (WMO):;A845
LATITUDE:;-28,12694443
LONGITUDE:;-49,47972221
ALTITUDE:;1790,38
DATA DE FUNDACAO:;17/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;817;817,2;816,6;0;12,9;12,9;13,4;12,9;13,4;12,9;100;100;100;138;8,6;5,9;
2022/01/01;0100 UTC;;817,3;817,4;817;0;12,3;12,2;12,9;12,2;12,9;10,4;100;86;99;130;6,9;4,4;
2022/01/01;0200 UTC;;817,3;817,5;817,3;0;12,9;8,5;13;12,2;12,1;7,2;99;70;74;110;4,9;3,5;
2022/01/01;0300 UTC;;816,9;817,3;816,9;0;13,8;8,2;13,9;12,8;10,3;7,1;83;65;69;62;4;2,9;
2022/01/01;0400 UTC;;816,4;817;816,4;0;14,4;7,1;14,4;13,7;8;7;69;61;62;5;3,2;,9;
2022/01/01;0500 UTC;;815,8;816,4;815,7;0;14,3;8;14,5;14,1;8,2;7;67;61;66;351;3;1,5;
2022/01/01;0600 UTC;;815,4;815,8;815,4;0;14,1;8;14,5;13,6;8,5;5,6;68;56;67;283;2,6;1,7;
2022/01/01;0700 UTC;;815,3;815,5;815,3;0;14,7;5,6;15,9;13,8;7,7;-,7;67;32;55;259;5,5;2,7;
2022/01/01;0800 UTC;;815,7;815,7;815,3;0;15,7;-1,4;16,1;13,6;8,5;-1,4;71;31;31;208;8,4;4;
2022/01/01;0900 UTC;;816,3;816,3;815,7;81,9;15,8;-,6;16;15,3;,1;-1,6;35;30;33;207;9,4;4,7;
2022/01/01;1000 UTC;;816,8;816,8;816,3;705,7;16,5;1,2;16,6;15,5;1,2;-,9;37;31;36;203;8,9;6,3;
2022/01/01;1100 UTC;;817,4;817,4;816,8;1596,3;17,8;7,2;17,8;16,2;7,2;1,2;51;35;50;184;8,9;5;
2022/01/01;1200 UTC;;817,8;817,8;817,4;2452,3;18,2;9,5;19,5;17,7;9,5;5,2;57;42;57;181;6,5;2,3;
2022/01/01;1300 UTC;;817,9;818;817,8;3180,6;19,4;8,2;20,3;18,2;10,5;7,4;58;46;49;180;4,7;2,8;
2022/01/01;1400 UTC;;818;818,1;817,9;3759,1;19,6;11,6;20,3;19;12,1;7,1;62;44;60;173;5,3;4,2;
2022/01/01;1500 UTC;;818;818;817,9;4164,2;19,9;15,9;20,1;18,7;15,9;11,1;80;58;78;193;6;3,7;
2022/01/01;1600 UTC;;817,8;818;817,7;3747,3;18,4;15,3;19,9;17,4;16,6;13,9;90;74;82;173;6,2;4,1;
2022/01/01;1700 UTC;;817,5;817,9;817,4;3704,7;18,9;14,4;19,8;17,6;16,1;13,8;86;71;75;195;7,2;4,6;
2022/01/01;1800 UTC;;817,3;817,5;817,3;3208,9;18,2;13,1;19,5;17,8;15,5;12,4;80;69;72;191;10,2;5;
2022/01/01;1900 UTC;;817,1;817,3;817;2844,6;19,1;12;19,7;17,7;13,8;11,8;74;63;63;189;9,9;5,1;
2022/01/01;2000 UTC;;816,8;817,1;816,8;2230,3;19,1;12,4;19,5;18,2;12,9;11,2;67;62;65;187;8,5;4,6;
2022/01/01;2100 UTC;;816,7;816,8;816,5;1333,7;18,1;15,5;19,1;17,4;15,5;12,1;85;65;85;181;7,2;4;
2022/01/01;2200 UTC;;817,4;817,4;816,7;117,9;15,7;15,7;18,1;15,7;16,3;15,3;100;85;100;138;6,9;2,6;
2022/01/01;2300 UTC;;817,9;817,9;817,4;6,2;14,7;14,7;15,7;14,7;15,6;14,7;100;100;100;130;5;2,6;
2022/01/02;0000 UTC;;818,3;818,3;817,9;0;15,2;12,1;15,3;14,7;15,1;11,5;100;79;82;59;6,5;5,2;
2022/01/02;0100 UTC;;819;819;818,3;0;15,2;15,3;15,3;14,9;15,3;12,5;100;82;100;45;6,9;5,2;
2022/01/02;0200 UTC;;819,4;819,4;818,9;0;15,1;11,7;15,3;14,7;15,3;11,6;100;79;80;33;7,4;5,9;
2022/01/02;0300 UTC;;819,4;819,5;819,3;0;15,2;9,7;15,3;14,6;11,8;8,8;82;66;70;8;8,6;7,3;
2022/01/02;0400 UTC;;818,4;819,4;818,4;0;14,3;14,2;15,4;14,3;14,2;9,5;99;68;99;339;9,8;8,4;
2022/01/02;0500 UTC;;817,8;818,4;817,7;0;13,5;13,3;14,6;13,5;14,2;12,8;100;89;98;338;11,3;9,9;
2022/01/02;0600 UTC;;817,8;817,8;817,6;0;14,7;9,1;15,2;13,4;13,3;8,9;99;68;69;334;12,1;9,7;
2022/01/02;0700 UTC;;818,3;818,3;817,7;0;14,5;6,6;15,3;14,5;9,4;6,3;71;56;59;331;12;9,7;
2022/01/02;0800 UTC;;818,6;818,7;818,2;0;15,4;7;15,9;14,5;7,3;6,3;60;54;57;330;12,1;9,9;
2022/01/02;0900 UTC;;819;819;818,6;51,2;15,4;7,1;15,7;15;7,3;6,1;60;53;58;329;12,4;10,3;
2022/01/02;1000 UTC;;819,2;819,3;818,9;645,2;15,8;6,7;15,8;15;8,2;6,6;64;55;55;332;13;10,2;
2022/01/02;1100 UTC;;819,6;819,7;819,2;1560,5;16,5;13;16,6;15,7;13;3,7;80;41;80;330;13;9,3;
2022/01/02;1200 UTC;;820,1;820,1;819,5;2433,2;18,3;14,7;18,3;16,5;14,8;12,9;84;77;79;317;13,6;8,2;
2022/01/02;1300 UTC;;820,2;820,2;820;3170,4;18,9;14,8;19,3;18,1;15,7;13,8;81;75;77;320;12,9;9,1;
2022/01/02;1400 UTC;;820,1;820,3;820;3754,5;21;14,3;21,6;18,8;16,3;13,8;78;65;65;311;14;6,5;
2022/01/02;1500 UTC;;820,2;820,3;820;4082,7;22,4;15,7;23;20,8;16,4;13,9;73;61;66;338;10,5;5,6;
2022/01/02;1600 UTC;;819,9;820,2;819,8;3686,9;23,7;16,6;23,7;21,1;16,8;14,5;70;61;64;330;11,5;4,7;
2022/01/02;1700 UTC;;819,4;819,9;819,3;2236,6;21,9;13,9;24,4;20,7;17;13,9;69;54;61;311;10,4;3,8;
2022/01/02;1800 UTC;;819;819,4;818,8;2412,4;18,1;14,4;23,2;18;19,5;13,6;85;60;79;173;13,1;8,2;
2022/01/02;1900 UTC;;818,5;819,3;818,5;1901,9;21,3;12,1;21,8;16,3;14,6;10,8;80;54;56;173;13,1;3;
2022/01/02;2000 UTC;;818,4;818,5;817,8;1074,2;16,9;14,3;23,3;16,9;14,7;11,3;85;54;85;345;15,5;10,1;
2022/01/02;2100 UTC;;819,2;819,2;818,1;54,3;14,3;13,9;16,9;14,2;14,6;13,3;100;85;97;313;15,5;10,7;
