REGIAO:;S
UF:;SC
ESTACAO:;MAJOR VIEIRA
CODIGO (WMO):;A864
LATITUDE:;-26,3936111
LONGITUDE:;-50,36333333
ALTITUDE:;799,58
DATA DE FUNDACAO:;09/02/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;918,7;918,7;917,7;;20;17,6;21,1;20;17,8;17,2;86;79;86;34;4,9;1,5;
2022/01/01;0100 UTC;;919,3;919,3;918,7;;19,2;17,3;20;19,2;17,9;17,3;89;86;89;55;4,4;2,5;
2022/01/01;0200 UTC;;919,2;919,4;919,2;;18,7;16,6;19,5;18,6;17,3;16,6;89;85;88;62;6,2;2,6;
2022/01/01;0300 UTC;;919;919,3;918,9;;18,1;16,6;18,7;17,8;16,7;16,2;91;88;91;40;3,6;,1;
2022/01/01;0400 UTC;;918,6;919;918,5;;16,5;15,8;18,1;15,8;16,5;14,6;95;91;95;155;2,4;1,6;
2022/01/01;0500 UTC;;918,2;918,6;918,2;;17;16,5;17;16,1;16,5;15,4;97;95;97;235;2,4;0;
2022/01/01;0600 UTC;;918,1;918,3;917,9;;17,3;16,7;17,3;16,8;16,8;16,2;97;96;96;280;,4;0;
2022/01/01;0700 UTC;;917,7;918,1;917,7;;17,5;16,9;17,6;17,1;17;16,5;97;96;96;161;1,1;0;
2022/01/01;0800 UTC;;918,1;918,2;917,7;;17,8;16,7;17,9;17,4;17;16,6;96;93;93;286;2,6;1;
2022/01/01;0900 UTC;;918,6;918,6;918,1;17,6;17,8;16,2;18;17,7;16,9;16,2;94;91;91;240;2,6;1,1;
2022/01/01;1000 UTC;;919,5;919,5;918,6;355,6;18,5;17,1;18,5;17,8;17,4;16,2;93;90;91;280;3,1;2,2;
2022/01/01;1100 UTC;;920;920;919,5;567,1;19;16,2;19,1;18,5;17,3;16;92;83;83;307;5,1;2,7;
2022/01/01;1200 UTC;;920,3;920,5;920;794,1;19,6;16,3;19,7;19;17;15,9;86;81;82;278;5,1;3,2;
2022/01/01;1300 UTC;;920,4;920,4;920,3;1966,7;21,2;16,3;21,8;19,6;17,8;15,8;84;74;74;277;6,4;3,5;
2022/01/01;1400 UTC;;919,8;920,4;919,8;3434,2;24,2;16,8;24,3;21,2;18,2;16,1;76;63;63;300;6,4;1,7;
2022/01/01;1500 UTC;;919,4;919,8;919,4;3817,2;26;16,7;27;24,2;18,6;16,3;68;55;57;336;5,1;2,4;
2022/01/01;1600 UTC;;918,9;919,4;918,8;3941,5;27,7;16,1;28,2;25,9;17,8;14,9;59;45;49;278;5,4;2,1;
2022/01/01;1700 UTC;;917,9;918,9;917,9;3736,6;29,6;15,7;29,6;27,8;16,8;13,1;49;39;43;342;5,5;3;
2022/01/01;1800 UTC;;917,2;917,9;917,2;3400,1;30,4;13,1;31;29;16,2;11,7;43;31;35;310;5,5;1,9;
2022/01/01;1900 UTC;;916,8;917,2;916,8;2837,9;31,3;12,9;31,4;29;14,3;11,3;38;30;32;28;6;,1;
2022/01/01;2000 UTC;;916,5;916,8;916,4;2269,7;29,2;14;32;29;14,9;11,7;40;30;39;31;6,5;3,9;
2022/01/01;2100 UTC;;916,2;916,5;916,2;999,1;28,7;13,3;29,7;28,5;14,8;12,5;43;36;39;44;6;3,9;
2022/01/01;2200 UTC;;916,8;916,9;916,2;426,3;26,4;13,4;28,7;26,4;13,9;12,8;44;38;44;40;6;3;
2022/01/01;2300 UTC;;917,4;917,4;916,8;7,8;24,8;14,1;26,4;24,7;14,6;13,4;53;44;52;360;3,8;1;
2022/01/02;0000 UTC;;918,2;918,2;917,4;;21,2;15,5;25;21,2;15,6;13,8;70;50;70;46;1,9;1;
2022/01/02;0100 UTC;;919,4;919,4;918,2;;22,3;16,9;22,8;21;16,9;15;72;62;72;19;4,9;2,1;
