REGIAO:;S
UF:;SC
ESTACAO:;CAMPOS NOVOS
CODIGO (WMO):;A898
LATITUDE:;-27,3886111
LONGITUDE:;-51,21583333
ALTITUDE:;963
DATA DE FUNDACAO:;15/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;902,9;902,9;902,1;;20,9;15,1;21,6;20,8;16,1;15,1;72;69;69;69;7,4;5,1;
2022/01/01;0100 UTC;0;903,4;903,4;902,9;;20,3;15,8;20,9;20;15,8;15;75;69;75;53;7,4;5,2;
2022/01/01;0200 UTC;0;903,7;903,7;903,3;;19,5;16,1;20,3;19,4;16,2;15,7;81;75;81;55;8;5,4;
2022/01/01;0300 UTC;0;903,4;903,7;903,4;;18,8;16;19,7;18,7;16,2;15,9;84;80;84;66;8;4,3;
2022/01/01;0400 UTC;0;903,2;903,4;903,1;;17,7;15,9;18,8;17,6;16,1;15,7;90;84;89;116;5,9;1,8;
2022/01/01;0500 UTC;0;903;903,2;903;;16,6;15,6;17,8;16,6;16;15,6;94;89;94;105;3,6;2,5;
2022/01/01;0600 UTC;0;902,6;903;902,6;;16,5;15,3;16,7;16,3;15,8;15,3;95;93;93;64;3,8;2,6;
2022/01/01;0700 UTC;0;902,4;902,6;902,3;;16,7;15,4;16,8;16;15,7;14,9;94;92;92;32;4,4;3,1;
2022/01/01;0800 UTC;0;902,9;902,9;902,3;;16,4;15,2;16,9;16,3;15,8;15;93;92;93;48;4,8;2,1;
2022/01/01;0900 UTC;0;903,4;903,4;902,9;29,7;16,7;15,1;16,7;16,1;15,2;14,7;93;91;91;54;3,8;2,1;
2022/01/01;1000 UTC;0;903,8;903,8;903,4;475;18,2;16,2;18,2;16,6;16,3;15;92;88;88;81;4,5;1,6;
2022/01/01;1100 UTC;0;904,2;904,2;903,8;1253;21,1;15,9;21,1;18,2;16,8;15,5;88;72;72;19;5,1;3;
2022/01/01;1200 UTC;0;904,4;904,4;904,2;2082,3;23,5;15,2;23,8;21,1;17;14,4;74;56;60;352;4,7;2,1;
2022/01/01;1300 UTC;0;904,3;904,4;904,3;2884,9;25,8;14,7;26,5;23,3;16,2;14;60;50;51;344;4,8;2,1;
2022/01/01;1400 UTC;0;904,1;904,4;904,1;3504,9;27,6;12,4;27,9;25,7;15,4;11,9;53;39;39;278;5,1;2,1;
2022/01/01;1500 UTC;0;903,7;904,1;903,6;3727;28,7;12,8;29,3;27,2;14,8;11,5;43;37;38;344;5,4;2,7;
2022/01/01;1600 UTC;0;903,2;903,7;903,2;3223,3;29,5;12,6;29,7;27,2;14;11,7;42;34;35;221;6,1;2,3;
2022/01/01;1700 UTC;0;902,6;903,2;902,6;3551,3;30,6;11,7;31,4;29,1;13,9;11,3;36;30;31;307;5,6;3,1;
2022/01/01;1800 UTC;0;902;902,6;902;2858,3;30,6;10,6;32,2;29,1;12,9;10,5;34;29;29;312;7,3;2,2;
2022/01/01;1900 UTC;0;901,7;902;901,7;2767,7;30,2;10,9;31,7;30;12,5;9,8;32;28;30;279;7,7;3,6;
2022/01/01;2000 UTC;0;901,1;901,7;901,1;2089,3;30,7;10,9;31,3;30,2;12,2;10,6;32;29;30;264;7,9;2,8;
2022/01/01;2100 UTC;0;900,9;901,1;900,8;1353,6;30,2;9,9;31,2;30,2;11,1;9,2;30;26;28;273;5,3;2;
2022/01/01;2200 UTC;0;901,6;901,6;900,9;457,6;28,8;9,6;30,3;28,8;10,4;9,6;31;28;30;273;4,8;2,1;
2022/01/01;2300 UTC;0;901,9;901,9;901,5;10,9;28,2;8;28,8;27,8;9,7;8;31;28;28;263;3,7;1,9;
2022/01/02;0000 UTC;0;902,8;902,8;901,9;;24,1;11,2;28,5;23,9;11,2;7,8;44;27;44;145;6,2;2,9;
2022/01/02;0100 UTC;0;903,5;903,5;902,8;;23,9;14,3;24,3;23,2;14,4;11,9;57;45;55;23;6,5;4,1;
2022/01/02;0200 UTC;0;904,5;904,5;903,5;;22,9;14,5;24,9;21,9;14,6;14,1;63;51;59;92;9,3;4,3;
2022/01/02;0300 UTC;0;904,6;904,7;904,5;;21,6;15,3;23,6;21,6;15,3;14,4;68;57;68;78;8,1;4,5;
2022/01/02;0400 UTC;0;904;904,6;904;;21;15,8;21,6;20,7;15,8;15,3;73;68;72;69;7,7;5,7;
