REGIAO:;CO
UF:;DF
ESTACAO:;AGUAS EMENDADAS
CODIGO (WMO):;A045
LATITUDE:;-15,596491
LONGITUDE:;-47,625801
ALTITUDE:;1030,36
DATA DE FUNDACAO:;03/10/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;0;897,8;897,9;897,2;;19,6;18;19,8;19,5;18,4;18;92;90;90;21;4,3;2;
2022/01/01;0200 UTC;0;897,7;897,9;897,7;;18,9;17,6;19,6;18,9;18;17,6;92;90;92;31;3,9;1,7;
2022/01/01;0300 UTC;0;897,3;897,7;897,3;;18,6;17,5;18,9;18,6;17,6;17,4;93;92;93;25;4,2;2,1;
2022/01/01;0400 UTC;0;896,7;897,3;896,7;;18,8;17,7;18,8;18,6;17,7;17,5;94;93;93;26;4,2;1,8;
2022/01/01;0500 UTC;0;896,1;896,7;896,1;;19,1;17,8;19,1;18,8;17,9;17,7;93;92;92;19;4,9;1,5;
2022/01/01;0600 UTC;,4;896;896,1;895,9;;19,1;17,9;19,1;19;17,9;17,8;93;92;93;346;3,2;,9;
2022/01/01;0700 UTC;,4;895,9;896,2;895,9;;19;17,9;19,1;19;18;17,9;93;93;93;5;2,6;1,1;
2022/01/01;0800 UTC;0;896,2;896,2;895,9;;19;17,9;19;18,8;17,9;17,8;94;93;94;12;3,5;1,9;
2022/01/01;0900 UTC;0;896,7;896,7;896,2;1,8;19,1;17,9;19,2;19;18;17,8;94;92;92;14;4,5;1,5;
2022/01/01;1000 UTC;0;897,3;897,3;896,7;84,8;19,5;18,1;19,5;19,1;18,1;17,9;92;91;92;19;3,5;1,2;
2022/01/01;1100 UTC;,2;897,7;897,7;897,3;344,8;20,1;18,7;20,2;19,5;18,7;18;92;91;91;14;4,7;1,8;
2022/01/01;1200 UTC;0;898,2;898,2;897,7;933,1;21,4;18,5;21,4;20,1;18,9;18,2;92;83;84;4;7;3,8;
2022/01/01;1300 UTC;0;898,4;898,4;898,1;1017,4;21,2;18,1;22,5;21,2;19,1;18,1;84;78;83;349;8,3;3,8;
2022/01/01;1400 UTC;,2;898;898,4;898;1626,1;23,4;19;23,4;21;19,4;18,2;88;76;77;358;8,3;3,5;
2022/01/01;1500 UTC;1,8;897,7;898;897,7;1322,5;21,7;20,1;23,7;20,2;20,1;18,2;92;73;91;2;9;3,1;
2022/01/01;1600 UTC;,2;897;897,7;897;1944,5;22;19,4;22,7;21,7;20,3;18,5;91;79;85;2;7,5;3,3;
2022/01/01;1700 UTC;0;896,6;897;896,6;1377,3;22,4;19,1;22,7;21,1;20;18,7;89;81;81;360;8,9;2,4;
2022/01/01;1800 UTC;,6;895,9;896,6;895,8;1132,6;21,6;18,6;23,4;21,6;19,7;18,3;83;74;83;314;7,4;3,2;
2022/01/01;1900 UTC;1,6;896,1;896,2;895,9;275,7;20,3;18,9;21,6;20,3;19,1;18,5;92;83;91;353;9;1,8;
2022/01/01;2000 UTC;0;896,1;896,1;896;460;20,6;19;20,6;20,3;19,1;18,8;92;90;91;359;4,8;1,8;
2022/01/01;2100 UTC;,2;896,3;896,3;896,1;231,1;20,5;19;20,6;20,5;19,2;18,8;92;90;91;358;3,8;1,3;
2022/01/01;2200 UTC;,6;897;897;896,3;35,5;20,1;18,9;20,5;20,1;19,1;18,8;93;91;93;352;2,8;1,2;
2022/01/01;2300 UTC;1;897,7;897,7;897;;19,2;18,1;20,1;19,2;18,9;18,1;94;93;93;308;4;1;
2022/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0200 UTC;0;899,1;899,2;898,6;;18,7;17,7;18,7;18,6;17,8;17,6;94;94;94;13;3,2;1,4;
2022/01/02;0300 UTC;0;898,4;899,1;898,4;;18,5;17,5;18,7;18,5;17,8;17,5;94;94;94;92;2,7;,7;
2022/01/02;0400 UTC;0;898;898,4;898;;17,7;16,8;18,5;17,7;17,6;16,8;94;94;94;33;3,1;1,5;
2022/01/02;0500 UTC;0;897,5;898;897,5;;17,4;16,5;17,7;17,3;16,8;16,5;95;94;95;38;2,7;1,4;
2022/01/02;0600 UTC;0;897,3;897,5;897,2;;17,6;16,7;17,6;17,3;16,7;16,4;95;95;95;34;3,1;1,6;
2022/01/02;0700 UTC;0;897,2;897,3;897,1;;17,9;17;17,9;17,6;17;16,8;95;95;95;31;4;1,8;
2022/01/02;0800 UTC;0;897,6;897,6;897,2;;17,7;16,8;17,9;17,6;17;16,7;95;94;94;39;3;1,2;
2022/01/02;0900 UTC;0;898,3;898,3;897,6;5,7;17,9;17;17,9;17,7;17;16,7;95;94;94;42;2,3;1;
2022/01/02;1000 UTC;0;898,9;898,9;898,3;164;18,9;18;18,9;17,9;18;17;94;94;94;36;2,5;1,3;
2022/01/02;1100 UTC;0;899,4;899,4;898,8;378,5;20,2;18,9;20,2;18,9;18,9;18;94;92;92;24;4;1,8;
2022/01/02;1200 UTC;,2;899,9;899,9;899,4;902,3;20,9;19,3;21,3;20,2;19,6;18,5;92;85;91;6;5,5;1,8;
2022/01/02;1300 UTC;,4;900,1;900,3;899,9;1450,6;22,3;19,9;22,3;20,2;20,2;18,6;92;86;86;320;6,6;2,4;
2022/01/02;1400 UTC;,4;899,5;900,1;899,5;1518,7;22,7;19,8;22,7;21,4;20,3;18,7;89;82;84;312;5,7;2,1;
2022/01/02;1500 UTC;0;898,8;899,5;898,8;2060,8;23,8;19,7;23,8;22,2;20,4;18,9;85;77;78;12;6,8;3,1;
2022/01/02;1600 UTC;3,4;898,4;898,8;898,4;1704,4;22,4;20,1;24,4;21,1;20,5;18,7;91;74;87;10;9,5;4,7;
2022/01/02;1700 UTC;,4;897,7;898,7;897,7;629;20;18,6;22,4;19,8;19,6;17,8;92;84;91;9;9,5;2,4;
2022/01/02;1800 UTC;0;896,4;897,7;896,4;2554,5;24,2;19,6;24,2;20;20,4;18,6;92;75;76;340;8,5;4,4;
2022/01/02;1900 UTC;0;896,4;896,4;896,1;1043,6;22,6;18,8;24,5;22,5;19,9;18,1;80;72;79;342;10,3;3,3;
2022/01/02;2000 UTC;0;896,2;896,4;896,2;1300,7;23,3;18,6;23,8;22,6;19,3;18,2;79;73;75;346;7,1;2,2;
2022/01/02;2100 UTC;0;896,9;896,9;896,2;888;22,8;19;24;22,8;19,4;18,4;79;72;79;287;5,5;2;
2022/01/02;2200 UTC;0;897,6;897,6;896,9;50,1;20,9;18,9;22,8;20,9;19,1;18,6;89;79;88;353;3,8;1,1;
2022/01/02;2300 UTC;3;898,9;898,9;897,6;;19,6;18,2;20,9;19,6;19,1;18,2;91;88;91;277;6,1;2,9;
2022/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0100 UTC;0;899,7;899,7;899,2;;19,5;18,5;19,7;19,5;18,7;18,5;94;94;94;316;3;1,2;
2022/01/03;0200 UTC;,2;899,7;899,7;899,6;;19,6;18,6;19,6;19,4;18,6;18,5;94;94;94;9;2,5;1,2;
2022/01/03;0300 UTC;,2;899,6;899,8;899,6;;19,6;18,6;19,7;19,6;18,7;18,6;94;94;94;359;4;1,2;
2022/01/03;0400 UTC;0;899;899,6;899;;19,5;18,5;19,6;19,5;18,7;18,5;94;94;94;10;3,7;1,4;
2022/01/03;0500 UTC;,6;898,7;899;898,7;;19,4;18,5;19,5;19,4;18,6;18,5;95;94;94;3;3,6;1,3;
2022/01/03;0600 UTC;,2;898,2;898,7;898,2;;19,2;18,3;19,4;19,2;18,5;18,3;95;94;95;5;2,7;1,2;
2022/01/03;0700 UTC;0;898,2;898,3;898,2;;18,9;18;19,2;18,9;18,3;18;95;95;95;22;2;1,3;
2022/01/03;0800 UTC;0;898,6;898,6;898,2;;18,9;18;19;18,9;18,1;18;95;95;95;16;2;1,1;
2022/01/03;0900 UTC;0;899,4;899,4;898,6;6,3;18,9;18;18,9;18,8;18,1;18;95;95;95;350;2;,6;
2022/01/03;1000 UTC;0;899,7;899,8;899,3;211,1;19,4;18,6;19,5;18,8;18,6;17,9;95;95;95;43;2,5;1;
2022/01/03;1100 UTC;0;899,9;899,9;899,7;766,9;21,5;19,2;21,5;19,4;19,5;18,5;95;87;87;345;3,2;1,4;
2022/01/03;1200 UTC;,2;900,3;900,3;899,8;1314,1;22,7;18,9;22,9;21,3;19,6;18,6;88;78;79;339;6,6;2,4;
2022/01/03;1300 UTC;0;900;900,3;900;2037,7;24,3;19,7;24,3;22,4;19,7;18,5;82;73;76;319;6,6;1,9;
2022/01/03;1400 UTC;0;899,2;900;899,2;3148,6;25,5;19,1;26;23,9;20,1;17,8;76;64;68;276;6,5;3,1;
2022/01/03;1500 UTC;0;898,4;899,2;898,4;3849,7;26,9;18,7;26,9;24,6;20,1;17,1;70;59;61;300;7,1;3;
2022/01/03;1600 UTC;0;897,4;898,4;897,4;3994,2;26,4;19,4;27,9;25,4;20;17,2;68;55;66;304;8,6;3,6;
2022/01/03;1700 UTC;0;896,5;897,5;896,5;2083,2;23,4;18,6;26,3;23,2;19,7;17,9;78;65;74;310;10,5;3,1;
2022/01/03;1800 UTC;0;895,8;896,5;895,8;3780,2;26,2;18,6;26,7;23,2;19,7;17,5;76;57;63;311;7,8;2,7;
2022/01/03;1900 UTC;0;894,7;895,8;894,7;2548,4;26,9;18,4;27,2;25,6;19,2;17,6;66;58;60;330;6,3;2,3;
2022/01/03;2000 UTC;0;894,7;894,8;894,7;2000;26,2;18,1;27,7;25,8;19;17,3;64;53;61;326;6,3;2,2;
2022/01/03;2100 UTC;0;895,3;895,3;894,7;422,8;22,3;18,4;26,2;22,3;19,2;18,3;80;61;79;288;8;2,1;
2022/01/03;2200 UTC;0;896,1;896,1;895,3;123,9;21,4;18,8;22,3;21,4;18,8;18,2;85;78;85;33;5;,4;
2022/01/03;2300 UTC;0;896,9;896,9;896,1;;20,8;19;21,4;20,8;19,5;18,5;90;84;90;54;2;1,1;
2022/01/04;0000 UTC;0;897,5;897,5;896,9;;20,5;18,9;20,8;20,5;19,2;18,9;91;90;91;26;1,9;1;
2022/01/04;0100 UTC;0;897,9;897,9;897,5;;20,1;18,9;20,5;20;18,9;18,7;93;90;93;40;2;,9;
2022/01/04;0200 UTC;0;898;898,1;897,9;;20,1;18,9;20,4;20,1;19,2;18,8;93;92;93;51;2;1,1;
2022/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/04;0400 UTC;,4;897,1;897,5;897,1;;19,9;18,6;20,4;19,9;19,1;18,6;93;92;92;295;6,9;3,2;
2022/01/04;0500 UTC;8,8;896,8;897,2;896,8;;18,9;17,9;19,9;18,9;18,6;17,9;94;92;94;307;8;1,7;
2022/01/04;0600 UTC;,4;896,4;896,8;896,4;;18,7;17,8;18,9;18,7;17,9;17,7;94;94;94;331;4,1;1,6;
2022/01/04;0700 UTC;,2;896,3;896,4;896,2;;18,9;18;18,9;18,6;18;17,8;95;94;95;339;3,3;1,4;
2022/01/04;0800 UTC;0;896,3;896,3;896,2;;19;18,1;19,1;18,9;18,2;18;95;95;95;345;3,5;1,1;
2022/01/04;0900 UTC;0;897,1;897,1;896,3;4,1;19,2;18,3;19,2;19;18,3;18,1;95;95;95;336;2,2;,7;
2022/01/04;1000 UTC;0;897,9;897,9;897,1;130,5;19,5;18,6;19,5;19,2;18,6;18,3;95;94;94;340;1,9;1;
2022/01/04;1100 UTC;0;898,3;898,4;897,9;323,8;20,2;18,8;20,2;19,5;18,9;18,6;94;92;92;359;2,8;1,1;
2022/01/04;1200 UTC;0;898,6;898,7;898,3;1111,9;22,3;18,9;22,4;20,2;19,5;18,6;92;81;81;331;4,1;1,7;
2022/01/04;1300 UTC;0;898,6;898,7;898,6;1904,5;24,4;19,5;24,8;22,1;20,5;18,8;84;73;74;288;6,1;2,8;
2022/01/04;1400 UTC;0;898,1;898,6;898,1;2731,4;25,5;19,2;25,6;23,3;19,9;18,4;79;68;68;290;7,4;2,9;
2022/01/04;1500 UTC;0;897,4;898,1;897,4;2940,9;25,7;18,7;26,7;24,3;20,1;18,4;73;65;65;300;8,4;3,2;
2022/01/04;1600 UTC;0;897,4;897,8;897,3;2519;21,5;19,2;26,1;21,2;20,2;18,2;88;65;87;318;11,1;2,7;
2022/01/04;1700 UTC;0;896,5;897,4;896,5;1872,6;24;19,7;24;21,5;20,7;18,8;89;77;77;338;6,7;2,7;
2022/01/04;1800 UTC;0;895,6;896,5;895,6;2431,2;25;18,3;25,3;23,9;20,2;18,1;79;65;66;295;10,1;4,7;
2022/01/04;1900 UTC;0;895;895,6;894,9;2162,2;24;18,3;25,5;23,9;19;17,9;72;65;70;286;10,1;2,7;
2022/01/04;2000 UTC;0;894,6;895;894,5;1268,4;23,1;18,4;24,1;23,1;18,7;18;76;69;75;301;7,5;2,7;
2022/01/04;2100 UTC;0;895,4;895,4;894,6;430,1;22,3;18,7;23,1;22,3;19;18,3;81;75;80;326;6;1,2;
2022/01/04;2200 UTC;0;895,7;895,7;895,4;53,5;21,4;18,8;22,3;21,4;19,2;18,8;86;80;85;9;3;1,5;
2022/01/04;2300 UTC;0;896,5;896,5;895,7;;20,7;18,5;21,4;20,7;19;18,5;88;85;88;32;4,6;2,5;
2022/01/05;0000 UTC;0;897,2;897,2;896,5;;20;18,2;20,6;20;18,6;18,2;89;88;89;20;5,1;1,9;
2022/01/05;0100 UTC;0;897,9;897,9;897,2;;19,9;18,3;20;19,8;18,4;18,2;91;89;91;25;4;2;
2022/01/05;0200 UTC;0;898,2;898,3;897,9;;19,5;18;19,9;19,5;18,4;18;92;91;91;28;4,3;1,2;
2022/01/05;0300 UTC;0;897,8;898,2;897,8;;18,6;17,5;19,5;18,6;18;17,5;93;91;93;333;2,5;,9;
2022/01/05;0400 UTC;0;897,2;897,8;897,2;;18,1;17,1;18,6;18,1;17,6;17,1;94;93;94;19;2,2;,9;
2022/01/05;0500 UTC;0;896,9;897,2;896,9;;17,5;16,5;18,1;17,5;17,1;16,5;94;94;94;44;2,4;,9;
2022/01/05;0600 UTC;0;896,6;896,9;896,6;;17;16,1;17,5;16,9;16,5;15,9;94;94;94;32;2,4;,5;
2022/01/05;0700 UTC;0;896,4;896,7;896,4;;16,5;15,6;17;16,4;16,1;15,5;94;94;94;47;2;,9;
2022/01/05;0800 UTC;0;896,5;896,5;896,1;;16,8;16;16,9;16,4;16,1;15,5;95;94;95;19;3,3;1,3;
2022/01/05;0900 UTC;0;897,1;897,1;896,4;5;15,8;14,9;16,8;15,8;16;14,9;95;94;94;37;3,4;,8;
2022/01/05;1000 UTC;0;897,6;897,7;897,1;366,2;19;18;19;15,8;18;14,9;95;94;94;7;2,6;1,3;
2022/01/05;1100 UTC;0;898,2;898,2;897,6;1374;21,7;18,1;21,7;19,1;18,4;17,7;94;80;80;323;5,6;2,5;
2022/01/05;1200 UTC;0;898,7;898,7;898,2;2156,6;23,5;18;23,9;21,7;19;17,9;81;71;71;301;6,6;2,7;
2022/01/05;1300 UTC;0;898,6;898,7;898,6;2374,7;23,9;18,4;24,4;23,3;19;17,9;75;69;72;292;7,2;3,1;
2022/01/05;1400 UTC;0;898,5;898,8;898,5;3178,6;25,6;18,2;26,2;23,9;19,2;18,1;73;62;64;291;7,4;2,7;
2022/01/05;1500 UTC;0;897,4;898,5;897,4;3356,6;27,3;19,1;27,3;25,4;19,1;17,5;65;58;61;280;7,7;3,1;
2022/01/05;1600 UTC;0;896,5;897,4;896,5;3939,5;27,9;18,3;28,3;26,9;19,1;17,2;61;52;56;290;7,5;2,9;
2022/01/05;1700 UTC;0;895,4;896,5;895,4;3469,3;28,1;16,8;28,6;27,1;19,7;16,5;61;49;51;326;7,4;3,6;
