REGIAO:;CO
UF:;DF
ESTACAO:;PARANOA (COOPA-DF)
CODIGO (WMO):;A047
LATITUDE:;-16,012222
LONGITUDE:;-47,557417
ALTITUDE:;1043
DATA DE FUNDACAO:;07/02/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;895,9;895,9;894,9;;19,6;18,9;20,3;19,6;18,9;18,3;96;89;96;28;4;1,9;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;0;896,2;896,6;896,2;;19,3;18,7;19,6;19,3;18,9;18,7;96;95;96;32;6,7;3,1;
2022/01/01;0300 UTC;0;895,9;896,2;895,9;;19,1;18,5;19,3;19,1;18,7;18,5;97;96;96;26;6,7;3,3;
2022/01/01;0400 UTC;0;895,2;895,9;895,2;;18,8;18,1;19,1;18,8;18,5;18,1;96;96;96;19;7,1;3;
2022/01/01;0500 UTC;0;894,8;895,2;894,8;;18,6;18,3;18,8;18,5;18,3;18,1;98;96;98;26;5,8;3,1;
2022/01/01;0600 UTC;0;894,7;894,9;894,6;;18,8;18,3;18,8;18,6;18,3;18,3;98;97;97;27;5,6;2,5;
2022/01/01;0700 UTC;0;894,6;894,8;894,6;;18,9;18,5;18,9;18,8;18,5;18,3;98;97;98;22;5,4;2,2;
2022/01/01;0800 UTC;0;894,9;894,9;894,6;;18,9;18,5;19;18,9;18,5;18,5;98;97;97;18;4,2;2,3;
2022/01/01;0900 UTC;0;895,4;895,4;894,9;2,8;19;18,6;19;18,9;18,6;18,5;97;97;97;21;4,4;2,4;
2022/01/01;1000 UTC;0;896;896;895,4;89,2;18,9;18,5;19,2;18,9;18,8;18,5;98;97;98;30;5,5;2,6;
2022/01/01;1100 UTC;0;896,5;896,5;896;330;19,4;18,8;19,4;18,9;18,9;18,5;98;97;97;24;5,9;3;
2022/01/01;1200 UTC;0;897;897;896,5;438,7;19,8;19;19,8;19,3;19;18,6;97;95;95;30;6,1;3;
2022/01/01;1300 UTC;0;897,1;897,2;896,9;914,1;20,5;19,1;20,6;19,8;19,4;18,9;95;91;92;29;6,7;3,5;
2022/01/01;1400 UTC;0;896,8;897,1;896,8;1252,1;21,8;20,5;21,8;20,4;20,5;18,9;94;90;92;33;6,5;2,9;
2022/01/01;1500 UTC;2;896,3;897;896,3;1248,6;21,3;19,7;21,8;20,2;20,4;18,7;95;89;91;11;7,8;2,6;
2022/01/01;1600 UTC;2,8;895,7;896,3;895,7;1108,1;21,5;20,7;21,5;19,9;20,7;19;96;90;95;23;8,8;2,8;
2022/01/01;1700 UTC;0;895;895,8;895;2235;22,3;19,7;22,8;21,4;20,9;19,5;95;85;85;28;7,6;4;
2022/01/01;1800 UTC;,4;894,5;895,1;894,5;1267,5;22,3;19,9;22,6;20,7;20,7;19,3;95;85;86;8;9,1;2,3;
2022/01/01;1900 UTC;0;894,5;894,5;894,3;905,3;22,1;19,6;22,4;21,9;20,1;19,2;88;84;86;357;6,3;1,8;
2022/01/01;2000 UTC;3,4;894,8;894,8;894,5;288,5;19,9;18,9;22,1;19,9;19,5;18,8;94;85;94;351;6,8;2;
2022/01/01;2100 UTC;,2;895;895;894,8;285,3;20,2;19,1;20,3;19,9;19,3;18,9;95;93;94;3;4,6;1,6;
2022/01/01;2200 UTC;0;895,6;895,6;895;46,1;20;19,3;20,2;20;19,3;19,1;96;94;96;17;3,7;1,4;
2022/01/01;2300 UTC;1,2;896,3;896,3;895,6;;19,8;19,2;20;19,8;19,3;19,2;96;96;96;11;3;1,4;
2022/01/02;0000 UTC;,4;896,8;896,8;896,3;;19,5;19;19,8;19,5;19,2;19;97;96;97;26;3,9;1;
2022/01/02;0100 UTC;0;897,3;897,3;896,8;;18,8;18,1;19,6;18,8;19;18,1;97;95;96;354;3,1;1;
2022/01/02;0200 UTC;0;897,8;897,9;897,3;;18,4;17,9;18,9;18,4;18,4;17,9;97;96;97;35;4;1,5;
2022/01/02;0300 UTC;0;897,1;897,8;897,1;;18,6;18;18,6;18,4;18;17,9;97;96;96;32;4,1;2;
2022/01/02;0400 UTC;0;896,4;897,1;896,4;;18,4;17,9;18,6;18,4;18,1;17,9;97;96;97;38;4,6;2,9;
2022/01/02;0500 UTC;0;896,2;896,6;896,2;;18,5;18,2;18,6;18,4;18,3;17,9;98;97;98;22;4,7;2,4;
2022/01/02;0600 UTC;0;895,9;896,2;895,8;;18,1;17,9;18,5;18,1;18,2;17,8;98;98;98;25;5,4;2,3;
2022/01/02;0700 UTC;0;896;896,1;895,9;;18,1;17,7;18,2;18;17,9;17,6;98;98;98;36;4,5;2,5;
2022/01/02;0800 UTC;0;896,4;896,4;895,9;;18,1;17,8;18,1;18;17,9;17,7;98;98;98;33;4;1,5;
2022/01/02;0900 UTC;0;897;897;896,4;8,1;18,2;18;18,2;18,1;18;17,8;98;98;98;48;3,6;2,2;
2022/01/02;1000 UTC;0;897,6;897,6;897;100,6;18,7;18,5;18,7;18,2;18,5;18;98;98;98;40;4,4;2,1;
2022/01/02;1100 UTC;0;898,2;898,2;897,6;536;19,5;18,8;19,6;18,7;19;18,5;98;96;96;36;5,6;2,8;
2022/01/02;1200 UTC;0;898,6;898,6;898,2;1088,9;20,8;19,4;20,9;19,5;19,6;18,8;96;91;91;21;6,4;3,2;
2022/01/02;1300 UTC;0;898,6;898,8;898,6;1184,4;22;20,3;22,2;20,3;21;19,1;95;89;90;30;5,9;2,6;
2022/01/02;1400 UTC;3,2;898,3;898,6;898,3;1470,3;21,1;19,9;23,1;20,4;21,1;18,9;93;85;93;338;6,1;1,9;
2022/01/02;1500 UTC;0;897,4;898,3;897,4;3171,7;24,4;20,1;25,1;21,1;20,9;18,8;94;73;77;359;7,2;3,2;
2022/01/02;1600 UTC;0;896,7;897,4;896,7;3558,1;24,9;20;25,6;24;21,1;19,2;81;70;74;17;9,5;4;
2022/01/02;1700 UTC;1;895,9;896,7;895,9;2683,4;22,8;19,9;25;21,5;21,9;19,5;90;74;84;15;10,1;4,9;
2022/01/02;1800 UTC;,4;894,9;895,9;894,9;934,9;20,3;18,8;22,8;20,2;20,5;18,4;92;82;91;3;9,7;2,6;
