REGIAO:;CO
UF:;GO
ESTACAO:;JATAI
CODIGO (WMO):;A016
LATITUDE:;-17,923622
LONGITUDE:;-51,717467
ALTITUDE:;670,08
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;932,8;932,8;932,4;;21,3;18,3;21,7;21;18,4;17,9;84;79;83;12;5;,6;
2022/01/01;0100 UTC;0;933,3;933,3;932,8;;20,5;18,7;21,2;20,5;18,7;18,3;90;83;90;153;1,6;,1;
2022/01/01;0200 UTC;0;933,5;933,5;933,2;;20,5;18,7;20,5;20,1;18,9;18,7;92;90;90;329;1,8;0;
2022/01/01;0300 UTC;0;933,6;933,7;933,5;;21,1;19,2;21,1;20,5;19,2;18,7;90;88;89;19;1,4;,2;
2022/01/01;0400 UTC;0;932,9;933,6;932,9;;20,5;18,6;21,1;20,5;19,3;18,5;91;87;89;306;1,7;,5;
2022/01/01;0500 UTC;0;932,3;932,9;932,3;;20,1;18,8;20,5;20,1;19,2;18,6;93;89;92;178;2,4;,4;
2022/01/01;0600 UTC;0;932,1;932,3;932,1;;20;19,1;20,1;19,8;19,1;18,8;95;92;94;158;1,2;0;
2022/01/01;0700 UTC;0;932,1;932,1;932;;19,9;18,9;20,1;19,9;19,1;18,9;94;94;94;84;,9;0;
2022/01/01;0800 UTC;0;931,9;932,2;931,9;;20,5;18,6;20,5;19,7;18,9;18,6;94;89;89;9;4;2,6;
2022/01/01;0900 UTC;0;933,1;933,1;931,9;;19,9;18,7;21;19,9;18,7;18,1;93;84;93;244;4,8;,7;
2022/01/01;1000 UTC;0;933,8;933,9;933,1;87,6;20,6;19,2;20,6;19,9;19,2;18,7;93;92;92;316;2,5;,3;
2022/01/01;1100 UTC;0;934,5;934,6;933,8;349,7;21,4;18,3;21,4;20,6;19,3;18;92;82;82;343;5,5;2,1;
2022/01/01;1200 UTC;0;934,8;934,9;934,5;766,1;22;18,6;22;21,3;18,8;18,2;83;81;81;339;5,7;2,1;
2022/01/01;1300 UTC;0;935;935;934,8;2091,2;24,4;18,6;24,8;21,9;19,9;18,5;82;70;71;337;6,8;2,8;
2022/01/01;1400 UTC;0;935,1;935,1;934,9;2641,7;24,8;18,6;25,6;24,3;19,5;18,1;72;66;68;344;7,7;3,3;
2022/01/01;1500 UTC;,2;934,4;935,1;934,4;3077,7;25,8;18,2;26,4;24,8;19,7;18,2;70;63;63;325;6,9;2,6;
2022/01/01;1600 UTC;0;933,5;934,5;933,5;3093,7;27;18,2;28;25,8;19,6;17,5;65;56;58;296;6,1;2,1;
2022/01/01;1700 UTC;0;932,6;933,5;932,6;2546,3;27,6;18,8;28,6;27,1;19,3;17,3;61;52;59;135;5,1;1,6;
2022/01/01;1800 UTC;0;931,7;932,6;931,7;839,8;26,6;19,7;27,8;26,3;19,8;18,4;67;57;66;97;5;2,2;
2022/01/01;1900 UTC;0;931,1;931,7;931,1;664,7;25,8;19,7;26,7;25,3;20,7;19,3;73;64;69;101;5,1;1,8;
2022/01/01;2000 UTC;0;931,2;931,3;931;668,9;25,8;20,2;26,2;25,3;21,2;19,4;77;68;71;193;4;1;
2022/01/01;2100 UTC;0;931,7;931,7;931,2;947,1;24,6;18,9;26,6;23,4;20,5;18,4;77;66;71;68;9,2;4;
2022/01/01;2200 UTC;0;932,1;932,1;931,6;118;22,8;19,5;24,6;22,6;19,6;18,7;83;71;81;49;7,8;1,1;
2022/01/01;2300 UTC;0;933,4;933,4;932,1;;23,2;20,5;23,2;22,5;20,5;19,4;86;81;85;359;3,5;1,8;
2022/01/02;0000 UTC;0;934,3;934,3;933,4;;22,7;20,2;23,4;22,7;20,5;20,1;86;84;86;358;5,2;2,3;
2022/01/02;0100 UTC;0;934,7;934,7;934,2;;20,8;18,6;22,7;20,8;20,4;18,6;91;86;87;314;5;2,5;
2022/01/02;0200 UTC;0;934,6;934,8;934,5;;21,3;18,1;21,3;20,6;19,1;17,7;87;82;82;308;6;2,1;
2022/01/02;0300 UTC;0;934;934,6;934;;20,7;18,3;21,3;19,9;18,3;17,7;89;81;86;352;5,9;2;
2022/01/02;0400 UTC;0;933,9;934;933,8;;19,6;18,4;21,3;19,4;18,7;17,9;93;84;93;252;6,1;,2;
2022/01/02;0500 UTC;0;933,8;934;933,7;;19,9;18,3;20;19,6;18,4;18,2;93;91;91;313;1,9;0;
2022/01/02;0600 UTC;0;933,6;933,8;933,5;;19,6;18,4;19,9;19,4;18,6;18,1;93;91;93;183;1,2;,5;
2022/01/02;0700 UTC;0;934;934,1;933,6;;19,4;18,5;19,6;19,4;18,7;18,4;94;93;94;298;1,7;0;
2022/01/02;0800 UTC;0;934,3;934,3;933,9;;20,3;18,8;20,4;19,4;19;18,5;95;91;91;321;2,9;1,5;
2022/01/02;0900 UTC;0;934,8;934,8;934,3;;20,1;18,7;20,7;20,1;18,8;18,6;92;89;92;303;3,4;1,7;
2022/01/02;1000 UTC;0;935,5;935,5;934,8;182,7;20,8;18,9;20,8;20;18,9;18,6;92;89;89;328;3,8;2;
2022/01/02;1100 UTC;0;935,9;935,9;935,5;1387,3;22,8;19,4;22,8;20,8;19,6;19;89;81;81;336;5,7;3;
2022/01/02;1200 UTC;0;936,5;936,5;935,9;1987,3;23,9;19,7;23,9;22,4;19,7;18,9;82;76;77;312;6,8;3,4;
