REGIAO:;CO
UF:;GO
ESTACAO:;PARAUNA
CODIGO (WMO):;A027
LATITUDE:;-16,962536
LONGITUDE:;-50,42545
ALTITUDE:;678,74
DATA DE FUNDACAO:;29/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;932,6;932,6;931,9;;24,4;19,9;24,7;24,4;20;19,9;76;75;76;337;7;2,8;
2022/01/01;0100 UTC;0;933,3;933,3;932,6;;24,1;19,8;24,4;24,1;20;19,8;77;76;77;337;6,7;1,5;
2022/01/01;0200 UTC;0;933,3;933,6;933,2;;23,8;19,6;24,1;23,8;19,9;19,6;78;77;78;319;4,8;1;
2022/01/01;0300 UTC;0;932,5;933,3;932,5;;23,4;19,4;23,8;23,4;19,6;19,4;78;78;78;313;3,4;,7;
2022/01/01;0400 UTC;0;931,9;932,5;931,9;;23,5;19,6;23,6;23,4;19,6;19,4;79;78;79;17;5,9;1,2;
2022/01/01;0500 UTC;0;931,7;931,9;931,6;;23,4;19,6;23,6;23,3;19,6;19,5;79;79;79;355;6,2;2,5;
2022/01/01;0600 UTC;0;931,5;931,7;931,3;;23,1;19,4;23,4;23,1;19,6;19,4;80;79;80;359;5,4;1,7;
2022/01/01;0700 UTC;0;931,7;931,7;931,5;;23,1;19,5;23,1;23;19,5;19,4;80;80;80;351;6,6;2,3;
2022/01/01;0800 UTC;0;932,3;932,3;931,7;;22,9;19,3;23,1;22,9;19,5;19,3;80;80;80;340;5,9;2,6;
2022/01/01;0900 UTC;1;932,9;932,9;932,3;4,9;23;19,6;23;22,7;19,6;19,3;81;80;81;338;6,3;2,3;
2022/01/01;1000 UTC;2,8;933,6;933,7;932,9;45,8;23,5;20,2;23,5;23;20,2;19,6;82;81;82;313;6,2;,9;
2022/01/01;1100 UTC;11,8;934,1;934,5;933,6;85,4;21,8;18,6;23,5;21,8;20,2;18,5;82;82;82;288;5,5;1,1;
2022/01/01;1200 UTC;,8;934,1;934,2;934;548,7;23,5;20,3;23,6;21,8;20,4;18,5;82;82;82;77;3,3;,8;
2022/01/01;1300 UTC;,2;934,8;934,8;934;694,9;23,7;20,6;23,8;23,4;20,7;20,2;83;82;83;359;4,4;1,5;
2022/01/01;1400 UTC;0;934,7;934,9;934,7;965,8;24,5;21,3;24,6;23,7;21,4;20,6;83;82;82;342;7,4;2,7;
2022/01/01;1500 UTC;0;933,8;934,7;933,8;1302,2;23,8;20,6;24,6;23,8;21,4;20,6;82;82;82;338;8,5;4,1;
2022/01/01;1600 UTC;0;932,4;933,8;932,4;2096,6;26,7;22,8;26,7;23,8;22,8;20,6;83;79;79;294;8,5;1,4;
2022/01/01;1700 UTC;0;931,8;932,5;931,8;2270,5;26,8;22,4;27,2;26,7;22,9;22,3;79;76;77;7;4,5;1,2;
2022/01/01;1800 UTC;0;931,2;931,8;931,2;2019,8;26,9;22,5;26,9;26,3;22,5;22;78;77;77;5;6,4;2,1;
2022/01/01;1900 UTC;0;931,3;931,3;931;1654,9;26,4;21,7;27,1;26,4;22,7;21,7;77;75;76;354;5,4;2,6;
2022/01/01;2000 UTC;0;931,3;931,4;931,2;636,2;25,8;21,2;26,4;25,8;21,7;21,2;76;75;76;358;5,7;1,5;
2022/01/01;2100 UTC;0;932;932;931,3;116,6;25,1;20,6;25,8;25,1;21,2;20,6;76;76;76;340;6,1;2,6;
2022/01/01;2200 UTC;0;933;933;932;3;24,8;20,5;25,1;24,7;20,6;20,4;77;76;77;345;5,2;2,1;
2022/01/01;2300 UTC;0;933,1;933,1;933;;24,3;20,3;24,8;24,3;20,5;20,3;78;77;78;336;6,7;3;
2022/01/02;0000 UTC;0;933,3;933,3;933,1;;23,8;20;24,3;23,8;20,3;20;79;78;79;336;7,3;3,3;
2022/01/02;0100 UTC;0;933,9;934;933,3;;23,4;19,7;23,8;23,4;20;19,7;80;79;80;344;9,3;2,3;
2022/01/02;0200 UTC;0;933,9;934,1;933,9;;23,2;19,4;23,4;23,2;19,7;19,4;80;79;79;306;5,7;,7;
2022/01/02;0300 UTC;0;933,6;934;933,6;;22,9;19,3;23,2;22,9;19,4;19,3;80;79;80;337;5,2;1,5;
2022/01/02;0400 UTC;0;932,9;933,6;932,9;;23;19,5;23,1;22,9;19,5;19,3;81;80;81;337;6,8;3,5;
2022/01/02;0500 UTC;0;932,7;932,9;932,6;;22,7;19,3;23;22,7;19,5;19,3;81;81;81;344;7,8;3,1;
2022/01/02;0600 UTC;0;933,2;933,2;932,7;;22,5;19,2;22,8;22,5;19,3;19,2;82;81;82;332;8,2;2,7;
2022/01/02;0700 UTC;0;933,3;933,3;933,1;;22,7;19,5;22,7;22,4;19,5;19,1;82;82;82;338;6;2,5;
2022/01/02;0800 UTC;0;933,8;933,8;933,3;;22,7;19,5;22,7;22,6;19,5;19,4;82;82;82;313;6;,9;
2022/01/02;0900 UTC;0;934,3;934,3;933,8;106,7;23,5;20,3;23,5;22,7;20,3;19,5;82;82;82;333;5,5;2;
2022/01/02;1000 UTC;0;935;935;934,3;733,3;24,3;20,9;24,4;23,6;21,1;20,3;82;81;81;338;7,5;3,4;
2022/01/02;1100 UTC;0;935,6;935,6;935;1332,4;25,1;21,4;25,4;24,3;21,7;20,9;81;80;80;316;6,5;1,6;
2022/01/02;1200 UTC;0;936,2;936,2;935,6;609,8;24;20,6;25,2;24;21,5;20,6;81;80;81;352;7,4;3,1;
2022/01/02;1300 UTC;1,2;935,9;936,2;935,9;1220,7;25;21,9;25;23,5;21,9;20,3;83;81;83;346;8,2;2,9;
2022/01/02;1400 UTC;0;935,2;935,9;935,2;1478,4;25,8;22,5;25,8;24,8;22,5;21,6;83;82;82;305;6,5;1,4;
2022/01/02;1500 UTC;0;934,5;935,2;934,4;2503,9;26,8;22,7;27,1;25,8;23,3;22,5;82;79;79;319;6,8;2,4;
2022/01/02;1600 UTC;0;933,5;934,5;933,5;2971,4;28,7;23,9;28,7;26,8;24;22,6;79;76;76;291;8,2;2,3;
2022/01/02;1700 UTC;0;932,6;933,5;932,6;3311,3;28,8;23,5;29;28;24,1;22,8;76;73;73;317;7,2;2,3;
2022/01/02;1800 UTC;0;932,2;932,6;932;2983,5;28,6;22,8;29,8;28,6;23,8;22,8;73;70;71;336;6,4;1,8;
2022/01/02;1900 UTC;0;931,8;932,2;931,8;1113,8;27;21,8;28,6;26,9;22,8;21,8;74;71;73;348;6,8;3,3;
2022/01/02;2000 UTC;0;931,9;931,9;931,7;934,3;26,5;21,4;27,1;26,5;22;21,4;74;73;74;331;6,7;2;
2022/01/02;2100 UTC;0;933,1;933,1;931,9;478,8;25,8;20,8;26,5;25,8;21,4;20,8;74;74;74;356;4,8;2,6;
2022/01/02;2200 UTC;0;934,5;934,5;933,1;9,7;24,5;20;25,8;24,5;20,8;20;76;74;76;327;4,7;1;
2022/01/02;2300 UTC;0;935,2;935,2;934,4;;24,2;20;24,5;24,1;20;19,8;77;76;77;194;3,4;,1;
2022/01/03;0000 UTC;24;936,5;936,5;935,2;;22,1;18,2;24,2;22,1;19,9;18,2;78;77;78;223;3,5;1;
