REGIAO:;CO
UF:;GO
ESTACAO:;IPORA
CODIGO (WMO):;A028
LATITUDE:;-16,42305554
LONGITUDE:;-51,14888888
ALTITUDE:;610,41
DATA DE FUNDACAO:;24/06/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;939,5;939,5;939,1;;22,4;21,2;23,7;22,4;21,5;20,7;94;84;93;35;3,1;2,5;
2022/01/01;0100 UTC;0;940,4;940,4;939,5;;22,9;21,2;23;22,2;23;21,2;;90;90;9;4,2;2,6;
2022/01/01;0200 UTC;0;940,6;940,7;940,4;;22,5;22;22,9;22,4;22;21,1;97;90;97;25;4,5;3;
2022/01/01;0300 UTC;0;940,2;940,7;940,2;;23;21,8;23,1;22,3;23,2;21,6;;91;93;20;5,5;3,6;
2022/01/01;0400 UTC;0;939,5;940,2;939,5;;22,9;22,2;23;22,8;22,5;21,8;98;93;96;24;6,1;3,6;
2022/01/01;0500 UTC;0;939,2;939,5;939,2;;22,7;;23;22,7;23,3;21,5;;92;;49;6,4;2;
2022/01/01;0600 UTC;2,4;938,7;939,3;938,7;;19,3;;22,9;19,3;;;;;;231;9,1;4,3;
2022/01/01;0700 UTC;29;938,9;939,4;938,7;;19,3;;19,3;19;;;;;;195;6,5;4,2;
2022/01/01;0800 UTC;20,4;939,8;940;938,9;;19,1;;19,3;19;;;;;;236;6,1;2,2;
2022/01/01;0900 UTC;11,4;940,4;940,4;939,8;;19,2;;19,2;19,1;;;;;;230;5,3;,9;
2022/01/01;1000 UTC;6,4;941,1;941,1;940,4;5,3;19,3;;19,4;19,2;;;;;;119;3,4;1,9;
2022/01/01;1100 UTC;1,6;941,2;941,3;941,1;104,4;19,5;;19,5;19,3;;;;;;96;3,6;2,1;
2022/01/01;1200 UTC;,2;942;942,1;941,2;723,6;20,4;;20,4;19,5;;;;;;37;4,5;,9;
2022/01/01;1300 UTC;0;942,3;942,3;942;1973,1;23,5;19,6;23,6;20,4;;;;;79;302;2,2;,8;
2022/01/01;1400 UTC;0;942,2;942,3;942,2;1570,6;23,8;19,7;23,9;23,1;20,5;19;82;76;78;51;3,7;2,1;
2022/01/01;1500 UTC;0;941,6;942,2;941,6;1338,9;23,4;20;24,8;23,3;20,7;19,4;83;75;81;47;6,1;4,2;
2022/01/01;1600 UTC;1;940,9;941,7;940,9;958,4;22,4;20,6;23,4;22,1;22,2;20;98;81;90;66;6,1;3,9;
2022/01/01;1700 UTC;0;939,9;940,9;939,9;2369,3;24,6;20,5;24,9;22,1;21,8;20,1;95;76;78;41;5,8;3;
2022/01/01;1800 UTC;0;939,1;939,9;939,1;2005,7;25,4;20,5;26;24,4;21,2;19,7;79;70;74;33;5,3;3,3;
2022/01/01;1900 UTC;0;938,7;939,1;938,5;1404;25,1;20,3;26;25,1;21,4;20;77;71;75;11;5,2;2,8;
2022/01/01;2000 UTC;,2;938,9;939,1;938,7;346,4;23,2;21,3;25,1;23,2;21,3;20,1;89;74;89;11;5,4;2,3;
2022/01/01;2100 UTC;1,4;939,4;939,4;938,8;122;22,4;;23,3;22,4;;;;;;14;4,4;2,6;
2022/01/01;2200 UTC;,2;940,3;940,3;939,4;106,6;22,4;;22,5;22,4;;;;;;337;4,4;1,2;
2022/01/01;2300 UTC;0;940,8;940,8;940,3;;22,3;;22,5;22,2;;;;;;320;2,4;,5;
2022/01/02;0000 UTC;0;940,6;940,8;940,4;;21,8;;22,3;21,7;;;;;;25;2,1;1,6;
2022/01/02;0100 UTC;0;941,1;941,1;940,6;;21,5;;21,8;21,5;;;;;;34;4,9;3,3;
2022/01/02;0200 UTC;0;941,8;941,8;941,1;;21,7;;21,8;21,4;;;;;;11;5;2,1;
2022/01/02;0300 UTC;0;941,6;941,9;941,6;;21,7;;21,8;21,6;;;;;;22;5;3,2;
2022/01/02;0400 UTC;0;941,2;941,6;941,1;;21,7;;21,8;21,6;;;;;;10;6,1;2,7;
2022/01/02;0500 UTC;0;940,5;941,2;940,5;;21,5;;21,8;21,5;;;;;;14;5,4;2,2;
2022/01/02;0600 UTC;0;940,7;940,7;940,3;;21,7;;21,7;21,4;;;;;;4;5,1;2,4;
2022/01/02;0700 UTC;0;940,8;940,8;940,6;;21,6;;21,7;21,6;;;;;;356;6,1;2,7;
2022/01/02;0800 UTC;0;941;941;940,7;;21,5;;21,6;21,5;;;;;;24;5,2;2,4;
2022/01/02;0900 UTC;0;941,5;941,5;941;;21,4;;21,5;21,4;;;;;;349;5,5;1,9;
2022/01/02;1000 UTC;,2;942,1;942,1;941,5;179,6;22,1;;22,1;21,4;;;;;;337;5,6;2,6;
2022/01/02;1100 UTC;0;942,9;942,9;942,1;597,2;22,8;22,5;22,8;22,1;;;;;98;339;5,6;1,9;
2022/01/02;1200 UTC;0;943,3;943,3;942,8;1222,4;23,9;21,3;24,4;22,9;23;21;;86;86;334;4,8;2,5;
2022/01/02;1300 UTC;0;943,5;943,5;943,3;1792,4;24,5;21,1;25,7;23,8;22,4;20,7;87;77;81;8;6,3;2,8;
2022/01/02;1400 UTC;0;943,4;943,6;943,4;1854,1;25,6;20,7;26,4;23,6;22,7;20,6;87;73;75;326;6,9;3,5;
2022/01/02;1500 UTC;7,6;942,5;943,5;942,5;2025,2;25,6;22,3;26,7;22,1;;;100;75;82;295;8,4;3,2;
2022/01/02;1600 UTC;5;941,8;942,5;941,8;3065,2;23,9;22,2;27,6;21,6;22,7;19,1;94;68;90;294;12,2;2,7;
2022/01/02;1700 UTC;0;940,7;941,8;940,6;3713,3;27,4;21,3;27,5;24;22,4;20,6;90;67;69;289;6,6;3,9;
2022/01/02;1800 UTC;0;940;940,7;940;3236,1;28,8;21,2;29,2;27,1;21,8;20,3;71;62;64;268;6,6;3,7;
2022/01/02;1900 UTC;0;939,6;940;939,5;1986;27,1;22,2;28,8;26,7;22,8;20,3;75;64;75;210;7,3;2,9;
2022/01/02;2000 UTC;3,4;939,5;940;939,4;534,7;24,2;21,6;27,2;23,4;23,6;20,3;;74;86;43;6,2;3,5;
2022/01/02;2100 UTC;0;939,7;939,8;939,4;943,3;23,7;21;24,2;22,8;21,8;20,6;94;83;85;38;8,4;3,7;
2022/01/02;2200 UTC;0;941,1;941,1;939,7;174;22,7;20,7;23,7;22,6;21,1;20,3;90;84;89;350;6,3;2,6;
2022/01/02;2300 UTC;0;942,3;942,3;941,1;;22,3;22,3;22,8;22,3;22,3;20,3;100;87;100;353;5,3;2;
2022/01/03;0000 UTC;,2;942,4;942,4;942;;22;20,1;22,5;22;23;20;;87;89;337;5,3;2,1;
2022/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0200 UTC;0;944,3;944,3;943,5;;21,7;22,1;21,7;21,2;;;;;;105;2,7;,8;
2022/01/03;0300 UTC;0;944,1;944,6;944,1;;21,3;;21,7;21,3;;;;;;98;2,8;1,7;
2022/01/03;0400 UTC;0;943,1;944,1;943,1;;21,3;;21,5;21,2;;;;;;53;4,2;2,1;
2022/01/03;0500 UTC;0;942,7;943,1;942,7;;21,5;;21,5;21,3;;;;;;14;2,7;1,6;
2022/01/03;0600 UTC;0;942,6;942,7;942,4;;21,5;;21,5;21,5;;;;;;5;3,6;1,9;
2022/01/03;0700 UTC;0;942,6;942,6;942,5;;21,6;;21,8;21,5;;;;;;5;4,3;2,3;
2022/01/03;0800 UTC;0;942,9;942,9;942,5;;21,7;;21,7;21,5;;;;;;3;4,1;1,6;
2022/01/03;0900 UTC;0;943,2;943,2;942,9;,3;21,5;;21,8;21,5;;;;;;6;5,9;2,4;
2022/01/03;1000 UTC;0;943,8;943,9;943,2;42,1;21,8;;21,8;21,5;;;;;;343;5,4;2,4;
2022/01/03;1100 UTC;0;944,2;944,2;943,8;548,3;22,8;21,3;22,8;21,5;;;;;91;357;6,4;2,8;
2022/01/03;1200 UTC;0;944,7;944,7;944,2;489;22,5;22,2;22,8;22,3;23;20,7;;89;98;358;5,6;2,1;
2022/01/03;1300 UTC;0;944,7;944,8;944,7;1102,2;23,9;20,9;24,3;22,4;22,6;20,5;100;81;84;350;4,5;2,6;
2022/01/03;1400 UTC;0;944,2;944,7;944,2;2204,4;25;20,6;25,9;23,9;21,7;20,4;84;74;77;7;5,3;2,4;
2022/01/03;1500 UTC;0;943;944,2;943;2413,6;26,4;21,2;27;24,9;22;20,3;79;69;73;11;5,8;1,9;
2022/01/03;1600 UTC;2,8;942;943;942;871,2;23,4;21,7;26,7;23,4;22,3;20,7;90;71;90;299;5,7;2,5;
2022/01/03;1700 UTC;,4;940,7;942;940,7;2627,1;27,3;22,3;27,5;23,4;24;21,6;97;72;74;351;5,7;3,2;
2022/01/03;1800 UTC;0;939,5;940,7;939,5;2722,8;27,8;21,1;28,5;27,1;22,9;20,3;75;64;67;340;6,3;3;
2022/01/03;1900 UTC;3,8;939,1;939,5;938,8;885,5;24;21,6;27,8;21,8;22,4;19,8;99;67;87;294;10,9;3,2;
2022/01/03;2000 UTC;0;939,2;939,3;938,7;1204,8;24,8;20,8;26;24;22,2;20;88;70;78;36;6,4;1,9;
2022/01/03;2100 UTC;0;938,8;939,2;938,7;825,2;25,4;20,5;26;24,8;21;19,9;78;69;75;37;3,6;1,4;
2022/01/03;2200 UTC;0;939,9;939,9;938,8;268,9;24,5;21;25,4;24,5;21,5;20,6;82;75;81;360;2,4;1,2;
2022/01/03;2300 UTC;0;941;941;939,9;;23,5;21,5;24,5;23,5;21,5;20,7;88;80;88;29;2,3;1,4;
2022/01/04;0000 UTC;,4;941,6;941,6;941;;22,7;23;23,6;22,7;23,8;21,6;;88;;227;2,9;1,6;
2022/01/04;0100 UTC;0;942,2;942,2;941,6;;22,9;21,3;23,1;22,6;23,4;21,2;;89;91;317;2,9;1;
2022/01/04;0200 UTC;0;942,5;942,6;942,2;;22,6;;22,9;22,6;;;;;;251;2,1;,6;
2022/01/04;0300 UTC;0;941,9;942,5;941,9;;22,4;;22,8;22,3;;;;;;24;2,5;1,7;
2022/01/04;0400 UTC;,2;940,9;941,9;940,9;;22,5;;22,6;22,4;;;;;;324;2,8;,9;
2022/01/04;0500 UTC;0;940,1;940,9;940,1;;21,7;;22,5;21,7;;;;;;3;2,9;1,4;
2022/01/04;0600 UTC;0;939,7;940,1;939,7;;21,9;;22;21,7;;;;;;296;3,8;1,6;
2022/01/04;0700 UTC;0;939,9;940;939,7;;21,8;;21,9;21,7;;;;;;315;3,4;,4;
2022/01/04;0800 UTC;0;939,8;939,9;939,6;;21,4;;21,8;21,4;;;;;;42;2,8;1,8;
2022/01/04;0900 UTC;0;940,7;940,7;939,8;0;21,1;;21,4;21;;;;;;31;3,7;1,8;
2022/01/04;1000 UTC;0;941,7;941,7;940,7;107,7;21,6;;21,6;21;;;;;;360;5,5;2,5;
2022/01/04;1100 UTC;0;942,3;942,3;941,7;289,8;22;21,1;22,1;21,4;;;;;94;4;5,7;3,1;
2022/01/04;1200 UTC;0;943,1;943,1;942,3;510,7;22,2;21;22,5;21,9;22,6;20,8;;91;93;348;6,9;3,1;
2022/01/04;1300 UTC;0;943,2;943,4;943,1;711,9;23,2;20,7;23,3;22,1;21,3;20,5;93;85;86;360;6,3;3;
2022/01/04;1400 UTC;0;942,8;943,2;942,7;2096;24,7;20,8;25,3;23,1;21,2;19,8;86;74;79;347;6;3,2;
2022/01/04;1500 UTC;0;942,4;942,8;942,4;1558;24,1;20,1;24,8;24,1;21;19,8;80;76;78;350;5,8;2,9;
2022/01/04;1600 UTC;0;941,7;942,4;941,7;995,9;24,4;20,9;24,8;24,1;21,2;20,2;83;78;81;342;5,6;2,7;
2022/01/04;1700 UTC;0;940,1;941,7;940,1;2181,4;26,9;20,4;27,3;24,3;21,9;20,4;82;67;67;332;5,8;2,6;
2022/01/04;1800 UTC;0;938,8;940,1;938,8;2141,4;26,3;21,2;27,5;26,2;22,1;20,5;76;68;74;348;6,2;2,7;
2022/01/04;1900 UTC;0;938,4;938,8;938,4;1053,8;26,9;21,8;27,2;25,7;22,1;20,7;77;71;74;350;6;2,9;
2022/01/04;2000 UTC;9,2;938,5;938,6;938,1;667,5;20,9;;26,9;20,8;22;20,2;;72;;300;9,4;5,5;
2022/01/04;2100 UTC;6,8;938,5;938,7;938,4;653,5;23,6;;23,7;20,9;;;;;;23;9,4;1,7;
2022/01/04;2200 UTC;0;939,3;939,3;938,5;520,9;23,7;22,7;24,8;23,6;24,3;22,4;;90;94;23;4,2;2,2;
2022/01/04;2300 UTC;0;940;940;939,3;;23,3;;23,7;23,1;;;;;;19;3,7;2,4;
2022/01/05;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/05;0100 UTC;0;941,4;941,4;940,7;;22,8;21,7;23;22,6;;;;;93;4;3,9;1,9;
2022/01/05;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/05;0300 UTC;0;941;941,4;941;;21,8;;22,4;21,8;22,9;20,8;;92;;50;1,9;,3;
2022/01/05;0400 UTC;0;940,8;941,2;940,8;;21,3;;22;21,2;;;;;;15;2,8;1,5;
2022/01/05;0500 UTC;0;940,7;940,9;940,7;;22;20,9;22;21,2;;;;;93;322;3,9;2,1;
2022/01/05;0600 UTC;0;940,3;940,8;940,3;;21,8;;22,1;21,8;22,5;20,7;;92;;342;4,3;2,1;
2022/01/05;0700 UTC;0;940;940,3;939,8;;21,5;;21,8;21,5;;;;;;27;6,2;2,8;
2022/01/05;0800 UTC;0;940,2;940,2;940;;21,7;;21,8;21,4;;;;;;8;5;1,8;
2022/01/05;0900 UTC;0;940,9;940,9;940,2;;21,7;;21,8;21,5;;;;;;7;4,5;2,5;
2022/01/05;1000 UTC;0;941,9;941,9;940,9;57;22;;22,1;21,7;;;;;;11;5;3,3;
2022/01/05;1100 UTC;0;942,2;942,3;941,9;636,5;22,9;21,4;23;22;;;;;91;16;5,8;3,5;
2022/01/05;1200 UTC;0;942,7;942,8;942,2;1063,7;24;22,1;24;22,9;22,2;21,2;93;88;89;1;7,4;3;
2022/01/05;1300 UTC;0;942,7;942,9;942,7;1796,8;24,9;21,9;25;23,7;22,7;21,1;90;82;84;19;9,2;5;
2022/01/05;1400 UTC;0;942,4;942,8;942,4;2718,1;26,4;21,6;26,9;24,4;22,3;20,8;85;73;75;352;9,3;3,4;
2022/01/05;1500 UTC;0;941,6;942,4;941,6;2751,1;25,3;21,8;28,2;25,2;22,5;20,9;82;68;81;16;8,6;5,1;
2022/01/05;1600 UTC;0;940,9;941,6;940,9;2400,1;26,4;21,6;26,6;24,8;22,3;20,5;84;73;75;360;9,8;4,5;
2022/01/05;1700 UTC;,8;940,6;941;940,5;1141,7;24,3;22,1;26,7;22,8;23,8;20,4;;73;88;355;9,6;3;
2022/01/05;1800 UTC;0;939,6;940,6;939,6;1471,1;26,3;22,3;26,3;24,2;22,8;21,6;88;77;79;326;5,7;2,4;
2022/01/05;1900 UTC;0;939;939,6;938,8;1102,8;25,6;21,8;26,4;25,2;22,3;21,3;83;75;80;317;6,8;2,9;
2022/01/05;2000 UTC;0;938,9;939,1;938,9;1215,1;25,5;21,5;25,9;25,1;21,9;21;81;75;79;320;6,4;2,6;
2022/01/05;2100 UTC;0;938,9;939;938,8;725,9;25,2;21,1;25,7;25,1;21,7;21;80;76;78;345;5;2,4;
2022/01/05;2200 UTC;0;939,8;939,8;938,9;154,3;24,4;21;25,2;24,4;21,2;20,6;82;77;82;298;4;2,4;
2022/01/05;2300 UTC;0;940,4;940,4;939,8;;23,3;21,6;24,4;23,3;21,6;21;90;82;90;343;4,1;1;
2022/01/06;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/06;0100 UTC;0;941,1;941,2;940,8;;22,8;;23;22,7;;;;;;23;2,2;1,3;
2022/01/06;0200 UTC;0;941,1;941,2;941,1;;22,5;;22,8;22,4;;;;;;309;2,1;,2;
2022/01/06;0300 UTC;0;940,5;941,2;940,5;;22,3;;22,5;22,2;;;;;;59;2;1,3;
2022/01/06;0400 UTC;0;940;940,5;940;;22,3;;22,4;22,2;;;;;;38;2,2;1;
2022/01/06;0500 UTC;0;939,5;940;939,5;;22,7;;22,7;22,2;;;;;;283;2,8;1,2;
2022/01/06;0600 UTC;0;939,6;939,7;939,5;;22,5;;22,8;22,5;;;;;;333;2,4;,8;
2022/01/06;0700 UTC;0;939,9;939,9;939,5;;22,5;;22,6;22,3;;;;;;325;2,2;,7;
2022/01/06;0800 UTC;1,8;940;940;939,9;;22,5;;22,6;22,3;;;;;;326;3,8;1,9;
2022/01/06;0900 UTC;0;940,4;940,4;940;;22,4;;22,5;22,3;;;;;;322;5;1,9;
2022/01/06;1000 UTC;0;941,2;941,2;940,4;98,9;22,5;;22,5;22,2;;;;;;339;4,1;,9;
2022/01/06;1100 UTC;0;941,6;941,6;941,2;643,3;23,5;22,1;23,5;22,5;;;;;92;1;4,3;2,5;
2022/01/06;1200 UTC;0;942,2;942,2;941,6;1515,3;25,1;21,6;25,3;23,5;22,7;21,1;93;79;81;18;5,1;2,7;
2022/01/06;1300 UTC;0;942,2;942,3;942,1;2388,6;26,2;21,2;27;25,1;22,3;20,5;82;70;74;348;5,8;3,6;
2022/01/06;1400 UTC;0;941,9;942,3;941,9;2770,7;26,8;21,7;27,7;25,7;22,2;20,6;77;68;73;3;7,7;3,8;
2022/01/06;1500 UTC;0;941,2;941,9;941,2;3429,9;28,1;20,5;28,2;26,5;22,4;20,4;74;63;63;346;8;3,3;
