REGIAO:;CO
UF:;GO
ESTACAO:;MONTE ALEGRE DE GOIAS
CODIGO (WMO):;A032
LATITUDE:;-13,253521
LONGITUDE:;-46,890326
ALTITUDE:;551,33
DATA DE FUNDACAO:;07/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;0;949,6;949,6;949;0;21,2;19,8;21,6;21,2;19,8;19,5;92;88;92;291;1,3;,4;
2022/01/01;0200 UTC;0;949,7;949,9;949,6;0;21,2;20,2;21,7;21,2;20,3;19,5;94;87;94;24;1,6;,2;
2022/01/01;0300 UTC;0;949,1;949,7;949,1;0;21,2;20,5;21,3;21,2;20,6;20,1;96;94;96;342;,8;,2;
2022/01/01;0400 UTC;0;948,8;949,1;948,7;0;21,1;20,7;21,4;21,1;20,8;20,4;97;95;97;256;1;,1;
2022/01/01;0500 UTC;0;948,3;948,8;948,3;0;21,1;20,5;21,3;21,1;21,1;20,5;99;96;96;75;1,3;,8;
2022/01/01;0600 UTC;0;948,2;948,3;948,1;0;21,3;20,6;21,4;21,1;20,7;20,4;97;94;96;339;1,4;0;
2022/01/01;0700 UTC;0;948,1;948,2;948;0;21,3;21,1;21,3;21,2;21,2;20,6;99;96;99;9;,2;0;
2022/01/01;0800 UTC;0;948,4;948,4;948,1;0;21,2;20;21,4;21,2;21,4;20;100;93;93;59;4,5;2,3;
2022/01/01;0900 UTC;0;948,7;948,7;948,4;4,1;21,2;19,7;21,4;21,1;20;19,6;93;90;91;53;5,1;1,8;
2022/01/01;1000 UTC;0;949,3;949,3;948,7;218,1;21,8;19,8;21,8;21,2;20,3;19,6;92;88;88;61;3,4;0;
2022/01/01;1100 UTC;0;949,8;949,8;949,3;707,7;23,6;20,2;23,6;21,8;20,6;19,6;89;81;82;83;1,8;,2;
2022/01/01;1200 UTC;0;950,2;950,2;949,8;1295,4;24,7;19,4;25,1;23,6;20,6;19,1;82;71;73;5;4,7;2,2;
2022/01/01;1300 UTC;0;950,5;950,5;950,2;1228;25;19,8;25,2;24,2;20,3;19,1;76;71;73;343;4,8;2,5;
2022/01/01;1400 UTC;1,2;950,5;950,6;950,4;1278,9;23,2;20,8;25,1;22,9;21,3;19,2;89;71;86;358;7,4;2,1;
2022/01/01;1500 UTC;,4;949,7;950,5;949,7;1712,8;24,9;20,7;25,1;23,2;21,7;20,5;89;76;77;9;5,6;3,4;
2022/01/01;1600 UTC;0;949;949,7;949;1944,3;23,9;20,9;26,1;23,9;21,2;20,2;85;71;84;357;6,2;2,5;
2022/01/01;1700 UTC;,6;947,9;949;947,9;2561,8;27,6;20,3;28,2;23,7;22,7;19,9;89;64;64;4;7,2;3,5;
2022/01/01;1800 UTC;0;947;947,9;946,9;2824,6;27,2;19,6;28,2;27;21,3;19,3;67;61;63;351;7,6;3,8;
2022/01/01;1900 UTC;0;946,9;947;946,7;1364,5;26,6;19,7;27,8;26,6;20,2;19,1;67;62;66;352;7,5;2,2;
2022/01/01;2000 UTC;7,8;947,8;947,9;946,9;80,7;22,2;20,2;26,5;21,8;20,8;19,3;93;66;89;4;9,9;2,3;
2022/01/01;2100 UTC;1,6;947,8;947,9;947,7;38,9;21,9;20,6;22,5;21,8;21;20;95;86;92;113;5,8;,8;
2022/01/01;2200 UTC;0;948,6;948,6;947,8;25,5;21,7;21;22;21,7;21,2;20,6;96;92;96;146;1,7;,5;
2022/01/01;2300 UTC;,2;949,3;949,3;948,6;0;21,6;21,6;21,7;21,6;21,7;21;100;96;100;258;1,4;,1;
2022/01/02;0000 UTC;0;949,9;949,9;949,3;0;21,5;21,5;21,6;21,5;21,6;21,5;100;100;100;350;,6;0;
2022/01/02;0100 UTC;0;950,6;950,6;949,9;0;21,3;21,3;21,5;21,2;21,5;21,2;100;100;100;322;1,2;,1;
2022/01/02;0200 UTC;0;950,6;950,7;950,6;0;21,4;21,4;21,6;21,3;21,6;21,3;100;100;100;17;1,4;,7;
2022/01/02;0300 UTC;0;950,2;950,7;950,2;0;21,1;21,1;21,4;20,8;21,4;20,8;100;100;100;261;3,1;1,4;
2022/01/02;0400 UTC;0;949,4;950,2;949,4;0;20,5;20,5;21,1;20,5;21,1;20,5;100;100;100;31;2,9;0;
2022/01/02;0500 UTC;0;948,7;949,3;948,7;0;20,3;20,3;20,6;20,2;20,6;20,2;100;100;100;12;,9;0;
2022/01/02;0600 UTC;0;948,8;948,8;948,6;0;20;20;20,4;20;20,4;20;100;100;100;347;0;0;
2022/01/02;0700 UTC;0;949;949;948,8;0;19,9;19,9;20,2;19,8;20,2;19,8;100;100;100;322;0;0;
2022/01/02;0800 UTC;0;949,1;949,1;948,9;0;20,1;20,1;20,3;19,9;20,3;19,9;100;100;100;4;0;0;
2022/01/02;0900 UTC;0;949,7;949,7;949,1;19,5;20,3;20,3;20,3;20,1;20,3;20,1;100;100;100;29;0;0;
2022/01/02;1000 UTC;0;950,4;950,4;949,7;406,2;22,2;21,9;22,6;20,2;22,6;20,2;100;98;98;261;0;0;
2022/01/02;1100 UTC;0;950,9;950,9;950,4;652,8;22,4;21,1;22,6;21,5;22,2;20,9;100;91;92;255;2,3;1,7;
2022/01/02;1200 UTC;1,2;952;952;950,9;289,5;21,6;21,6;22,6;21,4;21,7;20,9;100;92;100;251;4,5;1,8;
2022/01/02;1300 UTC;1,4;952;952,3;952;538,1;22,7;21,7;22,7;21,6;22,3;21,6;100;94;94;359;5;,8;
2022/01/02;1400 UTC;,4;951,6;952;951,6;1752,1;24,3;21,1;24,4;22,7;22;20,2;94;79;82;356;5,7;2,8;
2022/01/02;1500 UTC;0;951,3;951,7;951,2;1271,9;21,5;18,9;24,6;21,5;21,2;18,8;86;78;85;6;12,4;4,2;
2022/01/02;1600 UTC;0;951,2;951,3;951,2;1202;22,2;19;22,2;21,5;19,3;18,3;86;80;82;8;12,9;3,4;
2022/01/02;1700 UTC;0;949,9;951,2;949,9;1011,1;23,2;19,8;23,4;22,3;20,3;19;85;80;81;6;9,9;2,4;
