REGIAO:;CO
UF:;MS
ESTACAO:;CAMPO GRANDE
CODIGO (WMO):;A702
LATITUDE:;-20,447195
LONGITUDE:;-54,722615
ALTITUDE:;528,47
DATA DE FUNDACAO:;10/09/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;946,3;946,4;945,7;;24;19,4;24;23,7;19,4;18,9;76;74;75;56;6,6;0;
2022/01/01;0100 UTC;0;946,6;946,6;946,3;;23,8;19,3;24;23,8;19,4;19,3;76;75;76;59;0;0;
2022/01/01;0200 UTC;0;947;947,1;946,6;;23,8;19;23,9;23,8;19,4;19;76;75;75;69;0;0;
2022/01/01;0300 UTC;0;946,8;947,1;946,7;;23,9;19,6;24,2;23,8;19,7;19,1;77;75;77;91;0;0;
2022/01/01;0400 UTC;0;946,4;946,8;946,4;;23,8;19,7;23,9;23,7;19,7;19,4;78;77;78;98;0;0;
2022/01/01;0500 UTC;0;946;946,5;946;;23,5;19;24,1;23,5;19,9;19;78;76;76;89;0;0;
2022/01/01;0600 UTC;0;945,6;946;945,6;;23;18,5;23,5;23;19,2;18,5;77;75;75;66;0;0;
2022/01/01;0700 UTC;0;945,5;945,6;945,4;;22,6;18,3;23;22,6;18,5;18,3;77;75;77;70;0;0;
2022/01/01;0800 UTC;0;945,9;945,9;945,5;;23;18,4;23;22,6;18,5;18,3;77;75;75;15;0;0;
2022/01/01;0900 UTC;0;946,3;946,3;945,8;;22,3;18,1;23;22,3;18,4;18,1;77;75;77;49;0;0;
2022/01/01;1000 UTC;0;947,4;947,4;946,3;106,5;23,1;18,7;23,1;22,3;18,7;18,1;77;76;76;23;0;0;
2022/01/01;1100 UTC;0;948,1;948,1;947,4;637,1;24,6;19,9;24,6;23,1;19,9;18,7;77;75;75;4;0;0;
2022/01/01;1200 UTC;0;948,5;948,5;948,1;1560,8;26,6;21,5;26,6;24,6;21,5;19,9;75;73;73;1;0;0;
2022/01/01;1300 UTC;0;949;949;948,5;2347,5;27,8;22,4;27,8;26,6;22,4;21,4;73;72;73;1;6,5;,1;
2022/01/01;1400 UTC;0;949;949;948,9;2983,1;28,5;22,7;28,6;27,8;22,9;22,4;73;71;71;360;6,4;1,9;
2022/01/01;1500 UTC;0;948,5;949;948,5;3182,3;29,3;23;29,3;28,5;23,2;22,4;71;69;69;1;8,3;2,4;
2022/01/01;1600 UTC;0;948,1;948,5;948,1;2776,9;29,6;23,4;29,6;29,1;23,4;22,6;70;68;69;1;5,7;1,3;
2022/01/01;1700 UTC;0;947,3;948,1;947,3;3213,8;30,1;22,9;30,3;29,6;23,6;22,4;69;64;66;1;7,3;,1;
2022/01/01;1800 UTC;0;946,3;947,3;946,3;3116,9;31;23,7;31;30,1;23,7;22,9;66;63;65;360;6,1;1,8;
2022/01/01;1900 UTC;0;945,3;946,3;945,3;2948,4;31,1;23,3;31,5;30,8;24;23,1;65;62;63;1;6,5;1,7;
2022/01/01;2000 UTC;0;944,7;945,3;944,7;2261,6;31,5;23,7;31,6;30,9;23,7;22,8;64;62;63;360;4,9;0;
2022/01/01;2100 UTC;0;944,5;944,7;944,5;1624,6;31,3;23,6;31,7;31,2;24;23,3;64;62;64;360;2,7;0;
2022/01/01;2200 UTC;0;944,9;944,9;944,5;658,4;30,6;22,8;31,3;30,6;23,7;22,8;65;63;63;360;2,8;0;
2022/01/01;2300 UTC;0;945,7;945,7;944,9;55,5;28,6;21,9;30,6;28,6;22,8;21,9;67;63;67;71;0;0;
2022/01/02;0000 UTC;0;946,4;946,4;945,7;;27,5;21,2;28,6;27,5;21,9;21,2;69;67;69;63;0;0;
2022/01/02;0100 UTC;0;947,2;947,2;946,4;;26,8;20,7;27,5;26,7;21,2;20,7;70;68;70;56;2,8;1,3;
2022/01/02;0200 UTC;0;947,6;947,7;947,2;;26,7;20,8;26,8;26,7;21;20,7;71;70;70;64;2,8;0;
2022/01/02;0300 UTC;0;947,5;947,7;947,5;;26,3;20,5;26,8;26,3;20,9;20,4;70;70;70;61;0;0;
2022/01/02;0400 UTC;0;947,1;947,5;947,1;;26;20,5;26,4;26;20,6;20,3;72;70;72;60;3,6;0;
2022/01/02;0500 UTC;0;947;947,1;947;;25,9;20,4;26,1;25,9;20,7;20,4;72;72;72;52;0;0;
2022/01/02;0600 UTC;0;946,7;947;946,6;;25,7;20,3;26;25,7;20,5;20,3;72;72;72;54;0;0;
2022/01/02;0700 UTC;0;946,9;946,9;946,7;;25,1;20;25,7;25,1;20,3;19,9;73;72;73;49;0;0;
2022/01/02;0800 UTC;0;947,3;947,3;946,9;;24,9;20;25,2;24,9;20,1;19,9;74;73;74;54;0;0;
2022/01/02;0900 UTC;0;948,2;948,2;947,3;;25;20,2;25;24,8;20,2;19,9;75;74;74;12;0;0;
2022/01/02;1000 UTC;0;949,1;949,1;948,2;108,1;25,7;20,8;25,7;25;20,8;20,2;75;74;74;16;0;0;
2022/01/02;1100 UTC;0;949,9;949,9;949;806,5;27,6;22,1;27,6;25,7;22,1;20,8;74;72;72;18;3,4;0;
2022/01/02;1200 UTC;0;950,3;950,3;949,9;1186,5;28,1;22,2;28,2;27,6;22,4;22;72;70;71;6;5,4;1,9;
2022/01/02;1300 UTC;0;950,4;950,7;950,1;1853,1;28,3;22,4;28,3;27,6;22,5;21,9;72;70;71;5;7,8;3,4;
2022/01/02;1400 UTC;0;950,5;950,7;950,4;3014;29,4;23,8;29,4;28,3;23,8;22,5;72;70;72;4;6,9;3,3;
2022/01/02;1500 UTC;0;949,9;950,5;949,9;3238;30;24,3;30;29,4;24,4;23,8;72;70;72;1;8,5;2;
2022/01/02;1600 UTC;0;948,9;950;948,9;3723,2;30,8;24,8;30,8;30;24,9;24,2;72;70;70;360;8,1;2,4;
2022/01/02;1700 UTC;0;948,2;948,9;948,2;3732,3;31,3;24,7;31,4;30,8;25;24,4;71;68;68;360;8,1;3,3;
2022/01/02;1800 UTC;0;947,4;948,3;947,4;3221,6;30,6;24,2;31,3;30,3;24,6;23,6;69;67;69;9;8,1;2,4;
2022/01/02;1900 UTC;0;946,4;947,5;946,4;2555,7;30,7;24,1;31,7;30,6;25,1;24,1;69;67;68;1;6,2;1,1;
