REGIAO:;CO
UF:;MS
ESTACAO:;RIO BRILHANTE
CODIGO (WMO):;A743
LATITUDE:;-21,77499999
LONGITUDE:;-54,52805554
ALTITUDE:;324,31
DATA DE FUNDACAO:;26/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;968,1;968,1;967,2;;23;19,2;24,3;23;19,7;18,6;80;71;80;236;3,8;1;
2022/01/01;0100 UTC;;969,2;969,2;968;;22,1;19,7;23;22;19,9;18,9;87;78;86;236;5,7;1,1;
2022/01/01;0200 UTC;;969,3;969,4;969,2;;22,1;19,5;22,4;22;19,8;19,5;87;84;85;236;3;,5;
2022/01/01;0300 UTC;;968,7;969,3;968,7;;21,1;19,8;22,1;21,1;20;19,5;92;85;92;236;3,1;1;
2022/01/01;0400 UTC;;968,3;968,7;968,3;;21;19,4;21,2;21;19,9;19,4;93;91;91;236;2,4;0;
2022/01/01;0500 UTC;;968;968,3;967,9;;20,6;19,6;21,1;20,6;19,7;19,3;94;90;94;236;0;0;
2022/01/01;0600 UTC;;967,7;968;967,6;;20,7;19,9;20,7;20,3;19,9;19,2;95;93;95;236;2;,3;
2022/01/01;0700 UTC;;967,6;967,7;967,6;;19,4;18,9;20,7;19,2;19,9;18,5;97;94;97;236;2;0;
2022/01/01;0800 UTC;;968,2;968,2;967,6;;19,4;19;19,7;19,3;19,2;18,8;97;97;97;236;0;0;
2022/01/01;0900 UTC;;969;969;968,2;11,5;18,9;18,5;19,5;18,8;19,1;18,4;98;97;98;236;0;0;
2022/01/01;1000 UTC;;970;970;969;205,8;21,2;20,3;21,3;18,9;20,5;18,6;98;94;94;236;0;0;
2022/01/01;1100 UTC;;970,4;970,4;970;1029,3;23,3;19,4;23,3;21,1;20,5;19,4;94;78;78;236;1,1;0;
2022/01/01;1200 UTC;;970,6;970,6;970,4;1866,3;25,5;20,4;25,6;23,3;20,8;18,7;80;73;74;236;2;,4;
2022/01/01;1300 UTC;;970,8;970,9;970,6;2591,5;27,9;20,4;27,9;25,5;21,5;20,2;74;64;64;236;3,9;1,1;
2022/01/01;1400 UTC;;970,6;970,8;970,6;3192,2;29,9;20,5;30,4;27,7;22,3;20,5;67;56;57;236;3,7;,8;
2022/01/01;1500 UTC;;970;970,6;970;3617,6;31,2;20;31,3;29,8;22;19,4;61;50;51;236;4;1,1;
2022/01/01;1600 UTC;;969,1;970;969,1;3794,1;32,2;19,2;32,6;31,2;20,8;18,8;53;46;46;236;5,3;1;
2022/01/01;1700 UTC;;968,2;969,1;968,2;3669,3;33,7;19,3;33,7;32,1;20,6;17,8;50;40;43;236;5,5;1,3;
2022/01/01;1800 UTC;;967,2;968,2;967,2;3204,6;33,8;17,4;34,1;33,3;20,8;17,4;47;37;38;236;5,6;2;
2022/01/01;1900 UTC;;966,4;967,2;966,3;2592,9;33,7;20,9;34,6;33,5;20,9;17,2;47;37;47;236;5,6;2,7;
2022/01/01;2000 UTC;;966,1;966,4;966,1;1876,4;33,5;19,8;34;33;21,5;17,6;49;39;45;236;5,1;1,1;
2022/01/01;2100 UTC;;966,1;966,1;965,9;1013,3;33;19,6;33,8;33;21,1;18,1;49;41;45;236;3,3;,4;
2022/01/01;2200 UTC;;966,6;966,6;966,1;257;30,5;20,3;33;30,5;21,6;19,6;56;45;55;236;2;0;
2022/01/01;2300 UTC;;967,3;967,3;966,6;;28,8;20,6;30,5;28,8;21,2;19,7;61;54;61;236;2;,4;
2022/01/02;0000 UTC;;968,1;968,1;967,3;;26,2;22;28,8;26,2;22,3;20,1;79;60;77;236;2;0;
2022/01/02;0100 UTC;;968,9;968,9;968,1;;25;21,8;26,3;25;22;20,9;82;72;82;236;3,4;,2;
2022/01/02;0200 UTC;;969,2;969,2;968,9;;24,6;21,8;25,3;24,6;22;21,6;85;80;84;236;1,5;0;
2022/01/02;0300 UTC;;969;969,2;969;;24,3;21,7;24,6;24,1;21,7;21,4;86;83;85;236;2;,1;
2022/01/02;0400 UTC;;969,1;969,1;968,8;;24,1;21,7;24,4;23,9;21,8;21,4;87;84;86;236;1,7;,1;
2022/01/02;0500 UTC;;968,6;969,1;968,6;;23,9;21,4;24,2;23,9;21,7;21,3;86;85;86;236;2,1;,1;
2022/01/02;0600 UTC;;968,6;968,6;968,4;;22,9;21,4;23,9;22,9;21,7;21,1;91;86;91;236;1,5;,1;
2022/01/02;0700 UTC;;969,2;969,3;968,5;;23,4;21,2;23,5;22,9;21,8;21;92;87;87;236;2,7;0;
2022/01/02;0800 UTC;;969,8;969,9;969,2;;22,9;21;23,4;22,6;21,6;21;93;87;89;236;1,1;0;
2022/01/02;0900 UTC;;970,9;970,9;969,8;10,6;22,5;21,5;22,9;22,2;21,5;20,6;94;89;94;236;1,1;0;
2022/01/02;1000 UTC;;971,5;971,5;970,9;198,1;23,7;21,3;23,7;22,5;21,8;21,1;94;86;86;236;1,3;0;
2022/01/02;1100 UTC;;971,8;971,8;971,5;1074,4;26,8;21,9;26,8;23,7;22,3;21,2;87;73;74;236;3;1,1;
2022/01/02;1200 UTC;;972,2;972,2;971,8;1746,3;29,3;21,7;29,3;26,9;22,8;21,7;74;64;64;236;4,3;2;
2022/01/02;1300 UTC;;972,2;972,2;972;1373,8;29,8;22,1;30,1;28,5;23,4;22;72;63;63;236;4,3;,7;
2022/01/02;1400 UTC;;971,8;972,2;971,8;3165,3;32,5;22,6;32,8;29,7;23,7;22;67;54;56;236;6,9;3,5;
2022/01/02;1500 UTC;;970,8;971,8;970,8;3648,4;33,9;21,7;34;32,4;24,2;20,4;57;47;49;236;6,9;3,2;
2022/01/02;1600 UTC;;970,1;970,8;970,1;3371,7;33,4;23,1;34,7;32,5;23,3;20,9;58;45;55;236;7,6;4,4;
2022/01/02;1700 UTC;;969,3;970,1;969,2;3152,7;34,7;22,3;34,7;32,6;23,4;20,2;55;47;49;236;7,9;4,3;
2022/01/02;1800 UTC;;968,3;969,4;968,3;3195,1;34,5;19,8;35,2;34,1;22,7;19,2;50;40;42;236;7,6;3,2;
2022/01/02;1900 UTC;;967,3;968,3;967,3;2571,1;34,8;17,6;35,2;34,2;21;17,3;45;36;36;236;7;1,8;
2022/01/02;2000 UTC;;966,8;967,3;966,8;1862,8;34,5;19,7;35,4;34,5;20,8;16,7;44;34;42;236;4,4;2,3;
2022/01/02;2100 UTC;;967,4;967,4;966,6;1005,7;34,8;19,4;35,2;34,3;21,7;18,6;47;38;41;236;4,2;0;
2022/01/02;2200 UTC;;968,2;968,3;967,4;262,1;30,5;23,3;34,8;30,5;23,6;19,8;65;41;65;236;4,2;,9;
2022/01/02;2300 UTC;;968,7;968,7;968,2;;28,7;23,4;30,5;28,7;23,6;23,3;73;65;73;236;2,3;,5;
2022/01/03;0000 UTC;;969,4;969,4;968,7;;28;21,7;28,7;27,6;23,4;21,7;77;69;69;236;2,7;1,3;
2022/01/03;0100 UTC;;971,5;971,5;969,4;;27,3;21;29,3;27,3;22,3;21;72;62;68;236;6,8;3;
2022/01/03;0200 UTC;;971,5;971,8;971,4;;24,9;20,4;27,3;24,9;20,8;19,7;76;66;76;236;9,5;2,6;
2022/01/03;0300 UTC;;970,9;971,5;970,9;;23,8;19,6;24,9;23,8;20,4;19,6;78;76;77;236;6,4;1,6;
2022/01/03;0400 UTC;;970,5;970,9;970,5;;23,6;19,9;23,9;23,6;19,9;19,5;80;76;80;236;4,1;2,1;
2022/01/03;0500 UTC;;970,8;970,8;970,2;;23,5;20,5;23,6;23,5;20,5;19,9;83;80;83;236;4,1;0;
2022/01/03;0600 UTC;;970,7;971;970,7;;23,2;20,1;23,9;23,2;20,5;19,9;83;80;83;236;3,6;,3;
2022/01/03;0700 UTC;;970,8;971,1;970,7;;22,9;20,5;23,2;22,9;20,6;20,1;86;83;86;236;1,8;0;
2022/01/03;0800 UTC;;971,1;971,1;970,8;;22,2;20,9;22,9;22,1;21;20,5;93;86;93;236;2,2;0;
2022/01/03;0900 UTC;;972;972;971,1;9,8;22,2;20,3;22,4;22;21;20,3;93;89;89;236;2,7;0;
2022/01/03;1000 UTC;;972;972;971,8;199,3;23,8;20,3;23,9;22,2;21,1;20;90;80;80;236;1,4;0;
2022/01/03;1100 UTC;;972,3;972,3;971,9;1028,9;26,3;21,7;26,3;23,8;21,9;20,3;82;75;76;236;2,1;,6;
2022/01/03;1200 UTC;;972,1;972,4;972,1;1835,9;28,6;23,2;28,7;26,2;23,3;21,7;78;71;73;236;5;2,4;
2022/01/03;1300 UTC;;971,9;972,2;971,9;2605,9;30,6;23,8;30,8;28,6;24,5;23,3;74;67;67;236;6,4;4,1;
2022/01/03;1400 UTC;;970,8;971,9;970,8;3099,3;33;24,2;33;30,6;25,3;23,9;69;60;60;236;8,6;4,5;
