REGIAO:;CO
UF:;MS
ESTACAO:;ANGELICA
CODIGO (WMO):;S701
LATITUDE:;-22,148083
LONGITUDE:;-53,763736
ALTITUDE:;347
DATA DE FUNDACAO:;09/04/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1200 UTC;0;968,5;;;142,4;27,2;20,7;;;;;;;68;;;;
2022/01/01;1300 UTC;0;968,4;968,5;968,3;2524,7;28,8;20,1;29,1;27,1;21,4;19,6;69;58;59;56;3;1,2;
2022/01/01;1400 UTC;0;968,3;968,5;968,3;3137,1;30,6;20,2;30,7;28,8;21,6;19,3;61;52;54;184;3,8;1,3;
2022/01/01;1500 UTC;0;967,8;968,3;967,8;3596;31,7;19,3;32,4;30,3;21,2;19;55;46;48;73;5,2;2,2;
2022/01/01;1600 UTC;0;966,8;967,8;966,8;3845,1;33,7;17,9;34,2;31,3;19,9;17,9;48;39;39;12;6;2,3;
2022/01/01;1700 UTC;0;965,8;966,8;965,8;3188,7;34;18,3;34,8;32,9;19,7;17,5;43;37;39;338;5,8;1,9;
2022/01/01;1800 UTC;0;964,8;965,8;964,8;3109,3;34,6;17,4;35,4;33,5;19,5;17,2;41;36;36;314;4,8;2,3;
2022/01/01;1900 UTC;0;963,9;964,8;963,9;2855;35;17,8;36,2;34,3;18,9;16,7;38;34;36;325;4,8;1,5;
2022/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
