REGIAO:;CO
UF:;MS
ESTACAO:;IGUATEMI
CODIGO (WMO):;S709
LATITUDE:;-23,64444444
LONGITUDE:;-54,57027777
ALTITUDE:;319
DATA DE FUNDACAO:;19/02/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;967,3;967,3;966,4;;28;18,4;29,3;28;18,7;18,3;56;51;56;122;3;1,7;
2022/01/01;0100 UTC;0;968;968;967,3;;27;18,4;28;26,9;18,6;18,1;59;56;59;103;2,5;1,7;
2022/01/01;0200 UTC;0;968,4;968,4;968;;25,7;18,3;27,2;25,7;18,5;18,2;64;59;64;97;3;1,2;
2022/01/01;0300 UTC;0;968,4;968,4;968,3;;25,4;17,8;25,7;24,9;18,5;17,8;68;63;63;63;3,8;2,2;
2022/01/01;0400 UTC;0;967,9;968,4;967,9;;23,9;18,2;25,5;23,9;18,3;17,7;71;62;71;30;4,3;2,1;
2022/01/01;0500 UTC;0;967,4;967,9;967,4;;23;18,4;23,9;23;18,5;18,2;75;71;75;31;3,4;3,1;
2022/01/01;0600 UTC;0;967;967,4;967;;22,8;18,5;23,1;22,2;18,5;18,2;78;75;77;58;3,5;1,7;
2022/01/01;0700 UTC;0;967,1;967,1;967;;22,1;18,6;23;21,7;18,8;17,9;82;75;81;127;2,6;1;
2022/01/01;0800 UTC;0;967,7;967,7;967,1;;20,9;18,2;22,2;20,9;18,6;17,9;84;78;84;254;1,8;,8;
2022/01/01;0900 UTC;0;968,4;968,4;967,7;;20,6;18,1;20,9;20,2;18,4;18;88;84;86;78;2;1,3;
2022/01/01;1000 UTC;0;969,4;969,4;968,4;291,4;24,2;19,2;24,2;20,6;19,3;18,2;86;73;73;63;3,1;1,7;
2022/01/01;1100 UTC;0;970;970;969,4;1086,7;26,9;19;26,9;24,2;19,6;18,7;73;62;62;10;3,9;2,1;
2022/01/01;1200 UTC;0;970,2;970,2;970;1949,3;29,3;18,8;29,7;26,7;19,4;18,5;63;52;53;14;4,2;2,3;
2022/01/01;1300 UTC;0;970;970,3;970;2719,6;32,1;17,9;32,2;28,9;18,9;17,4;54;42;43;30;6;3,1;
2022/01/01;1400 UTC;0;969,7;970,1;969,7;3316,3;33,1;17,5;33,7;31,4;18,1;16,5;44;38;39;2;7,2;2,7;
2022/01/01;1500 UTC;0;969,2;969,7;969,1;2661,5;33,1;16,5;35,6;31,6;18;16,3;41;33;37;3;9,9;4,5;
2022/01/01;1600 UTC;0;968,4;969,1;968,4;3404,9;33,5;16,5;35,6;33,1;17,4;16,1;37;33;36;23;9,9;4;
2022/01/01;1700 UTC;0;967,5;968,4;967,5;3129,6;35;16;36,2;33,5;17,3;15,7;37;31;32;40;8,9;1,8;
2022/01/01;1800 UTC;0;966,6;967,5;966,6;1526,1;34,5;15,7;36,3;34,3;16,9;15,4;34;31;32;89;7,6;1,9;
2022/01/01;1900 UTC;0;965,8;966,6;965,8;2470;37,1;16,1;37,6;34,4;17;15,7;34;28;29;326;6,7;2,5;
2022/01/01;2000 UTC;0;965,2;965,8;965,2;1931,6;35,2;15,9;37,5;35;17,1;15,3;32;28;32;58;7;3,3;
2022/01/01;2100 UTC;0;965,1;965,2;965,1;271,3;34,5;16,2;35,2;34,3;16,5;15,9;34;32;34;58;6,2;2,5;
2022/01/01;2200 UTC;0;965,4;965,4;965,1;172,7;33,8;16,4;34,6;33,8;16,4;15,8;36;33;36;40;5;2,2;
2022/01/01;2300 UTC;0;966;966;965,4;27,2;30,9;16,7;33,8;30,7;16,9;16,4;44;36;42;72;3,3;2,1;
2022/01/02;0000 UTC;0;966,9;966,9;966;;30,2;16,8;31,5;30,2;17,1;16,4;45;41;45;54;4,8;3,1;
2022/01/02;0100 UTC;0;967,5;967,5;966,9;;29;17;30,2;28,8;17;16,6;49;45;49;50;5,1;4;
2022/01/02;0200 UTC;0;968,4;968,4;967,5;;27,8;17,4;29;27,7;17,4;17;53;49;53;48;5,1;3,7;
2022/01/02;0300 UTC;0;968,7;968,8;968,4;;26,5;17,5;27,8;26,5;17,6;17,3;58;53;58;28;4,5;3,7;
2022/01/02;0400 UTC;0;968,4;968,7;968,3;;27,3;17,9;27,9;26,5;18,1;17,5;58;55;56;36;6,6;4,7;
