REGIAO:;CO
UF:;MS
ESTACAO:;NOVA ANDRADINA
CODIGO (WMO):;S713
LATITUDE:;-22,0786111
LONGITUDE:;-53,46583333
ALTITUDE:;372
DATA DE FUNDACAO:;09/04/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;963,4;963,4;962,3;;21,3;18,8;23,4;21,2;20,2;18,5;86;82;86;;;;
2022/01/01;0100 UTC;0;964;964;963,4;;20,7;18,6;21,7;20,6;19,3;18,5;88;86;88;;;;
2022/01/01;0200 UTC;0;964,5;964,5;964;;21,6;19,6;22,1;20,7;20,1;18,7;89;88;88;;;;
2022/01/01;0300 UTC;0;964,1;964,5;964,1;;22,3;20;22,5;21,5;20,3;19,3;88;87;87;;;;
2022/01/01;0400 UTC;0;963,5;964,1;963,5;;22,2;19,6;22,5;21;20,1;18,6;87;85;85;;;;
2022/01/01;0500 UTC;0;963,1;963,5;963,1;;22,2;19,5;22,5;21,9;19,7;19,2;85;84;85;;;;
2022/01/01;0600 UTC;0;962,8;963,2;962,8;;20,5;18,5;22,3;20,3;19,7;17,8;88;85;88;;;;
2022/01/01;0700 UTC;0;962,7;962,8;962,6;;21,8;19,5;22,2;20,5;19,8;18,6;88;86;87;;;;
2022/01/01;0800 UTC;0;963;963;962,7;;20,1;18,3;21,8;20,1;19,5;18,1;89;87;89;;;;
2022/01/01;0900 UTC;0;963,9;963,9;963,1;,1;19,7;18;20,6;19,7;18,8;18;90;89;90;;;;
2022/01/01;1000 UTC;0;964,8;964,8;963,9;238,3;22,1;20,3;22,1;19,5;20,3;17,9;91;90;90;;;;
2022/01/01;1100 UTC;0;965,8;965,8;964,8;1063;24,5;21,8;24,7;22,1;22,2;20,4;90;85;85;;;;
2022/01/01;1200 UTC;0;966,2;966,2;965,8;1928,5;26,1;22,3;26,5;24,6;22,9;21,7;85;80;80;;;;
2022/01/01;1300 UTC;0;966,1;966,3;966,1;2710,2;28,2;22,5;28,7;26,1;23,3;22,3;80;71;71;;;;
2022/01/01;1400 UTC;0;966;966,2;965,9;3317,3;30,8;22;30,9;28,2;23,6;21,5;71;59;59;;;;
2022/01/01;1500 UTC;0;965,5;966;965,5;3701,4;32,1;20,4;32,1;29,9;22;20;59;50;50;;;;
2022/01/01;1600 UTC;0;964,6;965,5;964,6;3677,4;33;18,3;33,4;30,8;20,9;18;51;41;42;;;;
2022/01/01;1700 UTC;0;963,4;964,6;963,4;3938,3;33,7;18,4;34,5;32,6;19,2;17,3;42;39;40;;;;
2022/01/01;1800 UTC;0;962,5;963,5;962,5;3622,7;34,6;18,8;34,9;33,2;19,4;17,8;41;39;39;;;;
2022/01/01;1900 UTC;0;961,6;962,5;961,6;2469,6;34,5;17,9;35,6;32,8;19,1;17,1;41;36;38;;;;
2022/01/01;2000 UTC;0;961,3;961,6;961,3;2475,8;34,1;17,8;35,4;34,1;18,8;17,5;38;37;38;;;;
2022/01/01;2100 UTC;0;961,3;961,3;961,2;274,9;31,1;18,5;34,1;31,1;18,5;17,4;47;38;47;;;;
2022/01/01;2200 UTC;0;961,7;961,7;961,3;271,2;31,2;18,5;31,9;30,8;19,2;18,5;49;46;47;;;;
2022/01/01;2300 UTC;0;962,7;962,7;961,7;16,2;29,2;18,4;31,2;29,2;18,5;18,2;52;47;52;;;;
2022/01/02;0000 UTC;0;963,4;963,5;962,7;;27,8;19;29,5;27,8;19,2;18,5;59;52;59;;;;
2022/01/02;0100 UTC;0;964,1;964,1;963,4;;27,9;19;28,3;27,7;19,3;18,9;59;58;59;;;;
2022/01/02;0200 UTC;0;964,7;964,7;964,1;;27,1;18,9;28;27,1;19,1;18,8;61;58;61;;;;
