REGIAO:;CO
UF:;MS
ESTACAO:;SANTA RITA DO PARDO
CODIGO (WMO):;S716
LATITUDE:;-21,305889
LONGITUDE:;-52,820375
ALTITUDE:;383
DATA DE FUNDACAO:;19/02/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;962,7;962,7;962,3;;23,1;21,5;23,3;23;22,4;21,4;96;90;91;6;6,3;3;
2022/01/01;0100 UTC;0;963,6;963,6;962,6;;23,4;20,7;23,4;22,7;21,9;20,5;95;85;85;313;5,3;1,5;
2022/01/01;0200 UTC;0;964;964,1;963,6;;21,9;21,9;23,4;21,9;22;20,8;100;85;100;111;3,4;,8;
2022/01/01;0300 UTC;0;963,3;964;963,3;;21,5;21,5;21,9;21,4;21,8;20,8;100;94;100;95;2,7;,6;
2022/01/01;0400 UTC;0;963;963,3;963;;21,1;21,1;21,5;20,9;21,4;20,9;100;100;100;55;4,5;3,2;
2022/01/01;0500 UTC;0;962,6;963,1;962,6;;20,5;20,4;21,1;20,4;21,1;20,4;100;100;100;67;4,5;1,3;
2022/01/01;0600 UTC;0;962,2;962,6;962,2;;19,9;19,9;20,5;19,9;20,4;19,9;100;100;100;102;2,8;1;
2022/01/01;0700 UTC;0;961,8;962,2;961,8;;19,4;19,4;19,9;19,3;19,9;19,3;100;100;100;125;1,9;1,1;
2022/01/01;0800 UTC;0;962,4;962,4;961,8;;19,1;19,1;19,4;18,7;19,4;18,7;100;100;100;144;1,9;,4;
2022/01/01;0900 UTC;0;963,1;963,1;962,4;8,7;18,7;18,7;19,1;18,4;19,1;18,4;100;100;100;102;1,5;,5;
