REGIAO:;CO
UF:;MT
ESTACAO:;CUIABA
CODIGO (WMO):;A901
LATITUDE:;-15,559295
LONGITUDE:;-56,062951
ALTITUDE:;241,56
DATA DE FUNDACAO:;08/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;0;985,6;986;985,6;;27,2;21,3;27,6;26,9;21,5;21,1;71;69;70;69;2;,8;
2022/01/01;0400 UTC;0;985,1;985,6;985,1;;26,2;21,3;27,3;26,2;21,4;21;74;69;74;274;1,6;,4;
2022/01/01;0500 UTC;0;984,9;985,1;984,9;;26,7;21;27,3;26,1;21,6;21;75;71;71;335;3,3;1,4;
2022/01/01;0600 UTC;0;984,5;984,9;984,5;;25,9;21;26,7;25,9;21,1;20,6;75;70;74;4;5;1,7;
2022/01/01;0700 UTC;0;984,5;984,5;984,4;;25,5;20,6;25,9;25,5;21;20,6;75;74;74;343;4,7;1,6;
2022/01/01;0800 UTC;0;984,6;984,6;984,4;;25,3;21,3;25,6;25,3;21,3;20,6;78;74;78;356;4,5;2,1;
2022/01/01;0900 UTC;0;985,1;985,1;984,6;;25,1;21,3;25,4;25,1;21,3;21,2;79;78;79;6;4,3;1,7;
2022/01/01;1000 UTC;0;986,1;986,1;985,1;51,2;25,4;21,3;25,4;25;21,3;21,2;79;78;78;19;3,4;1;
2022/01/01;1100 UTC;0;986,9;986,9;986,1;355;26,9;21,3;26,9;25,4;21,4;21;78;71;71;357;4,7;1,9;
2022/01/01;1200 UTC;0;987,5;987,5;986,9;1729,2;28,4;21,1;28,5;26,9;21,4;20,8;72;65;65;335;5,9;2,9;
2022/01/01;1300 UTC;0;987,9;987,9;987,5;2523,5;29,7;21,5;29,7;28,3;21,5;20,4;65;59;61;348;5,9;2,9;
2022/01/01;1400 UTC;0;987,8;988;987,7;3214;31,1;21,3;31,1;29,6;21,8;20,6;62;56;56;329;5,9;2,7;
2022/01/01;1500 UTC;0;987,1;987,8;987,1;3592,3;31,2;21,3;32;30,7;22,4;20,5;59;53;56;301;9,6;2,4;
