REGIAO:;NE
UF:;BA
ESTACAO:;BOM JESUS DA LAPA
CODIGO (WMO):;A418
LATITUDE:;-13,25111111
LONGITUDE:;-43,40527777
ALTITUDE:;447,75
DATA DE FUNDACAO:;18/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;960,5;960,5;959,9;;25,6;21,6;25,8;25,5;22;21,3;81;77;78;285;2;0;
2022/01/01;0100 UTC;;961,4;961,4;960,5;;24,3;22;25,6;24,3;22;21,5;87;78;87;266;5,6;1,5;
2022/01/01;0200 UTC;;961,3;961,6;961,3;;23,7;22,2;24,4;23,7;22,3;22;91;87;91;316;4,4;,1;
2022/01/01;0300 UTC;;961,3;961,3;961,2;;23,7;22,2;23,9;23,6;22,2;21,9;92;90;91;329;3,1;,3;
2022/01/01;0400 UTC;;960,8;961,3;960,8;;23,3;22,5;23,7;23,3;22,5;22,1;95;91;95;17;3;0;
2022/01/01;0500 UTC;;960,5;960,8;960,5;;22,7;22,3;23,3;22,7;22,5;22,3;98;95;98;27;3,4;,7;
2022/01/01;0600 UTC;;960,6;960,6;960,4;;22,4;21,7;22,7;22,4;22,3;21,7;98;96;96;6;4;2,4;
2022/01/01;0700 UTC;;960,8;960,8;960,6;;22,3;21,7;22,4;22,3;21,8;21,7;97;96;96;19;4;,7;
2022/01/01;0800 UTC;;961;961;960,8;;22,2;21,8;22,3;22,2;21,8;21,6;98;96;98;14;3,4;,9;
2022/01/01;0900 UTC;;961,6;961,6;961;30;22,1;22,1;22,2;22;22,1;21,8;100;98;100;11;3,5;,7;
2022/01/01;1000 UTC;;962,2;962,3;961,6;212,8;22,6;22,1;22,6;22,1;22,2;22;100;97;97;350;4,3;1,4;
2022/01/01;1100 UTC;;962,7;962,7;962,2;496,7;23,4;22,4;23,4;22,6;22,6;22;97;94;94;354;4;1,5;
2022/01/01;1200 UTC;;962,9;962,9;962,7;1847,8;25,4;22,6;25,7;23,4;23,5;22,3;94;84;85;339;4,4;1,7;
2022/01/01;1300 UTC;;963;963;962,9;1935,5;26,7;22,8;26,8;25;22,9;22,1;85;78;79;360;4,7;2,2;
2022/01/01;1400 UTC;;962,6;963;962,6;2341,3;27,2;22,2;27,5;26,6;23;22,1;80;73;74;5;5,8;2,8;
2022/01/01;1500 UTC;;961,7;962,6;961,7;2417,2;28,3;22,9;28,4;27,1;23,3;21,9;76;72;72;8;5,8;1,9;
2022/01/01;1600 UTC;;960,8;961,7;960,8;2057,6;29,1;22,6;29,2;28,1;23,8;22;75;67;68;338;5,6;2,6;
2022/01/01;1700 UTC;;959,7;960,8;959,7;2372,9;29,4;23,1;29,7;28,6;23,1;22,1;71;66;69;347;6,3;2,2;
2022/01/01;1800 UTC;;958,8;959,7;958,8;1989,9;29,4;22,6;29,9;29,1;23,4;22,4;70;66;67;339;6,4;2,7;
2022/01/01;1900 UTC;;958,7;958,8;958,6;998,9;28,6;23;29,5;28,6;23,1;22,6;72;67;72;346;6,4;2;
2022/01/01;2000 UTC;;958,9;958,9;958,6;560;26,7;22,3;28,8;26,3;23,4;22,2;83;71;77;34;9,4;2,8;
2022/01/01;2100 UTC;;959,3;959,3;958,9;219,8;24,8;23,9;26,7;24,8;23,9;22,1;95;76;95;359;6;,6;
2022/01/01;2200 UTC;;960,1;960,1;959,3;11,4;24,7;24;24,9;24,6;24;23,7;96;93;96;55;2,8;0;
2022/01/01;2300 UTC;;960,8;960,8;960,1;;24,8;23,2;24,8;24,7;24;23,2;96;91;91;79;2,8;1,1;
2022/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0100 UTC;;962,4;962,4;961,9;;24,1;23,2;24,6;24,1;23,3;23,2;94;93;94;130;0;0;
2022/01/02;0200 UTC;;962,2;962,4;962,1;;23,7;23,2;24,1;23,6;23,3;23,1;97;94;97;161;2,2;0;
2022/01/02;0300 UTC;;961,4;962,2;961,4;;23,6;22,9;23,8;23,5;23,2;22,9;97;96;96;162;1,6;0;
2022/01/02;0400 UTC;;960,9;961,4;960,9;;23,6;22,9;23,6;23,4;22,9;22,7;97;95;96;164;0;0;
2022/01/02;0500 UTC;;960,8;960,9;960,7;;23,3;23,2;23,7;23,2;23,2;23;99;96;99;228;1,7;0;
2022/01/02;0600 UTC;;960,7;960,9;960,7;;23,1;23,2;23,3;23,1;23,4;23,2;;99;;213;2,3;0;
2022/01/02;0700 UTC;;961;961;960,7;;23,1;23,4;23,2;23;23,4;23,2;;;;221;1,8;0;
2022/01/02;0800 UTC;;961,6;961,6;961;;22,9;23,2;23,1;22,9;23,4;23,2;;;;181;1,6;0;
2022/01/02;0900 UTC;;962,6;962,6;961,6;2;22,7;23,1;22,9;22,5;23,2;22,9;;;;248;1,7;0;
2022/01/02;1000 UTC;;963,2;963,2;962,6;34;22;22,4;22,7;22;23,1;22,4;;;;236;5,2;2,3;
2022/01/02;1100 UTC;;964,3;964,3;963,2;34,2;21,2;21,8;22;20,8;22,4;21,5;;;;274;8,8;,1;
2022/01/02;1200 UTC;;964,7;964,7;964,3;56,2;21,2;21,9;21,4;21,2;22,1;21,8;;;;4;2,4;0;
2022/01/02;1300 UTC;;964,7;964,9;964,7;195,9;21;21,7;21,3;20,9;21,9;21,6;;;;36;3,5;,8;
2022/01/02;1400 UTC;;964;964,7;964;367,6;21,2;21,8;21,2;20,9;21,8;21,5;;;;72;3,5;,9;
2022/01/02;1500 UTC;;962,7;964;962,7;788;22;22,5;22;21,2;22,5;21,9;;;;95;3,1;,7;
2022/01/02;1600 UTC;;962,1;962,7;962;1301,4;23,5;22,8;23,8;22;23,3;22,5;;95;96;131;3,2;,2;
2022/01/02;1700 UTC;;961,1;962,1;961,1;1190,9;24;22,6;24,4;23,5;23,4;22,6;96;91;92;154;2,3;,7;
2022/01/02;1800 UTC;;960,2;961,1;960,2;1952,4;26;23;26,1;24;23,7;22,7;94;83;83;131;3,8;,7;
2022/01/02;1900 UTC;;960,2;960,3;960,1;2001,4;27,4;23;28;26;23,9;22,5;84;73;77;224;3,8;0;
2022/01/02;2000 UTC;;960,3;960,3;960,1;991,9;26,7;23,1;27,5;26,6;23,2;22;80;74;80;163;1,9;0;
2022/01/02;2100 UTC;;960,8;960,8;960,2;292;25,9;23,3;26,7;25,9;23,4;22,9;86;81;86;102;1,4;0;
2022/01/02;2200 UTC;;961,9;961,9;960,8;9,1;25,3;23,4;25,9;25,3;23,8;23,2;90;85;89;293;5,6;1,3;
2022/01/02;2300 UTC;;962,1;962,3;961,9;;23;22,1;25,3;23;23,4;21,8;95;89;95;235;6,8;,5;
2022/01/03;0000 UTC;;962,9;962,9;962,1;;22,9;22,6;23;22,7;22,6;22,1;99;95;99;55;2,4;,1;
2022/01/03;0100 UTC;;963,2;963,4;962,9;;22,6;22,4;22,9;22,5;22,6;22,3;99;99;99;306;5,1;,4;
2022/01/03;0200 UTC;;963,5;963,5;963,2;;22,7;22,7;22,8;22,6;22,7;22,4;100;99;100;357;2,5;,9;
2022/01/03;0300 UTC;;963,1;963,5;963,1;;22,3;22,4;22,7;22,3;22,7;22,4;100;99;100;10;4,9;1,7;
2022/01/03;0400 UTC;;962,5;963,1;962,5;;22,5;22,6;22,5;22,2;22,6;22,3;;100;;288;4,9;,3;
2022/01/03;0500 UTC;;962,1;962,5;962,1;;22,2;21,9;22,5;22,2;22,6;21,9;;97;98;287;2,4;,1;
2022/01/03;0600 UTC;;962;962,1;962;;22;21,9;22,2;21,9;21,9;21,8;100;98;100;308;2;0;
2022/01/03;0700 UTC;;962,1;962,2;962;;21,8;22,1;22;21,8;22,1;21,9;;100;;45;1,4;0;
2022/01/03;0800 UTC;;962,6;962,6;962,1;;21,8;22,2;21,8;21,7;22,2;22;;;;73;0;0;
2022/01/03;0900 UTC;;963,1;963,1;962,6;22,7;22;22,4;22;21,8;22,5;22,2;;;;59;0;0;
2022/01/03;1000 UTC;;963,3;963,4;963,1;311,2;23,1;22,8;23,1;22;22,9;22,4;;98;98;78;0;0;
2022/01/03;1100 UTC;;963,7;963,7;963,3;944;25,1;23,2;25,1;23,1;23,3;22,4;98;88;90;41;1;0;
2022/01/03;1200 UTC;;964;964;963,7;1107,7;25,4;23,2;25,6;24,6;23,6;22,4;91;86;88;66;1,7;,2;
2022/01/03;1300 UTC;;963,7;964,1;963,7;1271,1;25,9;23,4;26,1;25,3;23,8;22,8;89;83;86;299;3,6;,9;
2022/01/03;1400 UTC;;963,1;963,8;963,1;1269,6;26,6;23,6;26,8;25,6;23,8;22,8;87;81;83;84;3,6;,4;
2022/01/03;1500 UTC;;962,1;963,1;962,1;1575,5;24,5;23,6;26,8;24,5;24,3;23,2;96;83;94;90;6,6;2,1;
2022/01/03;1600 UTC;;960,8;962,1;960,8;3713,1;27,7;23,9;28,3;24,4;25,2;23,4;95;80;80;106;4,6;1,9;
2022/01/03;1700 UTC;;959,5;960,8;959,5;3126,4;28,6;23;29,6;27,5;25,5;23;84;72;72;48;4,8;1;
2022/01/03;1800 UTC;;958,7;959,5;958,7;1797,9;29,4;23;30,1;28,5;24,2;22,4;73;66;69;125;3;,5;
2022/01/03;1900 UTC;;959,8;959,8;958,6;384,6;22,6;23;29,6;22,6;23,6;21,9;;68;;25;8,6;4,9;
2022/01/03;2000 UTC;;959;960,2;959;57,7;22,2;22,8;22,7;22,1;23,1;22,7;;;;43;8,6;1,4;
2022/01/03;2100 UTC;;959,6;959,6;959;75,7;22,7;23,3;22,7;22,2;23,3;22,8;;;;60;3,6;1;
2022/01/03;2200 UTC;;960,2;960,2;959,6;7,7;22,6;23,1;22,8;22,6;23,4;23,1;;;;72;3,9;,2;
2022/01/03;2300 UTC;;960,5;960,5;960,2;;22,6;23;22,7;22,5;23,2;23;;;;75;2,5;,8;
2022/01/04;0000 UTC;;961,3;961,3;960,5;;22,5;23;22,6;22,5;23;22,9;;;;67;2,9;,4;
2022/01/04;0100 UTC;;962;962,1;961,3;;22,6;23;22,6;22,4;23;22,9;;;;25;2,5;0;
2022/01/04;0200 UTC;;961,4;962;961,4;;22,5;22,9;22,7;22,5;23,1;22,9;;;;346;2,3;0;
2022/01/04;0300 UTC;;960,9;961,4;960,9;;22,6;23,1;22,6;22,4;23,1;22,9;;;;354;2,5;,6;
2022/01/04;0400 UTC;;960,5;960,9;960,5;;22,7;22,9;22,8;22,6;23,1;22,8;;;;350;4,1;1,4;
2022/01/04;0500 UTC;;959,7;960,5;959,7;;22,4;22,8;22,7;22,4;23;22,8;;;;349;3,7;1,2;
2022/01/04;0600 UTC;;959,5;959,7;959,5;;22,3;22,8;22,4;22,3;22,8;22,8;;;;7;3,3;,1;
2022/01/04;0700 UTC;;959,9;959,9;959,5;;22,2;22,8;22,3;22,2;22,9;22,8;;;;353;2,2;0;
2022/01/04;0800 UTC;;960,2;960,2;959,9;;22,2;22,8;22,2;22,2;22,8;22,8;;;;356;1,6;,1;
2022/01/04;0900 UTC;;960,8;960,8;960,2;32,4;22,3;22,9;22,3;22,2;22,9;22,8;;;;32;1,8;0;
2022/01/04;1000 UTC;;961,5;961,5;960,8;307,3;23,2;23,4;23,2;22,3;23,5;22,9;;;;353;1,7;0;
2022/01/04;1100 UTC;;961,9;961,9;961,5;770,2;24,3;23,7;24,3;23,1;23,7;23,3;;96;96;27;2,6;,9;
2022/01/04;1200 UTC;;962,5;962,5;961,9;1145,1;25,3;23,8;25,3;24,3;23,9;23,2;97;90;91;353;2,9;,7;
2022/01/04;1300 UTC;;962,6;962,7;962,5;1659,3;26,1;22,8;26,2;25,1;23,9;22,4;92;80;82;23;4,1;1,2;
2022/01/04;1400 UTC;;961,8;962,6;961,8;2071,3;27,3;22,8;27,3;26,1;23,4;22,2;83;77;77;32;4,1;,6;
2022/01/04;1500 UTC;;961,2;961,8;961,2;2674,6;28,1;22,4;28,3;27,1;23,5;21,5;78;68;71;5;4,1;1,2;
2022/01/04;1600 UTC;;960,3;961,2;960,3;2149;27,9;21,9;28,6;27,6;23,3;21,5;75;69;70;60;3,9;1,3;
2022/01/04;1700 UTC;;959,6;960,3;959,6;2774,5;29,2;22,5;29,4;27,9;23,1;21,5;73;65;67;34;4,1;,7;
2022/01/04;1800 UTC;;958,5;959,6;958,5;1746;28,4;22,5;29,3;28,3;23,3;21,8;73;65;71;72;4;,7;
2022/01/04;1900 UTC;;958,5;958,6;958,4;1605,7;28,9;22,3;29,3;28,4;23,2;21,8;71;65;68;113;3,1;0;
2022/01/04;2000 UTC;;958,9;958,9;958,5;402,2;27,7;23,1;28,9;27,7;23,1;21,8;76;67;76;225;3,1;2;
2022/01/04;2100 UTC;;959,4;959,4;958,9;121,7;24,1;22,4;27,7;24,1;23,2;21,6;90;76;90;227;9,3;2;
2022/01/04;2200 UTC;;960;960;959,4;4,8;23,5;22,9;24,1;23,5;22,9;22,4;97;90;97;224;4;1,8;
2022/01/04;2300 UTC;;960,7;960,8;960;;23,1;22,1;23,5;22,9;23;22,1;97;94;94;161;3,7;1,6;
2022/01/05;0000 UTC;;961,4;961,4;960,7;;22,9;22,3;23,1;22,7;22,3;21,9;97;93;97;179;4,1;,8;
2022/01/05;0100 UTC;;961,8;961,8;961,4;;22,7;22,3;22,9;22,7;22,4;22,2;98;97;98;13;2,5;,2;
2022/01/05;0200 UTC;;961,6;961,8;961,6;;22,8;22,6;22,9;22,6;22,7;22,3;99;98;99;293;2,6;0;
2022/01/05;0300 UTC;;961;961,6;961;;22,6;22,5;22,9;22,6;22,7;22,5;99;99;99;288;1,9;0;
2022/01/05;0400 UTC;;960,3;961;960,3;;22,3;22,4;22,6;22,3;22,6;22,4;;99;;180;0;0;
2022/01/05;0500 UTC;;960,3;960,3;960,2;;22,4;22,6;22,4;22,1;22,7;22,3;;;;349;0;0;
2022/01/05;0600 UTC;;960,1;960,4;960;;22,5;22,9;22,5;22,3;22,9;22,6;;;;320;0;0;
2022/01/05;0700 UTC;;960,2;960,2;960;;22,5;22,7;22,5;22,5;23;22,7;;;;356;2,6;,7;
2022/01/05;0800 UTC;;960,4;960,4;960,2;;22,6;22,8;22,6;22,5;22,8;22,7;;;;336;4,4;2,1;
2022/01/05;0900 UTC;;960,2;960,4;960,2;28,6;22,4;22,6;22,6;22,3;22,8;22,5;;;;3;4,4;0;
2022/01/05;1000 UTC;;961;961;960,2;587,3;24,2;22,7;24,2;22,4;23;22,4;;91;91;338;1,8;0;
2022/01/05;1100 UTC;;961,5;961,5;961;1140;24,2;21,9;24,8;24;23,2;21,7;92;86;87;360;3,3;1,4;
2022/01/05;1200 UTC;;961,9;961,9;961,5;2115,8;26;22,5;26,5;24,2;23,3;21,6;88;78;81;283;3,5;,7;
2022/01/05;1300 UTC;;961,8;961,9;961,8;2412,7;27,1;22,3;27,6;25,7;23,2;21,6;83;73;75;337;3,5;,6;
2022/01/05;1400 UTC;;961,6;961,8;961,6;3052,2;28,3;23,3;28,3;27;24;21,8;81;71;74;316;5,2;1,7;
2022/01/05;1500 UTC;;960,8;961,6;960,8;3222,9;29,3;22,3;29,7;27,4;23,5;21,4;74;65;66;344;4,8;1,4;
2022/01/05;1600 UTC;;960;960,8;960;3533,1;29,8;22,2;30;28,8;23,5;21,5;71;62;64;355;5,8;2,4;
2022/01/05;1700 UTC;;958,8;960;958,8;3360,8;30,1;22,1;30,8;29,5;23;21,9;68;61;62;11;6,1;1,9;
2022/01/05;1800 UTC;;958,1;958,8;958,1;2085,9;28,5;22,9;30,8;28,5;23,4;21,9;72;61;72;34;6,4;3,4;
2022/01/05;1900 UTC;;957,6;958,1;957,5;1981,9;30,3;22,6;30,7;28,2;23,4;22,4;75;62;64;21;6,4;2,1;
2022/01/05;2000 UTC;;957,4;957,6;957,3;1416,5;29,4;21,2;30,5;29,4;23;21,2;65;60;61;338;5,8;2,2;
2022/01/05;2100 UTC;;957,6;957,6;957,3;333,3;28,3;21,9;29,5;28,3;21,9;21,2;68;61;68;322;4,5;1,5;
2022/01/05;2200 UTC;;958,3;958,3;957,6;5,5;27,4;22,8;28,3;27,4;22,8;21,9;76;68;76;325;3,3;,3;
2022/01/05;2300 UTC;;958,9;958,9;958,3;;26,3;22,7;27,4;26,3;22,8;22,2;81;74;81;195;2;,1;
2022/01/06;0000 UTC;;959,6;959,6;958,9;;25,8;24,1;26,3;25,8;24,1;22,7;90;81;90;200;1,8;0;
2022/01/06;0100 UTC;;960,2;960,2;959,6;;25,7;24;25,9;25,4;24,6;24;93;90;90;273;1,1;0;
2022/01/06;0200 UTC;;960,3;960,4;960,2;;24,4;23,9;25,7;24,3;24,1;23,7;98;90;97;104;0;0;
2022/01/06;0300 UTC;;959,7;960,3;959,7;;24;22,7;24,4;24;23,9;22,7;97;92;92;36;1,8;,1;
2022/01/06;0400 UTC;;959,2;959,7;959,2;;24;22,6;24,1;23,9;22,7;22,5;92;91;92;8;2,6;,7;
2022/01/06;0500 UTC;;958,9;959,3;958,9;;24;22,7;24;23,9;22,7;22,5;93;92;93;29;2,6;0;
2022/01/06;0600 UTC;;959,1;959,2;958,9;;24;22,7;24,2;24;22,8;22,7;93;92;93;54;2,7;0;
2022/01/06;0700 UTC;;959,4;959,4;959,1;;23,1;22,6;24;23,1;22,7;22,3;97;92;97;169;3;,7;
