REGIAO:;NE
UF:;BA
ESTACAO:;PIATA
CODIGO (WMO):;A430
LATITUDE:;-13,155681
LONGITUDE:;-41,774125
ALTITUDE:;1283,95
DATA DE FUNDACAO:;03/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;871,2;871,2;870,6;;18;14,2;18,3;17,8;14,4;14;79;77;78;175;3;2,1;
2022/01/01;0100 UTC;0;871,4;871,4;871,2;;18,1;14,5;18,1;17,7;14,6;14,1;80;78;80;164;3;1,9;
2022/01/01;0200 UTC;0;871;871,4;871;;17,2;14,2;18,1;17,2;14,5;14,1;83;79;83;188;3,5;2,1;
2022/01/01;0300 UTC;0;870,4;871;870,4;;17;14,2;17,3;17;14,4;14,1;84;83;83;190;2,8;1,3;
2022/01/01;0400 UTC;0;869,9;870,4;869,9;;16,9;14,2;17;16,8;14,4;14;85;83;85;186;3,1;1,6;
2022/01/01;0500 UTC;0;869,7;869,9;869,7;;17,1;14,4;17,1;16,7;14,5;14,1;85;84;84;173;2,2;1,6;
2022/01/01;0600 UTC;0;869,7;869,8;869,7;;17,5;14,7;17,5;17;14,7;14,2;84;84;84;158;2,4;1,6;
2022/01/01;0700 UTC;0;870,1;870,1;869,7;;17,2;14,3;17,7;17;14,8;14,1;84;82;83;171;2,8;1,5;
2022/01/01;0800 UTC;0;870,4;870,4;870,1;;16,4;13,9;17,4;16,4;14,7;13,8;85;83;85;173;3,1;1,9;
2022/01/01;0900 UTC;0;871;871;870,4;145,3;17,2;14,8;17,2;16,3;14,8;13,9;87;85;86;192;2,5;1,6;
2022/01/01;1000 UTC;0;871,5;871,5;871;445,5;18,5;15,5;18,5;17,2;15,6;14,8;86;82;82;148;2,9;1,6;
2022/01/01;1100 UTC;0;871,9;871,9;871,5;505,3;18,3;15,8;18,6;18;15,8;15;85;80;85;99;4,5;2,7;
2022/01/01;1200 UTC;0;872,3;872,3;871,9;784,2;18,2;15,5;18,4;17,7;15,9;15,1;87;83;84;101;4,5;2,5;
2022/01/01;1300 UTC;0;872,4;872,4;872,3;1056,1;19,1;15,1;19,3;18;16;15,1;85;78;78;99;5,4;2,9;
2022/01/01;1400 UTC;0;872;872,4;872;1482,1;19,4;16,1;19,7;19;16,2;15,1;82;76;82;114;4,8;2,2;
2022/01/01;1500 UTC;0;871,1;872;871,1;2111,5;22;15,3;22,2;19,2;16,4;14,9;82;65;66;176;4;,9;
2022/01/01;1600 UTC;0;870,4;871,1;870,4;1248,9;20,6;16;22;20,5;16;14,7;75;64;75;111;6,7;3,7;
2022/01/01;1700 UTC;0;869,7;870,4;869,7;2222,6;21,9;15,1;22,7;20,5;16,6;14,6;77;62;66;104;6,5;3;
2022/01/01;1800 UTC;0;869,2;869,7;869,2;1310;22,5;14,9;23,5;21,9;15,6;14,7;66;60;62;104;6,7;3,6;
2022/01/01;1900 UTC;0;869;869,2;868,9;419,3;21,4;15,9;22,5;21,4;15,9;14,8;71;62;71;98;5,8;2,9;
2022/01/01;2000 UTC;0;869,4;869,4;868,8;253,3;21,3;15,2;21,4;21,1;16;15;72;67;68;113;4,8;1,2;
2022/01/01;2100 UTC;0;870;870;869,4;55,6;20,2;15,4;21,3;20,2;15,4;14,9;74;68;74;100;5;3,2;
2022/01/01;2200 UTC;0;870,4;870,4;870;;19,5;14,4;20,2;19,5;15,4;14,4;74;71;72;134;4,9;1,2;
2022/01/01;2300 UTC;0;871,4;871,4;870,4;;18,8;14,9;19,5;18,6;14,9;14,4;78;72;78;155;2,8;2,2;
2022/01/02;0000 UTC;0;872,1;872,1;871,4;;18,8;15,3;19;18,7;15,3;14,9;80;78;80;177;4,1;2,3;
2022/01/02;0100 UTC;0;872,3;872,4;872,1;;18,9;15,1;19,1;18,8;15,4;15;80;78;78;149;3,9;2,1;
2022/01/02;0200 UTC;0;871,7;872,3;871,7;;18,2;15,1;19;18,1;15,2;14,9;82;78;82;170;3,8;1,6;
2022/01/02;0300 UTC;0;871,1;871,7;871,1;;18,1;15,6;18,2;17,9;15,6;15,1;86;82;86;196;2,7;1,2;
2022/01/02;0400 UTC;0;870,6;871,1;870,6;;17,9;15,6;18,1;17,8;15,6;15,4;87;86;86;200;2;,3;
2022/01/02;0500 UTC;0;870,3;870,6;870,3;;17,8;15,7;17,9;17,5;15,7;15,2;87;86;87;178;1,6;1,2;
2022/01/02;0600 UTC;0;870,4;870,4;870,3;;17,7;15,6;18;17,7;15,7;15,5;87;87;87;173;2,2;1;
2022/01/02;0700 UTC;0;870,7;870,7;870,4;;17,8;15,8;17,8;17,7;15,8;15,6;88;87;88;138;1,9;1,2;
2022/01/02;0800 UTC;,4;871,1;871,1;870,7;,3;17,5;15,5;17,8;17,5;15,8;15,5;88;88;88;109;2,4;1,4;
2022/01/02;0900 UTC;1,8;871,7;871,7;871,1;66,6;17,2;15,3;17,5;17,1;15,5;15,2;88;88;88;131;3,1;1,3;
2022/01/02;1000 UTC;1,4;872,3;872,3;871,7;422,7;17,9;15,8;18;17,2;15,9;15,3;88;87;87;169;2,3;1;
2022/01/02;1100 UTC;0;872,7;872,8;872,3;686,8;18,6;15,8;18,7;17,9;16;15,4;87;83;84;136;3,3;1;
2022/01/02;1200 UTC;0;873,1;873,2;872,7;1064,3;18,8;15,2;19,4;18,6;16,2;15,2;84;78;80;163;4,3;1,4;
2022/01/02;1300 UTC;0;872,8;873,2;872,8;1496,5;20,6;15,6;20,6;18,8;16,4;15,1;81;73;73;159;3,3;1,5;
2022/01/02;1400 UTC;0;872;872,8;872;2192,1;21,4;15,9;21,9;20,3;16,8;15,1;75;68;71;121;5;2,4;
2022/01/02;1500 UTC;,2;871,2;872;871,2;2625,6;22,5;16,8;22,6;21,1;17,1;15,3;74;66;70;110;6;3,5;
2022/01/02;1600 UTC;0;870,8;871,2;870,8;1662,2;21,2;16;23;21,2;16,8;15,7;74;64;72;120;6,3;2,8;
2022/01/02;1700 UTC;0;870,2;870,8;870,2;719,1;21,2;15,8;21,5;20,8;16,8;15,3;76;69;71;122;4,8;1;
2022/01/02;1800 UTC;0;869,8;870,2;869,8;342,9;19,8;16,1;21,2;19,8;16,2;14,9;79;68;79;211;3,7;2,4;
2022/01/02;1900 UTC;0;869,7;869,8;869,7;294,6;20,3;16;20,5;19,8;16,3;15,8;80;76;77;127;3,5;1,6;
2022/01/02;2000 UTC;0;870,1;870,1;869,7;147,4;19,5;16,1;20,3;19,4;16,6;15,8;83;77;81;100;5;1,9;
2022/01/02;2100 UTC;0;870,8;870,8;870,1;72,5;19,3;15,9;19,5;19,3;16,1;15,7;81;79;80;145;3,9;1,6;
2022/01/02;2200 UTC;0;871,3;871,3;870,8;;18,8;15,3;19,3;18,7;16;15,2;81;80;80;130;3,7;2,5;
2022/01/02;2300 UTC;0;872;872;871,3;;18,5;15,4;18,8;18,4;15,4;15,1;82;80;82;145;3,5;1,9;
2022/01/03;0000 UTC;0;872,4;872,4;872;;18,2;15,5;18,5;18,2;15,7;15,3;85;82;84;168;3;,7;
2022/01/03;0100 UTC;0;872,6;872,7;872,4;;18,3;15,3;18,3;17,9;15,5;15,3;85;83;83;137;1,8;,8;
2022/01/03;0200 UTC;0;872,3;872,7;872,3;;18;15,3;18,3;18;15,3;15;84;82;84;192;2,1;1,6;
2022/01/03;0300 UTC;0;871,6;872,3;871,6;;17,9;15;18;17,9;15,3;15;84;83;83;172;2,6;2;
2022/01/03;0400 UTC;0;871,2;871,6;871,2;;17,7;15,2;17,9;17,7;15,2;15;86;83;86;179;2,7;1,5;
2022/01/03;0500 UTC;0;870,7;871,2;870,7;;17,4;15,1;17,7;17,3;15,3;15,1;87;86;87;211;2,1;1,3;
2022/01/03;0600 UTC;0;870,7;870,7;870,5;;17,4;15;17,5;17,4;15,2;15;87;86;86;199;2,2;1,1;
2022/01/03;0700 UTC;,2;871,1;871,1;870,7;;17,4;15;17,4;17,4;15;14,9;86;86;86;189;1,9;1,3;
2022/01/03;0800 UTC;0;871,5;871,6;871,1;;17,3;15;17,4;17,3;15;14,9;86;86;86;179;2,5;1,1;
2022/01/03;0900 UTC;0;872;872;871,5;92,2;17,7;15,1;17,7;17,3;15,2;15;86;85;85;164;2,5;1,7;
2022/01/03;1000 UTC;0;872,2;872,2;872;539,9;18,9;15,2;19;17,7;15,5;14,9;85;79;79;115;3,3;1,7;
2022/01/03;1100 UTC;0;872,6;872,7;872,2;563;18,7;15,1;19;18,6;15,3;14,7;80;77;80;106;3,6;2,1;
