REGIAO:;NE
UF:;BA
ESTACAO:;AMARGOSA
CODIGO (WMO):;A434
LATITUDE:;-13,009468
LONGITUDE:;-39,616881
ALTITUDE:;397,8
DATA DE FUNDACAO:;11/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;969,4;969,4;968,9;;21,6;;22,2;21,6;;;;;;172;4,4;,2;
2022/01/01;0100 UTC;0;969,2;969,5;969,2;;21,3;;21,6;21,3;;;;;;161;3,9;0;
2022/01/01;0200 UTC;0;969,1;969,3;969,1;;20,9;;21,3;20,9;;;;;;168;4,5;0;
2022/01/01;0300 UTC;0;969;969,1;968,9;2250,9;20,7;;20,9;20,6;;;;;;169;2,8;0;
2022/01/01;0400 UTC;0;968,5;969,1;968,5;1227,6;20,6;;20,9;20,6;;;;;;152;0;0;
2022/01/01;0500 UTC;0;968,3;968,5;968,3;47;20,7;;20,8;20,5;;;;;;164;0;0;
2022/01/01;0600 UTC;0;968;968,3;968;9,7;20,8;;20,8;20,5;;;;;;152;0;0;
2022/01/01;0700 UTC;0;968,5;968,5;968;1432,7;20,5;;20,8;20,5;;;;;;175;0;0;
2022/01/01;0800 UTC;0;968,8;968,8;968,5;1820,7;20,6;;20,6;20,4;;;;;;165;0;0;
2022/01/01;0900 UTC;0;969,5;969,5;968,9;576,2;21,3;;21,4;20,6;;;;;;144;0;0;
2022/01/01;1000 UTC;0;970,1;970,1;969,5;;22,6;;22,8;21,3;;;;;;113;4,6;0;
